"application_id","license_number","license_type","application_or_renewal","business_name","status","start_date","end_date","temp_op_letter_issued","temp_op_letter_expiration","license_category","application_category","building_number","street","street_2","unit_type","unit","description","city","state","zip","contact_phone","longitude","latitude","active_vehicles"
"1066-2017-RHIC","1294131-DCA","Business","Renewal","PEYKO TZENOV","Issued","2017-01-09T00:00:00.000","2017-01-10T00:00:00.000",,,"Home Improvement Contractor","Special","3280","RESERVOIR OVAL E",,,,,"BRONX","NY","10467","9178047161","-73.877091","40.876214",
"7066-2014-ASLS","2009515-DCA","Business","Application","7TH AVE GOURMET INC.","Issued","2014-06-02T00:00:00.000","2014-06-13T00:00:00.000",,,"Stoop Line Stand","Basic","75","7TH AVE",,,,,"NEW YORK","NY","10011","718-783-3806","-73.975088","40.674997",
"1164-2019-RDPD","1472251-DCA","Business","Renewal","AMERICAN EAST PHARMACY INC.","Issued","2019-01-09T00:00:00.000","2019-01-10T00:00:00.000",,,"Dealer In Products","Basic","23","DIVISION ST",,,,,"NEW YORK","NY","10002","2129251900","-73.996169","40.7141181",
"33701-2016-RELE","2025971-DCA","Business","Renewal","LUCAS ELECTRONICS INC","Issued","2016-12-31T00:00:00.000","2017-01-10T00:00:00.000",,,"Electronics Store","Basic","886","MANHATTAN AVE",,,,,"BROOKLYN","NY","11222","347-987-3235","-73.954098","40.7298694",
"34278-2018-RELE","2047043-DCA","Business","Renewal","ELITE WIRELESS GROUP NY LLC","Issued","2018-12-31T00:00:00.000","2019-01-08T00:00:00.000",,,"Electronics Store","Basic","3015","CHURCH AVE",,,,,"BROOKLYN","NY","11226","718-484-7746","-73.949327","40.6508262",
"3891-2019-ALAU","2085269-DCA","Business","Application","A-LIN LAUNDROMAT,  INC.","Issued","2019-04-07T00:00:00.000","2019-05-02T00:00:00.000",,,"Laundries","Basic","5509","4TH AVE",,,,,"BROOKLYN","NY","11220",,"-74.015602","40.6435489",
"5098-2020-ATTD","2101087-DCA","Individual","Application","Luis Ventura","Issued","2021-08-25T00:00:00.000","2021-08-26T00:00:00.000",,,"Tow Truck Driver","Basic",,,,,,,"BRONX","NY","10453",,,,
"12418-2017-AELE","2057790-DCA","Business","Application","RIDGE WIRELESS CORP","Issued","2017-08-31T00:00:00.000","2017-09-02T00:00:00.000",,,"Electronics Store","Basic","9514","4TH AVE",,,,,"BROOKLYN","NY","11209",,"-74.031289","40.6156532",
"949-2017-RHIC","1338463-DCA","Business","Renewal","TAORMINA, MICHAEL","Issued","2017-01-06T00:00:00.000","2017-01-07T00:00:00.000",,,"Home Improvement Contractor","Special","17","CENTERPORT RD",,,,,"GREENLAWN","NY","11740","6312362914",,,
"348-2017-RDEB","1325842-DCA","Business","Renewal","CREDIGY RECEIVABLES INC.","Issued","2017-01-09T00:00:00.000","2017-01-11T00:00:00.000",,,"Debt Collection Agency","Basic","2877","PARADISE RD",,"UNIT","303",,"LAS VEGAS","NV","89109","702-543-3036",,,
"7887-2016-RPDD","1387189-DCA","Individual","Renewal","SOULEYMANE TOURE","Issued","2016-05-06T00:00:00.000","2016-05-06T00:00:00.000",,,"Pedicab Driver","Basic",,,,,,,"BRONX","NY","10453",,,,
"30775-2018-RHIC","2026096-DCA","Business","Renewal","AMERICAN STANDARD INTERIORS CORP","Denied","2018-12-05T00:00:00.000","2019-01-07T00:00:00.000",,,"Home Improvement Contractor","Special","3426","29TH ST",,,,,"ASTORIA","NY","11106",,"-73.929278","40.7599091",
"18668-2019-RHIS","2034414-DCA","Individual","Renewal","ANDREA V DAVIS","Issued","2019-04-26T00:00:00.000","2019-04-27T00:00:00.000",,,"Home Improvement Salesperson","Special",,,,,,,"New York","NY","10002",,,,
