"fiscal_year_2","source_2","council_member_2","legal_name_2","ein_2","status_2","amount_2","agency_2","program_name_2","street_address_1_2","street_address_2_2","zip_code_2","purpose_of_funds_2","fiscal_conduit_name_2","fc_ein_2","location_1_2","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"2011","MWBE Leadership Association",,"SBS MWBE Program Management","13-6400434","Government","100000.00","DSBS",,,,,,,,,,,,,,,,,
"2013","HIV Contracts PEG",,"HIV Contracts PEG","136400434-","Pending","1358000.00","DOHMH",,,,,,,,,,,,,,,,,
"2013","Local","Levin","Department of Transportation","136400434","Cleared","1500.00","DOT",,,,,"Funding will support a bike helmet give away program.",,,,,,,,,,,,
"2012","Anti Eviction and SRO Legal Services",,"Legal Services NYC - Brooklyn Branch","132600199-","Cleared","57716.00","HPD",,,,,,,,,,,,,,,,,
"2010","IOI","Queens","Central American Legal Assistance","11-2859151","Pending","75400.00","DYCD",,,,,"Immigrant Related Legal Services",,,,,,,,,,,,
"2010","CASA","Lappin","National Dance Institute, Inc.","13-2890779","Pending","20000.00","DCA","Public School 183M","594 Broadway, Room 805","419 East 66th Street, New York, NY ",,,,,"594 Broadway, Room 805
",,,,,,,,,
"2012","Community Consultants",,"Neighborhood Housing Services of the North Bronx, Inc.","133098397-","Cleared","10000.00","HPD",,,,,,,,,,,,,,,,,
"2010","IOI","Manhattan","Comprehensive Development, Inc.","13-3861648","Pending","25000.00","DYCD",,,,,"Immigrant Related Legal Services",,,,,,,,,,,,
"2012","NORC Supportive Service Program",,"South Brooklyn Youth Consortium, Inc.- South Brooklyn Youth NORC ","030387372-","Cleared","79200.00","DFTA",,,,,,,,,,,,,,,,,
"2013","Adult Literacy Services PEG Restoration",,"Federation Employment and Guidance Services, Inc. (F.E.G.S)","131624000-","Pending","100000.00","DYCD",,,,,"Adult Literacy Services ",,,,,,,,,,,,
"2012","Mental Hygiene Contracted Services Partial PEG Restoration - Chemical Dependency/ADUPCT",,"Inwood Community Service","133087407-","Cleared","31288.00","DOHMH",,,,,,,,,,,,,,,,,
"2011","CASA","Dromm","Queens Theatre in the Park, Inc.","11-3381629","Cleared","20000.00","DCA","Public School 212Q","P.O. Box 520069","34-25 82nd Street, Jackson Heights, NY 11372","11352",,,,"P.O. Box 520069
Flushing, NY 11352
(40.74602999998467, -73.82616999984549)",,,,,,,,,
"2011","IOI","Queens","Sanctuary for Families, Inc.","13-3193119","Cleared","124500.00","DYCD",,"P.O. Box 1406, Wall Street Station",,"10268","Immigrant Related Legal Services",,,"P.O. Box 1406, Wall Street Station
New York, NY 10268
(40.70602000032295, -74.00889000027314)",,,,,,,,,
"2012","Senior Center Closures -- PEG Restoration",,"Jewish Association for Services for the Aged (JASA) - Holliswood Senior Center","132620896-","Cleared","155000.00","DFTA",,,,,,,,,,,,,,,,,
"2012","Boro","Oddo"," 122nd Precinct Community Council, Inc.","133371153-","Cleared","3500.00","DYCD","National Night Out","2320 Hylan Boulevard",,"10306-3207","National Night Out",,,"2320 Hylan Boulevard
Staten Island, NY 10306-3207
(40.574442866452465, -74.10559074449952)",,,,,,,,,
"2013","HHC Unrestricted Operating Subsidy (PEG",,"HHC Unrestricted PEG","13-6400434","Pending","6000000.00","HHC",,,,,,,,,,,,,,,,,
"2012","Food Pantries-DYCD","Brooklyn","City Harvest, Inc.","133170676-","Cleared","18430.00","DYCD","Miller Avenue Block Association, Inc.","2482 Pitkin Avenue",,,"To support the local food pantry.",,,"2482 Pitkin Avenue
Brooklyn, NY
(40.67409860442541, -73.88063317255899)",,,,,,,,,
"2011","Boro","Halloran","Bay Community Volunteer Ambulance Corps, Inc.","11-6106688","Cleared","3500.00","FDNY",,"P.O.Box 610540",,"11361","NYS DOH certified Basic Life Support to Bay Terrace.",,,"P.O.Box 610540
Bayside, NY 11361
(40.75612372017648, -73.77636173073117)",,,,,,,,,
"2013","Local","Rose","DOE-District 31, Region 7","136400434","Pending","2000.00","DOE",,,,,"$500 to every High School PTA.",,,,,,,,,,,,
"2012","Local","Rose","National Lighthouse Museum","134055215-","Cleared","5000.00","DYCD",,"One Lighthouse Plaza","PO Box 1-0296","10301-0296","Programs  services will open the NLM by 2012,initally launching Museum in Bldg 11,as an Educational Resource Center. Funding requested will introduce lighthouse education through lectures for adults and childrens workshops via class  daycamp trips,teaching lighthouse history  their waterfront  navigational roles in the maritime world; uses  scientific design of Fresnel lens and lightkeeper stories. We will establish submersion activities through videos and appropriate displays to immerse our visitors into the rich maritime heritage of the site. Walking tours will be designed with tour guides or head-sets for self-guided site tours. A museum gift shop will be created  lighthouse boat  land tours to learn about the local NY-NJ area lighthouses  how lighthouses saved lives by navigating ships, seamen, passengers and cargo safely through harbors worldwide. Over 15 lighthouses are located within 1/2 hr.of site,650 lighthouses nation!
 wide  app.15,000 worldwide. As a NATIONAL Museum lighthouse affiliates will be developed for programs locally  nationwide,an umbrella for all lighthouses throughout the country. A focus on tourists spending a day on SI will be developed with program brochures placed in hotel lobbies. An average of 2 million tourists start off yearly taking the free, famous SI Ferry harbor tour, BUT this time we will work in actually getting them off the ferry for a visit to the NLM, with museum tour packages ex.pick 2 other museums, adding lunch or dinner stops at local restaurants,and perhaps including a show at an historic theatre, certainly boosting the local economy  increasing jobs. Lighthouse boat tours would leave from site with a host of on site cultural  recreational activities: concerts, maritime festivals,arts  crafts shows etc.taking place on Lighthouse Plaza  boating events like FLEET Week, OP sail on adjacent Pier. A central hub for watertaxis to move between Boros would be id!
 eal propelling the sixth borough concept into reality!",,,"One Lighthouse Plaza
Staten Island, NY 10301-0296
(40.642441605535225, -74.07377225343905)",,,,,,,,,
"2013","Local","Viverito","Department of Transportation","136400434","Cleared","3000.00","DOT",,,,,"For a Helmet Giveaway Program in District 8.",,,,,,,,,,,,
"2011","Aging","Levin","Conselyea Street Block Association, Inc.","11-2347180","Cleared","5000.00","DFTA",,"211 Qinslie Street",,"11211","For case assistance services for senior citizens.",,,"211 Qinslie Street
Brooklyn, NY 11211
(40.71173000013954, -73.9528899997735)",,,,,,,,,
