"requirements","opportunity_id","content_id","summary","category_description","title","display_url","recurrence_type","street_address","_2nd_address","city","state","postcode","country","website","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"<p>Volunteers must be 18 years of age or older.</p>","Adult Education and Job Readiness Projects with New York Cares","<p>Planning for a better future starts by believing that one is possible. On New York Cares' Adult Education projects, volunteers help capable but struggling New Yorkers, many of whom are transitioning out of homelessness, build a brighter future for themselves and their families.</p>

<p>Search our projects at www.newyorkcares.org/search/project Before you can volunteer on a New York Cares project, you must attend a one-hour orientation. After that, you can choose from hundreds of flexibly scheduled volunteer projects every month. Learn more about volunteering with New York Cares at www.newyorkcares.org.</p>","Planning for a better future starts by believing that one is possible. On New York Cares' Adult Education projects, volunteers help capable but struggling New Yorkers, many of whom are transitioning out of homelessness, build a brighter future for themselves and their families.",,"New York Cares","/opportunities/69","ongoing","65 Broadway, 19th Floor",,"New York","NY","10006","US","http://www.newyorkcares.org","MANHATTAN","40.707113","-74.012234","101","1","13","1000809","1000210004","Battery Park City-Lower Manhattan"
"<p>There will be one day of required volunteer training on Saturday, September 7, 2019.&nbsp;&nbsp;The program begins on&nbsp;Saturday, September 14, 2019.</p>

<p>Application required.</p>","Arts and Crafts Volunteers","<p>Arts and Crafts volunteers are needed to assist participants in our Arts and Crafts Program. The youngsters with disabilities enjoy doing art projects which include painting, beading, murals, and various craft projects. Volunteers assist the children and invent the projects.</p>","Arts and Crafts volunteers are needed to assist participants in our Arts and Crafts Program. The youngsters with disabilities enjoy doing art projects which include painting, beading, murals, and various craft projects. Volunteers assist the children and invent the projects.","Communities and Neighbors","Project HAPPY","/opportunities/103","ongoing","425 East 25th Street",,"Manhattan","NY","10010","US","http://www.project-happy.org","MANHATTAN","40.737878","-73.97688","106","4","62","1069579","1009620100","Murray Hill-Kips Bay"
"<p>Previous experience working in an administrative or operations role at a school or private community center.</p>","After-School Program Coordinator","<p>• Provides oral and written reports to the Executive Director. </p>

<p>• Facilitates partnerships with appropriate public and private agencies that provide services to the students and families. </p>

<p>• Develops procedures and policies for operation of the afterschool program. </p>

<p>• Establishes and maintains communication with members of the school staff about student needs and aspects of the afterschool program. </p>

<p>• Prepares additional proposals for supplemental funding. </p>

<p>• Analyzes and applies information from periodic program evaluations. </p>

<p>• Participates on local and state committees related to afterschool programs. </p>

<p>• Maintains records needed for program administration. </p>

<p>• Performs other duties as assigned.</p>","Assist Executive Director in managing after-school programs, activities and outside of school time for children in Pre-K -5th grade.","Education","Rise Up & Walk Youth Outreach Center Inc","/opportunities/163","ongoing","432 Monroe Street",,"Brooklyn","NY","11221","US","http://www.riseupnwalk.org","BROOKLYN","40.686592","-73.940747","303","36","277","3051540","3018210001","Stuyvesant Heights"
"<p>Volunteers must be 18 years of age or older.</p>","Adults and Children with Special Needs Projects with New York Cares","<p>New York Cares offers many programs serving adults and children with special needs. Our volunteers provide a little extra care and attention to the physically disabled, who often face limited recreational activities and educational opportunities. These projects provide important social interaction while teaching essential independent living skills.</p>

<p>Search our projects at www.newyorkcares.org/search/project Before you can volunteer on a New York Cares project, you must attend a one-hour orientation. After that, you can choose from hundreds of flexibly scheduled volunteer projects every month. Learn more about volunteering with New York Cares at www.newyorkcares.org.</p>","New York Cares offers many programs serving adults and children with special needs. Our volunteers provide a little extra care and attention to the physically disabled, who often face limited recreational activities and educational opportunities. These projects provide important social interactio...",,"New York Cares","/opportunities/206","ongoing","65 Broadway, 19th Floor",,"New York","NY","10001","US","http://www.newyorkcares.org","MANHATTAN","40.707113","-74.012234","101","1","13","1000809","1000210004","Battery Park City-Lower Manhattan"
"<p>Volunteers must be 18 years of age or older.</p>","Animal Care Projects with New York Cares","<p>Socialize with rescued animals and help them get adopted just by providing human contact, love, and attention. On New York Cares' Animal Care projects, volunteers walk dogs, play with cats, help stock and keep shelters clean, and more at shelters throughout the five boroughs.</p>

<p>Search our projects at www.newyorkcares.org/search/project Before you can volunteer on a New York Cares project, you must attend a one-hour orientation. After that, you can choose from hundreds of flexibly scheduled volunteer projects every month. Learn more about volunteering with New York Cares at www.newyorkcares.org.</p>","Socialize with rescued animals and help them get adopted just by providing human contact, love, and attention.  On New York Cares' Animal Care projects, volunteers walk dogs, play with cats, help stock and keep shelters clean, and more at shelters throughout the five boroughs.",,"New York Cares","/opportunities/207","ongoing","65 Broadway, 19th Floor",,"New York","NY","10001","US","http://www.newyorkcares.org","MANHATTAN","40.707113","-74.012234","101","1","13","1000809","1000210004","Battery Park City-Lower Manhattan"
"<p>&nbsp;</p>

<p>We request a committment to a minimum of 3 months, 2 hours once per week.</p>

<p>We facilitate tutor training workshops in the Laubach Way of tutoring. We also certify tutors after 25 and 50 hours of service. Since this is an Adult Literacy Program, we ask that all volunteers be at least 21 years of age.</p>","Adult Literacy and ESL Tutors","<p>Tutor adults in reading, writing and learning how to speak English. Some of our students have become GED graduates and are in college. We get calls everyday from adults who want to improve their lives by taking the first step in learning how to read or obtaining their GED. We need tutors who are excited about helping our adult learners reach their goals in literacy.</p>","Tutor adults in reading, writing and learning how to speak English. Some of our students have become GED graduates and are in college.  We get many calls each week from adults who want to improve their lives by taking the first step in learning how to read or obtaining their GED.  We need tutors ...",,"Imani House, Inc.","/opportunities/211","ongoing","144 St. Felix St. (program site)","76A Fifth Avenue (office)","Brooklyn","NY","11217","US","http://www.imanihouse.org","BROOKLYN","40.685664","-73.977133","302","35","35","3059187","3021110045","Fort Greene"
"<p>There will be one day of required volunteer training on Saturday, September 7, 2019. The program begins on&nbsp;Saturday, September 14, 2019.</p>

<p>Application required.</p>","Basketball Assistants","<p>Volunteers are needed to assist people with disabilities in our basketball program. Some volunteers play along with the participants and some supervise or give instruction. Some Project HAPPY participants play wheelchair basketball.</p>","Volunteers are needed to assist people with disabilities in our basketball program. Some volunteers play along with the participants and some supervise or give instruction.  Some Project HAPPY participants play wheelchair basketball.","Health and Well-Being","Project HAPPY","/opportunities/385","ongoing","425 East 25th Street",,"Manhattan","NY","10010","US","http://www.project-happy.org","MANHATTAN","40.737878","-73.97688","106","4","62","1069579","1009620100","Murray Hill-Kips Bay"
"<p>Year long commitment required.</p>

<p>&nbsp;</p>

<p>DOROT <strong>requires</strong> all volunteers to attend a group training session, complete an application with references and consent to a criminal background check.</p>

<p>&nbsp;</p>

<p>To register for an upcoming orientation session , please visit our website at <a href=""http://www.dorotusa.org/volunteercorps"">http://www.dorotusa.org/volunteercorps</a>.</p>

<p>&nbsp;</p>","Become a Friendly Visitor and make a friend for a lifetime!","<p>Visit a senior and forge a new friendship. Enjoy conversation, companionship and share mutual interests. These one hour visits occur within the home of a senior residing on the East Side or Upper West Side of Manhattan. You will be matched by a professional social worker based on interests and availability to establish a meaningful and rewarding relationship.</p>

<p>Volunteers are most needed for our weekly friendly visiting program, however monthly visits with a one-hour monthly phone call are also an option.<br />
<br />
A one-year commitment is required.</p>","Make a friendship for a lifetime!
Visit a senior once a week or once a month.
Manhattan and Westchester locations only.",,"DOROT","/opportunities/391","ongoing","171 West 85th Street",,"New York","NY","10024","US","http://www.dorotusa.org","MANHATTAN","40.786591","-73.974513","107","6","169","1032139","1012160003","Upper West Side"
"<p>There will be one day of required volunteer training on Saturday, September 7, 2019. The program begins on Saturday, September 14 , 2019.</p>

<p class=""MsoNormal"">References required.</p>","Soccer Volunteers","<p>Soccer volunteers are needed to assist in soccer drills and games for children with autism and children with mobility impairments.</p>","Soccer volunteers are needed to assist in soccer drills and games for children with autism and children with mobility impairments.",,"Project HAPPY","/opportunities/466","ongoing","425 East 25th Street",,"Manhattan","NY","10010","US","http://www.project-happy.org","MANHATTAN","40.737878","-73.97688","106","4","62","1069579","1009620100","Murray Hill-Kips Bay"
"<p>Caring, generous hearts needed!!</p>","Corporate Sponsorship Needed for our Holiday Program for East Harlem Children","<p>Here's how you can help: 1) Your company can host a Holiday Toy Drive for children in our programs. We are always in need of gifts for our East Harlem children during the holiday season. We need new clothing, educational toys and books for children ages 0 - 12.</p>

<p>2)  Host a holiday party for our children at your worksplace or another designated spot.</p>

<p>3)  Host a Canned Food Drive at your workplace for our Food Pantry which assists families in East Harlem with young children.</p>

<p>We can also arrange for a pick up as may be needed for any of the above.</p>

<p>Please contact tgough@lsafhs.org for more information.</p>","Do you work for a company that wants to assist underprivileged children in New York City during the 2018 Holiday Season? 

We are always in need of supporters to help us give gifts to the most vulnerable children/families in East Harlem.",,"Little Sisters of the Assumption Family Health Service","/opportunities/580","ongoing","333 East 115th Street",,"New York","NY","10029","US","http://www.littlesistersfamily.org","MANHATTAN","40.795741","-73.936919","111","8","188","1052905","1016870017","East Harlem North"
