"hmp_index","mitigation_actions_title","mitigation_actions_description","hazard_addressed","lead_agency","schedule_phase","action_category","support_agency","funding_source","cost_estimate","overall_start","overall_finish","additional_info","goals_objectives","priority","website","notes","mapped"
"CB.2018.001","Progressive Urban Resource Exchange (PURE)","The PURESoil NYC program improves the quality of degraded soil in NYC communities and makes these communities more resilient to the effects of climate change. The program provides pristine soil from deep excavations to community-based organizations for projects to improve soil quality at the local level and to public sector earthworks projects to protect against sea level rise and flooding from storm surge caused by climate change.","CBRN","Office of Environmental Remediation","Existing","Coastal/Natural Resource Protection",,"City Expense",,"2018-06-22T00:00:00.000",,,"1.3,3.1","N/A",,"Cost estimate $20,000 -$180,000","Not Mapped"
"CB.2018.002","Radio SOP","Develop a plan for the ownership, maintenance, and use of radios.","CBRN","Department of Social Services","Existing","Emergency Services","New York City Emergency Management","Unknown","0",,,"ongoing","3.2","N/A",,,"Not Mapped"
"CB.E.001","Pro-bono environmental services","Provide expert services through the NYC Brownfield Partnership.","CBRN","Office of Environmental Remediation","Existing","Education and Awareness",,"City Expense","0","2015-04-22T00:00:00.000",,"ongoing","4.3","N/A",,,"Not Mapped"
"CB.E.002","NYC Voluntary Cleanup Program","Clean up contaminated properties throughout New York City. Includes installation of vapor mitigation systems, protection of building inhabitants in the event of hazardous materials release; installation of cover systems, providing containment in the event of hazardous materials releases/spills; and groundwater remediation. This will improve groundwater quality for potential use during drought.","CBRN","Office of Environmental Remediation","Existing","Prevention and Policy",,"City Expense","0","2011-01-01T00:00:00.000",,"Ongoing","1.1,2.3,4.3","N/A",,,"Not Mapped"
"CB.E.003","NYC Brownfield Incentive Grant (BIG) program","Provide financial assistance to property owners seeking to investigate and clean up contaminated properties.","CBRN","Office of Environmental Remediation","Existing","Property Protection","Economic Development Corporation,US EPA","City Expense,Other Federal","1600000","2011-01-01T00:00:00.000",,"Ongoing","4.3","N/A",,,"Not Mapped"
"CB.E.004","Cleaning Up New York City community education video series","Educate the public about environmental investigation, cleanup, and community protection and engagement during the cleanup process.","CBRN","Office of Environmental Remediation","Completed","Education and Awareness",,"Private","40000","2012-06-01T00:00:00.000","2014-04-22T00:00:00.000",,"4.3,5.1","N/A",,,"Not Mapped"
"CB.E.005","NYC Green Property Certification","Increase public understanding and awareness of cleanup sites by recognizing that cleanup properties are the ""safest places in NYC to live and work.""","CBRN","Office of Environmental Remediation","Existing","Education and Awareness","Economic Development Corporation","City Expense,Private","75000","2012-01-01T00:00:00.000","2014-03-01T00:00:00.000",,"4.3,5.1","N/A",,,"Not Mapped"
"CB.E.006","Pathogen Plan development","Development of a DOE Pathogen Plan to aid in the response to a wide range of environmental incidents including chemical, biological, and pathogen borne illnesses.","CBRN","Department of Education","Completed","Prevention and Policy","Department of Health and Mental Hygiene,New York City Emergency Management","City Expense","0",,"2017-12-01T00:00:00.000",,"1.1,1.4","N/A",,,"Not Mapped"
"CB.E.007","Harlem River lift bridge","Design and build security and hardening measures including fencing, lighting, access control and Closed Circuit Television (CCTV), structural hardening, stand-off measures, alternate alignment plans, alternate operations plans, and consequence management plans for this single point of failure for all MNR traffic into/out of the central business district.","CBRN","MTA Metro-North Railroad","Existing","Infrastructure Project",,"MTA","10000000",,,"12.5","2.1,2.2,2.3","N/A",,"Harlem River Lift Bridge - $10 million. This project continues a rehabilitation program initiated in the 2010-2014 Capital Program. The work includes repairs to cracked piers that support the critical moveable bridge which provides the only access into Manhattan for all Metro-North trains traveling to and from Grand Central Terminal.","Points"
"CB.E.008","Secure HAZMAT at DOT facilities","Examples include:Prevent release, in the event of hazard event, of herbicides at Arterials yards; combustible materials at sites such as Webster Fleet Services Shop; fuel from above-ground tanks at sites such as Conner Street Yard.","CBRN","New York City Department of Transportation","Existing","Property Protection","Department of Citywide Administrative Services,Department of Design and Construction","City Capital",,,,"Ongoing","2.1,2.2","N/A",,"aint storage facility completed at Wythe Yard; trush wash stations and spill containment equipment; on-going HAZMAT compliance work across the agency.","Not Mapped"
"CB.P.001","Construction Code revision","Adopt improved fire protection standard and emergency egress standard for buildings over 420 feet from recent International Building Code.","CBRN","Department of Buildings","Completed","Property Protection",,"City Expense","0",,,"Completed as part of the 2014 Building Code","1.5,2.5,2.7","N/A",,,"Not Mapped"
"CB.P.004","Brownfield cleanup in the 100-year floodplain","Establish bonus cleanup grant for projects in flood zones to accelerate cleanup to prevent release of pollutants during floods.","CBRN","Office of Environmental Remediation","Existing","Coastal/Natural Resource Protection","Economic Development Corporation,NYS Economic Development Corporation,Office of Management and Budget","City Expense","0",,,"Ongoing","2.1,2.4","N/A",,,"Not Mapped"
"CB.P.005","Environmental research- SPEED  2.0","SPEED 2.0 will identify the following environmental concerns in city flood plains and hurricane evacuation zones: properties in city cleanup programs managed by the Mayors Office of Environmental Remediation and properties in state cleanup programs, including the state Brownfield Cleanup Program, the state Superfund program, petroleum spill sites, and petroleum and chemical bulk storage sites.","CBRN","Office of Environmental Remediation","Existing","Prevention and Policy","Department of Information Technology and Telecommunications","CDBG","200000",,"2018-01-01T00:00:00.000",,"5.1,5.2,5.3","N/A",,,"Not Mapped"
"CB.P.006","BrownfieldWORKS!","Support placement of green job trainees on brownfield cleanup sites throughout New York City.","CBRN","Office of Environmental Remediation","Existing","Education and Awareness","NYC Law Department,Office of Management and Budget","City Expense","0",,,"Ongoing","2.1,2.4","N/A",,,"Not Mapped"
