"agency","mbpo_organization_dfta_fy_14","brief_program_description","new_applicant","requested_funding","recommended_funding","program_name","address","city","state","zip","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"DFTA","Greenwich House, Inc. ","The Senior Center Wellness programming stimulates the minds and improves the physical mobility of Greenwich House's senior center members who span ages 60-102 years of age. We view this vibrant wellness program as the foundation that establishes the senior center as teh pivotal hub for the community's seniors to engage in self preservation, crucial to maintaining physical and mental health. ","No","7500.00","7300.00","Judith C. White Senior Center Wellness Programs","224 West 30th Street","New York","NY","10001","MANHATTAN","40.748848","-73.993377","5","3","95","1014300","1007790057","Midtown-Midtown South                                                      "
"DFTA","Hudson Guild","Hudson Guild's Adult Services (HGAS) helps older adults live independently and with dignity as contributing members of the community. 130 seniors use HGAS long-term case management social services annually and 34 receive ongoing friendly visiting and escorting services.","No","10000.00","6500.00","Hudson Guild Adult Services","441 West 26th Street","New York","NY","10001","MANHATTAN","40.749196","-74.001815","4","3","97","1012827","1007240010","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DFTA","Penn South Social Services Inc.","Penn South Program for Seniors provides social services for persons 60 and older residing at Penn South NORC.  PSPS is providing intensive social work services to residents who have cluttering or hoarding issues.","No","7500.00","6325.00","Penn South Programs for Seniors","290 9th Avenue, Suite 21K","New York","NY","10001","MANHATTAN","40.748996","-73.999491","4","3","97","1082794","1007510001","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DFTA","Services & Advocacy for GLBT Elders ","MBPO funding will support programming and services at the SAGE Center, the first full-time innovative senior center for LGBT older adults in NYC, and the nation.  The SAGE Center offers diverse programming that supports LGBT elders in a culturally competent manner and includes employment assistance, legal and financial planning, cultural and educational programs, wellness offerings such as HIV and againg education, cancer support and congregate meals. ","No","15000.00","9000.00","The SAGE Center, the First Senior Center for LGBT Older Adults","305 7th Avenue","New York","NY","10001","MANHATTAN","40.746817","-73.993655","5","3","95","1015060","1008037502","Midtown-Midtown South                                                      "
"DOE","Aperture Foundation Inc.","Aperture will teach 24-week photography curriculum for 50, 4th & 5th graders and 30, 9th & 10th graders aligned with the national Common Core Standard for College Readiness. ","Yes","5000.00","3000.00","Aperture Photography Workshop","547 West 27th Street","New York","NY","10001","MANHATTAN","40.750893","-74.003934","4","3","99","1012403","1006990005","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DOE","New York City Urban Debate League, Inc.  (PS 290)","Everyday we host debate practices after school for all students in Manhattan, every weekend Manhattan students compete in debate tournaments, every month we have debate workshops in Manhattan for all grade levels, every month Manhattan's top debaters travel with our Travel Team to the nation's most competitive tournaments, and every summer we host the Manhattan Debate Institute.","Yes","5000.00","3000.00","Manhattan Debate League","215 West 33rd Street, Suite 31C","New York","NY","10001","MANHATTAN","40.750604","-73.99176","5","3","101",,,"Midtown-Midtown South                                                      "
"DOE","Theatre Works/USA, Corp.","Free Summer Theatre was created to give young New Yorkers a free theatre tradition they could call their own - like ""Shakespeare in Park"" - but for kids. Each summer TheatreworksUSA invites 15,000 children and families. About a third of our audience comes from Manhattan.","Yes","5000.00","3000.00","Free Summer Theatre 2013","151 West 26th Street, 7th Fl.","New York","NY","10001","MANHATTAN","40.745428","-73.992872","5","3","95","1015034","1008020008","Midtown-Midtown South                                                      "
"DOHMH","Episcopal Social Services of New York","Preparing Youth for Adulthood is our growing job development initiative with a goal to take the right steps to ensure that our children will develop the strength they need to take on adulthood.","No","10000.00","4000.00","Preparing Youth for Adulthood","305 Seventh Avenue, 4th Fl.","New York","NY","10001","MANHATTAN","40.746817","-73.993655","5","3","95","1015060","1008037502","Midtown-Midtown South                                                      "
"DOHMH","Gay Men's Health Crisis, Inc.","Funding will support two vital services at GMHC - the HIV Hotline and HIV/STI Testing.","No","10000.00","3000.00","HIV and STI Testing and Prevention","446 West 335r Street","New York","NY","10001",,,,,,,,,
"DOHMH","Greenwich House, Inc. ","The Children's Safety Project provides psychiatric counseling and support services to children and their non-offending family members who are dealing with physical or sexual abuse, domestic violence or trauma resulting from crime.","No","7500.00","0.00","Children's Safety Project","224 West 30th Street","New York","NY","10001","MANHATTAN","40.748848","-73.993377","5","3","95","1014300","1007790057","Midtown-Midtown South                                                      "
