"bronx_cooperatives_comparable_properties_boro_block_lot","bronx_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","bronx_cooperatives_comparable_properties_neighborhood","bronx_cooperatives_comparable_properties_building_classification","bronx_cooperatives_comparable_properties_total_units","bronx_cooperatives_comparable_properties_year_built","bronx_cooperatives_comparable_properties_gross_sqft","bronx_cooperatives_comparable_properties_est_gross_income","bronx_cooperatives_comparable_properties_gross_income_per_sqft","bronx_cooperatives_comparable_properties_full_market_value","bronx_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"2-03281-0018","340 MOSHOLU PARKWAY
Bronx, NY 
(40.871376149043, -73.880298966994)","2",,,,,,,,,,"BEDFORD PARK/NORWOOD","D4-ELEVATOR","56","1937","48628","509621","10.48","1720000","35.4","2-03285-0015","2970 MARION AVENUE
Bronx, NY 
(40.869508033605, -73.883373826927)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","36","1936","36185","371981","10.28","1260000","34.8","0.1","2-03297-0001","2929 BAINBRIDGE AVENUE
Bronx, NY 
(40.870190987252, -73.885584709637)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","55","1955","59085","639948","10.83","2260000","38.2","0.2"
"2-05743-0002","2530 INDEPENDENCE AVENUE
Bronx, NY 
(40.880204018919, -73.921487230353)","2","10463","40.880351","-73.921025","8","11","29301","2083466","2057430002","Spuyten Duyvil-Kingsbridge                                                 ","RIVERDALE","D4-ELEVATOR","69","1961","79296","892080","11.25","3140000","39.6","2-05874-1028","6629 BROADWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","84","1962","76009","895893","11.79","3160000","41.6","2.35",,,,,,,,,,,,
"2-03311-0138","190 MOSHOLU PARKWAY
Bronx, NY 
(40.875084727253, -73.881541766986)","2",,,,,,,,,,"BEDFORD PARK/NORWOOD","D4-ELEVATOR","58","1939","63763","620413","9.73","2100000","32.9","2-03320-0044","222 BEDFORD PARK
Bronx, NY 
(40.825576999979, -73.918448999722)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","63","1939","71250","651937","9.15","2150000","30.2","0.25","2-03297-0001","2929 BAINBRIDGE AVENUE
Bronx, NY 
(40.870190987252, -73.885584709637)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","55","1955","59085","639948","10.83","2260000","38.2","0.3"
"2-04845-0011","745 231 STREET
Bronx, NY 
(40.884537979225, -73.91834237219)","2",,,,,,,,,,"WILLIAMSBRIDGE","D4-ELEVATOR","201","1957","249258","2667060","10.7","9010000","36.1","2-05909-0163","3950 BLACKSTONE AVENUE
Bronx, NY 
(40.890261642548, -73.911362719053)","RIVERDALE","D1-ELEVATOR","176","1959","237000","2694049","11.37","9500000","40.1","2.8",,,,,,,,,,,,
"2-02627-0007","906 EAGLE AVENUE
Bronx, NY 
(40.822451095338, -73.908277048069)","2","10456","40.822826","-73.90814","3","17","185","2004468","2026270007","Morrisania-Melrose                                                         ","MORRISANIA/LONGWOOD","C6-WALK-UP","25","1914","21295","234245","11","662000","31.1","2-02427-0001","391 168 STREET
Bronx, NY 
(40.832463162195, -73.910076878871)","MELROSE/CONCOURSE","C7-WALK-UP","16","1923","11055","116955","10.58","395000","35.7","0.7",,,,,,,,,,,,
"2-03948-0047","2181 STARLING AVENUE
Bronx, NY 
(40.836339133714, -73.85270261096)","2","10462","40.836313","-73.8527","9","18","222","2041246","2039480047","Parkchester                                                                ","PARKCHESTER","D4-ELEVATOR","42","1962","30927","264426","8.55","872000","28.2","2-04994-0017","667 233 STREET
Bronx, NY 
(40.893860149018, -73.858562798261)","WAKEFIELD","D1-ELEVATOR","51","1963","48041","403544","8.4","1330000","27.7","3.95","2-04328-0011","2185 HONE AVENUE
Bronx, NY 
(40.856368618952, -73.859940949344)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","43","1962","41225","265529","6.44","815000","19.77","1.35"
"2-04508-0010","2750 OLINVILLE AVENUE
Bronx, NY 
(40.866020278366, -73.868311851103)","2","10467","40.866005","-73.868336","11","15","336","2053536","2045080010","Bronxdale                                                                  ","BRONXDALE","D4-ELEVATOR","66","1955","71256","638453","8.96","2100000","29.5","2-04337-0032","2245 BARKER AVENUE
Bronx, NY 
(40.858489766871, -73.869559698168)","BRONXDALE","D1-ELEVATOR","50","1959","57678","493130","8.55","1630000","28.3","0.55","2-04337-0064","620 REISS PLACE
Bronx, NY 
(40.858184477605, -73.870607879687)","BRONXDALE","D1-ELEVATOR","74","1959","86527","623376","7.2","1910000","22.07","0.6"
"2-05744-0048","750 KAPPOCK STREET
Bronx, NY 
(40.881759500512, -73.919771950111)","2","10463","40.882137","-73.919848","8","11","29301","2083471","2057440048","Spuyten Duyvil-Kingsbridge                                                 ","RIVERDALE","D4-ELEVATOR","160","1953","209920","2361600","11.25","8320000","39.6","2-05746-0567","2675 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","78","1951","92782","1016704","10.96","3580000","38.6","0.15","2-05787-0137","3220 NETHERLAND AVENUE
Bronx, NY 
(40.883961568175, -73.911511205264)","RIVERDALE","D1-ELEVATOR","85","1954","100498","1155727","11.5","4070000","40.5","0.55"
"2-03263-0235","3840 CANNON PLACE
Bronx, NY 
(40.883081338019, -73.896092507135)","2","10463","40.883514","-73.895381","8","11","279","2092476","2032630235","Van Cortlandt Village                                                      ","KINGSBRIDGE/JEROME PARK","D4-ELEVATOR","171","1958","170350","1565516","9.19","4420000","25.9","2-02511-0022","939 WOODYCREST AVENUE
Bronx, NY 
(40.831083385627, -73.929244003222)","HIGHBRIDGE/MORRIS HEIGHTS","D7-ELEVATOR","169","1928","196432","1595482","8.12","4900000","24.95","4.05","2-03100-0065","711 GARDEN STREET
Bronx, NY 
(40.825576999979, -73.918448999722)","BELMONT","D7-ELEVATOR","167","1971","190000","2040528","10.74","5760000","30.3","2.3"
"2-05748-0500","3001 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10463","40.882699","-73.9161","8","11","301","2083488","2057480500","Spuyten Duyvil-Kingsbridge                                                 ","RIVERDALE","D4-ELEVATOR","85","1934","140000","1456000","10.4","4920000","35.1","2-05780-0940","3900 GREYSTONE AVENUE
Bronx, NY 
(40.88950389842, -73.904451506606)","RIVERDALE","D1-ELEVATOR","127","1928","134703","1397249","10.37","4720000","35","0.75","2-05845-1799","5400 FIELDSTON ROAD
Bronx, NY 
(40.901548992376, -73.901753307327)","RIVERDALE","D1-ELEVATOR","127","1939","151500","1502438","9.92","5080000","33.5","1.55"
