"schoolname","buildingnumber","streetname","suiteapt","city","state","zipcode","latitude","longitude","contact","telephone","email","web","languagesoffered","courseprice","date","time","borough","community_board","census_district","census_tract","bin","bbl","nta","location_1"
"AA Driver Training  Center","132-49","41st Road","Suite 1b","Flushing","NY","11355","40.7562119999999","-73.8319189999999","Lalo Guo","(718) 886-6249","info@dtadirect.com","http://www.dtadirect.com","English, Chinese (中文) , Spanish (Español)","$148","2019-03-28T00:00:00.000","1899-12-31T17:03:02.123","QUEENS","7","20","849","4534024","4050397505","Flushing","(40.7562119999999, -73.8319189999999)"
"Kingsborough Community College CUNY","2001","Oriental Boulevard","Room T4122","Brooklyn","NY","11235","40.5778139999999","-73.935561","Abel Zamora","(718) 368-5189","taxi@kbcc.cuny.edu","http://www.kbcc.cuny.edu","English, American Sign Language, Arabic (العَرَبِيَّة), Chinese (中文), Russian (русский)","$150","2019-03-28T00:00:00.000","1899-12-31T17:03:02.123","BROOKLYN","15","48","616","3326937","3087600060","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","(40.5778139999999, -73.935561)"
"NYC Driver Institute, Inc.","60-19","Roosevelt Avenue","2nd Floor","Woodside","NY","11377","40.7457229999999","-73.903771","Charles LaSala","(718) 255-9500","school@tlcdriver.nyc","http://www.tlcdriver.nyc","English","$149","2019-03-28T00:00:00.000","1899-12-31T17:03:02.123","QUEENS","2","26","259","4028336","4012290122","Woodside","(40.7457229999999, -73.903771)"
"AA Driver Training  Center","6402","8th Avenue","Suite  105","Brooklyn","NY","11220","40.633253","-74.012247","Lalo Guo","(718) 886-6249","info@dtadirect.com","http://www.dtadirect.com","English, Chinese (中文) , Spanish (Español)","$148","2019-03-28T00:00:00.000","1899-12-31T17:03:02.123","BROOKLYN","10","38","120","3394091","3058217501","Sunset Park East","(40.633253, -74.012247)"
"Independent Drivers Guild Education Center","456","Johnson Avenue","#420","Brooklyn","NY","11237","40.707959","-73.929782","Erik Forman","(718) 841-7330","education@drivingguild.org","http://www.drivingguild.org","English, Chinese (中文)","FREE","2019-03-28T00:00:00.000","1899-12-31T17:03:02.123","BROOKLYN","1","34","453","3070613","3029920025","Bushwick North","(40.707959, -73.929782)"
"NYC Driver Institute, Inc.","31-00","47th Avenue","1st Floor","Long Island City","NY","11101","40.7420899999999","-73.935516","Charles LaSala","(718) 255-9500","school@tlcdriver.nyc","http://www.tlcdriver.nyc","English, Chinese (中文) , Spanish (Español)","$149","2019-03-28T00:00:00.000","1899-12-31T17:03:02.123","QUEENS","2","26","199","4003539","4002810001","Hunters Point-Sunnyside-West Maspeth","(40.7420899999999, -73.935516)"
"AAA Knowledge Seekers, Inc.","86-11","Lefferts Boulevard","NULL","Richmond Hill","NY","11418","40.701117","-73.831401","Asad R. Siddiqy","(718) 790-2000","queens@knowledgeseekers.nyc","http://www.knowledgeseekers.nyc","English, Bengali (বাংলা), Spanish (Español), Urdu (اُردُو) Arabic (العَرَبِيَّة),","$125","2019-03-28T00:00:00.000","1899-12-31T17:03:02.123","QUEENS","9","29","144","4539223","4092730048","Richmond Hill","(40.701117, -73.831401)"
"Jamaica One Trainers School","87-12","175th Street","Suite #C1","Jamaica","NY","11432","40.7112339999999","-73.7879329999999","Arif Ekram","(718) 206-9200","jamaicaonetaxi@gmail.com","http://www.jamaicaonetaxi.com","English, Arabic (العَرَبِيَّة), Bengali (বাংলা),","$135","2019-03-28T00:00:00.000","1899-12-31T17:03:02.123","QUEENS","12","27","462","4600457","4098307502","Jamaica","(40.7112339999999, -73.7879329999999)"
"AAA Knowledge Seekers, Inc.","1654","Castle Hill Avenue","NULL","Bronx","NY","10462","40.839097","-73.852733","Asad R. Siddiqy","(718) 524-9900","bronx@knowledgeseekers.nyc","http://www.knowledgeseekers.nyc","English, Bengali (বাংলা), Spanish (Español), Urdu (اُردُو)","$125","2019-03-28T00:00:00.000","1899-12-31T17:03:02.123","BRONX","10","18","20601","2042006","2039900040","Westchester-Unionport","(40.839097, -73.852733)"
"NYC Driver Institute, Inc.","135","Lincoln Avenue","NULL","Bronx","NY","10454","40.8083749999999","-73.9294639999999","Charles LaSala","(718) 255-9500","school@tlcdriver.nyc","http://www.tlcdriver.nyc","English, Spanish (Español)","$149","2019-03-28T00:00:00.000","1899-12-31T17:03:02.123","BRONX","1","8","19","2094017","2023170013","Mott Haven-Port Morris","(40.8083749999999, -73.9294639999999)"
"Millennium Drivers Academy","1954","Jerome Avenue","NULL","Bronx","NY","10453","40.8513179999999","-73.9092909999999","Pavel Lopez","(718) 733-1220","millenniumdrivers@gmail.com","http://www.millenniumsdriver.com","English, Spanish (Español)","$175","2019-03-28T00:00:00.000","1899-12-31T17:03:02.123","BRONX","5","14","23301","2008253","2028530017","Mount Hope","(40.8513179999999, -73.9092909999999)"
"AAJ Desi Black Yellow Green Professional Driver Academy Inc.","89-36","Sutphin Blvd","3rd Floor","Jamaica","NY","11435","40.703045","-73.808622","Poly Saha","(347) 256-2790","aajdesitaxiacademy@gmail.com","http://www.aajdesitaxiacademy.com","English, Urdu (اُردُو)","$75","2019-03-28T00:00:00.000","1899-12-31T17:03:02.123","QUEENS","12","24","240","4206749","4096760013","Jamaica","(40.703045, -73.808622)"
