"appeal_type","appeal_subtype","agency","status","date_filed","date_closed","exam_no","title","expiration","extension","acronym"
"Other",,"Department of Citywide Administrative Services - DCAS","Closed","2017-12-21T00:00:00.000","2017-12-27T00:00:00.000",,,,,"DCAS"
"Other",,"Department of Citywide Administrative Services - DCAS","Closed","2017-12-17T00:00:00.000","2017-12-18T00:00:00.000",,,,,"DCAS"
"Section 76",,"Housing Authority - NYCHA","Closed","2017-12-14T00:00:00.000","2017-12-14T00:00:00.000",,,,,"NYCHA"
"Section 50","Character","Police Department - NYPD","Closed","2017-12-13T00:00:00.000","2017-12-19T00:00:00.000","6031","Stock Worker","2020-11-02T00:00:00.000",,"NYPD"
"Section 50","Score","Department of Citywide Administrative Services - DCAS","Closed","2017-12-06T00:00:00.000","2017-12-07T00:00:00.000","5011","Administrative Staff Analyst","2020-09-28T00:00:00.000",,"DCAS"
"Jurisdictional Issue",,"Other - OTH","Open","2017-12-01T00:00:00.000","2017-12-21T00:00:00.000",,,,,"OTH"
"Section 50","Character","Police Department - NYPD","Closed","2017-11-29T00:00:00.000","2017-12-20T00:00:00.000","4313","Police Officer","2020-06-23T00:00:00.000",,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-11-29T00:00:00.000","2017-12-01T00:00:00.000","7002","Computer Associate (Software)",,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2017-11-17T00:00:00.000","2017-12-19T00:00:00.000","5319","Traffic Enforcement Agent","2019-10-28T00:00:00.000",,"NYPD"
"Section 50","Character","Administration for Children's Services - ACS","Closed","2017-11-17T00:00:00.000","2017-12-19T00:00:00.000","6337","Child Protective Specialist","2021-06-28T00:00:00.000",,"ACS"
"Section 50","Medical","Department of Sanitation - DSNY","Closed","2017-11-14T00:00:00.000","2017-12-12T00:00:00.000","5001","Sanitation Worker","2020-03-16T00:00:00.000",,"DSNY"
"Section 50","Psych","Department of Finance - DOF","Closed","2017-11-09T00:00:00.000","2017-11-09T00:00:00.000","3021","Deputy City Sheriff","2017-07-10T00:00:00.000",,"DOF"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-11-08T00:00:00.000","2017-12-08T00:00:00.000",,,,,"DCAS"
