"name","st_","street","city","st","postcode","phone","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"2 Bros Pizza","32","St. Marks Place","New York","NY","10003",,"MANHATTAN","40.728811","-73.988195","3","2","38","1006674","1004630025","East Village                                                               "
"2 Bros Pizza","36","St. Marks Place","New York","NY","10003",,"MANHATTAN","40.728734","-73.988011","3","2","38","1006677","1004630028","East Village                                                               "
"20/20 Optical","57","East 8th St","New York","NY","10003",,"MANHATTAN","40.731062","-73.993498","2","2","59","1009091","1005607502","West Village                                                               "
"6th Avenue News & Tobacco","488","6th Ave","New York","NY","10011",,"MANHATTAN","40.736206","-73.997669","2","3","63","1009609","1005760001","West Village                                                               "
"8 Crown Trade Co.","28","St. Marks Place","New York","NY","10003",,"MANHATTAN","40.72889","-73.988379","3","2","38","1006672","1004630023","East Village                                                               "
"8th Street Parking Corp.","11","5th Ave","New York","NY","10003",,"MANHATTAN","40.732407","-73.996226","2","2","59","1009222","1005660001","West Village                                                               "
"8th Street Parking Corp.","9","East 8th St","New York","NY","10003",,"MANHATTAN","40.732009","-73.995746","2","2","59","1009222","1005660001","West Village                                                               "
"8th Street Wine Cellar (Lower level)","28","West 8th St","New York","NY","10011","(212) 260-9463","MANHATTAN","40.732722","-73.997478","2","1","63","1008856","1005510020","West Village                                                               "
"99 Cents Fresh Pizza","388","6th Ave","New York","NY","10011",,"MANHATTAN","40.733195","-73.999856","2","1","63","1008934","1005530006","West Village                                                               "
"AC Gears","69","East 8th St","New York","NY","10003","(212) 260-2269","MANHATTAN","40.730864","-73.993029","2","2","59","1009092","1005607503","West Village                                                               "
"Adams West Italian Hair Salon","103","West 10th St","New York","NY","10011","(212) 243-9383","MANHATTAN","40.734833","-73.998986","2","3","71","1010554","1006060074","West Village                                                               "
"Addiction NYC","27","St. Marks Place","New York","NY","10003",,"MANHATTAN","40.728934","-73.988436","3","2","38","1006752","1004640046","East Village                                                               "
"Aerosoles","63","East 8th St","New York","NY","10003",,"MANHATTAN","40.7309","-73.993119","2","2","59","1009092","1005607503","West Village                                                               "
"Aesop Skin Care","60","University Place","New York","NY","10003",,"MANHATTAN","40.732865","-73.993711","2","2","61","1009265","1005680024","West Village                                                               "
"Alma 33","33","West 8th St","New York","NY","10011","(212) 380-8794","MANHATTAN","40.733055","-73.998218","2","3","63","1009443","1005720060","West Village                                                               "
"Amber","432","6th Ave","New York","NY","10011","(212) 477-5880","MANHATTAN","40.734534","-73.998885","2","3","63","1009453","1005730005","West Village                                                               "
"Amelie Le bar a vin","22","West 8th St","New York","NY","10011","(415) 310-4853","MANHATTAN","40.732637","-73.997276","2","1","63","1008859","1005510023","West Village                                                               "
"Amorino Gelato","60","University Place","New York","NY","10003",,"MANHATTAN","40.732865","-73.993711","2","2","61","1009265","1005680024","West Village                                                               "
"Andrade Shoe Repair","101","University Place","New York","NY","10003",,"MANHATTAN","40.734009","-73.992708","2","2","61","1009195","1005640001","West Village                                                               "
"Andromeda Body Piercing","33","St. Marks Place","New York","NY","10003",,"MANHATTAN","40.728822","-73.988173","3","2","38","1006749","1004640043","East Village                                                               "
"Andromeda Electric Tattoo","33","St. Marks Place","New York","NY","10003",,"MANHATTAN","40.728822","-73.988173","3","2","38","1006749","1004640043","East Village                                                               "
"Andy's Chee Pees","18","West 8th St","New York","NY","10011","(212) 420-5980","MANHATTAN","40.73258","-73.997142","2","1","63","1008859","1005510023","West Village                                                               "
"Ann Taylor Loft","770","Broadway","New York","NY","10003",,"MANHATTAN","40.730842","-73.991402","2","2","57","1008952","1005540001","West Village                                                               "
