"facility_name","service_category","service_type","address","address_2","borough","zipcode","latitude","longitude","phone_number","additionalinfo","intake","payment_cost","special_population_served","community_board","council_district","census_tract","bin","bbl","nta"
"Positive Health Project","Hepatitis","Hepatitis C Testing","301 West 37 Street,2nd Floor",,"Manhattan","10018","40.7543748","-73.992499","(212) 465-8304","Syringe Exchange Services located on the 2nd floor of the building. Specialty Harm Reduction services located on 3rd floor of the building. Medical, Psychiatric and Mental Health services located on the 4th floor, Funded by Housing Works. Job readiness programs for recently incarcerated individuals located on the 5th floor, Funded by Housing Works.","Walk-ins Welcome","Medicaid,Free","Men Who Have Sex With Men (MSM),,,HIV-Positive Persons,People living with AIDS,People who Use Drugs,Incarcerated or Recently Incarcerated Persons,","104","3","111","1013620","1007610031","Hudson Yards-Chelsea-Flatiron-Union Square"
"Acacia Network - Clay Avenue Family Health Center","Hepatitis","Hepatitis C Testing","1776 Clay Avenue",,"Bronx","10457","40.8461493","-73.9042441",,"This facility offers Hep C patient navigation, free Hep C testing; NYS HepCAP Hep C medical care and treatment for uninsured meeting criteria",,"Uninsured,Sliding Scale",,"205","15","231","2009358","2028910037","Mount Hope"
"Acacia Network - Clay Avenue Family Health Center","Hepatitis","Hepatitis C Treatment","1776 Clay Avenue",,"Bronx","10457","40.8461493","-73.9042441",,"This facility offers Hep C patient navigation, free Hep C testing; NYS HepCAP Hep C medical care and treatment for uninsured meeting criteria",,"Uninsured,Sliding Scale",,"205","15","231","2009358","2028910037","Mount Hope"
"The Center for Positive Living/Infectious Diseases Clinic","Hepatitis","Hepatitis B Testing","3444 Kossuth Avenue,3rd Floor",,"Bronx","10467","40.8812288","-73.8810948","(718) 920-2273","This facility offers Hepatitis C Patient Navigation and NYS HepCAP (Hep C medical care and treatment for uninsured meeting criteria)","Walk-ins Welcome","Uninsured,Sliding Scale",,"207","11","421","2094749","2033270001","Norwood"
"The Center for Positive Living/Infectious Diseases Clinic","Hepatitis","Hepatitis B Treatment","3444 Kossuth Avenue,3rd Floor",,"Bronx","10467","40.8812288","-73.8810948","(718) 920-2273","This facility offers Hepatitis C Patient Navigation and NYS HepCAP (Hep C medical care and treatment for uninsured meeting criteria)","Walk-ins Welcome","Uninsured,Sliding Scale",,"207","11","421","2094749","2033270001","Norwood"
"The Center for Positive Living/Infectious Diseases Clinic","Hepatitis","Hepatitis C Testing","3444 Kossuth Avenue,3rd Floor",,"Bronx","10467","40.8812288","-73.8810948","(718) 920-2273","This facility offers Hepatitis C Patient Navigation and NYS HepCAP (Hep C medical care and treatment for uninsured meeting criteria)","Walk-ins Welcome","Uninsured,Sliding Scale",,"207","11","421","2094749","2033270001","Norwood"
"The Center for Positive Living/Infectious Diseases Clinic","Hepatitis","Hepatitis C Treatment","3444 Kossuth Avenue,3rd Floor",,"Bronx","10467","40.8812288","-73.8810948","(718) 920-2273","This facility offers Hepatitis C Patient Navigation and NYS HepCAP (Hep C medical care and treatment for uninsured meeting criteria)","Walk-ins Welcome","Uninsured,Sliding Scale",,"207","11","421","2094749","2033270001","Norwood"
"MMG - Comprehensive Health Care Center (CHCC)","Hepatitis","Hepatitis B Testing","305 East 161 Street,1st floor",,"Bronx","10451","40.8254688","-73.91697","(718) 579-2500","This facility offers Hepatitis C Patient Navigation and NYS HepCAP (Hep C medical care and treatment for uninsured meeting criteria)","Walk-ins Welcome","Uninsured,Sliding Scale","HIV-Positive Persons,People who Use Drugs,Incarcerated or Recently Incarcerated Persons,","204","17","173","2115808","2024210045","East Concourse-Concourse Village"
"MMG - Comprehensive Health Care Center (CHCC)","Hepatitis","Hepatitis B Treatment","305 East 161 Street,1st floor",,"Bronx","10451","40.8254688","-73.91697","(718) 579-2500","This facility offers Hepatitis C Patient Navigation and NYS HepCAP (Hep C medical care and treatment for uninsured meeting criteria)","Walk-ins Welcome","Uninsured,Sliding Scale","HIV-Positive Persons,People who Use Drugs,Incarcerated or Recently Incarcerated Persons,","204","17","173","2115808","2024210045","East Concourse-Concourse Village"
"MMG - Comprehensive Health Care Center (CHCC)","Hepatitis","Hepatitis C Testing","305 East 161 Street,1st floor",,"Bronx","10451","40.8254688","-73.91697","(718) 579-2500","This facility offers Hepatitis C Patient Navigation and NYS HepCAP (Hep C medical care and treatment for uninsured meeting criteria)","Walk-ins Welcome","Uninsured,Sliding Scale","HIV-Positive Persons,People who Use Drugs,Incarcerated or Recently Incarcerated Persons,","204","17","173","2115808","2024210045","East Concourse-Concourse Village"
