"dfta_id","provider_name","sponsor_name","site_type","address1","address2","city","postcode","from_date","to_date","comminuty_board","council_district","sunday","monday","tuesday","wednesday","thursday","friday","saturday","contract_amt","expense_amt","full_time","part_time","personnel_amt","fiscal_year_amount","months_in_hhs","total_fy20_budget","total_fy20_personnel_budget","total_fy20_reimbursement","average_daily_participant","actual_ytd_meals","kosher_budget","nonkosher_budget","total_meals_budget","total_meals_cost","in_house_meal_prep","meal_prep1","prep_for_others","prep_for_others1","expenditures_for_information_and_assistance_education_and_recreation_health_promotion","comb_cost_per_person","ultilization","borough","latitude","longitude","census_tract","bin","bbl","nta"
"12E01","MOSHOLU MONTEFIORE NEIGHBORHOOD SR CT","CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMUNITY CENTER","NEIGHBORHOOD SENIOR CENTERS","3450 DEKALB AVENUE",,"BRONX","10467","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","207","11","00:00 AM - 00:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","00:00 AM - 00:00PM","552097.71","78426.57","7","0","319474.29","508216.00","7","552097.71","319474.29","131776.92","67","21252","0.00","156799.09","156799.09","7.38","Meal Prep on-site","Meal Prep on-site","Yes","Yes","107854.43","1609.77","100%+","BRONX","40.881486","-73.881226","421","2096396","2033270001","Norwood"
"15E01","THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC","THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC.","SENIOR CENTER","910 EAST  172 STREET","1 Floor","BRONX","10460","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","203","17","00:00 AM - 00:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","00:00 AM - 00:00PM","967332.00","482027.16","4","12","690100.67","1641067.00","12","967332.00","690100.67","845530.39","112","40100","0.00","325693.31","325693.31","8.12","Meal Prep on-site","Meal Prep on-site","No","No","395854.81","3534.42","100%+","BRONX","40.834198","-73.890157","155","2010507","2029770103","Crotona Park East"
"22E01","YOUNG ISRAEL SR SERVICES NBH SR CTR","YOUNG ISRAEL PROGRAMS, INC.","NEIGHBORHOOD SENIOR CENTERS","1694 OCEAN AVENUE",,"BROOKLYN","11230","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","314","40","08:30 AM - 04:30PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","08:30 AM - 01:30PM","00:00 AM - 00:00PM","644322.86","615848.26","0","10","358052.59","375855.00","7","644322.86","358052.59","534093.63","121","31301","0.00","316960.92","316960.92","10.13","Catered","Catered","No","No","172093.41","1422.26","100%+","BROOKLYN","40.620447","-73.955405","538","3180733","3067390044","Midwood"
"35E01","THE EDUCATIONAL ALLIANCE INC","THE EDUCATIONAL ALLIANCE, INC.","INNOVATIVE SENIOR CENTERS","331 EAST   12 STREET",,"MANHATTAN","10003","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","103","2","00:00 AM - 00:00PM","08:00 AM - 07:00 PM","08:00 AM - 07:00 PM","08:00 AM - 09:00 PM","08:00 AM - 09:00 PM","08:00 AM - 06:00 PM","09:00 AM - 03:00 PM","1289365.00","1218745.04","9","12","735227.66","1746249.52","NULL",,,,"136","72750","0.00","648037.47","648037.47","8.91","Meal Prep on-site","Meal Prep on-site","No","No","547321.42","4024.42","100%+","MANHATTAN","40.730657","-73.985041","40","1006502","1004540052","East Village"
"12E02","FORT INDEPENDENCE SOCIAL CLUB","CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMUNITY CENTER","NEIGHBORHOOD SENIOR CENTERS","3350 BAILEY AVENUE",,"BRONX","10463","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","208","10","00:00 AM - 00:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","00:00 AM - 00:00PM","319129.71","519607.44","8","0","209092.42","508216.00","7","319129.71","209092.42","78426.57","34","12499","0.00","89401.71","89401.71","7.15","Catered","Catered","No","No","56926.81","1674.32","100%+","BRONX","40.880093","-73.900742","277","2086835","2032610102","Van Cortlandt Village"
"15E02","NEIGHBORHOOD SHOPP SNAP","THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC.","SENIOR CENTER","953 SOUTHERN BLVD OFFICE 205",,"BRONX","10459","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","203","17","00:00 AM - 00:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","00:00 AM - 00:00PM","483226.00","96512.01","4","6","364575.47","1641067.00","12","483226.00","364575.47","482027.16",,,"0.00","0.00","0.00","0.00","-","NULL","-","NULL","479700.94",,"100%+","BRONX","40.82148","-73.891688","159","2005787","2027240186","Hunts Point"
"10101","YM YWHA RIVERDALE Y SENIOR CENTER","YOUNG MEN'S AND YOUNG WOMEN'S HEBREW ASSOCIATION OF THE BRONX (RIVERDALE YM/YWHA)","NEIGHBORHOOD SENIOR CENTERS","5625 ARLINGTON AVENUE",,"BRONX","10471","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","208","11","00:00 AM - 00:00PM","08:30 AM - 04:00PM","08:30 AM - 04:00PM","08:30 AM - 04:00PM","08:30 AM - 04:00PM","08:30 AM - 04:00PM","00:00 AM - 00:00PM","614218.29","33921.57","9","8","428491.71","376210.00","7","614218.29","428491.71","604745.91",,"31250","0.00","362199.69","362199.69","11.59","Meal Prep on-site","Meal Prep on-site","No","No","186399.47",,"100%+","BRONX","40.905009","-73.907133","323","2086312","2059520374","North Riverdale-Fieldston-Riverdale"
"10401","MARBLE HILL NEIGHBORHOOD SENIOR CENTER","CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMUNITY CENTER","NEIGHBORHOOD SENIOR CENTERS","5365 BROADWAY",,"BRONX","10463","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","208","10","00:00 AM - 00:00PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","00:00 AM - 00:00PM","415225.71","169189.20","7","0","303090.65","242215.00","7","415225.71","303090.65","33921.57",,"15000","0.00","84705.62","84705.62","5.65","Meal Prep on-site","Meal Prep on-site","No","No","60439.53",,"25%","BRONX","40.876062","-73.907886","309","1082782","1022150623","Marble Hill-Inwood"
"12801","SISTER ANNUNCIATA BETHEL NSC","BEDFORD PARK MULTI-SERVICE CENTER FOR SENIOR CITIZENS, INC.","NEIGHBORHOOD SENIOR CENTERS","243 EAST  204 STREET","6A","BRONX","10458","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","206","15","00:00 AM - 00:00PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","00:00 AM - 00:00PM","636798.86","253392.55","7","0","311505.60","371466.00","7","636798.86","311505.60","470610.38",,"16539","0.00","236946.47","236946.47","14.33","Meal Prep on-site","Meal Prep on-site","No","No","254170.80",,"100%+","BRONX","40.874205","-73.884457","413","2017363","2033110146","Bedford Park-Fordham North"
"13201","THROGS NECK NEIGHBORHOOD SENIOR CENTER","THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED","NEIGHBORHOOD SENIOR CENTERS","2705 SCHLEY AVENUE",,"BRONX","10465","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","210","13","00:00 AM - 00:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","00:00 AM - 00:00PM","378502.29","336599.67","5","0","243819.72","220793.00","7","378502.29","243819.72","272477.76",,"16250","0.00","114736.90","114736.90","7.06","Catered","Catered","No","No","177960.51",,"100%+","BRONX","40.821662","-73.827061","144","2080423","2055680050","Schuylerville-Throgs Neck-Edgewater Park"
