"oer_project_numbers","project_name","street_number","street_name","borough","bbl","oer_program","class","phase","project_specific_document","latitude","longitude","zip_code","community_district","city_council_district","census_tract_2010","building_identification_number","nta_name"
"18TMP0123K,18EH-N063K,19CVCP026K","705 Franklin Avenue","705","FRANKLIN AVENUE","Brooklyn","3012310001","VCP (Prospective), E/RD (Review)","Active (A)","Approved Remedial Plan","https://a002-epic.nyc.gov/app/workspace/4701/docrepository","40.674468","-73.956584","8","35","221","3345939","3012310001","Crown Heights North"
"11TMP0246M,11EHAZ246M,11CBCP011M","260 West 26th Street - DOB Job No. NB-120655237","260","West 26th Street","Manhattan","1007750004,1007750069,1007750077,1007750078,1007750079,1007750080","VCP (Enrolled), E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/694/docrepository","40.746693","-73.995907","4","3","91","1088709","1007757502","Hudson Yards-Chelsea-Flatiron-Union Square"
"17TMP0599K,17EH-N286K","300 Berry Street","300","BERRY STREET","Brooklyn","3024160027","E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/4242/docrepository","40.713240","-73.963982","1","34","551","3000000","3024160027","North Side-South Side"
"11TMP0223K,11RH-N223K,14CVCP254K","945 Bergen Street (Franklin Avenue Lofts - Bergen Street Side)","945","Bergen Street","Brooklyn","3011420048,3011420044","VCP (Enrolled), E/RD (Review)","Active (A)","Construction","https://a002-epic.nyc.gov/app/workspace/876/docrepository","40.676872","-73.956017","8","35","305","3331875","3011420048","Crown Heights North"
"13TMP0361K,13EHAZ361K,13CVCP139K","62 Box Street","62","Box Street","Brooklyn","3024830020","VCP (Enrolled), E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/1688/docrepository","40.737399","-73.954100","1","33","579","3413543","3024837503","Greenpoint"
"19TMP1939X,19EHAN410X,20CVCP056X","1745 WEST FARMS ROAD","1745","WEST FARMS ROAD","Bronx","2030150025","VCP (Enrolled), E/RD (Review)","Active (A)","Construction","https://a002-epic.nyc.gov/app/workspace/10038/docrepository","40.835159","-73.882444","3","17","161","2094604","2030150025","Crotona Park East"
"15TMP0439M,15ENOS439M","79 Avenue D - DOB Job No. NB. 121192574","79","Avenue D","Manhattan","1003760033","E/RD (No Cleanup)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/3015/docrepository","40.722707","-73.976756","3","2","2602","1090645","1003767501","Lower East Side"
"22TMP0372K,22EHAZ082K,22CVCP027K","311 Bergen Street","311","BERGEN STREET","Brooklyn","3001980048,3001980047,3001980022,3001980023","VCP (Prospective), E/RD (Review)","Active (A)","Construction","https://a002-epic.nyc.gov/app/workspace/31819/docrepository","40.683107","-73.981168","2","33","39","3329453","3001980048","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"16TMP0168Q,16EH-N161Q,16CVCP045Q","36-37 31st Street","36-37","31st Street","Queens","4006000012","VCP (Enrolled), E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/3430/docrepository","40.755922","-73.930276","1","26","51","4607283","4006000012","Queensbridge-Ravenswood-Long Island City"
"12TMP0567K,12CBCP018K,12CBCP018K","Brighton Green","67","Brighton 1st Lane","Brooklyn","3086700080","VCP (Enrolled)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/880/docrepository","40.577190","-73.966291","13","48","362","3397481","3086700080","Brighton Beach"
"10TMP0290M,10EH-N290M,12CBCP022M","503 Canal Street","503","CANAL STREET","Manhattan","1005940099,1005940114,1005940115","VCP (Enrolled), E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/469/docrepository","40.724145","-74.008522","2","3","37","1088827","1005940115","SoHo-TriBeCa-Civic Center-Little Italy"
"13TMP0358M,13EH-N358M,13CVCP136M","257 West 29th Street - DOB Job No. NB - 121330130","257","West 29th Street","Manhattan","1007790007","VCP (Enrolled), E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/1827/docrepository","40.748521","-73.994464","5","3","95","1014279","1007790007","Midtown-Midtown South"
"15TMP0247Q,15ENOS247Q","65-38 Austin Street - DOB Job Nos. NB - 420932913, A3 - 420978008","65-38","Austin Street","Queens","4031040090,4031040085,4030140086","E/RD (No Cleanup)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/2982/docrepository","40.725811","-73.859615","6","29","69701","4593968","4031047501","Rego Park"
"14TMP0512X,14EHAZ512X","2008 Westchester Ave.","2008","Westchester Avenue","Bronx","2038050001","E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/2247/docrepository","40.833618","-73.857093","9","18","92","2026267","2038050001","Westchester-Unionport"
"21TMP1022X,21EH-N219X,22CVCP025X","689 EAST 223RD STREET","689","EAST 223RD STREET","Bronx","2048250012","VCP (Enrolled), E/RD (Review)","Active (A)","Approved Remedial Plan","https://a002-epic.nyc.gov/app/workspace/23823/docrepository","40.886621","-73.861926","12","12","394","2115530","2048250012","Williamsbridge-Olinville"
"18TMP0361K,18EH-N139K,18CVCP040K","1026-1030 MANHATTAN AVENUE","1026-1030","MANHATTAN AVENUE","Brooklyn","3025130004,3025130003","VCP (Prospective), E/RD (Review)","Active (A)","Construction","https://a002-epic.nyc.gov/app/workspace/4939/docrepository","40.733982","-73.954871","1","33","575","3064050","3025130003","Greenpoint"
"19TMP0448K,19EH-N135K,19CVCP086K","596 Metropolitan Avenue","596","METROPOLITAN AVENUE","Brooklyn","3027620005","VCP (Enrolled), E/RD (Review)","Active (A)","Construction","https://a002-epic.nyc.gov/app/workspace/7548/docrepository","40.714093","-73.948980","1","34","503","3322912","3027620005","East Williamsburg"
"15TMP0351M,15EH-N351M,15CVCP153M","334 West 36th Street","334","West 36th Street","Manhattan","1007590061","VCP (Enrolled), E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/2886/docrepository","40.753945","-73.993644","4","3","111","1090378","1007590061","Hudson Yards-Chelsea-Flatiron-Union Square"
"15TMP0557M,15EH-N557M,16CVCP051M","572 11th Avenue","572","11th Avenue","Manhattan","1010720001,1010720061","VCP (Enrolled), E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/2924/docrepository","40.761405","-73.997322","4","3","129","1090460","1010720001","Clinton"
"15TMP0412M,15EHAN412M,16CVCP067M","609-611 West 56th Street","611","West 56th Street","Manhattan","1011040025,1011040029","VCP (Enrolled), E/RD (Review)","Active (A)","Closure","https://a002-epic.nyc.gov/app/workspace/2701/docrepository","40.769861","-73.992404","4","6","135","1000000","1011040025","Clinton"
"15TMP0577M,15ENOS577M","148 Attorney Street","148","Attorney Street","Manhattan","1003450001,1003457503","E/RD (No Cleanup)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/3042/docrepository","40.720213","-73.983510","3","2","2201","1004126","1003457503","Lower East Side"
"17TMP0176M,17EH-A110M","264 East 7th Street","264","EAST 7TH STREET","Manhattan","1003760024","E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/3816/docrepository","40.723575","-73.977675","3","2","2602","1004481","1003760024","Lower East Side"
"16TMP0454X,16ENOS341X","935 Bruckner Boulevard","935","Bruckner Blvd","Bronx","2027330017","E/RD (No Cleanup)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/3549/docrepository","40.818547","-73.892401","2","17","89","2005866","2027330017","Hunts Point"
"14TMP0424M,14EHAN424M","96-108 Varick Street - DOB Job No. - NB-121193234","96","Varick Street","Manhattan","1004770035,1004770042,1004770044,1004770048,1004770071,1004770072,1004770073,1004770074,1004770075,1004770076","E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/2096/docrepository","40.723846","-74.006093","2","3","37","1089738","1004777502","SoHo-TriBeCa-Civic Center-Little Italy"
"17TMP0359Q,17EA-N232Q","148-36 89TH AVE","148-36","89TH AVE","Queens","4096810064","E/RD (No Cleanup)","Active (A)","Closure","https://a002-epic.nyc.gov/app/workspace/4002/docrepository","40.704230","-73.807244","12","24","240","4616785","4096810064","Jamaica"
"18TMP0960Q,18EAIR376Q","148-29 90 AVENUE","148-29","90 AVENUE","Queens","4096810085","E/RD (No Cleanup)","Active (A)","Closure","https://a002-epic.nyc.gov/app/workspace/5538/docrepository","40.703331","-73.806850","12","24","240","4618716","4096810085","Jamaica"
"13TMP0565K,13EH-N562K","300 Jay Street","300","Jay Street","Brooklyn","3001280001","E/RD (Review)","Active (A)","Closure","https://a002-epic.nyc.gov/app/workspace/1874/docrepository","40.695547","-73.987140","2","33","13","3335892","3001280001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"15TMP0149K,15EH-A149K,15CVCP087K","74 Vernon Avenue","74","Vernon Avenue","Brooklyn","3017590007","VCP (Enrolled), E/RD (Review)","Active (A)","Construction","https://a002-epic.nyc.gov/app/workspace/2605/docrepository","40.694680","-73.948630","3","36","25901","3000000","3017590007","Bedford"
"15TMP0537K,15ENOS537K","475 Kent Avenue","473","Kent Avenue","Brooklyn","3021590001","E/RD (No Cleanup)","Active (A)","Closure","https://a002-epic.nyc.gov/app/workspace/3036/docrepository","40.707617","-73.968400","1","33","547","3059801","3021590001","North Side-South Side"
"19TMP0426X,19EHAN140X,19CVCP069X","1769 Jerome Avenue","1769","JEROME AVENUE","Bronx","2028610163,2028617501","VCP (Enrolled), E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/7526/docrepository","40.848423","-73.911846","5","14","217","2090447","2028610163","University Heights-Morris Heights"
"17TMP0650Q,18EH-A120Q,18CVCP054Q","190-22 114 DRIVE","190-22","114 DRIVE","Queens","4103930048","VCP (Prospective), E/RD (Review)","Active (A)","Approved Remedial Plan","https://a002-epic.nyc.gov/app/workspace/4293/docrepository","40.696689","-73.762602","12","27","400","4000000","4103930048","St. Albans"
"18TMP0308K,18EHAN221K,18CVCP070K","2846-2868 Linden Boulevard - Linden Boulevard Phase I, Building 1","2846-2868","LINDEN BOULEVARD","Brooklyn","3044960001,3044960003,3044960005,3044960008,3044960009,3044960011,3044960012,3044960029,3044960050,3044960051,3044960052","VCP (Withdrawn), E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/4886/docrepository","40.669992","-73.859062","5","42","1220","3000000","3044960001","East New York"
