"the_geom","projectid","projtitle","fmsid","fmsagencyi","leadagency","managingag","projectdes","projecttyp","projectt_1","projectsta","constructi","designstar","construc_1","currentfun","projectcos","overallsco","safetyscop","otherscope","projectjus","onstreetna","fromstreet","tostreetna","boroughnam","oftcode","designfy","latitude","longitude","x","y"
"MULTIPOINT ((-74.07637325235322 40.63127060422881))","797","Federal Earmark Funded Contract Resurfacing","HW349FED","841","DOT","3","This project will resurface multiple streets citywide to restore to a state of good repair.","CRS","CONTRACT RESURFACING","Completed Project","2013",,"2015-06-25T00:00:00.000","17200594.0","14831594.0","Resurfacing",,,"This project will resurface multiple streets citywide to restore to a state of good repair.","BALTIC STREET","BAY STREET",,"STATEN ISLAND","517315517450000000","0","40.6312706042","-74.0763732524","0.0","0.0"
"MULTIPOINT ((-74.11496115575783 40.55731475208697), (-74.1147311480077 40.55713133680422))","797","Federal Earmark Funded Contract Resurfacing","HW349FED","841","DOT","3","This project will resurface multiple streets citywide to restore to a state of good repair.","CRS","CONTRACT RESURFACING","Completed Project","2013",,"2015-06-25T00:00:00.000","17200594.0","14831594.0","Resurfacing",,,"This project will resurface multiple streets citywide to restore to a state of good repair.","GUYON AVENUE","MILL ROAD",,"STATEN ISLAND","531290539250000000","0","40.5572230444","-74.1148461519","0.0","0.0"
"MULTIPOINT ((-74.075241758702 40.63417309356352), (-74.075170024044 40.634166117331375))","797","Federal Earmark Funded Contract Resurfacing","HW349FED","841","DOT","3","This project will resurface multiple streets citywide to restore to a state of good repair.","CRS","CONTRACT RESURFACING","Completed Project","2013",,"2015-06-25T00:00:00.000","17200594.0","14831594.0","Resurfacing",,,"This project will resurface multiple streets citywide to restore to a state of good repair.","BAY STREET","ST JULIAN PLACE",,"STATEN ISLAND","517450548984000000","0","40.6341696059","-74.0752058914","0.0","0.0"
"MULTIPOINT ((-74.07584750580038 40.63593558918329))","797","Federal Earmark Funded Contract Resurfacing","HW349FED","841","DOT","3","This project will resurface multiple streets citywide to restore to a state of good repair.","CRS","CONTRACT RESURFACING","Completed Project","2013",,"2015-06-25T00:00:00.000","17200594.0","14831594.0","Resurfacing",,,"This project will resurface multiple streets citywide to restore to a state of good repair.","BAY STREET","HANNAH STREET",,"STATEN ISLAND","517450531560000000","0","40.6359355892","-74.0758475058","0.0","0.0"
"MULTIPOINT ((-74.07693910889287 40.63778161357335))","797","Federal Earmark Funded Contract Resurfacing","HW349FED","841","DOT","3","This project will resurface multiple streets citywide to restore to a state of good repair.","CRS","CONTRACT RESURFACING","Completed Project","2013",,"2015-06-25T00:00:00.000","17200594.0","14831594.0","Resurfacing",,,"This project will resurface multiple streets citywide to restore to a state of good repair.","BAY STREET","ST MARKS PLACE",,"STATEN ISLAND","517450549100000000","0","40.6377816145","-74.0769391089","0.0","0.0"
"MULTIPOINT ((-74.0753480900774 40.633131465990964))","797","Federal Earmark Funded Contract Resurfacing","HW349FED","841","DOT","3","This project will resurface multiple streets citywide to restore to a state of good repair.","CRS","CONTRACT RESURFACING","Completed Project","2013",,"2015-06-25T00:00:00.000","17200594.0","14831594.0","Resurfacing",,,"This project will resurface multiple streets citywide to restore to a state of good repair.","BAY STREET","GRANT STREET",,"STATEN ISLAND","517450530500000000","0","40.633131466","-74.0753480901","0.0","0.0"
"MULTIPOINT ((-74.1808293109015 40.53592488604499))","825","AMBOY RD & ANNADALE RD","HWC988M1","841","DOT","0","Amboy Road from Alvin Avenue to Pollion Avenue, and Annadale Road from Amboy Road to a point approximately 680 feet northeasterly of Amboy R","REC","CAPITAL RECONSTRUCTION","Completed Project","2012","2000-02-28T00:00:00.000","2015-03-11T00:00:00.000","0.0","7952994.0","Curb to Curb Reconstruction,Sidewalks",,,,"AMBOY ROAD","ANNADALE ROAD",,"STATEN ISLAND","515650516000000000","0","40.535924886","-74.1808293109","0.0","0.0"
"MULTIPOINT ((-74.17911607223425 40.53749257426788))","825","AMBOY RD & ANNADALE RD","HWC988M1","841","DOT","0","Amboy Road from Alvin Avenue to Pollion Avenue, and Annadale Road from Amboy Road to a point approximately 680 feet northeasterly of Amboy R","REC","CAPITAL RECONSTRUCTION","Completed Project","2012","2000-02-28T00:00:00.000","2015-03-11T00:00:00.000","0.0","7952994.0","Curb to Curb Reconstruction,Sidewalks",,,,"ANNADALE ROAD","ELY AVENUE",,"STATEN ISLAND","516000527528000000","0","40.5374925743","-74.1791160722","0.0","0.0"
"MULTIPOINT ((-74.18195944123508 40.53554874959478))","825","AMBOY RD & ANNADALE RD","HWC988M1","841","DOT","0","Amboy Road from Alvin Avenue to Pollion Avenue, and Annadale Road from Amboy Road to a point approximately 680 feet northeasterly of Amboy R","REC","CAPITAL RECONSTRUCTION","Completed Project","2012","2000-02-28T00:00:00.000","2015-03-11T00:00:00.000","0.0","7952994.0","Curb to Curb Reconstruction,Sidewalks",,,,"ALBEE AVENUE","AMBOY ROAD",,"STATEN ISLAND","515120515650000000","0","40.5355487505","-74.1819594412","0.0","0.0"
"MULTIPOINT ((-74.17965408501799 40.53696166421112))","825","AMBOY RD & ANNADALE RD","HWC988M1","841","DOT","0","Amboy Road from Alvin Avenue to Pollion Avenue, and Annadale Road from Amboy Road to a point approximately 680 feet northeasterly of Amboy R","REC","CAPITAL RECONSTRUCTION","Completed Project","2012","2000-02-28T00:00:00.000","2015-03-11T00:00:00.000","0.0","7952994.0","Curb to Curb Reconstruction,Sidewalks",,,,"ANNADALE ROAD","POILLON AVENUE",,"STATEN ISLAND","516000543550000000","0","40.5369616642","-74.179654085","0.0","0.0"
