"fiscal_year","source","council_member","legal_name_of_organization","ein","status","amount","agency","program_name","street_address_1","street_address_2","city","state","zip_code","purpose_of_funds","fiscal_conduit_name","fc_ein","borough","latitude","longitude","community_board","council_district","census_board","bin","bbl","nta"
"2013",,"Manhattan Delegation","   3-Legged Dog Inc","134002491-","Applied","3000.00","Unknown","3LD Art  Technology Center","80 Greenwich Street",,"New York","NY","10006","Our ongoing international partnerships are aimed at creating artistic teams that build and premiere work in New York City making us a primary locus of  international activity in Manhattan. Located in the lower Greenwich Street corridor of the WTC neighborhood, we build long-term partnerships with international organizations to bring high-quality performance to one of the fastest growing residential and touristic areas in the City. Funding will be used for travel and convening costs as we continue to build our international programming. Past and current partners include: National Geographic, NHK Cosmomedia America (New York/Tokyo), the Danish National Broadcasting Corporation, the Danish Arts Agency, Culture Yard, Editions Samfundet (Copenhagen, DK), Riverside Studios (London), The CAV Network (Britain), Les Subsistances (France), Tendu TV (Interna!
 tional), and Art Center Nabi (Seoul).",,,"MANHATTAN","40.707514","-74.0138","1","1","13","1078977","1000180100","Battery Park City-Lower Manhattan                                          "
"2013",,"Chin","   4heads Inc","273651792-","Applied","4000.00","Unknown","4heads","1022 Pacific St 1R",,"New York","NY","11238","4heads accomplishes its goals primarily through interrelated annual arts activities on Governors Island: The Governorâ€™s Island Art Fair, offered each September since 2008, a summer artists residency program, a summer youth arts program in partnership with the YWCA and Lower East Side Girls Club, and, new in 2012, summer adult participatory arts programming. Funds are sought specifically for the Artist Residency Program and our Youth Arts Program. All funds will be used for operating expenses related to these programs.",,,"BROOKLYN ","40.67922","-73.959415","8","35","305","3027736","3011330044","Crown Heights North                                                        "
"2013",,"Quinn","   4heads Inc","273651792-","Applied","4000.00","Unknown","4heads","1022 Pacific St 1R",,"New York","NY","11238","4heads accomplishes its goals primarily through interrelated annual arts activities on Governors Island: The Governorâ€™s Island Art Fair, offered each September since 2008, a summer artists residency program, a summer youth arts program in partnership with the YWCA and Lower East Side Girls Club, and, new in 2012, summer adult participatory arts programming. Funds are sought specifically for the Artist Residency Program and our Youth Arts Program. All funds will be used for operating expenses related to these programs.",,,"BROOKLYN ","40.67922","-73.959415","8","35","305","3027736","3011330044","Crown Heights North                                                        "
"2013",,"Brooklyn Delegation","   5 Boros Basketball","272623043-","Applied","5000.00","Unknown",,"103 Monitor Street",,"Brooklyn","NY","11222","5 Boros Basketball is eager to form teams that will travel all over the city and possibly other states.  As of right now practice is being held 2 days a week for all players.  As the teams grow and learn to play together we will begin to enter into more competitive play and tournaments.  

There will be a fee for each player, but it is our goal to keep the cost as low as possible for our players.  In order to keep the fees as low as possible, we need your help. This is where you, the parents, come in. As we all know parents play a major role in everything that their child does, and we hope that you will show the same eagerness to support our league that you do other aspects of your child’s life.  Being involved, takes effort, commitment, and a healthy dose of patience. It also means shuttling your children back and forth to practices and sneaking out of work early to attend games – but that’s just the beginning.  
",,,"BROOKLYN ","40.722857","-73.942165","1","33","591","3067715","3027040030","Greenpoint                                                                 "
"2013",,"Queens Delegation","   5 Boros Basketball","272623043-","Applied","5000.00","Unknown",,"103 Monitor Street",,"Brooklyn","NY","11222","5 Boros Basketballs intent is not just to have kids play basketball, it is also to have them grow to be better people within our communities through a sport that brings structure, team play, character, and life skills. We want to believe that giving these children an option, other than that of the one society paints for them, is what not only distinguishes us as an organization, but defines us. By giving the children opportunities that they probably would not have had otherwise our organization, 5 Boros Basketball, is based on acknowledging their talents, embracing and nurturing them and helping to shape them into successful individuals, whether it be in the sport of basketball or life itself. By giving them a place to go, with coaches who volunteer their time to teach and nurture each individual, 5 Boros Basketball is providing a stable environme!
 nt in which our youth can flourish.",,,"BROOKLYN ","40.722857","-73.942165","1","33","591","3067715","3027040030","Greenpoint                                                                 "
"2013",,"Jackson","  34th Precinct Community Council Inc","352346587-","Applied","15000.00","DYCD-CD",,"4295 Broadway",,"New York","NY","10033","The funding requested will be utilized to cover the Councils operating expenses which cover monthly meetings, flyer distributions, e-mail and website hosting and management, simultaneous translation services. 
Funding will also cover the Councils annual workshops and seminars on crime prevention, capacity building and the Business Owners Nightlife Committee Conference. In addition, the Council and the 34th Precinct organizes events to strengthen police-community relations through creative partnerships and community engagement. The Council hosts a series of events but not limited to:

National Night Out Against Crime
Womens Self Defense Course
Annual Police Officers Recognition Dinner Annual Volunteers Award Recognition Ceremony Annual Childrens Holiday Party Annual Thanksgiving Turkey Drive Annual Police Officers Thanksgiving Recognition Dinner
",,,"MANHATTAN","40.851205","-73.935215","12","10","271","1064415","1021800108","Washington Heights North                                                   "
"2013",,"Manhattan Delegation","  34th Precinct Community Council Inc","352346587-","Applied","15000.00","DYCD-CD",,"4295 Broadway",,"New York","NY","10033","The funding requested will be utilized to cover the Councils operating expenses which cover monthly meetings, flyer distributions, e-mail and website hosting and management, simultaneous translation services. 
Funding will also cover the Councils annual workshops and seminars on crime prevention, capacity building and the Business Owners Nightlife Committee Conference. In addition, the Council and the 34th Precinct organizes events to strengthen police-community relations through creative partnerships and community engagement. The Council hosts a series of events but not limited to:

National Night Out Against Crime
Womens Self Defense Course
Annual Police Officers Recognition Dinner Annual Volunteers Award Recognition Ceremony Annual Childrens Holiday Party Annual Thanksgiving Turkey Drive Annual Police Officers Thanksgiving Recognition Dinner
",,,"MANHATTAN","40.851205","-73.935215","12","10","271","1064415","1021800108","Washington Heights North                                                   "
"2013",,"Queens Delegation","82nd Street Academics","200788352-","Applied","15000.00","DYCD-Y",,"81-10 35th Avenue",,"Jackson Heights","NY","11372","We request funds for maintenance and expansion of the After School program at Renaissance Charter School from 125 – 135 students. The larger program will create more seats for students outside of those recruited from the Renaissance School itself. Staff members work with students to develop their social emotional skills, complete homework, engage in arts and STEM projects, learn about nutrition and receive a hot meal, learn about exercise and health, and appreciate or empower their experience of diversity.",,,"QUEENS   ","40.751703","-73.885406","3","25","283","4029684","4012810001","Jackson Heights                                                            "
"2013",,"Rodriguez","  34th Precinct Community Council Inc","352346587-","Applied","15000.00","DYCD-CD",,"4295 Broadway",,"New York","NY","10033","The funding requested will be utilized to cover the Councils operating expenses which cover monthly meetings, flyer distributions, e-mail and website hosting and management, simultaneous translation services. 
Funding will also cover the Councils annual workshops and seminars on crime prevention, capacity building and the Business Owners Nightlife Committee Conference. In addition, the Council and the 34th Precinct organizes events to strengthen police-community relations through creative partnerships and community engagement. The Council hosts a series of events but not limited to:

National Night Out Against Crime
Womens Self Defense Course
Annual Police Officers Recognition Dinner Annual Volunteers Award Recognition Ceremony Annual Childrens Holiday Party Annual Thanksgiving Turkey Drive Annual Police Officers Thanksgiving Recognition Dinner
",,,"MANHATTAN","40.851205","-73.935215","12","10","271","1064415","1021800108","Washington Heights North                                                   "
"2013",,"James","  40 Greene Ave Cultural Center Inc","112627555-","Applied","50000.00","DCA","Paul Robeson Theatre","54 Greene Ave",,"Brooklyn","NY","11238","We are going to present plays to public to the NYC. Some of the plays are: The Great White Hope tells a fictional idealized life story of boxing champion Jack Johnson, here called Jack Jefferson. Imitation of life by Fannie Hurst white widow Bea Pullman (Claudette Colbert) and her daughter Jessie (Juanita Quigley as a toddler, Marilyn Knowlden as an eight-year-old) take in black housekeeper Delilah Johnson (Louise Beavers) and her daughter, light-complexioned Peola (Sebie Hendricks) - Four Men on a Couch by Anne L Thompson- Scretching, is a comedydrama about three friends dumped by their girlfriends - on the same night - who arrive on the doorstep of another friend whose wife has recently left him with three chairs, a table and a couch.",,,"BROOKLYN ","40.686184","-73.970321","2","35","179","3055872","3019580019","Fort Greene                                                                "
