"centername","legalname","building","street","borough","zipcode","phone","permitnumber","permitexp","status","agerange","maximumcapacity","dc_id","programtype","facilitytype","childcaretype","bin","url","datepermitted","actual","violationratepercent","violationavgratepercent","totaleducationalworkers","averagetotaleducationalworkers","publichealthhazardviolationrate","averagepublichealthhazardiolationrate","criticalviolationrate","avgcriticalviolationrate","inspectiondate","regulationsummary","violationcategory","healthcodesubsection","violationstatus","inspectionsummaryresult"
"WEST END TEMPLE","SINAI CONGREGATION, INC.","147-02","NEWPORT AVENUE","QUEENS","11694","718-318-0030","1521","2024-05-21T00:00:00.000","Permitted","2 YEARS - 5 YEARS","54","DC2391","PRESCHOOL","GDC","Child Care - Pre School","4306479",,"2004-05-20T00:00:00.000","N","33.3333","21.3999","7","11.1623","0","6.2875","33.3333","18.526","2020-02-06T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection"
"COLUMBIA UNIVERSITY LITTLE LIONS CAMP","TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK","3030","Broadway","MANHATTAN","10027","212-854-2233","34045","2022-09-15T00:00:00.000","Permitted","0 YEARS - 16 YEARS","100","DC23691","ALL AGE CAMP","Camp","Camp","1084472","perec.columbia.edu/littlelionscamp","2013-05-21T00:00:00.000","N","100","25.7631","0","1","100","12.4498","100","21.1847","2022-07-21T00:00:00.000","At time of inspection it was determined that individual associated with child care service/camp involved in an act detrimental to health and safety.","PUBLIC HEALTH HAZARD","3.07","CORRECTED","Initial Annual Inspection - Reinspection Not Required"
"EIS LAASOIS CHILD DEVELOPMENT SERVICES","WILLIAMSBURG INFANT & EARLY CHILDHOOD DEVELOPMENT CENTER, INC.","22","MIDDLETON ST","BROOKLYN","11206","718-303-9400","7590","2023-02-17T00:00:00.000","Permitted","2 YEARS - 5 YEARS","175","DC14248","PRESCHOOL","GDC","Child Care - Pre School","3335373",,"2005-02-17T00:00:00.000","Y","0","21.3999","58","11.1623","0","6.2875","0","18.526","2021-12-16T00:00:00.000","At time of inspection child care service facility observed Not maintained or in disrepair. Dry sweeping observed in areas occupied by children.","CRITICAL","47.49(a)","CORRECTED",
"LES ENFANTS MONTESSORI SCHOOL,INC.","LES ENFANTS MONTESSORI SCHOOL,INC.","29-21","NEWTOWN AVENUE","QUEENS","11102","718-626-9549","4715","2024-03-11T00:00:00.000","Permitted","2 YEARS - 5 YEARS","162","DC2261","PRESCHOOL","GDC","Child Care - Pre School","4007749",,"1981-05-14T00:00:00.000","Y","33.3333","21.3999","13","11.1623","16.6667","6.2875","16.6667","18.526","2019-10-21T00:00:00.000","Staff failed to obtain proof of immunization; Except for exempt staff, required staff immunizations were not submitted to child care service; records not confidential.","GENERAL","47.33(c)","CORRECTED","Initial Annual Inspection - Reinspection Required; Fines pending"
"LES ENFANTS MONTESSORI SCHOOL,INC.","LES ENFANTS MONTESSORI SCHOOL,INC.","29-21","NEWTOWN AVENUE","QUEENS","11102","718-626-9549","4715","2024-03-11T00:00:00.000","Permitted","2 YEARS - 5 YEARS","162","DC2261","PRESCHOOL","GDC","Child Care - Pre School","4007749",,"1981-05-14T00:00:00.000","Y","33.3333","21.3999","13","11.1623","16.6667","6.2875","16.6667","18.526","2019-10-21T00:00:00.000","Staff failed to obtain proof of immunization; Except for exempt staff, required staff immunizations were not submitted to child care service; records not confidential.","GENERAL","47.33(c)","CORRECTED","Initial Annual Inspection - Reinspection Required; Fines pending"
"LES ENFANTS MONTESSORI SCHOOL,INC.","LES ENFANTS MONTESSORI SCHOOL,INC.","29-21","NEWTOWN AVENUE","QUEENS","11102","718-626-9549","4715","2024-03-11T00:00:00.000","Permitted","2 YEARS - 5 YEARS","162","DC2261","PRESCHOOL","GDC","Child Care - Pre School","4007749",,"1981-05-14T00:00:00.000","Y","33.3333","21.3999","13","11.1623","16.6667","6.2875","16.6667","18.526","2019-10-21T00:00:00.000","Staff failed to obtain proof of immunization; Except for exempt staff, required staff immunizations were not submitted to child care service; records not confidential.","GENERAL","47.33(c)","CORRECTED","Initial Annual Inspection - Reinspection Required; Fines pending"
"LES ENFANTS MONTESSORI SCHOOL,INC.","LES ENFANTS MONTESSORI SCHOOL,INC.","29-21","NEWTOWN AVENUE","QUEENS","11102","718-626-9549","4715","2024-03-11T00:00:00.000","Permitted","2 YEARS - 5 YEARS","162","DC2261","PRESCHOOL","GDC","Child Care - Pre School","4007749",,"1981-05-14T00:00:00.000","Y","33.3333","21.3999","13","11.1623","16.6667","6.2875","16.6667","18.526","2019-10-21T00:00:00.000","Staff failed to obtain proof of immunization; Except for exempt staff, required staff immunizations were not submitted to child care service; records not confidential.","GENERAL","47.33(c)","CORRECTED","Initial Annual Inspection - Reinspection Required; Fines pending"
"HOLY MOUNTAIN NURSERY","HOLY MOUNTAIN CHILD WORLD INC.","29-49","137 STREET","QUEENS","11354","718-359-6080","34571","2022-09-15T00:00:00.000","Permitted","0 YEARS - 16 YEARS","45","DC24395","ALL AGE CAMP","Camp","Camp","4443304",,"2013-07-01T00:00:00.000","N","100","25.7631","0","1","50","12.4498","50","21.1847","2022-08-12T00:00:00.000","Staff cleared through sex offender registry. Staff listed on any sex offender registry prohibited to work at camp. Records on file at camp","PUBLIC HEALTH HAZARD","48.09(m)(3)","CORRECTED","Initial Annual Inspection - Reinspection Required; Fines pending"
"LES ENFANTS MONTESSORI SCHOOL,INC.","LES ENFANTS MONTESSORI SCHOOL,INC.","29-21","NEWTOWN AVENUE","QUEENS","11102","718-626-9549","4715","2024-03-11T00:00:00.000","Permitted","2 YEARS - 5 YEARS","162","DC2261","PRESCHOOL","GDC","Child Care - Pre School","4007749",,"1981-05-14T00:00:00.000","Y","33.3333","21.3999","13","11.1623","16.6667","6.2875","16.6667","18.526","2019-10-21T00:00:00.000","Staff failed to obtain proof of immunization; Except for exempt staff, required staff immunizations were not submitted to child care service; records not confidential.","GENERAL","47.33(c)","CORRECTED","Initial Annual Inspection - Reinspection Required; Fines pending"
"MILL BASIN DAY CAMP","MILL BASIN DAY CAMP, INC.","5945","STRICKLAND AVENUE","BROOKLYN","11234","718-251-6200","34524","2022-09-15T00:00:00.000","Permitted","0 YEARS - 16 YEARS","1090","DC23515","ALL AGE CAMP","Camp","Camp","3238580","www.millbasindaycamp.com","2013-05-24T00:00:00.000","N","0","25.7631","0","1","0","12.4498","0","21.1847","2021-07-23T00:00:00.000","There were no new violations observed at the time of this inspection/visit.",,,"N/A","Monitoring Inspection Non-Routine - Passed inspection with no violations"
