"uid","facname","addressnum","streetname","address","city","boro","borocode","zipcode","latitude","longitude","xcoord","ycoord","bin","bbl","commboard","council","censtract","nta","facgroup","facsubgrp","factype","capacity","captype","optype","opname","opabbrev","overlevel","overagency","overabbrev","datasource","facdomain","schooldist","policeprct","servarea"
"00093b7f524f080477ca4b0126f61845","CARE FOR THE HOMELESS AT THE LIVING ROOM","800","BARRETTO STREET","800 BARRETTO STREET","BRONX","BRONX","2","10474","40.81683124940","-73.88958542280","1014812.18437000000","236890.04748100000","2006002","2027400100.00000000000","202","17","9300","BX27","HEALTH CARE","HOSPITALS AND CLINICS","DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC","0",,"Non-public","Care For The Homeless, Inc","Non-public","State","NYS Department of Health","NYSDOH","nysdoh_healthfacilities","HEALTH AND HUMAN SERVICES","8","41","Regional"
"00022ebd3c9d9e4cc2ae901419ad4343","SNT BUS INC","1386","RALPH AVENUE","1386 RALPH AVENUE","BROOKLYN","BROOKLYN","3","11236","40.64293796130","-73.92010504950","1006422.29630000000","173526.12531100000","3222195","3079320126.00000000000","317","45","94600","BK96","TRANSPORTATION","BUS DEPOTS AND TERMINALS","SCHOOL BUS DEPOT","244","routes","Non-public","Snt Bus Inc","Non-public","City","NYC Department of Education","NYCDOE","doe_busroutesgarages","CORE INFRASTRUCTURE AND TRANSPORTATION","18","67","Regional"
"000ff5f727b3cba8dd2a5f1a46180a07","HOUSING WORKS COMMUNITY HEALTHCARE OP","57","WILLOUGHBY STREET","57 WILLOUGHBY STREET","BROOKLYN","BROOKLYN","3","11201","40.69253763630","-73.98652900710","987985.66615600000","191586.86646200000","3000338","3001470036.00000000000","302","33","1100","BK38","HEALTH CARE","CHEMICAL DEPENDENCY","OUTPATIENT CLINIC","0",,,"NYS Office of Alcoholism and Substance Abuse Services",,"State","NYS Office of Alcoholism and Substance Abuse Services","NYSOASAS","nysoasas_programs","HEALTH AND HUMAN SERVICES","13","84","Regional"
"001129c4253330bb6ac71968f8d7f3e2","OLD GROLIER CLUB",,,,"NEW YORK","MANHATTAN","1","10016","40.74647157370","-73.98329065030","988879.95266200000","211236.80917600000","1017016","1008620025.00000000000","105","2","7400","MN17","HISTORICAL SITES","HISTORICAL SITES","STATE HISTORIC PLACE","0",,,,,"State","The New York State Office of Parks, Recreation and Historic Preservation","NYSOPRHP","nysparks_historicplaces","PARKS, GARDENS, AND HISTORICAL SITES","2","14","Local"
"0016b3c3e5e8aeadccacf07a9fbb7c76","UNIVERSITY OF NOTRE DAME ALUM- NI CLUB OF STATEN ISLAND","64","BLOOMINGDALE ROAD","64 BLOOMINGDALE ROAD","STATEN ISLAND","STATEN ISLAND","5","10309","40.52571793520","-74.21594380010","924216.45662000000","130883.80907500000","5086937","5074950075.00000000000","503","51","22600","SI11","YOUTH SERVICES","YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","CITY COUNCIL AWARDS","0",,,"UNIVERSITY OF NOTRE DAME ALUM- NI CLUB OF STATEN ISLAND",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","31","123","Local"
"001a3d8394c32a69a61078c34f27be37","JOFAZ TRANSPORTATION INC.","6093","STRICKLAND AVENUE","6093 STRICKLAND AVENUE","BROOKLYN","BROOKLYN","3","11234","40.60956904150","-73.91439319110","1008019.32095000000","161370.44352500000","3343226","3084701052.00000000000","318","46","69800","BK45","TRANSPORTATION","BUS DEPOTS AND TERMINALS","SCHOOL BUS DEPOT","136","routes","Non-public","Jofaz Transportation Inc.","Non-public","City","NYC Department of Education","NYCDOE","doe_busroutesgarages","CORE INFRASTRUCTURE AND TRANSPORTATION","22","63","Regional"
"002028b20030148a187e823cda0389bb","HUMAN COMPASS GARDEN","207","COLUMBIA STREET","207 COLUMBIA STREET","BROOKLYN","BROOKLYN","3","11231","40.68489959110","-74.00250015830","983556.59700900000","188803.82605900000","0","3003360010.00000000000","306","39","5100","BK33","PARKS AND PLAZAS","GARDENS","GARDEN","0",,"Public","NYC Department of Parks and Recreation","NYCDPR","City","NYC Department of Parks and Recreation","NYCDPR","dpr_parksproperties","PARKS, GARDENS, AND HISTORICAL SITES","15","76","Local"
"00233a82fe4e4f419cb8ba13945ae120","CAMBA INC","19","WINTHROP STREET","19 WINTHROP STREET","BROOKLYN","BROOKLYN","3","11225","40.65671195920","-73.95948783830","995490.53918800000","178536.85990000000","3115690","3050450100.00000000000","309","40","79601","BK60","HUMAN SERVICES","NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES","NY NY III SUPPORTED HOUSING-OMH, SUPPORTED HOUSING-OMH","0",,,"CAMBA INC",,"City","NYC Department of Health and Mental Hygiene","NYCDOHMH","moeo_socialservicesitelocations","HEALTH AND HUMAN SERVICES","17","71","Local"
"002aa1ec95bc76f71581aeb3acbe3f1c","THE CHILDRENS AID SOCIETY","340","MORRIS AVENUE","340 MORRIS AVENUE","BRONX","BRONX","2","10451","40.81368240860","-73.92473746550","1005083.26926000000","235732.50019000000","2091127","2023250001.00000000000","201","8","5100","BX39","YOUTH SERVICES","YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","SYEP MAP TO $UCCESS","0",,,"THE CHILDRENS AID SOCIETY",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","7","40","Local"
"002cd093804f8431896cf73aaa022fb4","PROJECT RENEWAL INC","8","EAST 3 STREET","8 EAST 3 STREET","NEW YORK","MANHATTAN","1","10003","40.72586366820","-73.99099651010","986745.52662200000","203728.38663900000","1006546","1004580011.00000000000","103","2","3602","MN22","HEALTH CARE","CHEMICAL DEPENDENCY","MEDICALLY SUPERVISED OUTPATIENT-OASAS, VOCATIONAL REHABILITATION-OASAS, MEDICALLY MONITORED WITHDRAWAL-OASAS, MEDICALLY SUPERVISED WITHDRAWAL SERVICES OUTPATIENT-OASAS","0",,,"PROJECT RENEWAL INC",,"City","NYC Department of Health and Mental Hygiene","NYCDOHMH","moeo_socialservicesitelocations","HEALTH AND HUMAN SERVICES","1","9","Regional"
"002fc9ecd0fb02985331d7cc7c517c3f","UNITED ACTIVITIES UNLIMITED UAU","15","WILLIAM STREET","15 WILLIAM STREET","STATEN ISLAND","STATEN ISLAND","5","10304","40.63111201570","-74.07717241750","962829.45998600000","169216.93810500000","5013400","5005080009.00000000000","501","49","2100","SI37","YOUTH SERVICES","YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","TRAIN & EARN","0",,,"UNITED ACTIVITIES UNLIMITED UAU",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","31","120","Local"
"003020c378c8f395852644c4c3464f84","SNT BUS INC","2350","HERMANY AVENUE","2350 HERMANY AVENUE","BRONX","BRONX","2","10473","40.82515360400","-73.84451277130","1027282.66809000000","239941.11310100000","2023234","2036970018.00000000000","209","18","9800","BX59","TRANSPORTATION","BUS DEPOTS AND TERMINALS","SCHOOL BUS DEPOT","388","routes","Non-public","Snt Bus Inc","Non-public","City","NYC Department of Education","NYCDOE","doe_busroutesgarages","CORE INFRASTRUCTURE AND TRANSPORTATION","8","43","Regional"
"0030d4d8a8406fba6b10cf814d10b20d","IRWIN ALTMAN MIDDLE SCHOOL 172","81-14","257 STREET","81-14 257 STREET","GLEN OAKS","QUEENS","4","11004","40.74164465070","-73.71324605720","1063711.56104000000","209607.82637200000","4178464","4087310004.00000000000","413","23","157902","QN44","SCHOOLS (K-12)","PUBLIC K-12 SCHOOLS","JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC","1226","seats","Public","NYC Department of Education","NYCDOE","City","NYC Department of Education","NYCDOE","doe_lcgms","EDUCATION, CHILD WELFARE, AND YOUTH","26","105","Local"
"00312bd9195746420987c9b18397c0fe","GOTHAM ARTS EXCHANGE, INC.","168","WEST 123 STREET","168 WEST 123 STREET","NEW YORK","MANHATTAN","1","10027","40.80730361070","-73.94889519020","998397.57535800000","233403.65423100000","1057755","1019070060.00000000000","110","9","22200","MN11","CULTURAL INSTITUTIONS","OTHER CULTURAL INSTITUTIONS","DANCE","0",,"Non-public","Gotham Arts Exchange, Inc.","Non-public","City","NYC Department of Cultural Affairs","NYCDCLA","dcla_culturalinstitutions","LIBRARIES AND CULTURAL PROGRAMS","5","28","Regional"
"00348721930ca2b4aba9821df48ba620","JEWISH COMMUNITY CENTER OF STATEN ISLAND INC","221","HEBERTON AVENUE","221 HEBERTON AVENUE","STATEN ISLAND","STATEN ISLAND","5","10302","40.63503340990","-74.13220478080","947556.44053000000","170663.86130300000","5106978","5010180001.00000000000","501","49","20700","SI28","ADULT SERVICES","ADULT AND IMMIGRANT LITERACY","ADULT LITERACY - ADULT BASIC EDUCATION/HIGH SCHOOL EQUIVALENCY","0",,,"JEWISH COMMUNITY CENTER OF STATEN ISLAND INC",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","31","121","Local"
"004c7121e42fe954a12961717afc4e95","T.J. AUTO DOCTOR INC.","36-02","21 STREET","36-02 21 STREET","ASTORIA","QUEENS","4","11106","40.75981633850","-73.93734684780","1001606.92920000000","216104.50469900000","4004274","4003490016.00000000000","401","26","4300","QN68","TRANSPORTATION","PARKING LOTS AND GARAGES","TOW TRUCK COMPANY","0",,"Non-public","T.J. Auto Doctor Inc.","Non-public","City","NYC Department of Consumer Affairs","NYCDCA","dca_operatingbusinesses","CORE INFRASTRUCTURE AND TRANSPORTATION","30","114","Local"
