"opened_on","topic","industry","status","completed_on","outcome_activity","civil_penalties_assessed","total_number_of_employees","total_amount_of_restitution","city","state","zip","borough_name","community_district","council_district"
"2018-03-15T00:00:00.000","Multiple Topics (2)","Limited-Service Restaurants","Completed","2019-03-29T00:00:00.000","Consent Order Signed","1180","132","23820","New York","NY","10036","Manhattan","5","4"
"2015-09-03T00:00:00.000","Paid Safe and Sick Leave","Health Care and Social Assistance","Completed","2015-11-30T00:00:00.000","Consent Order Signed","500","1","500","Glendale","NY","11385","Queens",,
"2016-09-27T00:00:00.000","Paid Safe and Sick Leave","Educational Services","Completed","2016-09-29T00:00:00.000","Consolidation Letter Sent",,,,"Brooklyn","NY","11206","Brooklyn",,
"2015-09-03T00:00:00.000","Paid Safe and Sick Leave","Individual and Family Services","Completed","2015-09-11T00:00:00.000","Consent Order Signed","1000","1","1500","BRONX","NY","10456","Bronx",,
"2014-10-30T00:00:00.000","Paid Safe and Sick Leave","Health Care and Social Assistance","Completed","2015-06-10T00:00:00.000","Consent Order Signed",,,,"BROOKLYN","NY","11218","Brooklyn",,
"2021-04-06T00:00:00.000","Paid Safe and Sick Leave",,"Completed","2021-09-01T00:00:00.000","Consent Order Signed",,,,"Corona","NY","11368","Queens",,
"2021-08-05T00:00:00.000","Paid Safe and Sick Leave","General Freight Trucking, Local","Completed","2021-08-17T00:00:00.000","Complainant Withdrew",,,,"New York","NY","10017","Manhattan","5","4"
"2016-12-20T00:00:00.000","Paid Safe and Sick Leave","Construction","Completed","2018-06-01T00:00:00.000","Complainant Unresponsive – Letter Sent",,,,"Long Island City","NY","11101","Queens",,
"2017-04-24T00:00:00.000","Paid Safe and Sick Leave","Manufacturing","Completed","2018-06-21T00:00:00.000","Consent Order Signed","0","0","0","Bronx","NY","10456",,,
"2015-10-07T00:00:00.000","Paid Safe and Sick Leave","Brick, Stone, and Related Construction Material Merchant Wholesalers","Completed","2016-05-16T00:00:00.000","Consent Order Signed","13000","33","19548","Brooklyn","NY","11238","Brooklyn",,
"2019-12-17T00:00:00.000","Paid Safe and Sick Leave","Transit and Ground Passenger Transportation","Completed","2020-02-14T00:00:00.000","Closeout Letter Sent – No Jurisdiction",,,,"Red Hook","NY","11231","Brooklyn","6","38"
"2018-05-01T00:00:00.000","Paid Safe and Sick Leave","Hotels (except Casino Hotels) and Motels","Completed","2018-10-03T00:00:00.000","Consent Order Signed","2000","1","500","New York","NY","10019","Manhattan","4","3"
"2019-04-01T00:00:00.000","Paid Safe and Sick Leave","Engineering Services","Completed","2019-11-19T00:00:00.000","Consent Order Signed","1080","1","720","Long Island City","NY","11101","Queens","1","26"
"2019-05-22T00:00:00.000","Paid Safe and Sick Leave","Business Associations","Completed","2021-07-28T00:00:00.000","Consent Order Signed","4000","15","8000","New York","NY","10128","Manhattan","8","5"
"2020-11-10T00:00:00.000","Paid Safe and Sick Leave","Other Individual and Family Services","Completed","2021-02-19T00:00:00.000","Closeout Letter Sent – Declined to Prosecute",,,,"North Riverdale","NY","10471","Outside NYC","8","11"
"2019-09-03T00:00:00.000","Paid Safe and Sick Leave","Professional, Scientific, and Technical Services","Completed","2020-04-23T00:00:00.000","Closeout Letter Sent – No Jurisdiction",,,,"New York","NY","10041","Bronx",,
"2017-12-06T00:00:00.000","Paid Safe and Sick Leave","Educational Services","Completed","2018-04-06T00:00:00.000","Consent Order Signed","750",,,"Brooklyn","NY","11221","Brooklyn",,
"2017-07-27T00:00:00.000","Paid Safe and Sick Leave","Home Health Care Services","Completed","2018-06-27T00:00:00.000","Consent Order Signed","500","0","0","Bronx","NY","10458",,,
"2015-01-27T00:00:00.000","Paid Safe and Sick Leave","Health Care and Social Assistance","Completed","2015-08-03T00:00:00.000","Complainant Unresponsive – Letter Sent",,,,"FLUSHING","NY","11413","Queens",,
"2019-03-06T00:00:00.000","Multiple Topics (2)","Retail Trade","Completed","2021-06-01T00:00:00.000","Consent Order Signed","11200","74","49300","Midwood","NY","11210","Brooklyn","14","45"
"2016-01-11T00:00:00.000","Paid Safe and Sick Leave","Legal Services","Completed","2017-03-20T00:00:00.000","Consent Order Signed","4671.45","7","2328.55","New York","NY","10004","Manhattan",,
"2014-12-26T00:00:00.000","Paid Safe and Sick Leave","Employment Placement Agencies","Completed","2015-03-03T00:00:00.000","Consent Order Signed",,"1","720","BROOKLYN","NY","11201","Brooklyn",,
"2021-02-05T00:00:00.000","Paid Safe and Sick Leave","Restaurants and Other Eating Places","Completed","2021-03-09T00:00:00.000","Closeout Letter Sent – Unsubstantiated",,,,"New York","NY","10014","Manhattan","2","3"
"2018-07-09T00:00:00.000","Fair Workweek","Limited-Service Restaurants","Completed","2018-12-26T00:00:00.000","Closeout Letter Sent – Unsubstantiated",,,,"Brownsville","NY","11212","Brooklyn","17","41"
"2017-10-31T00:00:00.000","Paid Safe and Sick Leave","Manufacturing","Completed","2018-04-09T00:00:00.000","Consent Order Signed","750",,,"New York","NY","10018","Manhattan",,
"2020-05-28T00:00:00.000","Paid Safe and Sick Leave","Food Services and Drinking Places","Completed","2020-12-28T00:00:00.000","Consent Order Signed","250","1","500",,"NY","10454","Outside NYC","1","8"
"2015-02-19T00:00:00.000","Paid Safe and Sick Leave","Home Health Care Services","Completed","2016-12-12T00:00:00.000","Consent Order Signed","2000","2","616","BROOKLYN","NY","11215","Brooklyn",,
"2017-08-01T00:00:00.000","Paid Safe and Sick Leave","Other Individual and Family Services","Completed","2018-07-11T00:00:00.000","Consent Order Signed","1000","0","0","Brooklyn","NY","11229","Brooklyn",,
"2020-04-28T00:00:00.000","Paid Safe and Sick Leave","Restaurants and Other Eating Places","Completed","2020-08-05T00:00:00.000","Consent Order Signed","750","1","1000","New York","NY","10036","Manhattan","5","4"
"2015-04-20T00:00:00.000","Paid Safe and Sick Leave","Air Transportation","Completed","2015-06-26T00:00:00.000","Consolidation Letter Sent",,,,"Queens","NY","11430","Queens",,
"2017-06-28T00:00:00.000","Paid Safe and Sick Leave","Air Transportation","Completed","2017-07-03T00:00:00.000","Consolidation Letter Sent",,,,"Jamaica","NY","11430","Queens",,
"2015-12-04T00:00:00.000","Paid Safe and Sick Leave","Nature Parks and Other Similar Institutions","Completed","2016-02-26T00:00:00.000","Consent Order Signed","500","1","240","New York","NY","10036","Manhattan",,
"2018-05-08T00:00:00.000","Fair Workweek","Limited-Service Restaurants","Completed","2019-04-17T00:00:00.000","Consent Order Signed","14000","95","19000","New York","NY","10119","Manhattan","5","3"
"2016-09-20T00:00:00.000","Paid Safe and Sick Leave","Security Guards and Patrol Services","Completed","2016-10-12T00:00:00.000","Consent Order Signed",,,,"Staten Island","NY","10309","Staten Island",,
"2018-08-21T00:00:00.000","Multiple Topics (2)","Retail Trade","Completed","2018-10-24T00:00:00.000","Complainant Unresponsive – Letter Sent",,,,"Queens Village","NY","11429","Queens",,
"2014-12-23T00:00:00.000","Paid Safe and Sick Leave","Real Estate","Completed","2015-09-18T00:00:00.000","Complainant Unresponsive – Letter Sent",,,,"BRONX","NY","10454","Bronx",,
"2018-11-01T00:00:00.000","Paid Safe and Sick Leave","Employment Placement Agencies","Completed","2018-11-28T00:00:00.000","Complainant Unresponsive – Letter Sent",,,,"Gravesend","NY","11223","Brooklyn","15","47"
"2019-11-01T00:00:00.000","Paid Safe and Sick Leave","Restaurants and Other Eating Places","Completed","2019-12-18T00:00:00.000","Complainant Unresponsive – Letter Sent",,,,"Williamsburg","NY","11249","Brooklyn","1","34"
"2017-07-27T00:00:00.000","Paid Safe and Sick Leave","Home Health Care Services","Completed","2018-07-11T00:00:00.000","Closeout Letter Sent – No Jurisdiction",,,,"Brooklyn","NY","11219","Brooklyn",,
