"pub_dt","fisc_yr","agy","all_fnd","cty_fnd","remark"
"20171130","2016","Libraries","42","42",
"20171130","2002","Waterway Bridges","35","46",
"20171130","2002","Correction","32","31",
"20171130","2002","Children's Services","29","25",
"20171130","2002","Courts","192","191",
"20171130","2002","DoITT","34","34",
"20171130","2002","Education","1340","1337",
"20171130","2002","Economic Development","193","190",
"20171130","2002","Fire","149","149",
"20171130","2002","Ferries and Aviation","156","117",
"20171130","2002","Franchise Transportation","2","2",
"20171130","2002","Housing Authority","9","9",
"20171130","2002","Highway Bridges","101","63",
"20171130","2002","Housing","438","321",
"20171130","2002","Homeless Services","22","22",
"20171130","2002","Health","44","44",
"20171130","2002","Higher Education","10","9",
"20171130","2002","Hospitals","77","77",
"20171130","2002","Human Resources","41","26",
"20171130","2002","Highways and Streets","217","211",
"20171130","2002","Juvenile Justice","1","0",
"20171130","2002","Libraries","45","45",
"20171130","2002","MTA Bus Company","0","0",
"20171130","2002","Parks and Recreation","169","166",
"20171130","2002","Police","119","119",
"20171130","2002","Resiliency, Technology & Equip.","191","191",
"20171130","2002","Cultural Affairs","208","208",
"20171130","2002","Public Buildings","167","167",
"20171130","2002","Real Property","14","14",
"20171130","2002","Sanitation","216","216",
"20171130","2002","SIRTOA","0","0",
"20171130","2002","Transit Authority","6","6",
"20171130","2002","DOT - Equipment","12","12",
"20171130","2002","Traffic","66","29",
"20171130","2002","DEP","1871","1747",
"20171130","2002","TOTAL","6214","5832",
"20171130","2003","Aging","5","5",
"20171130","2003","Waterway Bridges","236","181",
"20171130","2003","Correction","110","110",
"20171130","2003","Children's Services","13","13",
"20171130","2003","Courts","96","86",
"20171130","2003","DoITT","71","63",
"20171130","2003","Education","963","890",
"20171130","2003","Economic Development","255","237",
"20171130","2003","Fire","99","81",
"20171130","2003","Ferries and Aviation","53","46",
"20171130","2003","Franchise Transportation","0","0",
"20171130","2003","Housing Authority","13","13",
"20171130","2003","Highway Bridges","232","191",
"20171130","2003","Housing","313","203",
"20171130","2003","Homeless Services","14","14",
"20171130","2003","Health","54","52",
"20171130","2003","Higher Education","21","17",
"20171130","2003","Hospitals","50","50",
"20171130","2003","Human Resources","53","43",
"20171130","2003","Highways and Streets","167","171",
"20171130","2003","Juvenile Justice","-1","-1",
"20171130","2003","Libraries","76","76",
"20171130","2003","MTA Bus Company","0","0",
"20171130","2003","Parks and Recreation","226","222",
"20171130","2003","Police","81","81",
"20171130","2003","Resiliency, Technology & Equip.","143","143",
"20171130","2003","Cultural Affairs","207","203",
"20171130","2003","Public Buildings","102","98",
"20171130","2003","Real Property","11","11",
"20171130","2003","Sanitation","159","159",
"20171130","2003","SIRTOA","2","2",
"20171130","2003","Transit Authority","519","519",
"20171130","2003","DOT - Equipment","26","26",
"20171130","2003","Traffic","52","12",
"20171130","2003","DEP","1380","1373",
"20171130","2003","TOTAL","5799","5389",
"20171130","2004","Aging","2","2",
"20171130","2004","Waterway Bridges","360","215",
"20171130","2004","Correction","30","30",
"20171130","2004","Children's Services","10","10",
"20171130","2004","Courts","105","103",
"20171130","2004","DoITT","40","40",
"20171130","2004","Education","593","571",
"20171130","2004","Economic Development","221","206",
"20171130","2004","Fire","69","66",
"20171130","2004","Ferries and Aviation","51","19",
"20171130","2004","Franchise Transportation","0","0",
"20171130","2004","Housing Authority","3","3",
"20171130","2004","Highway Bridges","210","149",
"20171130","2004","Housing","283","216",
"20171130","2004","Homeless Services","10","10",
"20171130","2004","Health","32","32",
"20171130","2004","Higher Education","19","18",
"20171130","2004","Hospitals","58","58",
"20171130","2004","Human Resources","17","11",
"20171130","2004","Highways and Streets","227","202",
"20171130","2004","Juvenile Justice","1","1",
"20171130","2004","Libraries","70","70",
"20171130","2004","MTA Bus Company","0","0",
"20171130","2004","Parks and Recreation","143","116",
"20171130","2004","Police","65","65",
"20171130","2004","Resiliency, Technology & Equip.","140","133",
"20171130","2004","Cultural Affairs","101","98",
"20171130","2004","Public Buildings","176","175",
"20171130","2004","Real Property","3","2",
"20171130","2004","Sanitation","140","140",
"20171130","2004","SIRTOA","1","1",
"20171130","2004","Transit Authority","80","80",
"20171130","2004","DOT - Equipment","9","9",
"20171130","2004","Traffic","53","33",
"20171130","2004","DEP","1713","1654",
"20171130","2004","TOTAL","5034","4539",
"20171130","2005","Aging","5","5",
"20171130","2005","Waterway Bridges","175","3",
"20171130","2005","Correction","50","50",
"20171130","2005","Children's Services","4","4",
"20171130","2005","Courts","132","129",
"20171130","2005","DoITT","110","110",
"20171130","2005","Education","2188","2188",
"20171130","2005","Economic Development","215","207",
"20171130","2005","Fire","93","93",
"20171130","2005","Ferries and Aviation","69","-8",
"20171130","2005","Franchise Transportation","5","4",
"20171130","2005","Housing Authority","3","3",
"20171130","2005","Highway Bridges","91","91",
"20171130","2005","Housing","423","275",
"20171130","2005","Homeless Services","29","29",
"20171130","2005","Health","51","51",
"20171130","2005","Higher Education","20","20",
"20171130","2005","Hospitals","399","399",
"20171130","2005","Human Resources","12","7",
"20171130","2005","Highways and Streets","246","224",
"20171130","2005","Juvenile Justice","5","5",
"20171130","2005","Libraries","41","41",
"20171130","2005","MTA Bus Company","0","0",
"20171130","2005","Parks and Recreation","225","211",
"20171130","2005","Police","43","43",
"20171130","2005","Resiliency, Technology & Equip.","187","187",
"20171130","2005","Cultural Affairs","140","140",
"20171130","2005","Public Buildings","78","78",
"20171130","2005","Real Property","1","1",
"20171130","2005","Sanitation","137","137",
"20171130","2005","SIRTOA","1","1",
"20171130","2005","Transit Authority","179","179",
"20171130","2005","DOT - Equipment","7","7",
"20171130","2005","Traffic","66","36",
"20171130","2005","DEP","2338","2337",
"20171130","2005","TOTAL","7769","7288",
"20171130","2006","Aging","3","3",
"20171130","2006","Waterway Bridges","37","14",
"20171130","2006","Correction","92","92",
"20171130","2006","Children's Services","1","1",
"20171130","2006","Courts","142","142",
"20171130","2006","DoITT","112","85",
"20171130","2006","Education","1990","1411",
"20171130","2006","Economic Development","168","154",
"20171130","2006","Fire","121","108",
"20171130","2006","Ferries and Aviation","31","15",
"20171130","2006","Franchise Transportation","0","0",
"20171130","2006","Housing Authority","21","21",
"20171130","2006","Highway Bridges","244","244",
"20171130","2006","Housing","356","238",
"20171130","2006","Homeless Services","14","14",
"20171130","2006","Health","64","64",
"20171130","2006","Higher Education","40","39",
"20171130","2006","Hospitals","243","243",
"20171130","2006","Human Resources","5","3",
"20171130","2006","Highways and Streets","215","200",
"20171130","2006","Juvenile Justice","1","1",
"20171130","2006","Libraries","35","31",
"20171130","2006","MTA Bus Company","0","0",
"20171130","2006","Parks and Recreation","279","262",
"20171130","2006","Police","76","76",
"20171130","2006","Resiliency, Technology & Equip.","297","293",
"20171130","2006","Cultural Affairs","151","143",
"20171130","2006","Public Buildings","110","108",
"20171130","2006","Real Property","4","4",
"20171130","2006","Sanitation","77","77",
"20171130","2006","SIRTOA","1","1",
"20171130","2006","Transit Authority","82","82",
"20171130","2006","DOT - Equipment","4","4",
"20171130","2006","Traffic","57","35",
"20171130","2006","DEP","1741","1702",
"20171130","2006","TOTAL","6814","5911",
"20171130","2007","Aging","5","5",
"20171130","2007","Waterway Bridges","112","108",
"20171130","2007","Correction","44","44",
"20171130","2007","Children's Services","23","23",
"20171130","2007","Courts","159","159",
"20171130","2007","DoITT","231","228",
"20171130","2007","Education","3216","1143",
"20171130","2007","Economic Development","175","134",
"20171130","2007","Fire","119","116",
"20171130","2007","Ferries and Aviation","31","24",
"20171130","2007","Franchise Transportation","0","0",
"20171130","2007","Housing Authority","20","20",
"20171130","2007","Highway Bridges","151","146",
"20171130","2007","Housing","299","218",
"20171130","2007","Homeless Services","22","22",
"20171130","2007","Health","62","62",
"20171130","2007","Higher Education","22","22",
"20171130","2007","Hospitals","167","167",
"20171130","2007","Human Resources","28","21",
"20171130","2007","Highways and Streets","345","319",
"20171130","2007","Juvenile Justice","2","2",
"20171130","2007","Libraries","39","38",
"20171130","2007","MTA Bus Company","0","0",
"20171130","2007","Parks and Recreation","476","464",
"20171130","2007","Police","87","87",
"20171130","2007","Resiliency, Technology & Equip.","475","452",
"20171130","2007","Cultural Affairs","102","97",
"20171130","2007","Public Buildings","95","95",
"20171130","2007","Real Property","-1","-1",
