"objectid","complaintnumber","srcategory","srtype","srpriority","srsource","srstatus","srresolution","boroughcode","communityboard","buildingnumber","streetname","crossstreet1","crossstreet2","taxclass","locationdetails","complaintdetails","parkname","parkzone","notestocustomer","zipcode","citycouncil","statesenate","stateassembly","congressional","sanitationzone","physicalid","servicerequestparentglobalid","geometry","globalid","initiateddate","closeddate","createddate","updateddate","descriptor1","complainttype","callerzipcode","srcallertype","callercity","callerstate","latitude","longitude","census_tract","bin","bbl","nta","location"
"17579546","311-02514396","Remove Tree","Dead Tree Older Than 2 Years","Routine","Department of Parks and Recreation - Public Web Site","Closed","Inspected - Condition Not Found","Brooklyn","310","341","79TH ST","3 AVENUE","4 AVENUE","1",,,,,"At the time of inspection tree is in fair condition.  Thank you.","11209","43","22","64","11",,"0037876","20CCF930-5FD1-4B09-9AA3-8576E1744415",,"FFA207F8-4B0A-46E3-96F8-252A40661027","05/19/2020 14:20:45","05/21/2020 14:19:51","05/19/2020 14:20:00","05/21/2020 14:19:51","Planted More Than 2 Years Ago","Dead/Dying Tree","11209","Business  Business","Brooklyn","NY","40.628261","-74.027653","64","3150325","3059690065","Bay Ridge",
"17616360","311-02553143","Hazard","Limb Down - Street","Routine","3-1-1 Call Center","Closed","Work Completed","Staten Island","501","0","HOWARD AVE","GRYMES HILL ROAD","HOWARD AVENUE",,"NEAR HOWARD AVE","LARGE BRANCHES FROM A CITY TREE HAVE FALLEN IN THE STREET. THE BRANCHES ARE BLOCKING PART OF THE STREET. ON THE TWO WAY STREET ONLY ONE CAR CAN DRIVE THROUGH.",,,"work order created to remove limb","10301","49","23","61","11",,,,,"6E6381BF-3C40-4B04-AB17-3D676E71F99A","05/23/2020 20:47:06","05/26/2020 13:26:35","05/23/2020 21:12:00","05/26/2020 13:26:35","Branch or Limb Has Fallen Down","Damaged Tree",,"Business  Business",,,,,,,,,
"17575577","311-02510143","Hazard","Tree Split","Routine","3-1-1 Call Center","Closed","Inspected - No Work Order","Brooklyn","302","37","CAMBRIDGE PLACE","GREENE AVENUE","GATES AVENUE",,,"THERE'S A TREE THAT HAS A CRACKED AROUND IT. & ITS ON THE SIDE WHERE ITS A LOT OF TENSION.",,,"At the time of inspection the tree was found in fair condition. Thank you for your inquiry","11238","35","25","57","8",,"0038994",,,"E6BB2CF4-6559-4ADD-B064-17069BC1B20F","05/18/2020 23:11:51","05/19/2020 15:26:25","05/19/2020 00:00:17","05/19/2020 15:26:25","Tree Trunk Split","Damaged Tree",,,,,"40.685902","-73.963283","201","3056193","3019650016","Clinton Hill",
"17251858",,"Prune","Prune Dead Wood","Routine","Correspondence","Closed","Work Completed","Brooklyn","306","251","DOUGLASS STREET","3 AVENUE","NEVINS STREET",,"3 AVE, NEVINS, DEGRAW & DOUGLASS STS","DIA# 114775, deadwood.",,,,"11217","33","25","52","7",,"0071959",,,"5DD596B0-B9BF-4A8B-B167-1C80B96B7AC4",,"05/18/2020 19:12:00","04/03/2020 18:35:00","05/18/2020 19:12:00",,,,"Business  Business",,,"40.680708","-73.985308","127","3006610","3004120050","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",
"17651915","311-02602122","Hazard","Hanging Limb from other Branches","Routine","3-1-1 Call Center","Closed","No Action - Jurisdiction","Brooklyn","306","233","BUTLER STREET","BOND STREET","NEVINS STREET",,,"Five trees being crushed by scaffolding",,,"the City of New York and the Department of Parks and Recreation does not maintain trees on private property. Thank you for your inquiry.","11217","33","25","52","7",,"0071096","F9C3B1CB-C8D2-4C03-865A-70C9AF8F8D0D",,"6C5FFB7E-14FB-4D2C-8B2D-4FE2A4A474AE","05/28/2020 14:19:52","05/29/2020 16:29:59","05/28/2020 15:00:10","05/29/2020 16:29:59","Branch Cracked and Will Fall","Damaged Tree",,,,,"40.681963","-73.986472","71","3336080","3004050051","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",
"17627435","311-02571048","Prune","Clear Road","Routine","3-1-1 Call Center","Closed","Reviewed - Block Pruning","Queens","413","137-27","227 STREET","137 AVENUE","138 AVENUE",,,"THERE ARE SIX OR SEVEN LIMBS FROM THE LARGER TREE THAT SHOULD BE REMOVED THEY ARE BLOCKING THE STREET",,,"REFER TO BLOCK PRUNING","11413","31","14","29","5",,"0032424",,,"FFA6E9BF-7C33-4A76-A60D-B143690FC40A","05/25/2020 18:18:54","05/26/2020 18:29:00","05/25/2020 19:00:00","05/26/2020 18:29:00","Blocking Street","Overgrown Tree/Branches","11413","Business  Business","QUEENS","NY","40.673181","-73.745436","646","4282078","4131330022","Laurelton",
"17430033","311-02339428","Hazard","Limb Down - Sidewalk","Routine","3-1-1 Call Center","Closed","Inspected - No Work Order","Brooklyn","311","26","BAY    8 STREET","86 STREET","BENSON AVENUE",,,"A BRANCH FELL AND IT IS ON THE SIDEWALK.",,,"At the time of inspection the tree was found in fair condition and no work order has been created. Small branches may be cut up, tied, and left for sanitation. Thank you for your inquiry","11228","43","22","47","11",,"0053324",,,"0E183C59-977F-4A8A-9206-3B8824CC7034","04/29/2020 15:23:18","05/01/2020 17:37:00","04/29/2020 16:00:00","05/01/2020 17:37:00","Branch or Limb Has Fallen Down","Damaged Tree",,"Business  Business",,,"40.611257","-74.010888","170","3166054","3063580042","Bath Beach",
"17402968","311-02309523","Remove Tree","Dead Tree Older Than 2 Years","Routine","Department of Parks and Recreation - Public Web Site","Closed","Work Completed","Queens","405","60-64","60 STREET","58 STREET","62 AVENUE","1","in front of 60-64 60th st",,,,,"11378","30","15","37","7",,"0097606",,,"F06A647B-2C24-488D-ABA3-3B652300A84C","04/25/2020 14:02:17","05/06/2020 18:35:00","04/25/2020 14:02:00","05/06/2020 18:35:00","Planted More Than 2 Years Ago","Dead/Dying Tree","11378","Business  Business","maspeth","NY","40.714266","-73.9057","595","4059526","4026470078","Ridgewood",
"17472200","311-02389046","Remove Tree","Poor Condition Hollow","Routine","3-1-1 Call Center","Closed","Inspected - No Work Order","Staten Island","501","5","TAYLOR COURT","TAYLOR STREET","DEAD END",,,"Across the street from my house by vacant lot",,,,"10310","49","23","61","11",,"0100238",,,"9E7137BC-9DBB-4C67-8259-941F68A722AF","05/05/2020 02:39:32","05/05/2020 12:03:00","05/05/2020 03:00:00","05/05/2020 12:03:00","Tree Alive - in Poor Condition","Damaged Tree",,"Business  Business",,,"40.634685","-74.122813","13302","5005321","5001980262","West New Brighton-New Brighton-St. George",
"17436632","311-02347410","Hazard","Tree Down - Sidewalk","Routine","3-1-1 Call Center","Closed","Work Completed","Queens","404","52-59","83 STREET","GRAND AVENUE","54 AVENUE",,,"THE TREE FELL AND IS PARTIALLY BLOCKING THE SIDEWALK",,,,"11373","25","16","30","6",,"0102623",,,"32828F01-7EE4-42F7-A251-9DE43F9CAD95","04/30/2020 19:34:34","05/02/2020 17:12:00","04/30/2020 20:00:00","05/02/2020 17:12:00","Entire Tree Has Fallen Down","Damaged Tree",,"Business  Business",,,"40.732831","-73.883783","499","4066032","4029020043","Elmhurst",
