"bronx_condominium_property_boro_block_lot","bronx_condominium_property_condo_section","bronx_condominium_property_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","bronx_condominium_property_neighborhood","bronx_condominium_property_building_classification","bronx_condominium_property_total_units","bronx_condominium_property_year_built","bronx_condominium_property_gross_sqft","bronx_condominium_property_est_gross_income","bronx_condominium_property_gross_income_per_sqft","bronx_condominium_property_full_market_value","bronx_condominium_property_market_value_per_sqft","_comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"2-05798-7501","62-R1","3614 JOHNSON AVENUE
Bronx, New York 
(40.887113738105, -73.909524216124)","2","10463","40.887152","-73.909538","8","11","295","2103161","2057987501","Spuyten Duyvil-Kingsbridge                                                 ","RIVERDALE","R4-ELEVATOR","15","2002","14969","282914","18.9","1150000","77","2-03145-0025","2283 TIEBOUT AVENUE
Bronx, New York 
(40.856378494868, -73.897432319013)","FORDHAM","C1-WALK-UP","16","1925","9424","127387","13.52","360000","38.2","2.25","2-05798-0101","3615 OXFORD AVENUE
Bronx, New York 
(40.886877804886, -73.908631585139)","RIVERDALE","C1-WALK-UP","15","1980","7550","143532","19.01","584000","77","0"
"2-04664-7501","75-R1","720 217 STREET
Bronx, New York 
(40.881931979407, -73.862931656682)","2",,,,,,,,,,"WILLIAMSBRIDGE","R2-WALK-UP","24","2006","19225","322299","16.76","1310008","68","2-03740-0052","1145 BOYNTON AVENUE
Bronx, New York 
(40.827268105001, -73.877961486893)","SOUNDVIEW","C1-WALK-UP","25","1926","18720","181027","9.67","612000","32.7","3.8","2-03973-0036","1405 ROWLAND STREET
Bronx, New York 
(40.837704045804, -73.845588603102)","WESTCHESTER","C1-WALK-UP","27","1927","22560","216715","9.61","732000","32.4","3.1"
"2-02686-7501","53-R1","717 KELLY STREET
Bronx, New York 
(40.815857524884, -73.900758859845)","2","10455","40.815812","-73.900773","2","17","83","2005136","2026867501","Longwood                                                                   ","MORRISANIA/LONGWOOD","R2-WALK-UP","13","1909","14384","165416","11.5","583003","40.5","2-02427-0001","391 168 STREET
Bronx, New York 
(40.832463162195, -73.910076878871)","MELROSE/CONCOURSE","C7-WALK-UP","16","1923","11055","116955","10.58","395000","35.7","1.25","2-02301-0029","389 138 STREET
Bronx, New York 
(40.809276530791, -73.923225016891)","MOTT HAVEN/PORT MORRIS","C7-WALK-UP","18","1931","13083","151045","11.55","532000","40.7","1.25"
"2-03929-7501","23-R3","1925 MC GRAW AVENUE
Bronx, New York 
(40.834645270932, -73.860803851419)","2","10462","40.834627","-73.86086","9","18","212","2096672","2039387501","Parkchester                                                                ","PARKCHESTER","R4-ELEVATOR","2659","1933","2723821","23206954","8.52","76499825","28.1","2-03925-0018","1565 THIERIOT AVENUE
Bronx, New York 
(40.839624421712, -73.865901165801)","PARKCHESTER","D1-ELEVATOR","120","1930","130500","1198097","9.18","3950000","30.3","0.5","2-04286-0022","2100 BRONX PARK
Bronx, New York 
(40.853699684387, -73.869138050698)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","157","1929","168990","1651470","9.77","5580000","33","1.3"
"2-05787-7501","30-R1","3240 NETHERLAND AVENUE
Bronx, New York 
(40.884102974299, -73.911460483502)","2","10463","40.884288","-73.911426","8","11","297","2088671","2057877501","Spuyten Duyvil-Kingsbridge                                                 ","RIVERDALE","R4-ELEVATOR","15","1988","10108","187200","18.52","760999","75","2-03145-0025","2283 TIEBOUT AVENUE
Bronx, New York 
(40.856378494868, -73.897432319013)","FORDHAM","C1-WALK-UP","16","1925","9424","127387","13.52","360000","38.2","2.1","2-05798-0101","3615 OXFORD AVENUE
Bronx, New York 
(40.886877804886, -73.908631585139)","RIVERDALE","C1-WALK-UP","15","1980","7550","143532","19.01","584000","77","0.2"
"2-03432-7501","33-R5","201 SUNSET BOULEVARD
Bronx, New York 
(40.806653690769, -73.853452633648)","2","10473","40.806696","-73.853376","9","18","4","2099274","2034327501","Soundview-Castle Hill-Clason Point-Harding Park                            ","SOUNDVIEW","R2-WALK-UP","18","1989","20304","258876","12.75","972999","47.9","2-03802-0028","2040 GLEASON AVENUE
Bronx, New York 
(40.831187938107, -73.85635222471)","CASTLE HILL/UNIONPORT","C1-WALK-UP","33","1964","20971","279547","13.33","1050000","50","1.65","2-05844-1935","5431 SYLVAN AVENUE
Bronx, New York 
(40.902340245832, -73.898609426903)","RIVERDALE","C1-WALK-UP","24","1972","18756","236069","12.59","887000","47.3","7"
"2-05798-7502","67-R1","3625 OXFORD AVENUE
Bronx, New York 
(40.887109701748, -73.908604553516)","2","10463","40.887159","-73.90859","8","11","295","2112823","2057987502","Spuyten Duyvil-Kingsbridge                                                 ","RIVERDALE","R4-ELEVATOR","23","2005","40468","607020","15","2410001","60","2-05716-0287","2475 PALISADE AVENUE
Bronx, New York 
(40.880092839955, -73.92234413928)","RIVERDALE","D1-ELEVATOR","25","1932","31098","472245","15.19","1920000","62","0.9","2-05907-0348","3725 BLACKSTONE AVENUE
Bronx, New York 
(40.888932645311, -73.911592854676)","RIVERDALE","D1-ELEVATOR","42","1968","41803","582915","13.94","2310000","55","0.2"
"2-03261-7501","81-R1","3097 HEATH AVENUE
Bronx, New York 
(40.878287557991, -73.901131318804)","2","10463","40.878384","-73.90099","8","14","277","2114270","2032617501","Van Cortlandt Village                                                      ","KINGSBRIDGE/JEROME PARK","R2-WALK-UP","16","2006","21861","409136","18.72","1660000","76","2-03199-0007","2392 GRAND AVENUE
Bronx, New York 
(40.825576999979, -73.918448999722)","KINGSBRIDGE HTS/UNIV HTS","C1-WALK-UP","16","2005","15712","345664","22","1540000","98","1.25","2-05090-0019","4524 BARNES AVENUE
Bronx, New York 
(40.899207278895, -73.850339896766)","WAKEFIELD","C1-WALK-UP","16","1929","15000","137400","9.16","453000","30.2","2.95"
"2-05944-7501","38-R1","4961 HENRY HUDSON PARKWAY
Bronx, New York 
(40.825576999979, -73.918448999722)","2","10471","40.897679","-73.908192","8","11","30701","2096388","2059447501","North Riverdale-Fieldston-Riverdale                                        ","RIVERDALE","R2-WALK-UP","12","1940","15934","207142","13","778999","48.9","2-05333-0106","1235 BRADFORD AVENUE
Bronx, New York 
(40.836009927639, -73.830171089)","SCHUYLERVILLE/PELHAM BAY","C1-WALK-UP","13","1929","6510","100417","15.43","408000","63","5.9","2-05396-0001","1544 GILLESPIE AVENUE
Bronx, New York 
(40.842879852411, -73.831004493703)","SCHUYLERVILLE/PELHAM BAY","C7-WALK-UP","24","1929","17512","226437","12.93","851000","48.6","5.5"
"2-05529-7502","82-R1","1 PENNYFIELD AVENUE
Bronx, New York 
(40.809043687035, -73.801683614657)","2","10465","40.809183","-73.802082","10","13","118","2101498","2055297502","Schuylerville-Throgs Neck-Edgewater Park                                   ","THROGS NECK","R2-WALK-UP","45","1998","63738","557707","8.75","1840002","28.9","2-03212-0021","2290 DR
Bronx, New York 
(40.825576999979, -73.918448999722)","KINGSBRIDGE HTS/UNIV HTS","C1-WALK-UP","52","1959","52204","465805","8.92","1540000","29.5","6.3","2-05703-0183","3044 KINGSBRIDGE AVENUE
Bronx, New York 
(40.878974479573, -73.907338647933)","KINGSBRIDGE/JEROME PARK","C1-WALK-UP","38","1973","38873","338345","8.7","1120000","28.8","7.1"
