"time_period","page","title","visits","page_views","avg_view_time_sec"
"Jul-15",,,,"23123911","96.5"
"Jul-15","http://www1.nyc.gov/","Welcome to NYC.gov | City of New York","551941","715124","68.02"
"Jul-15","http://www1.nyc.gov/site/finance/pay-now/online.page","Pay Online Now","470528","903463","41.9"
"Jul-15","http://www1.nyc.gov/assets/finance/jump/pay_parking_camera_violations.html","Pay Parking and Camera Violations Online","361846","548096","313"
"Jul-15","http://www.nyc.gov/html/dob/html/home/home.shtml","Department of Buildings","321598","589963","193.77"
"Jul-15","http://www1.nyc.gov/site/finance/","NYC Department of Finance","296965","410435","75.41"
"Jul-15","http://www1.nyc.gov/jobs/","Jobs | City of New York","219977","536295","129.61000000000001"
"Jul-15","http://www.nyc.gov/html/dcas/html/work/exam_monthly.shtml","DCAS - Work for the City - DCAS Monthly Exam Schedule","216068","400999","145.88"
"Jul-15","http://www1.nyc.gov/home/search/","Search Results | City of New York","180387","469624","30.52"
"Jul-15","http://www.nyc.gov/html/dob/html/bis/bis.shtml","Department of Buildings - Buildings Information System (BIS)","152489","254334","245.17"
"Jul-15","http://www1.nyc.gov/311/","311 | City of New York","128581","194409","75.62"
"Jul-15","http://www.nyc.gov/html/olr/html/deferred/dcphome.shtml","Office of Labor Relations","122079","190884","140.68"
"Jul-15","http://www1.nyc.gov/SITE/IDNYC/","id NYC","119600","171826","106.32"
"Jul-15","http://www1.nyc.gov/nyc-resources/service/2195/pay-a-parking-ticket","Pay a Parking Ticket | City of New York","102348","152002","60.93"
"Jul-15","http://a858-login.nyc.gov/osp/a/t1/auth/saml2/sso","Login | NYC Identity Management","100559","233040","106.02"
"Jul-15","http://www.nyc.gov/html/dot/html/motorist/alternate-side-parking.shtml","NYC DOT - Motorists & Parking - Alternate Side Parking","98431","111412","176.32"
"Jul-15","http://www1.nyc.gov/site/finance/taxes/property.page","Property Taxes","96533","149270","23.55"
"Jul-15","http://www1.nyc.gov/nyc-resources/world-cup-champions.page","Celebrate Our World Cup Champions","89687","117804","165.91"
"Jul-15","http://www1.nyc.gov/site/hpd/renters/find-housing.page","HPD - Renters - Find Housing","86813","182849","116.8"
"Jul-15","http://www1.nyc.gov/site/hpd/","NYC Housing Preservation and Development","82073","124419","178.48"
"Jul-15","http://www1.nyc.gov/SITE/IDNYC/CARD/DOCUMENTATION.PAGE","Document Calculator - How to Apply - id NYC","76096","95904","213.99"
"Jul-15","http://www1.nyc.gov/nyc-resources/agencies.page","NYC Resources | Agencies | City of New York","75258","97502","67.08"
"Jul-15","http://www1.nyc.gov/apps/311universalintake/form.htm","NYC.gov - 311 Service Request Create","73620","452103","75.95"
"Jul-15","http://www1.nyc.gov/nyc-resources/service/1029/alternate-side-parking-or-street-cleaning","Alternate Side Parking or Street Cleaning | City of New York","72814","92455","78.7"
"Jul-15","http://www1.nyc.gov/jobs/exams.page","Jobs | Exams for Jobs | City of New York","71965","109467","41.63"
"Jul-15","http://www.nyc.gov/html/dot/html/ferrybus/ferrysurvey.shtml","NYC DOT - Staten Island Ferry Customer Questionnaire","71726","93354","220.89"
"Jul-15","http://www1.nyc.gov/nyc-resources/service/206/fireworks-displays","Fireworks Displays | City of New York","70803","78732","201.81"
"Jul-15","http://www1.nyc.gov/site/nycha/","NYC Housing Authority","70335","118986","82.88"
"Jul-15","http://www1.nyc.gov/site/finance/vehicles/dispute-a-ticket.page","Dispute a Ticket","69664","106031","45.51"
"Jul-15","http://www1.nyc.gov/nyc-resources/categories.page","NYC Resources | Categories | City of New York","67434","88608","36.36"
"Jul-15","http://www.nyc.gov/html/nypd/html/home/home.shtml","NYPD - Official New York City Police Department Web Site","65387","86862","74.66"
"Jul-15","http://www.nyc.gov/html/dcas/html/work/work.shtml","DCAS - Work for the City","63495","93608","50.14"
"Jul-15","http://www1.nyc.gov/assets/finance/jump/nycproperty.html","NYCProperty Lookup","61007","83293","245.72"
"Jul-15","http://www1.nyc.gov/apps/311/SRStatusPush/ConfirmationEmail.htm",,"60360","127174","139.57"
"Jul-15","http://www1.nyc.gov/site/finance/taxes/acris.page","acris","59878","85556","50"
"Jul-15","http://www1.nyc.gov/site/media/about/about.page","about","2497","3674","45.1"
"Jul-15","http://www1.nyc.gov/site/finance/vehicles/dispute-web.page","Request an Online Hearing","59555","82849","23.32"
"Jul-15","http://www.nyc.gov/html/dep/html/home/home.shtml","Welcome to the New York City Department of Environmental Protection Homepage","57609","73392","116.82"
"Jul-15","http://www.nyc.gov/html/tlc/html/home/home.shtml","NYC Taxi & Limousine Commission","53929","84117","121.54"
"Jul-15","http://www1.nyc.gov/SITE/IDNYC/BENEFITS/BENEFITS.PAGE","Benefits - id NYC","52804","71460","124.17"
"Jul-15","http://www.nyc.gov/html/dot/summerstreets/html/route/route.shtml","Summer Streets - Route","51844","75258","69.48"
"Jul-15","http://www1.nyc.gov/home/contact-us.page","contact-us","51815","64269","76.849999999999994"
"Jul-15","http://www.nyc.gov/html/dot/summerstreets/html/home/home.shtml","Summer Streets","51621","75620","41.46"
"Jul-15","http://www.nyc.gov/html/doc/html/inmate-information/inmate-information.shtml","City of New York Department of Correction","50344","73331","132.52000000000001"
"Jul-15","http://www1.nyc.gov/site/finance/taxes/taxes.page","Finance - NYC Taxes","50011","64599","16.22"
"Jul-15","http://www1.nyc.gov/SITE/IDNYC/CARD/MAKE-AN-APPOINTMENT.PAGE","Make an Appointment - How to Apply - id NYC","49608","85929","166.17"
"Jul-15","http://www.nyc.gov/html/dot/html/motorist/wkndtraf.shtml","NYC DOT Weekend Traffic Advisory","48592","61454","121.6"
"Jul-15","http://www1.nyc.gov/assets/finance/jump/hearing-by-web.html","Dispute a ticket","48249","61084","324.18"
"Jul-15","http://www1.nyc.gov/assets/finance/jump/request_hearing.html","Dispute a ticket","47553","51543","4.97"
"Jul-15","http://www1.nyc.gov/site/finance/taxes/property-bills-and-payments.page","property-bills-and-payments","45390","69139","23.4"
"Jul-15","http://www1.nyc.gov/SITE/idnyc/CARD/how-to-apply.page","How to Apply - id NYC","45313","65964","53.44"
"Jul-15","http://www.nyc.gov/html/doh/html/home/home.shtml","The New York City Department of Health and Mental Hygiene","44173","65134","66.45"
"Jul-15","http://www.nyc.gov/html/sbs/wf1/html/home/home.shtml","Workforce1 - Job Opportunities and Expert Advice for New York City's Jobseekers","43742","56542","70.83"
"Jul-15","http://www1.nyc.gov/311/minibooker.page","minibooker","43629","63499","42.89"
"Jul-15","http://www1.nyc.gov/site/idnyc/benefits/museums-and-cultural-institutions.page","Museums and Cultural Institutions - Benefits - id NYC","42676","62182","200.3"
"Jul-15","http://www.nyc.gov/html/dcas/html/home/home.shtml","NYC Department of Citywide Administrative Services","41542","57080","44.84"
"Jul-15","http://www.nyc.gov/html/doh/html/services/vr.shtml","Birth and Death Certificate Information","39940","62607","91.35"
"Jul-15","http://www1.nyc.gov/site/finance/taxes/property-assessments.page","property-assessments","39687","52101","12.69"
"Jul-15","http://www.nyc.gov/html/sbs/wf1/html/job/job.shtml","Workforce1 - Job and Career Opportunities for New York City's Jobseekers","39612","55663","101.06"
"Jul-15","http://www1.nyc.gov/jobs","Jobs | City of New York","39602","85231","121.09"
"Jul-15","http://www.nyc.gov/html/fdny/html/home2.shtml","FDNY - The Official Fire Department, City of New York, Web Site","39290","55192","75.17"
"Jul-15","http://www.nyc.gov/html/dot/html/home/home.shtml","New York City Department of Transportation","39162","52579","65.89"
"Jul-15","http://www.nyc.gov/html/doc/html/home/home.shtml","City of New York Department of Correction","37950","51256","38.29"
"Jul-15","http://www1.nyc.gov/nyc-resources/service/1021/affordable-housing","Affordable Housing | City of New York","37289","57152","96.51"
"Jul-15","http://www.nyc.gov/html/doh/html/services/hanyfood-online.shtml","Food Protection Course - Free Online Training","36729","48287","236.18"
"Jul-15","http://www1.nyc.gov/SITE/IDNYC/CARD/APPLICATION-MATERIALS.PAGE","Application Materials - How to Apply - id NYC","36679","61402","117.7"
"Jul-15","http://www.nyc.gov/html/tlc/html/passenger/taxicab_rate.shtml","NYC Taxi & Limousine Commission - RATE OF FARE","36057","41140","223.84"
"Jul-15","http://www1.nyc.gov/site/finance/vehicles/vehicles.page","Fines","35709","45460","40.46"
"Jul-15","http://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page","HRA - SNAP Benefits & Food Program","35012","52730","124.01"
"Jul-15","http://www1.nyc.gov/site/nycha/section-8/about-section-8.page","NYCHA - About Section 8","34926","55862","52.9"
"Jul-15","http://www1.nyc.gov/cpui/register.htm","Create Account | NYC Identity Management","33269","67894","66.900000000000006"
"Jul-15","http://www1.nyc.gov/events/","Events | City of New York","33124","76810","29.83"
"Jul-15","http://www.nyc.gov/html/dot/summerstreets/html/about/about.shtml","Summer Streets - About Summer Streets","33092","44658","62.01"
"Jul-15","http://www.nyc.gov/html/olr/html/deferred/dcp_newsite.shtml","Office of Labor Relations","33048","41610","212.33"
"Jul-15","http://www1.nyc.gov/assets/finance/jump/acris.html","Jump to ACRIS","32346","40855","401.23"
"Jul-15","http://www.nyc.gov/html/dot/html/motorist/weektraf.shtml","NYC DOT - Weekly Traffic Advisory","32250","41996","80.510000000000005"
"Jul-15","http://www1.nyc.gov/assets/finance/jump/property-maps/mapindex.html","Please Choose Your Borough to Navigate","32125","42144","24.41"
"Jul-15","http://www1.nyc.gov/site/nycha/eligibility/apply.page","NYCHA - Apply","31976","67513","88.72"
"Jul-15","http://www1.nyc.gov/site/dsny/","DSNY -The City of New York Department of Sanitation","31899","45058","61.43"
"Jul-15","http://www1.nyc.gov/site/nycha/residents/pay-rent.page","NYCHA - Pay Rent","31568","52342","126.23"
"Jul-15","http://www1.nyc.gov/apps/311/SRStatusPush/ClosureEmail.htm",,"31298","63063","129.69"
"Jul-15","http://www1.nyc.gov/cpui/registerWithName.htm","Create Account | NYC Identity Management","31288","35875","170.16"
"Jul-15","http://www.nyc.gov/html/dcas/html/work/oldexams.shtml","DCAS - Work for the City - Archive Open Competitive Examinations","30917","74865","101.17"
"Jul-15","http://www1.nyc.gov/nyc-resources/service/2560/nyc-jobs","NYC Jobs | City of New York","30568","47745","30.81"
"Jul-15","http://www.nyc.gov/html/dot/summerstreets/html/route/activities.shtml","Summer Streets–Activities","30213","41100","190.76"
"Jul-15","http://www.nyc.gov/html/sbs/wf1/html/job/events.shtml","Workforce1 - Find a Job - Recruitment Events for New York City's Jobseekers","29603","37049","312.14999999999998"
"Jul-15","http://www1.nyc.gov/site/idnyc/card/locations.page","Enrollment Centers - How to Apply - id NYC","29012","37632","125.28"
