"file","law_number","type","status","final_action","title"
"T2015-2283",,"Oversight","Committee",,"Oversight - Culturally Competent Afterschool Programs: Exploring how culturally and linguistically competent afterschool programs benefit youth."
"T2015-2278",,"Oversight","Committee",,"Oversight - Examining DFTA’s Senior Center RFP Process and Criteria for Subcontracted Senior Center Services."
"LU 0168-2014",,"Land Use Application","Committee",,"Application No. 20155203 HKM (N 150158 HKM) pursuant to Section 3020 of the New York City Charter, concerning the designation by the Landmarks Preservation Commission regarding the Mills Hotel No. 3, 485 Seventh Avenue (Block 812, Lot 1) (Designation List No. 475, LP-2424). Borough of Manhattan, Community Board 5, Council District 3, as a landmark."
"LU 0167-2014",,"Land Use Application","Committee",,"Application No. 20155204 HKM (N 150157 HKM), pursuant to Section 3020 of the New York City Charter, concerning the designation by the Landmarks Preservation Commission regarding the First German Baptist Church, 334 East 14th Street (Block 455, Lot 24, in part) (Designation List 475, LP-2475) Borough of Manhattan, Community Board 3, Council District 2, as a landmark."
"LU 0166-2014",,"Land Use Application","Committee",,"Application No. 20155174 HKK (N 150124 HKK), pursuant to Section 3020 of the New York City Charter, concerning the designation by the Landmarks Preservation Commission of the Doering Bohack House, 1090 Green Avenue (Block 3924, Lot 1) (Designation List 474, LP-2548), Borough of Brooklyn, Community Board 4, Council District 34, as a landmark."
"LU 0165-2014",,"Land Use Application","Committee",,"Application No. C 150101 ZMM, submitted by the Department of City Planning pursuant to Sections 197-c and 201 of the New York City Charter for an amendment to the Zoning Map, Section No. 8b, to expand the Special West Chelsea District, Borough of Manhattan, Community Board 4, Council District 3."
"LU 0164-2014",,"Land Use Application","Committee",,"Application No. N 150102 ZRM submitted by the Department of City Planning pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution relating to Article IX, Chapter 8 (Special West Chelsea District) to expand the Special District and Article I, Chapter 4 (Sidewalk Café Regulations) to allow unenclosed sidewalk cafes in areas of the Special District, Borough of Manhattan, Community Board 4, Council District 3."
"Int 0606-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the New York Police Department to issue quarterly reports on the use of force and its relationship to quality of life offenses."
"Int 0605-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the police department to post quarterly reports on its website relating to the use of “seat belt holds” and “chokeholds.”"
"Int 0603-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to increasing civil penalties for leaving the scene of an incident without reporting."
"Int 0604-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to reporting information related to leaving the scene of an incident without reporting."
"Int 0608-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting unauthorized surveillance by a global positioning system or similar technology."
"Int 0594-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting hydraulic fracturing in New York City."
"Int 0589-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting the operation of unmanned aerial vehicles except by the police department with a warrant"
"Int 0587-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the taxi and limousine commission to create a fine and civil penalty payment plan."
"Int 0602-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to the suspension of alternate side of the street parking rules on Christmas Day as observed by the Eastern Orthodox Church."
"Int 0595-2014",,"Introduction","Committee",,"A Local Law in relation to establishing a public library commission."
"Int 0600-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the reporting of veterans receiving agency services."
"Int 0591-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to allowing the department of sanitation to purchase appropriate vehicles to utilize during a snowfall"
"Int 0596-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to requiring a study and mitigation of the impacts of methane gas emissions on city trees."
"Int 0597-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to car sharing in the city fleet."
"Int 0592-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to the preservation of hotels"
"Int 0601-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to the regulation of the use of unmanned aerial vehicles in city airspace"
"Int 0586-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to signs, posters or placards that advertise gas prices."
"Int 0585-2014",,"Introduction","Committee",,"A Local Law to amend the New York city charter, in relation to establishing term limits for community board members."
"LU 0163-2014",,"Land Use Application","Adopted","2014-12-17T00:00:00.000","3160 Park Avenue – Mixed Income Project, Block 2419, p/o Lot 28 (to be known as Lot 1002); the Bronx, Community District No. 3, Council District No. 17."
