"queens_cooperatives_comparable_properties_boro_block_lot","queens_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","queens_cooperatives_comparable_properties_neighborhood","queens_cooperatives_comparable_properties_building_classification","queens_cooperatives_comparable_properties_total_units","queens_cooperatives_comparable_properties_year_built","queens_cooperatives_comparable_properties_gross_sqft","queens_cooperatives_comparable_properties_est_gross_income","queens_cooperatives_comparable_properties_gross_income_per_sqft","queens_cooperatives_comparable_properties_full_market_value","queens_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"4-09660-0015","82 35 134 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11435","40.713124","-73.823368","8","24","22001","4206526","4096600015","Briarwood-Jamaica Hills                                                    ","BRIARWOOD","D4-ELEVATOR","84","1951","62256","962000","15.45","3250000","52","4-09666-0040","135 30 82 DRIVE
Queens, NY 
(40.749436300045, -73.797299799846)","BRIARWOOD","D1-ELEVATOR","84","1952","69384","1091042","15.72","3690000","53","0.15",,,,,,,,,,,,
"4-16231-0044","121 16
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"ROCKAWAY PARK","D4-ELEVATOR","65","1954","69504","1000000","14.39","3380000","48.6","4-15780-0100","20 28 SEAGIRT BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","FAR ROCKAWAY","D7-ELEVATOR","260","1952","220201","3174794","14.42","10700000","48.6","4.7","4-15815-0220","20 55 SEAGIRT BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","FAR ROCKAWAY","D1-ELEVATOR","402","1952","322584","4500530","13.95","14000000","43.4","4.6"
"4-02114-0034","64 34 102 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11374","40.730944","-73.853192","6","29","721","4050857","4021140034","Forest Hills                                                               ","REGO PARK","D4-ELEVATOR","160","1952","135960","1903440","14","5930000","43.6","4-02138-0011","103 26 68 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","FOREST HILLS","D7-ELEVATOR","105","1942","97200","1757567","18.08","6570000","68","0.45","4-02113-0034","99 60 64 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","132","1952","119985","1583151","13.19","4450000","37.1","0.05"
"4-01508-0011","42 22 KETCHAM STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11373","40.7449","-73.883595","4","25","26902","4037276","4015080011","Elmhurst                                                                   ","ELMHURST","D4-ELEVATOR","127","1926","99876","1158561","11.6","3260000","32.6","4-01451-0047","34 19 90 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","D1-ELEVATOR","162","1927","95904","1544803","16.11","5220000","54","0.7","4-01512-0026","88 35 ELMHURST AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","ELMHURST","D1-ELEVATOR","84","1938","99383","1068035","10.75","2770000","27.9","0.35"
"4-08100-0002","42 30 DOUGLASTON PARKWAY
Queens, NY 
(40.749436300045, -73.797299799846)","4","11363","40.768171","-73.747456","11","19","1479","4168744","4081000002","Douglas Manor-Douglaston-Little Neck                                       ","DOUGLASTON","D4-ELEVATOR","92","1964","101535","1639800","16.15","5540000","55","4-06853-0006","80 25 PARSONS BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","HILLCREST","D1-ELEVATOR","112","1962","58089","937149","16.13","3170000","55","4.6","4-08092-0005","43 60 DOUGLASTON PARKWAY
Queens, NY 
(40.749436300045, -73.797299799846)","DOUGLASTON","D1-ELEVATOR","148","1963","114402","1868272","16.33","6320000","55","0.15"
"4-15627-0001","14 30 SEAGIRT BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","4","11691","40.595258","-73.748506","14","31","101001","4299223","4156270001","Far Rockaway-Bayswater                                                     ","FAR ROCKAWAY","D4-ELEVATOR","114","1959","121640","2037470","16.75","7620000","63","4-15815-0220","20 55 SEAGIRT BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","FAR ROCKAWAY","D1-ELEVATOR","402","1952","322584","4500530","13.95","14000000","43.4","0.45","4-10499-0075","190 05 HILLSIDE AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","HOLLISWOOD","D1-ELEVATOR","110","1960","100116","1280000","12.79","3990000","39.9","8.4"
"4-06321-0001","218 10 43 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11361","40.762426","-73.764018","11","19","1471","4138666","4063210001","Bayside-Bayside Hills                                                      ","BAYSIDE","C6-WALK-UP","24","1951","19467","251320","12.91","782000","40.2","4-06825-0001","158 05 76 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-SOUTH","C9-WALK-UP","20","1952","15528","200503","12.91","624000","40.2","3.5","4-06825-0005","158 06 76 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-SOUTH","C9-WALK-UP","20","1952","15528","200503","12.91","624000","40.2","3.5"
"4-16224-0001","128 11 NEWPORT AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11694","40.578036","-73.848388","14","32","93401","4304750","4162240001","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ","BELLE HARBOR","C6-WALK-UP","47","1949","48259","605000","12.54","1700000","35.2","4-16220-0037","124 16 ROCKAWAY BEACH
Queens, NY 
(40.749436300045, -73.797299799846)","BELLE HARBOR","C1-WALK-UP","12","1949","10140","143000","14.1","445000","43.9","0.2","4-15627-0021","14 03 HEYSON ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","FAR ROCKAWAY","C9-WALK-UP","30","1956","25080","341640","13.62","1060000","42.3","5.4"
"4-02235-0025","110 50 71 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","4","11375","40.721762","-73.840792","6","29","75702","4052574","4022350025","Forest Hills                                                               ","FOREST HILLS","D4-ELEVATOR","133","1957","141656","2167336","15.3","7330000","52","4-02236-0012","110 16 72 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FOREST HILLS","D1-ELEVATOR","108","1951","104644","1653132","15.8","5590000","53","0.05","4-04994-0078","139 55 35 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","90","1967","79050","1243817","15.73","4210000","53","3.15"
"4-09843-0019","170 40 HIGHLAND AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11432","40.712835","-73.791889","8","24","458","4210566","4098430019","Jamaica Estates-Holliswood                                                 ","JAMAICA","D4-ELEVATOR","50","1940","58300","725000","12.44","2040000","35","4-09803-0015","89 07 169 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","JAMAICA","D1-ELEVATOR","71","1941","73500","961138","13.08","2990000","40.7","0.25","4-09711-0075","139 79 85 DRIVE
Queens, NY 
(40.749436300045, -73.797299799846)","BRIARWOOD","D1-ELEVATOR","120","1940","114780","1521611","13.26","4740000","41.3","1.25"
