"objectid","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","location","number","street","on_street","to_street","from_street","borough","type","partner","xcoordin","ycoordin","femafldz","femafldt","hrcevac","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"1","3","Brooklyn","302","35","57","25","8","BRIC","647","Fulton Street","Rockwell Place","Fulton St","Dekalb Ave","Brooklyn","Curbside","BRIC Arts","990015","190020","X","AREA OF MINIMAL FLOOD HAZARD",,"40.688236","-73.979212","2","35","33","3058597","3020950001","Fort Greene"
"2","3","Brooklyn","314","40","43","21","9","Flatbush Library","22","Linden Blvd","Linden Blvd","Flatbush Ave","Bedford Ave","Brooklyn","Sidewalk Seating","Brooklyn Public Library","995855","176890","X","AREA OF MINIMAL FLOOD HAZARD",,"40.652192","-73.958177","14","40","79602","3116706","3050860015","Prospect Lefferts Gardens-Wingate"
"3","3","Brooklyn","306","38","51","25","7","Redhook Library","7","Wolcott Street","Wolcott Street","Dwight St","Richards St","Brooklyn","Sidewalk Seating","Brooklyn Public Library","981407","185384","AE",,"1","40.675513","-74.010249","6","38","53","3008650","3005770029","Carroll Gardens-Columbia Street-Red Hook"
"4","3","Brooklyn","310","43","64","22","11","Bay RidgePBranch Library","7223","Ridge Blvd","Ridge Blvd","72nd St","73rd St","Brooklyn","Sidewalk Seating","Brooklyn Public Library","976004","170240","X","AREA OF MINIMAL FLOOD HAZARD",,"40.633942","-74.029709","10","43","66","3147279","3059070001","Bay Ridge"
"5","3","Brooklyn","313","48","46","23","8","Brighton BeachcLibrary","16","Brighton First Rd","Brighton First Road","Brighton Beach Ave","Brightwater Ct","Brooklyn","Sidewalk Seating","Brooklyn Public Library","993560","149176","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1","40.576125","-73.966486","13","48","36001","3245028","3086800032","Brighton Beach"
"6","3","Brooklyn","316","41","55","20","8","BrownsvillebBranch Library","61","Glenmore Ave","Glenmore Ave","Watkins St",,"Brooklyn","Sidewalk Seating","Brooklyn Public Library","1009595","183871","X","AREA OF MINIMAL FLOOD HAZARD",,"40.671324","-73.908634","16","41","906","3080669","3034890150","Brownsville"
"7","3","Brooklyn","301","34","53","18","7","Bushwick Library","340","Bushwick Avenue","Bushwick Avenue","Seigel St","Moore St","Brooklyn","Sidewalk Seating","Brooklyn Public Library","1001088","196037","X","AREA OF MINIMAL FLOOD HAZARD","5","40.704737","-73.93927","1","34","489","3071470","3030980019","Bushwick South"
"8","3","Brooklyn","318","46","59","19","8","Canarsie Branch Library","1580","Rockaway Pkwy","Rockaway Parkway","Avenue J","Flatlands Ave","Brooklyn","Sidewalk Seating","Brooklyn Public Library","1012230","173302","X","AREA OF MINIMAL FLOOD HAZARD","4","40.642307","-73.899179","18","46","966","3230120","3082040068","Canarsie"
"9","3","Brooklyn","302","35","57","25","8","Clinton HilllBranch Library","380","Washington Avenue","Washington Ave","Greene Ave","Lafayette Ave","Brooklyn","Sidewalk Seating","Brooklyn Public Library","993768","189737","X","AREA OF MINIMAL FLOOD HAZARD",,"40.687456","-73.96568","2","35","197","3055495","3019450036","Clinton Hill"
"10","3","Brooklyn","313","47","46","23","8","Coney IslandlBranch Library","1901","Mermaid Avenue","Mermaid Ave","W 19th St","W 20th St","Brooklyn","Sidewalk Seating","Brooklyn Public Library","988141","149312","AE",,"1","40.576502","-73.985993","13","47","326","3189001","3070190043","Seagate-Coney Island"
"11","3","Brooklyn","314","40","44","17","9","Cortelyou Branch Library","1305","Cortelyou Road","Cortelyou Road","Argyle Rd","Rugby Rd","Brooklyn","Sidewalk Seating","Brooklyn Public Library","993680","172633","X","AREA OF MINIMAL FLOOD HAZARD",,"40.64051","-73.966021","14","40","1522","3118362","3051440080","Flatbush"
"12","3","Brooklyn","309","40","43","20","9","Crown HeightsiBranch Library","560","New York Avenue","New York Ave","Maple St","Lincoln Rd","Brooklyn","Curbside","Brooklyn Public Library","998740","180143","X","AREA OF MINIMAL FLOOD HAZARD",,"40.661116","-73.947773","9","40","804","3106505","3047910046","Prospect Lefferts Gardens-Wingate"
"13","3","Brooklyn","310","43","46","22","11","Dyker4Branch Library","802","13th Ave","13th Ave","82nd St","83rd St","Brooklyn","Sidewalk Seating","Brooklyn Public Library","981016","163796","X","AREA OF MINIMAL FLOOD HAZARD",,,,,,,,,
"14","3","Brooklyn","310","43","46","22","11","Fort Hamilton Branch Library","9424","Fourth Avenue","Fourth Ave","94th St","95th St","Brooklyn","Sidewalk Seating","Brooklyn Public Library","975665","163872","X","AREA OF MINIMAL FLOOD HAZARD",,"40.616474","-74.030944","10","43","54","3155499","3061140037","Bay Ridge"
"15","3","Brooklyn","314","44","44","17","9","KensingtonuBranch Library","4207","18th Ave","18th Ave","E. 2nd St","E. 3rd St","Brooklyn","Curbside","Brooklyn Public Library","991031","169347","X","AREA OF MINIMAL FLOOD HAZARD",,"40.631493","-73.97557","14","44","480","3416544","3054160014","Flatbush"
