"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Harlem YMCA","New York","YMCA of Greater New York / ELESAIR","(212) 875-4336","16+","180 135th Street
New York, NEW YORK 10030
(40.815023338273, -73.943122982412)","1",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Chinese American Planning Council","New York","Chinese American Planning Council","(212) 941-0041 x 302","16+","220 Church Street
New York, NEW YORK 10013
(40.71698884234, -74.006380099985)","1","10013","40.71683","-74.006454","101","1","33","1001622","1001480015","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","PS 25 - Eubie Blake School","Brooklyn","CAMBA","(718) 940-1737 x 424","16+","787 Lafayette Avenue
Brooklyn, NEW YORK 11221
(40.691050099236, -73.941394999532)","3","11221","40.691037","-73.941342","303","36","281","3049858","3017870014","Stuyvesant Heights                                                         "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","IS 171 - Abraham Lincoln School","Brooklyn","Cypress Hills Local Development Corporation","(718) 647-2800","16+","528 Ridgewood Avenue
Brooklyn, NEW YORK 11208
(40.686153081044, -73.869667918389)","3","11208","40.68618","-73.869625","305","37","1184","3092456","3041340020","Cypress Hills-City Line                                                    "
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","St. Nicholas NPC/Williamsburg Works","Brooklyn","St Nicholas NPC - Williamsburg Works","(718) 302-2057 x 204","16+","545 Broadway
Brooklyn, NEW YORK 11206
(40.704933618362, -73.949262532429)","3","11206","40.704937","-73.949311","301","34","491","3071328","3030760006","East Williamsburg                                                          "
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","The Jewish Community Center of Staten Island","Staten Island","The Jewish Community Center of Staten Island","(718) 508-3881","16+","485 Victory Boulevard Staten Island
NEW YORK,  10301
(40.630345730416, -74.088867161733)","5","10301","40.630399","-74.088763","501","49","75","5002888","5001200118","New Brighton-Silver Lake                                                   "
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","The Fortune Society","New York","The Fortune Society","(212) 691-7554","16+","53 23rd Street
New York, NEW YORK 10010
(40.740638933988, -73.987344516876)","1",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Oceanview Jewish Center","Brooklyn","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.","(718) 891-0264","16+","3100 Brighton 4th Street
Brooklyn, NEW YORK 11235
(40.576645783547, -73.963209632669)","3","11235","40.576651","-73.963189","313","48","36001","3245076","3086860067","Brighton Beach                                                             "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Latin American Integration Center","Jackson Heights","Make the Road New York","(718) 418-7690 x 211","16+","71 24 Roosevelt Avenue Jackson Heights
NEW YORK,  11372
(40.751630739367, -73.883612545283)","4","11372","40.746551","-73.894199","404","25","265","4459321","4013030009","Elmhurst-Maspeth                                                           "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","CAB Immigration Office","Bronx","Citizens Advice Bureau","(718) 508-3132","16+","2070 Grand
Concourse Bronx, NEW YORK 10457
(40.853090592091, -73.902808775875)","2","10457","40.853222","-73.902947","205","15","23502","2013631","2031560009","Mount Hope                                                                 "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Project COPE / Adult Education","Brooklyn","Agudath Israel of America Community Services, Inc.","(212) 809-5935 x 104","16+","1577 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.619047394551, -73.963997045364)","3","11230","40.619028","-73.964073","314","44","768","3180584","3067310080","Midwood                                                                    "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","Highbridge Community Life Center","Bronx","Highbridge Community Life Center","(718) 681-2222","16+","950 Anderson Avenue
Bronx, NEW YORK 10452
(40.831063771587, -73.928018257847)","2","10452","40.831036","-73.928079","204","8","189","2092381","2025040045","Highbridge                                                                 "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","YWCA of Queens","Flushing","YWCA of Queens","(718) 353-4553","16+","42 08 Parsons Boulevard
Flushing, NEW YORK 11355
(40.751299796948, -73.821478547897)","4","11355","40.758297","-73.819779","407","20","857",,,"Flushing                                                                   "
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","SQPA-NY Southern Queens Park Association NY","Jamaica","SQPA-NY Southern Queens Park Association NY","(718) 276-4630","16+","177 01 Baisley Boulevard
Jamaica, NEW YORK 11434
(40.676945262114, -73.775306901692)","4","11434","40.686284","-73.768455","412","27","426","4268835","4124060180","St. Albans                                                                 "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","YMCA of Greater New York / ELESAIR","New York","YMCA of Greater New York / ELESAIR","(212) 875-4336","16+","229 14th Street
New York, NEW YORK 10011
(40.739101600703, -74.00098044652)","1",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","CAB Community Center","Bronx","Citizens Advice Bureau","(718) 508-3132","16+","1130 Grand
Bronx, NEW YORK 10456
(40.831694143639, -73.916041046959)","2",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Flatbush YMCA","Brooklyn","YMCA of Greater New York / ELESAIR","(212) 875-4336","16+","1401 Flatbush Avenue
Brooklyn, NEW YORK 11210
(40.636590672567, -73.951602593108)","3","11210","40.636511","-73.951539","314","45","788","3120877","3052280008","Flatbush                                                                   "
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","The Jewish Community Center of Staten Island","Staten Island","The Jewish Community Center of Staten Island","(718) 508-3881","16+","475 Victory Boulevard Staten Island
NEW YORK,  10301
(40.630627751644, -74.088519564089)","5","10301","40.630635","-74.088475","501","49","75","5002887","5001200112","New Brighton-Silver Lake                                                   "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Our Lady of Perpetual Help","Brooklyn","Lutheran Family Health Centers Adult & Family Education","(718) 630-7150 x 4070","16+","552 59 Street
Brooklyn, NEW YORK 11220
(40.639335782578, -74.014431406431)","3","11220","40.639366","-74.01442","307","38","102","3337343","3008640001","Sunset Park East                                                           "
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","SCO Family of Services","Brooklyn","SCO Family of Services","(718) 455-1166","16+","75 Lewis Avenue
Brooklyn, NEW YORK 11206
(40.695007999414, -73.937422302529)","3","11206","40.694962","-73.937422","303","36","287","3379533","3015920001","Stuyvesant Heights                                                         "
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","Ridgewood Bushwick Senior Citizens Council, Inc.","Brooklyn","Ridgewood Bushwick Senior Citizens Council, Inc.","(718) 381-9653","16+","1474 Gates Avenue
Brooklyn, NEW YORK 11237
(40.697840308647, -73.913832482461)","3","11237","40.697788","-73.913906","304","37","433","3387654","3033440016","Bushwick North                                                             "
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","Washington Houses Community Center","Manhattan","Union Settlement Association","(212) 828-6298","16+","1775 3rd Avenue
Manhattan, NEW YORK 10029
(40.787046638823, -73.947929348156)","1","10029","40.786574","-73.948303","111","8","15602","1079203","1016470001","East Harlem South                                                          "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Lutheran Family Health Centers Adult & Family Education","Brooklyn","Lutheran Family Health Centers Adult & Family Education","(718) 630-7150 x 4070","16+","330 59th Street
Brooklyn, NEW YORK 11220
(40.642201614799, -74.019175801725)","3","11220","40.642121","-74.018997","307","38","74","3016258","3008620012","Sunset Park West                                                           "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Korean Community Services of Metropolitan New York, Inc.","Flushing","Korean Community Services of Metropolitan New York, Inc.","(718) 353-2253","16+","35 56 159th Street
Flushing, NEW YORK 11358
(40.760350968822, -73.796326458199)","4","11358","40.765263","-73.806158","407","19","1171","4119327","4052740070","Murray Hill                                                                "
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","The Jewish Community Center of Staten Island","Staten Island","The Jewish Community Center of Staten Island","(718) 508-3881","16+","1297 Arthur Kill Road Staten Island
NEW YORK,  10312
(40.565263465624, -74.184003351052)","5","10312","40.565262","-74.183882","503","51","228","5077603","5059000105","New Springville-Bloomfield-Travis                                          "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","IS 52 - Inwood Junior High School","New York","Inwood Community Services, Inc.","(212) 942-0043 x 126","16+","650 Academy Street
New York, NEW YORK 10034
(40.865994377311, -73.924838060236)","1","10034","40.866053","-73.924835","112","10","291","1076776","1022330020","Marble Hill-Inwood                                                         "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Brooklyn Chinese-American Association","Brooklyn","Brooklyn Chinese-American Association","(718) 438-0008","16+","6809 20th Avenue
Brooklyn, NEW YORK 11204
(40.614704025531, -73.987710397179)","3","11204","40.61468","-73.987765","311","47","258","3135071","3055790007","Bensonhurst West                                                           "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Agudath Israel of America Community Services, Inc.","New York","Agudath Israel of America Community Services, Inc.","(212) 809-5935 x 104","16+","225 Broadway
New York, NEW YORK 10007
(40.711843149995, -74.008228982076)","1","10007","40.71187","-74.008217","101","1","21","1001241","1000880018","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","Turning Point","Brooklyn","Turning Point (aka Discipleship Outreach Ministries, Inc.)","(718) 360-8171","16+","5224 6th Avenue
Brooklyn, NEW YORK 11220
(40.642523308887, -74.009472865801)","3","11220","40.642482","-74.009477","307","38","100","3013968","3008080041","Sunset Park East                                                           "
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","New Heights Neighborhood Center","New York","Northern Manhattan Improvement Corporation","(212) 822-8300","16+","216 Ft Washington Avenue
New York, NEW YORK 10032
(40.842343769667, -73.942200758685)","1","10032","40.842571","-73.942097","112","10","251","1063381","1021380079","Washington Heights South                                                   "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Catholic Charities Neighborhood Services","Astoria","Catholic Charities Neighborhood Services","(718) 726-9790 x 128","16+","23 40 Astoria Boulevard
Astoria, NEW YORK 11102
(40.771524024514, -73.926435450735)","4","11102","40.771582","-73.92375","401","22","69","4439576","4005420008","Old Astoria                                                                "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Mercy Center, Inc.","Bronx","Mercy Center, Inc.","(718) 993-2789 x 233","16+","377 145th Street
Bronx, NEW YORK 10454
(40.813855830175, -73.92035529273)","2",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","Highbridge Community Life Center","Bronx","Highbridge Community Life Center","(718) 681-2222","16+","1038 Ogden Avenue
Bronx, NEW YORK 10452
(40.833887030557, -73.928809339182)","2","10452","40.833827","-73.928861","204","8","189","2003209","2025120015","Highbridge                                                                 "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","SoBRO","New York","SoBRO","(718) 292-3113 x 7611","16+","361 125th Street
New York, NEW YORK 10027
(40.811002396946, -73.953145507781)","1",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Chinatown Manpower Project, Inc","New York","Chinatown Manpower Project, Inc","(212) 571-1691 x 235","16+","70 Mulberry Street
New York, NEW YORK 10013
(40.716141909295, -73.999172809241)","1","10013","40.716092","-73.999203","103","1","29","1066494","1002000001","Chinatown                                                                  "
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","Turning Point Education Center","Brooklyn","Turning Point (aka Discipleship Outreach Ministries, Inc.)","(718) 360-8171","16+","5013 7th Avenue
Brooklyn, NEW YORK 11220
(40.642353653563, -74.005963807531)","3","11220","40.642307","-74.006043","307","38","108","3013388","3007940004","Sunset Park East                                                           "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","(718) 449-5000 x 2237","16+","8635 21st Avenue
Brooklyn, NEW YORK 11214
(40.602534293267, -73.996780438871)","3","11214","40.602524","-73.996827","311","47","290","3166996","3063780019","Bensonhurst West                                                           "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Chinese American Planning Council","Brooklyn","Chinese American Planning Council","(212) 941-0041 x 302","16+","4812 9th Avenue
Brooklyn, NEW YORK 11220
(40.640835402677, -74.000456500483)","3","11220","40.640545","-74.000731","312","38","108","3012824","3007780023","Sunset Park East                                                           "
