"bronx_cooperatives_comparable_properties_boro_block_lot","bronx_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","bronx_cooperatives_comparable_properties_neighborhood","bronx_cooperatives_comparable_properties_building_classification","bronx_cooperatives_comparable_properties_total_units","bronx_cooperatives_comparable_properties_year_built","bronx_cooperatives_comparable_properties_gross_sqft","bronx_cooperatives_comparable_properties_estimated_gross_income","bronx_cooperatives_comparable_properties_gross_income_per_sqft","bronx_cooperatives_comparable_properties_estimated_expense","bronx_cooperatives_comparable_properties_expense_per_sqft","bronx_cooperatives_comparable_properties_net_operating_income","bronx_cooperatives_comparable_properties_full_market_value","bronx_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_coop_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_coop_in_miles"
"2-02691-0117","883 165 STREET
Bronx, NY 
(40.823874993351, -73.898223278622)","2",,,,,,,,,,,,,,"29664","349739","11.79","212676","7.17","137063","877000","29.56","2-03249-0108","2769 UNIVERSITY AVENUE
Bronx, NY 
(40.825576999979, -73.918448999722)","KINGSBRIDGE/JEROME PARK","C1-WALK-UP","37","1923","31876","428092","13.43","230260","7.22","197832","1311000","41.13","3.17","2-04655-0011","630 221 STREET
Bronx, NY 
(40.885599245092, -73.8639911686)","WILLIAMSBRIDGE","C1-WALK-UP","38","1931","32780","386453","11.79","235006","7.17","151447","833000","25.41","4.49",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-02961-0015","757 169 STREET
Bronx, NY 
(40.83087134911, -73.899770981003)","2",,,,,,,,,,,,,,"26347","327493","12.43","188384","7.15","139109","880000","33.4","2-03225-0169","2333 LORING PLACE
Bronx, NY 
(40.861611275826, -73.90851272444)","KINGSBRIDGE HTS/UNIV HTS","C7-WALK-UP","26","1927","26556","284646","10.72","152081","5.73","132565","822000","30.95","2.14","2-02998-0166","985 174 STREET
Bronx, NY 
(40.836428279259, -73.884878030909)","CROTONA PARK","C7-WALK-UP","28","1931","24750","307602","12.43","156158","6.31","151444","945000","38.18","0.89",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-05259-0016","3410 DE REIMER AVENUE
Bronx, NY 
(40.879602192154, -73.836663182984)","2","10475","40.879631","-73.836703","12","12","46202","2072463","2052590016","Co-op City                                                                 ",,,,,"256000","3312640","12.94","1789440","6.99","1523200","10157000","39.68","2-04713-0001","3444 FISH AVENUE
Bronx, NY 
(40.876825428613, -73.850334657081)","BAYCHESTER","C1-WALK-UP","292","1935","268560","3616154","13.46","1894043","7.05","1722111","11407000","42.47","0.75","2-04722-0012","3437 EASTCHESTER ROAD
Bronx, NY 
(40.877675801423, -73.846757626733)","BAYCHESTER","D1-ELEVATOR","326","1935","254000","3574855","14.07","2273586","8.95","1301269","9031000","35.56","0.61",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-04289-0020","764 BRADY AVENUE
Bronx, NY 
(40.852344857511, -73.865231854052)","2","10462","40.850964","-73.865879","11","13","22404","2093287","2042890020","Pelham Parkway                                                             ",,,,,"94000","1041520","11.08","572460","6.09","469060","2896000","30.81","2-04257-0040","2009 CRUGER AVENUE
Bronx, NY 
(40.850635200385, -73.866857184489)","MORRIS PARK/VAN NEST","D7-ELEVATOR","45","1932","49260","485570","9.86","313442","6.36","172128","1019000","20.69","0.15","2-04274-0064","1960 WILLIAMSBRIDGE ROAD
Bronx, NY 
(40.825576999979, -73.918448999722)","MORRIS PARK/VAN NEST","D7-ELEVATOR","62","1961","71500","879792","12.3","461008","6.45","418784","2655000","37.13","0.64",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-04670-0050","800 TILDEN STREET
Bronx, NY 
(40.876841330981, -73.861596683572)","2","10467","40.876847","-73.861578","12","12","380","2093568","2046700050","Williamsbridge-Olinville                                                   ",,,,,"289000","3427540","11.86","1946843","6.74","1480697","9474000","32.78","2-04642-0033","3560 OLINVILLE AVENUE
Bronx, NY 
(40.879100316459, -73.867590368775)","WILLIAMSBRIDGE","D1-ELEVATOR","85","1931","79098","964640","12.2","603338","7.63","361302","1991000","25.17","0.38","2-04819-0042","3940 BRONX BOULEVARD
Bronx, NY 
(40.888107429682, -73.864656246847)","WILLIAMSBRIDGE","D1-ELEVATOR","92","1960","84340","987633","11.71","570944","6.77","416689","2486000","29.48","0.8","2-04642-0006","3520 OLINVILLE AVENUE","WILLIAMSBRIDGE","D1-ELEVATOR","87","1963","80,350","864,059","10.75","490,082","6.1","373,977","2,317,000","28.84","0.38"
"2-03948-0047","2181 STARLING AVENUE
Bronx, NY 
(40.836339133714, -73.85270261096)","2","10462","40.836313","-73.8527","9","18","222","2041246","2039480047","Parkchester                                                                ",,,,,"30927","375145","12.13","210304","6.8","164841","1048000","33.89","2-03947-0001","2141 STARLING AVENUE
Bronx, NY 
(40.836219361503, -73.853840275177)","PARKCHESTER","D6-ELEVATOR","102","1928","93000","1148540","12.35","632698","6.8","515842","3268000","35.14","0.06","2-03947-0040","2145 STARLING AVENUE
Bronx, NY 
(40.836232721184, -73.853712367544)","PARKCHESTER","D6-ELEVATOR","103","1928","93000","1128296","12.13","632698","6.8","495598","3003000","32.29","0.06","2-03977-0035","2435 FRISBY AVENUE","WESTCHESTER","D1-ELEVATOR","42","1929","41,400","471,441","11.39","189,633","4.58","281,808","1,298,000","31.35","0.27"
"2-03737-0037","1160 COLGATE AVENUE
Bronx, NY 
(40.827294328068, -73.881698144106)","2","10472","40.827218","-73.881706","9","17","52","2023761","2037370037","Soundview-Bruckner                                                         ",,,,,"13446","141049","10.49","82021","6.1","59028","367000","27.29","2-02721-0001","800 FOX STREET
Bronx, NY 
(40.816826201337, -73.89697639151)","MORRISANIA/LONGWOOD","C7-WALK-UP","22","1931","21000","224243","10.68","139123","6.62","85120","482000","22.95","1.04","2-02980-0046","1301 HOE AVENUE
Bronx, NY 
(40.830518645306, -73.89078725078)","MORRISANIA/LONGWOOD","C1-WALK-UP","17","1931","16750","175696","10.49","102120","6.1","73576","457000","27.28","0.58","2-02980-0048","1297 HOE AVENUE","MORRISANIA/LONGWOOD","C1-WALK-UP","17","1931","16,750","170,148","10.16","103,193","6.16","66,955","417,000","24.9","0.58"
"2-05745-0290","2501 PALISADE AVENUE
Bronx, NY 
(40.880534961738, -73.922380747459)","2","10463","40.880848","-73.922196","8","11","29301","2093896","2057450290","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"28536","446588","15.65","229144","8.03","217444","1488000","52.14","2-03267-0001","141 231 STREET
Bronx, NY 
(40.878049552769, -73.902429465747)","KINGSBRIDGE/JEROME PARK","C7-WALK-UP","25","1912","16200","276886","17.09","159927","9.87","116959","845000","52.16","1.04","2-05755-0019","233 233 STREET
Bronx, NY 
(40.881127695463, -73.903922502332)","KINGSBRIDGE/JEROME PARK","C1-WALK-UP","56","1927","56250","799147","14.21","348122","6.19","451025","3127000","55.59","0.93",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-05743-0198","2390 PALISADE AVENUE
Bronx, NY 
(40.879982832359, -73.921938115916)","2","10463","40.879395","-73.920791","8","11","29301","2083469","2057430198","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"80214","944921","11.78","427541","5.33","517380","2970000","37.03","2-05787-0137","3220 NETHERLAND AVENUE
Bronx, NY 
(40.883961568175, -73.911511205264)","RIVERDALE","D1-ELEVATOR","85","1954","100498","1312394","13.06","505762","5.03","806632","3795000","37.76","0.57","2-05754-0090","225 232 STREET
Bronx, NY 
(40.88038240123, -73.904333150882)","KINGSBRIDGE/JEROME PARK","D1-ELEVATOR","96","1929","87510","1031120","11.78","466325","5.33","564795","2156000","24.64","0.8","2-05732-0924","2700 HENRY HUDSON PARKWAY","RIVERDALE","D1-ELEVATOR","78","1955","108,955","1,229,714","11.29","539,876","4.96","689,838","3,432,000","31.5","0.23"
"2-04341-0001","665 THWAITES PLACE
Bronx, NY 
(40.858899993647, -73.868922833194)","2","10467","40.858853","-73.868957","11","15","33201","2049998","2043410001","Bronxdale                                                                  ",,,,,"125891","1596298","12.68","908933","7.22","687365","4599000","36.53","2-04342-0010","2280 OLINVILLE AVENUE
Bronx, NY 
(40.859362051632, -73.868536757872)","BRONXDALE","D1-ELEVATOR","512","1965","255000","3254182","12.76","1945100","7.63","1309082","8751000","34.32","0.05","2-04426-0005","679 WARING AVENUE
Bronx, NY 
(40.861388476294, -73.868319127862)","BRONXDALE","D1-ELEVATOR","49","1931","47886","602920","12.59","325629","6.8","277291","1857000","38.78","0.16",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
