SchoolName,Number,Street,Unit,City,State,Postcode,Latitude,Longitude,Contact,Telephone,Email,Web,date,time,Borough,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
A. Vollo Transportation Group,3646,37th Street,NULL,Long island City,NY,11106,40.610119,-73.943369,Andrew Vollo,(718) 705-1111,info@vtginstitute.com,http://www.vtginstitute.com,05/30/2019,11:52.6,QUEENS,401,26,55,4009552,4006360047,Queensbridge-Ravenswood-Long Island City,"(40.610119, -73.943369)",13512,32,2,8,36
AAJ Desi Black Yellow Green Professional Driver Academy Inc.,89-36,Sutphin Blvd,3rd Floor,Jamaica,NY,11435,40.703045,-73.808622,Poly Saha,( 347)561-5557,aajdesitaxiacademy@gmail.com,http://www.aajdesitaxiacademy.com,05/30/2019,11:52.6,QUEENS,412,24,240,4206749,4096760013,Jamaica,"(40.703045, -73.808622)",24670,41,3,24,61
NYC Cab Drivers Training Center,5030,Broadway,Suite #626,New York,NY,10034,40.86885,-73.916637,Anthony Cabrera,(718) 503-8004,nyctaxilimotrainingcenter@gmail.com,http://www.nyccabdriverstrainingcenter.com,05/30/2019,11:52.6,MANHATTAN,112,10,303,1064883,1022310001,Marble Hill-Inwood,"(40.86885, -73.916637)",13092,47,4,39,22
AA Driver Training  Center,6402,8th Avenue,Suite  105,Brooklyn,NY,11220,40.633253,-74.012247,Lalo Guo,(718) 886-6249,info@dtadirect.com,http://www.dtadirect.com,05/30/2019,11:52.6,BROOKLYN,310,38,120,3394091,3058217501,Sunset Park East,"(40.633253, -74.012247)",18180,10,2,7,41
Abaan Goog Transportation Education Academy,150-51,14th Avenue,"Lower Level, Unit A",Whitestone,NY,11357,40.792045,-73.809557,Nawaz Amad,(718) 746-4400,info@googeducation.com,http://www.googeducation.com,05/30/2019,11:52.6,QUEENS,407,19,981,4537234,4045180137,Whitestone,"(40.792045, -73.809557)",14192,22,3,20,67
Millennium Drivers Academy,1954,Jerome Ave,NULL,Bronx,NY,10453,40.851797,-73.909214,Pavel Lopez,(718) 733-1220,millenniumdrivers@gmail.com,http://www.millenniumsdriver.com,05/30/2019,11:52.6,BRONX,205,14,23301,2008253,2028530017,Mount Hope,"(40.851797, -73.909214)",10931,6,5,29,29
"Training In Transportation, Inc.",3051,Nostrand Avenue,NULL,Brooklyn,NY,11229,40.610119,-73.943369,JoAnn Tufaro,(646) 886-0156,drivngcrzy@aol.com,http://www.nybustraining.com,05/30/2019,11:52.6,BROOKLYN,315,46,640,3183726,3068150001,Georgetown-Marine Park-Bergen Beach-Mill Basin,"(40.610119, -73.943369)",13512,32,2,8,36
AA Driver Training Center,132-49,41st Road,Suite 1b,Flushing,NY,11355,40.756224,-73.831928,Lalo Guo,(718) 886-6249,info@dtadirect.com,http://www.dtadirect.com,05/30/2019,11:52.6,QUEENS,407,20,849,4534024,4050397505,Flushing,"(40.756224, -73.831928)",14190,22,3,3,67
Trend Transportation Center,3646,37th Street,NULL,Long Island City,NY,11106,40.753252,-73.925983,Klee Walsh,(347) 903-1754,info@trendtransit.com,http://www.trendtransit.com,05/30/2019,11:52.6,QUEENS,401,26,55,4009552,4006360047,Queensbridge-Ravenswood-Long Island City,"(40.753252, -73.925983)",16863,39,3,33,72
CUNY Kingsborough Community College,2001,Oriental Boulevard,Room T4122,Brooklyn,NY,11235,40.577814,-73.935561,Abel Zamora,(718) 368-5189,taxi@kbcc.cuny.edu,http://www.kbcc.cuny.edu,05/30/2019,11:52.6,BROOKLYN,315,48,616,3326937,3087600060,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"(40.577814, -73.935561)",13826,32,2,15,36
"AAA Knowledge Seekers, Inc.",86-11,Lefferts Boulevard,NULL,Richmond Hill,NY,11418,40.701122,-73.831383,Asad R. Siddiqy,(718) 790-2000,queens@knowledgeseekers.nyc,http://www.knowledgeseekers.nyc,05/30/2019,11:52.6,QUEENS,409,29,144,4539223,4092730048,Richmond Hill,"(40.701122, -73.831383)",24014,46,3,28,60
"NYC Driver Institute, Inc.",31-00,47th Avenue,1st floor,Long Island City,NY,11101,40.74209,-73.935516,Charles LaSala,(718) 255-9500,school@tlc.driver.nyc,http://www.tlcdriver.nyc,05/30/2019,11:52.6,QUEENS,402,26,199,4003539,4002810001,Hunters Point-Sunnyside-West Maspeth,"(40.74209, -73.935516)",16858,53,3,33,66
Jamaica One Trainers School,87-12,175th Street,Suite #C1,Jamaica,NY,11432,40.711234,-73.787933,Arif Ekram,(718) 206-9200,jamaicaonetaxi@gmail.com,http://www.jamaicaonetaxi.com,05/30/2019,11:52.6,QUEENS,412,27,462,4600457,4098307502,Jamaica,"(40.711234, -73.787933)",24340,41,3,6,61
"AAA Knowledge Seekers, Inc.",1654,Castle Hill Avenue,NULL,Bronx,NY,11418,40.839097,-73.852733,Asad R. Siddiqy,(718) 524-9900,bronx@knowledgeseekers.nyc,http://www.knowledgeseekers.nyc,05/30/2019,11:52.6,,,,,,,,"(40.839097, -73.852733)",11271,58,5,31,26
