"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 105 - Blythebourne School","Brooklyn","Brooklyn Chinese American Association","718-438-0008","A parent 16 Years Old or Older ","1031 59th Street
Brooklyn, NEW YORK 11219
(40.63300376502, -74.003813362768)","3","11219","40.632936","-74.00374","12","38","214","3140612","3057020001","Borough Park                                                               "
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Southeast Bronx Neighborhood Centers, Inc.","Bronx","Southeast Bronx Neighborhood Center, Inc. (SEBNC)","718-542-2727","A parent 16 Years Old or Older ","955 Tinton Avenue
Bronx, NEW YORK 10456
(40.823097254176, -73.903034140456)","2","10456","40.823096","-73.902991","3","16","133","2091964","2026390001","Morrisania-Melrose                                                         "
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Phipps Community Education Center","Bronx","Phipps Community Development","718-364-2496","A parent 16 Years Old or Older ","1030 178th Street
Bronx, NEW YORK 10460
(40.841345048101, -73.880303879158)","2",,,,,,,,,
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 199Q - Maurice Fitzgerald","Queens","Sunnyside Community Service, Inc.","718-784-6173","A parent 16 Years Old or Older ","39 20 48th Avenue
Queens, NEW YORK 11104
(40.744893366636, -73.920541345307)","4","11104","40.740088","-73.926214","2","26","189","4002915","4002060003","Hunters Point-Sunnyside-West Maspeth                                       "
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 73 - The Bronx School","Bronx","Highbridge Community Life Center (HCLC)","718-681-2222","A parent 16 Years Old or Older ","1020 Anderson Avenue
Bronx, NEW YORK 10452
(40.832779162508, -73.926733511735)","2","10452","40.832706","-73.926838","4","8","189","2003051","2025040082","Highbridge                                                                 "
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 198/77 - Isador & Ida Straus School","New York","Stanley M. Isaacs Neighborhood Center, Inc.","212-360-7625","A parent 16 Years Old or Older ","1700 Third Avenue
New York, NEW YORK 10128
(40.785225895113, -73.949348485037)","1","10128","40.784826","-73.949611","8","5","15801","1048492","1015240023","Upper East Side-Carnegie Hill                                              "
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 92 - Harry T Stewart Senior","Queens","Coalition for Hispanic Family Services","718-497-6090","A parent 16 Years Old or Older ","99 01 34 Avenue
Queens, NEW YORK 11368
(40.749678220374, -73.853040688577)","4","11368","40.755418","-73.869017","3","21","377","4042496","4017140018","North Corona                                                               "
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 225 - Eileen E Zaglin School","Brooklyn","Shorefront YM-YWHA","718-646-1444","A parent 16 Years Old or Older ","1075 Oceanview Avenue
Brooklyn, NEW YORK 11235
(40.579791094425, -73.956433505479)","3","11235","40.579737","-73.956329","13","48","61004","3245498","3087120056","Brighton Beach                                                             "
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 89 - Elmhurst School","Queens","The Child Center of NY","718-659-4000","A parent 16 Years Old or Older ","85 28 Britton Avenue
Queens, NEW YORK 11373
(40.738710402563, -73.878351155182)","4","11373","40.745923","-73.880205","4","25","271","4037370","4015140001","Elmhurst                                                                   "
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 19 - Curtis School","Staten Island","Jewish Community Center of Staten Island, Inc.","718-508-3883","A parent 16 Years Old or Older ","780 Post Avenue Staten Island
NEW YORK,  10310
(40.631189624083, -74.127115288525)","5","10310","40.631214","-74.127101","1","49","141","5006175","5002270024","West New Brighton-New Brighton-St. George                                  "
