"business_name","address","industry_group","type","telephone","cross_streets","zip_code","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Cibo","767 Second Ave ","Food & Drink","Restaurant","212-681-1616","between 41st - 42nd St","10017","MANHATTAN","40.749262","-73.972628","6","4","88","1037546",,"Turtle Bay-East Midtown                                                    "
"Dor L' Dor","770 Second Ave ","AA&F","Women's Apparel",,"between 41st - 42nd St","10017","MANHATTAN","40.749311","-73.972567","6","4","88","1038650","1013340001","Turtle Bay-East Midtown                                                    "
"Verizon Wireless (Metro Wireless)","300 East 42nd St","Misc. Retail","Elec. & Telecom.",,"between 41st - 42nd St","10017","MANHATTAN","40.749413","-73.972275","6","4","88","1038650","1013340001","Turtle Bay-East Midtown                                                    "
"Sussex Wines & Spirits","300 East 42nd St","Food & Drink","Wine & Liquor Store","212-867-5838","between 41st - 42nd St","10017","MANHATTAN","40.749413","-73.972275","6","4","88","1038650","1013340001","Turtle Bay-East Midtown                                                    "
"Innovation Luggage","300 East 42nd St","Misc. Retail","Luggage","212-599-2998","between 41st - 42nd St","10017","MANHATTAN","40.749413","-73.972275","6","4","88","1038650","1013340001","Turtle Bay-East Midtown                                                    "
"Dean's Family Style Restaurant","801 Second Ave ","Food & Drink","Restaurant","212-878-9600","between 42nd - 43rd St","10017","MANHATTAN","40.750398","-73.971794","6","4","88","1037553","1013160030","Turtle Bay-East Midtown                                                    "
"Chase","801 Second Ave ","Financial Services","Full-Service Branch","212-661-7519","between 42nd - 43rd St","10017","MANHATTAN","40.750398","-73.971794","6","4","88","1037553","1013160030","Turtle Bay-East Midtown                                                    "
"McFadden's Saloon","800 Second Ave ","Food & Drink","Restaurant","646-461-6837","between 42nd - 43rd St","10017","MANHATTAN","40.750285","-73.971852","6","4","88","1038658","1013357501","Turtle Bay-East Midtown                                                    "
"Calico Jack's Cantina","800 Second Ave ","Food & Drink","Bars & Lounges","212-557-4300","between 42nd - 43rd St","10017","MANHATTAN","40.750285","-73.971852","6","4","88","1038658","1013357501","Turtle Bay-East Midtown                                                    "
"Bar Kuz 925","800 Second Ave","Food & Drink","Bars & Lounges",,"between 42nd - 43rd St","10017","MANHATTAN","40.750285","-73.971852","6","4","88","1038658","1013357501","Turtle Bay-East Midtown                                                    "
"UN Plaza Pharmacy","800 Second Ave","Misc. Retail","Pharmacy",,"between 42nd - 43rd St","10017","MANHATTAN","40.750285","-73.971852","6","4","88","1038658","1013357501","Turtle Bay-East Midtown                                                    "
"Isaac B. Salon","800 Second Ave ","Pers. & Prof. Services","Hair Salon","212-867-4716","between 42nd - 43rd St","10017","MANHATTAN","40.750285","-73.971852","6","4","88","1038658","1013357501","Turtle Bay-East Midtown                                                    "
"Dunkin Donuts","800 Second Ave ","Food & Drink","Quick-Serve Eatery","212-599-1100","between 42nd - 43rd St","10017","MANHATTAN","40.750285","-73.971852","6","4","88","1038658","1013357501","Turtle Bay-East Midtown                                                    "
"goodburger","800 Second Ave ","Food & Drink","Quick-Serve Eatery","212-922-1700","between 42nd - 43rd St","10017","MANHATTAN","40.750285","-73.971852","6","4","88","1038658","1013357501","Turtle Bay-East Midtown                                                    "
"Fed Ex Office","600 Third Ave ","Pers. & Prof. Services","Printing/Shipping","212-599-2679","between 39th - 40th St","10017","MANHATTAN","40.74898","-73.975783","6","4","80","1019483","1008950045","Murray Hill-Kips Bay                                                       "
"Just Salad","600 Third Ave ","Food & Drink","Restaurant","212-682-3832?","between 39th - 40th St","10017","MANHATTAN","40.74898","-73.975783","6","4","80","1019483","1008950045","Murray Hill-Kips Bay                                                       "
"Java Detour","600 Third Ave ","Food & Drink","Quick-Serve Eatery",,"between 39th - 40th St","10017","MANHATTAN","40.74898","-73.975783","6","4","80","1019483","1008950045","Murray Hill-Kips Bay                                                       "
"Qdoba","600 Third Ave ","Food & Drink","Restaurant",,"between 39th - 40th St","10017","MANHATTAN","40.74898","-73.975783","6","4","80","1019483","1008950045","Murray Hill-Kips Bay                                                       "
"Vacant","605 Third Ave ","Vacant","Vacant",,"between 39th - 40th St","10017","MANHATTAN","40.749076","-73.975682","6","4","88","1082153","1009200012","Turtle Bay-East Midtown                                                    "
"Zengo","622 Third Ave","Food & Drink","Restaurant","212-418-2018","between 40th - 41st St","10017","MANHATTAN","40.749581","-73.975324","6","4","80","1089024","1012950033","Murray Hill-Kips Bay                                                       "
"Duane Reade ","630 Third Ave ","Misc. Retail","Pharmacy",,"between 40th - 41st St","10017","MANHATTAN","40.749798","-73.975165","6","4","80","1036149","1012950040","Murray Hill-Kips Bay                                                       "
"Docks","633 Third Ave ","Food & Drink","Restaurant","212-986-8080","between 40th - 41st","10017","MANHATTAN","40.74991","-73.975061","6","4","88","1037174","1013147502","Turtle Bay-East Midtown                                                    "
"NYSC","633 Third Ave ","Pers. & Prof. Services","Fitness Club","212-661-8500","between 40th - 41st","10017","MANHATTAN","40.74991","-73.975061","6","4","88","1037174","1013147502","Turtle Bay-East Midtown                                                    "
"Chase Bank","633 Third Ave ","Financial Services","Full-Service Branch","212-622-5810","between 40th - 41st","10017","MANHATTAN","40.74991","-73.975061","6","4","88","1037174","1013147502","Turtle Bay-East Midtown                                                    "
"Sinigual","640 Third Ave","Food & Drink","Restaurant",,"between 41st - 42nd St","10017","MANHATTAN","40.750204","-73.974869","6","4","80","1036153","1012967502","Murray Hill-Kips Bay                                                       "
"The Vitamin Shoppe","639 Third Ave","Misc. Retail","Health & Beauty","212-867-5515","between 41st - 42nd St","10017","MANHATTAN","40.750196","-73.974851","6","4","88","1037545","1013150001","Turtle Bay-East Midtown                                                    "
"Starbucks","639 Third Ave ","Food & Drink","Quick-Serve Eatery","212-973-1377","between 41st - 42nd St","10017","MANHATTAN","40.750196","-73.974851","6","4","88","1037545","1013150001","Turtle Bay-East Midtown                                                    "
"Sprint","655 Third Ave ","Misc. Retail","Elec. & Telecom.","212-702-8933","between 41st - 42nd St","10017","MANHATTAN","40.750569","-73.974577","6","4","88","1037545","1013150001","Turtle Bay-East Midtown                                                    "
"Duane Reade ","666 Third Ave ","Misc. Retail","Pharmacy","212-599-4351","between 42nd - 43rd St","10017","MANHATTAN","40.751049","-73.974252","6","4","92","1036161","1012970033","Turtle Bay-East Midtown                                                    "
"Staples","675 Third Ave ","Misc. Retail","Office Supplies",,"between 42nd - 43rd St","10017","MANHATTAN","40.750791","-73.973963","6","4","88","1037549","1013160001","Turtle Bay-East Midtown                                                    "
"Crisp","684 Third Ave ","Food & Drink","Quick-Serve Eatery","212-661-0000","between 43rd - 44th St","10017","MANHATTAN","40.751658","-73.973815","6","4","92","1080446","1012980033","Turtle Bay-East Midtown                                                    "
"GNC","684 Third Ave ","Misc. Retail","Heatlh & Beauty","212- 867-5504  ","between 43rd - 44th St","10017","MANHATTAN","40.751658","-73.973815","6","4","92","1080446","1012980033","Turtle Bay-East Midtown                                                    "
"Café Hestia","686 Third Ave","Food & Drink","Quick-Serve Eatery",,"between 43rd - 44th St","10017","MANHATTAN","40.751697","-73.973786","6","4","92","1036164","1012980034","Turtle Bay-East Midtown                                                    "
"Naya Express","686 Third Ave","Food & Drink","Quick-Serve Eatery",,"between 43rd - 44th St","10017","MANHATTAN","40.751697","-73.973786","6","4","92","1036164","1012980034","Turtle Bay-East Midtown                                                    "
"Five Guys Burgers","690 Third Ave ","Food & Drink","Quick-Serve Eatery","212-265-2280","between 43rd - 44th St","10017","MANHATTAN","40.751776","-73.973728","6","4","92","1036165","1012980036","Turtle Bay-East Midtown                                                    "
