"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","location_point"
"50120610","REDOLENCE","Brooklyn","1140","UTICA AVENUE","11203","3013291387",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2022-08-29T06:00:17.000",,"40.645014721871","-73.929674564511","317","45","085000","3105284","3047600027","BK91",
"50115185",,"Manhattan","4488","BROADWAY","10040","9175770429",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2022-08-29T06:00:17.000",,"40.857562195475","-73.932171077489","112","10","028300","1064057","1021700078","MN35",
"50105771","USA BROOKLYN DELICATESSEN","Manhattan","200","WEST   57 STREET","10019","6469271604",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2022-08-29T06:00:17.000",,"40.765620601665","-73.980314527962","105","04","013700","1024896","1010280033","MN17",
"50121135","NU-U JUICEBAR","Brooklyn","1030","UNION STREET","11225","3478677904",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2022-08-29T06:00:17.000",,"40.669638178421","-73.957668703373","309","35","032500","3337861","3012730011","BK63",
"50117514","HEBURECHNAYA I. S. INC","Queens","9209","63RD DR","11374","7185910902",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2022-08-29T06:00:17.000",,"40.727510270587","-73.864019784125","406","29","069300","4072456","4030940042","QN18",
"50105261","LES AMIS CAFE","Queens","3117","DITMARS BLVD","11105","3478669997",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2022-08-29T06:00:17.000",,"40.775756448444","-73.910154370696","401","22","011300","4016931","4008310034","QN72",
"50120569",,"Manhattan","120","WATER STREET","10005","6469339020",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2022-08-29T06:00:17.000",,"40.705292146508","-74.007242346763","101","01","000700","1000000","1000390041","MN25",
"50107778","AREA 53","Brooklyn","160","SCOTT AVENUE","11237","7185221267",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2022-08-29T06:00:17.000",,"40.712318379188","-73.923810231641","301","34","044900","3070579","3029790005","BK90",
"50123457",,"Staten Island","4852","ARTHUR KILL ROAD","10309","7189660651",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2022-08-29T06:00:17.000",,"40.523806851919","-74.239202423247","503","51","022600","5134158","5075840176","SI11",
"50118536","PARIS OVEN BAKERY","Queens","4006","34TH AVE","11101","3475381240",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2022-08-29T06:00:17.000",,"40.756592094398","-73.920716556739","401","26","015700","4430185","4006730016","QN70",
"50046760","CANTEEN","Brooklyn","2436","NOSTRAND AVENUE","11210","3477028988","Jewish/Kosher","2018-11-01T00:00:00.000","Violations were cited in the following area(s).","09B","Thawing procedures improper.","Not Critical","7","A","2018-11-01T00:00:00.000","2022-08-29T06:00:14.000","Cycle Inspection / Initial Inspection","40.625373971769","-73.946623072886","314","45","075000","3207873","3076110069","BK43",
"50113470","DSTRKT COFFEE INC.","Brooklyn","67","DRIGGS AVENUE","11222","9177311729",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2022-08-29T06:00:17.000",,"40.723313400103","-73.941634213284","301","33","059100","3067753","3027050021","BK76",
"50113722",,"Queens","4403","KISSENA BLVD","11355","6465785608",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2022-08-29T06:00:17.000",,"40.753740376159","-73.822624131172","407","20","085900","4117221","4051920034","QN22",
"50043207","HARTLEY'S","Brooklyn","14","PUTNAM AVENUE","11238","3477992877","American","2018-02-03T00:00:00.000","Violations were cited in the following area(s).","10C","Lighting Inadequate","Not Critical","11","A","2018-02-03T00:00:00.000","2022-08-29T06:00:14.000","Cycle Inspection / Initial Inspection","40.682715585332","-73.961327184759","302","35","022700","3057234","3019910009","BK69",
"50113925","BAD HABITS","Queens","3203","BROADWAY","11106","3477385989",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2022-08-29T06:00:17.000",,"40.761537925688","-73.924450405102","401","22","006100","4008406","4006140008","QN70",
"50113664","EFFYS CAFE","Manhattan","1688","YORK AVENUE","10128","9175530321",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2022-08-29T06:00:17.000",,"40.777595882887","-73.94588676926","108","05","014402","1051363","1015850051","MN32",
"50079630","BEAN & BARLEY","Manhattan","2118","FREDERICK DOUGLASS BOULEVARD",,"9148300980","American","2020-02-27T00:00:00.000","Violations were cited in the following area(s).","04M","Live roaches present in facility's food and/or non-food areas.","Critical","9",,,"2022-08-29T06:00:14.000","Cycle Inspection / Initial Inspection","0","0",,,,,"1",,
"50115677","10TH FL CATERING","Manhattan","10","COLUMBUS CIRCLE","10019","7043286907",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2022-08-29T06:00:17.000",,"40.767808491195","-73.982266967297","104","03","014500","1026318","1010497501","MN14",
