"property_id","year_ending","generation_date","account_id","property_id_1","property_name","parent_property_id","parent_property_name","nyc_borough_block_and_lot","nyc_building_identification","address_1","address_2","city","county","postcode","primary_property_type_self","primary_property_type","national_median_reference","list_of_all_property_use","largest_property_use_type","largest_property_use_type_1","_2nd_largest_property_use","_2nd_largest_property_use_1","_3rd_largest_property_use","_3rd_largest_property_use_1","year_built","number_of_buildings","occupancy","metered_areas_energy","metered_areas_water","energy_star_score","energy_star_certification","energy_star_certification_1","energy_star_certification_2","site_eui_kbtu_ft","weather_normalized_site_eui","national_median_site_eui","difference_from_national","site_energy_use_kbtu","weather_normalized_site_energy","national_median_site_energy","weather_normalized_site","weather_normalized_site_1","source_eui_kbtu_ft","weather_normalized_source","national_median_source_eui","difference_from_national_1","source_energy_use_adjusted","source_energy_use_kbtu","weather_normalized_source_1","national_median_source_energy","fuel_oil_1_use_kbtu","fuel_oil_2_use_kbtu","fuel_oil_4_use_kbtu","fuel_oil_5_6_use_kbtu","diesel_2_use_kbtu","kerosene_use_kbtu","propane_use_kbtu","district_steam_use_kbtu","district_hot_water_use_kbtu","district_chilled_water_use","natural_gas_use_kbtu","weather_normalized_site_2","electricity_use_grid_purchase","electricity_use_grid_purchase_1","weather_normalized_site_3","electricity_use_grid_purchase_2","electricity_use_generated","electricity_use_generated_1","electricity_use_generated_2","annual_maximum_demand_kw","annual_maximum_demand_mm","annual_maximum_demand_meter","green_power_onsite_kwh","green_power_offsite_kwh","avoided_emissions_onsite","avoided_emissions_offsite","total_ghg_emissions_metric","direct_ghg_emissions_metric","indirect_ghg_emissions_metric","national_median_total_ghg","estimated_data_flag","estimated_data_flag_natural","estimated_data_flag_fuel","estimated_data_flag_fuel_1","estimated_data_flag_fuel_2","estimated_data_flag_district","egrid_output_emissions_rate","net_emissions_metric_tons","percent_of_electricity_that","percent_of_recs_retained","percent_of_total_electricity","costar_property_id","leed_us_project_id","ambulatory_surgical_center","automobile_dealership_gross","bank_branch_gross_floor_area","bank_branch_number_of","college_university_gross","college_university_number","convention_center_gross_floor","courthouse_gross_floor_area","data_center_gross_floor_area","data_center_pdu_input_meter","data_center_pdu_output_meter","data_center_it_equipment","data_center_it_site_energy","data_center_it_source_energy","data_center_pue","data_center_national_median","data_center_ups_output_meter","data_center_cooling_equipment","data_center_it_energy","data_center_ups_system","distribution_center_gross","enclosed_mall_gross_floor","energy_power_station_gross","financial_office_gross_floor","financial_office_number_of","financial_office_number_of_1","financial_office_weekly","fitness_center_health_club","food_sales_gross_floor_area","food_service_gross_floor","hospital_general_medical","hospital_general_medical_1","hospital_general_medical_2","hospital_general_medical_3","hospital_general_medical_4","hospital_general_medical_5","hospital_general_medical_6","hospital_general_medical_7","hospital_general_medical_8","hospital_general_medical_9","hospital_general_medical_10","hospital_general_medical_11","hospital_general_medical_12","medical_office_gross_floor","medical_office_number_of","medical_office_number_of_1","medical_office_percent_that","medical_office_percent_that_1","medical_office_weekly","outpatient_rehabilitation","urgent_care_clinic_other","k_12_school_gross_floor_area","laboratory_gross_floor_area","mailing_center_post_office","manufacturing_industrial","movie_theater_gross_floor","multifamily_housing_gross","multifamily_housing_government","multifamily_housing_number","multifamily_housing_number_1","multifamily_housing_number_2","multifamily_housing_total","multifamily_housing_percent","multifamily_housing_percent_1","multifamily_housing_resident","multifamily_housing_number_3","multifamily_housing_total_1","multifamily_housing_number_4","multifamily_housing_number_5","multifamily_housing_number_6","multifamily_housing_number_7","other_computer_density_number","office_gross_floor_area_ft","office_number_of_computers","office_number_of_workers","office_percent_that_can_be","office_percent_that_can_be_1","office_weekly_operating_hours","office_worker_density_number","museum_gross_floor_area_ft","non_refrigerated_warehouse","other_gross_floor_area_ft","other_weekly_operating_hours","other_number_of_computers","other_number_of_workers_on","performing_arts_gross_floor","pre_school_daycare_gross","supermarket_grocery_gross","refrigerated_warehouse_gross","repair_services_vehicle_shoe","residence_hall_dormitory","restaurant_gross_floor_area","self_storage_facility_gross","senior_care_community_gross","social_meeting_hall_gross","wholesale_club_supercenter","worship_facility_gross_floor","retail_store_gross_floor","restaurant_worker_density","restaurant_weekly_operating","retail_store_walk_in","retail_store_percent_that","retail_store_open_or_closed","retail_store_number_of_walk","retail_store_number_of_open","parking_gross_floor_area","parking_open_parking_lot","hotel_gross_floor_area_ft","hotel_gym_fitness_center","hotel_room_density_number","hotel_worker_density_number","hotel_percent_that_can_be","estimated_data_flag_1","alert_data_center_issue_with","alert_gross_floor_area_is","alert_energy_meter_has_single","alert_energy_meter_has","alert_energy_meter_has_gaps","alert_energy_meter_has_less","alert_energy_no_meters","alert_property_has_no_uses","data_quality_checker_run","data_quality_checker_date","default_values","estimated_values_energy","temporary_values","estimated_values_water","property_gfa_self_reported","property_gfa_calculated","property_gfa_calculated_1","property_gfa_calculated_2","water_current_date","water_use_all_water_sources","indoor_water_use_all_water","indoor_water_use_intensity","outdoor_water_use_all_water","municipally_supplied_potable","municipally_supplied_potable_1","water_use_intensity_all_water","municipally_supplied_potable_2","water_score_multifamily_only","irrigated_area_ft","third_party_certification","third_party_certification_1","third_party_certification_2","supermarket_grocery_open","convenience_store_with_gas","convenience_store_with_gas_1","financial_office_computer","senior_care_community_living","last_modified_date_property","last_modified_date_electric","last_modified_date_gas_meters","last_modified_date_non","last_modified_date_water","borough","latitude","longitude","community_board","council_district","census_tract","nta"
"4593574","2017-12-31T00:00:00.000","2018-02-14T00:00:00.000","129858","4593574","The Argonaut Building",,,"1010287502","1024898","224 West 57th St",,"New York",,"10019","Office","Office","CBECS - Office & Bank/Financial","Bank Branch, Office","Office","164754","Bank Branch","4662",,,"1909","1","95","Whole Building","Whole Building","90","20172016","2017-02-28T00:00:00.000","Yes","53.8","56.2","98.5","-45.3","9120623.9","9515719.3","16687684","11.3","0.1","138.4","141","253.2","-45.3","23442537.1","23442537.1","23882428.7","42891984",,,,,,,,"1133475.1",,,"1435754.7","16672.2","6551394.1","1920103.6","1920103.6","6551394.8",,,,,,,,"1805758",,"597.4","732.4","76.3","656.1","1340","No","No",,,,"No","88.7","134.9","94.0448",,,,"1000077349",,,"4662","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"164754","515.67","429.91","100","100","48","2.60939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ok","Ok","Ok","Ok","Ok","Ok","Ok","Ok","No",,"No","No","No","No","169416","169416","169416",,"2017-12-31T00:00:00.000","3635.5",,,,"3635.5",,"21.46",,,,"2017-04-21T00:00:00.000","LEED","2017-07-19T00:00:00.000",,,,,,"01/26/2018 02:37 PM EST","01/26/2018 02:37 PM EST","01/26/2018 02:13 PM EST","01/25/2018 03:17 PM EST",,"MANHATTAN","40.765949","-73.981073","105","4","137","Midtown-Midtown South"
"6224375","2017-12-31T00:00:00.000","2018-02-14T00:00:00.000","74175","6224375","Operative Cakes",,,"2-00560-0062;2-05560-0062","2087721;2080293","711-733 Brush Avenue",,"Bronx",,"10465","Non-Refrigerated Warehouse","Non-Refrigerated Warehouse","CBECS - Unrefrigerated Warehouse & Distribution Center","Non-Refrigerated Warehouse","Non-Refrigerated Warehouse","104407",,,,,"1973","2","100","Whole Building","Whole Building",,,,"No","32",,"22.7","41.1","3337870.1",,"2365579.9","7.1",,"84.6",,"60","41.1",,"8833819.4",,"6260610.6",,"773283",,,,,,,,,,,"2564587.1","751637.4","745273.8","2564587.2",,,,,,,,"0",,"0","284.8","57.4","227.4","201.8","No",,"No",,,,"88.7","284.8","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ok","Ok","Ok","Ok","Ok","Ok","Ok","Ok","No",,"No","No","No","No","104407","104407","104407",,"2018-12-31T00:00:00.000","116","116","1.11",,,"116","1.11",,,,,,,,,,,,"02/14/2018 02:22 PM EST","02/14/2018 02:12 PM EST",,"02/14/2018 02:16 PM EST","02/14/2018 02:22 PM EST","BRONX","40.821209","-73.837894","210","13","90","Soundview-Castle Hill-Clason Point-Harding Park"
"2967701","2017-12-31T00:00:00.000","2018-02-14T00:00:00.000","8760","2967701","Cathedral Preparatory Seminary",,,"4-01872-0007","4046340","56-25 92nd Street",,"Flushing",,"11373","K-12 School","K-12 School","CBECS - Elementary/Middle & High School","K-12 School","K-12 School","94380",,,,,"1963","1","100","Whole Building",,"100",,,"No","28.4","31.3","94.9","-70","2684643.8","2952627","8953801.2","2","0.2","43.5","46.8","145.1","-70","4107034.4","4107034.4","4413318","13697745.6",,,,,,,,,,,"2068300.1","23243.7","616343.7","180640","184131.9","616343.7",,,,,,,,"0",,"0","164.5","109.9","54.6","548.6","No","No",,,,,"88.7","164.5","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ok","Ok","Ok","Ok","Ok","Ok","Ok","Ok","No",,"Yes","No","No","No","94380","94380","94380",,"2017-12-31T00:00:00.000","102.9","102.9","1.09",,,"102.9","1.09",,,,,,,,,,,,"01/24/2018 04:24 PM EST",,"01/24/2018 04:23 PM EST",,"01/24/2018 04:24 PM EST","QUEENS","40.736195","-73.869956","404","25","683","Elmhurst"
"4898531","2017-12-31T00:00:00.000","2018-02-14T00:00:00.000","8760","4898531","The Nomad Hotel",,,"1-00829-0050","1080710","1170 Broadway",,"New York",,"10001-7507","Hotel","Hotel","CBECS - Hotel & Motel/Inn","Hotel","Hotel","125000",,,,,"1999","1","85","Whole Building","Whole Building","83",,,"Yes","130.2","133.7","186.7","-30.3","16279359.5","16711605","23341741.6","18.8","0.7","271.1","274.7","388.7","-30.3","33884208.5","33884208.5","34338066.2","48584001.9",,,,,,,,,,,"8245445.1","86776.9","8033914.4","2354605.3","2354605.3","8033915.7",,,,,,,,"0",,"0","1150.2","438","712.3","1649.2","No","No",,,,,"88.7","1150.2","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"125000","700","1.344","2","100",,"Ok","Ok","Ok","Ok","Ok","Ok","Ok","Ok","No",,"No","No","No","No","125000","125000","125000",,"2017-12-31T00:00:00.000","10762.6","10762.6","86.1",,,"10762.6","86.1",,,,,,,,,,,,"02/07/2018 12:05 PM EST","02/06/2018 12:41 PM EST","02/07/2018 11:40 AM EST",,"02/07/2018 12:05 PM EST",,,,,,,
"2917939","2017-12-31T00:00:00.000","2018-02-14T00:00:00.000","12272","2917939","10 West 27 Street Corp",,,"1-00828-0053","1015657","1155 Broadway",,"New York",,"10001","Hotel","Hotel","CBECS - Hotel & Motel/Inn","Hotel","Hotel","50000",,,,,"1994","1","100","Whole Building",,"27",,,"No","76.5","80.8","62.1","23.3","3825211.3","4039630.6","3102538.4","11.7","0.4","163","167.9","132.2","23.3","8147757.9","8147757.9","8395581.5","6608454.2",,,,,,,,,,,"1848519.4","20520.9","1976691.9","579335.2","582516.1","1976692",,,,,,,,"0",,"0","273.4","98.2","175.3","221.8","No","No",,,,,"88.7","273.4","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50000","0","1.38","0.28","100",,"Ok","Ok","Ok","Ok","Ok","Ok","Ok","Ok","No",,"No","No","No","Yes","50000","50000","50000",,"2018-02-28T00:00:00.000","790.1","790.1","15.8",,,"790.1","15.8",,,,,,,,,,,,"01/31/2018 03:20 PM EST","01/31/2018 03:00 PM EST","01/31/2018 03:01 PM EST",,"01/31/2018 03:20 PM EST","MANHATTAN","40.74431","-73.988924","105","3","58","Hudson Yards-Chelsea-Flatiron-Union Square"
"3878205","2017-12-31T00:00:00.000","2018-02-14T00:00:00.000","12272","3878205","Westbury Realty",,,"1-00065-0024","1001105","24 John Street",,"New York",,"10038","Hotel","Hotel","CBECS - Hotel & Motel/Inn","Hotel","Hotel","50000",,,,,"2012","1","0","Whole Building","Whole Building","99",,,"No","20.5","20.5","49.6","-58.7","1022951.6","1022951.6","2478852.5","6",,"64.2","64.2","155.7","-58.7","3212068.1","3212068.1","3212068.1","7783597.6",,,,,,,,,,,,,"1022951.6","299809.9","299809.9","1022951.7",,,,,,,,"0",,"0","90.7","0","90.7","219.8","No","No",,,,,"88.7","90.7","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50000","1000","1.78","0.4","100",,"Ok","Ok","Ok","Ok","Ok","Ok","Ok","Ok","No",,"Yes","No","No","Yes","50000","50000","50000",,"2017-12-31T00:00:00.000","143","143","2.86",,,"143","2.86",,,,,,,,,,,,"01/31/2018 03:46 PM EST","01/31/2018 03:27 PM EST",,,"01/31/2018 03:46 PM EST","MANHATTAN","40.709765","-74.008765","101","1","1502","Battery Park City-Lower Manhattan"
"2920468","2017-12-31T00:00:00.000","2018-02-14T00:00:00.000","69224","2920468","Union Temple",,,"3-01172-0006","3259310","17 Eastern Parkway",,"Brooklyn",,"11238","Worship Facility","Mixed Use Property","CBECS - Other","Office, Other, Other - Recreation, Worship Facility","Worship Facility","28086","Other - Recreation","28006","Office","9134","1925","1","100","Whole Building",,,,,"No","38.9",,"78.2","-50.2","2848034.8",,"5717949.4",,,"61.3",,"123.1","-50.2",,"4485552.9",,"9005565.1",,,"2092618",,,,,,,,,,"755416.8","221400",,"755416.8",,,,,,,,"0",,"0","224.5","157.6","67","450.8","No",,,"Yes",,,"88.7","224.5","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.20207","9134","18.27","21.01","100","100","65","2.3",,,"7918","40","1.6","0",,,,,,,,,,,,"28086",,,,,,,,,,,,,,,,,"Ok","Ok","Possible Issue","Ok","Ok","Ok","Ok","Ok","No",,"Yes","Yes","Yes","Yes","73144","73144","73144",,"2017-12-31T00:00:00.000","1380",,,,"1380",,"18.87",,,,,,,,,,,,"02/14/2018 05:42 PM EST",,,"02/14/2018 05:42 PM EST",,"BROOKLYN","40.673063","-73.968071","308","35","207","Prospect Heights"
"2645118","2017-12-31T00:00:00.000","2018-02-15T00:00:00.000","198810","2645118","155 West 66th Street Condominium",,,"1011387503","1028838","155 West 66th Street",,"New York","United States","10023","Hotel","Hotel","CBECS - Hotel & Motel/Inn","Hotel, Non-Refrigerated Warehouse, Other, Supermarket/Grocery Store","Hotel","120780","Supermarket/Grocery Store","13799","Non-Refrigerated Warehouse","4455","1999","1","100","Whole Building","Tenant areas (all energy loads)",,,,"No","117.7","120.1","78.3","50.2","16720365.5","17059214","11132210.7","15.5","0.1","243.4","244.6","162.1","50.2",,"34588560","34747928.9","23028631.2",,,,,,,,"7195772.2",,,"1902140","19893.7","7622453.3","2234013","2198465.5","7622452.4",,,,,,,,"0",,"0","1254.6","101","1153.6","835.3","No","No",,,,"No","88.7","1254.6","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.65488",,,,,,,,,"4455","3054","76","2","6",,,"13799",,,,,,,,,,,,,,,,,,,,"120780","0","0.61268","0.19871","80",,"Ok","Ok","Ok","Ok","Ok","Ok","Ok","Ok","Yes","2018-02-13T00:00:00.000","Yes","No","No","No","142088","142088","142088",,"2017-12-31T00:00:00.000","2641.6","2641.6","18.59",,,"2641.6","18.59",,,,,,,"2.1016",,,,,"02/13/2018 04:21 PM EST","02/13/2018 04:11 PM EST","02/13/2018 03:48 PM EST","02/13/2018 04:10 PM EST","02/13/2018 04:21 PM EST","MANHATTAN","40.774386","-73.983399","107","6","153","Lincoln Square"
"4376215","2017-12-31T00:00:00.000","2018-02-15T00:00:00.000","120249","4376215","38-20 Bowne Street Flushing",,,"4-05020-0023","4113595","38-20 Bowne Street",,"Flushing",,"11354","Multifamily Housing","Other - Lodging/Residential","CBECS - Lodging","Other - Lodging/Residential","Other - Lodging/Residential","193975",,,,,"1975","1","100","Whole Building","Whole Building",,,,"No","53.9","56.2","49.5","8.7","10446179.3","10908635.1","9608710.3","16.5",,"169.1","176.6","155.5","8.7",,"32801002.9","34253114.1","30171354",,,,,,,,,,,,,"10446179.3","3061599.6","3197137.7","10446179.2",,,,,,,,"0",,"0","926.2","0","926.2","851.9","No",,,,,,"88.7","926.2","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ok","Ok","Ok","Ok","Ok","Ok","Ok","Ok","Yes","2018-02-06T00:00:00.000","No","No","No","No","193975","193975","193975",,"2017-12-31T00:00:00.000","18570.4","18570.4","95.74",,,"18570.4","95.74",,,,,,,,,,,,"02/06/2018 12:44 PM EST","02/06/2018 12:28 PM EST",,,"02/06/2018 12:44 PM EST","QUEENS","40.761944","-73.824863","407","20","865","Flushing"
"2815759","2017-12-31T00:00:00.000","2018-02-15T00:00:00.000","33730","2815759","Queens- Queen Grand Realty",,,"4026110106","4059001","4710 Grand Ave",,"Queens",,"11385","Distribution Center","Distribution Center","CBECS - Unrefrigerated Warehouse & Distribution Center","Distribution Center","Distribution Center","200000",,,,,"1950","1","100","Whole Building","Whole Building","37",,,"No","42.4","45.4","35.1","20.7","8477611.7","9083643.4","7022782.2","7.8","0.2","99.2","103.2","82.2","20.7","19841491.9","19841491.9","20637352.4","16436526.8",,,,,,,,,,,"3243162.2","37728.7","5234449.5","1534129.2","1556499.9","5234448.1",,,,,,,,"0",,"0","636.3","172.3","464.1","527.1","No","No",,,,,"88.7","636.3","0",,,,,,,,,,,,,,,,,,,,,,,,,"200000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false","Ok","Ok","Ok","Ok","Ok","Ok","Ok","Ok","No",,"No","No","No","No","200000","200000","200000",,"2017-12-31T00:00:00.000","1003.2",,,"1003.2",,,"5.02","1003.2",,,,,,,,,,,"02/14/2018 03:47 PM EST","02/09/2018 08:59 AM EST","02/14/2018 03:47 PM EST",,"02/14/2018 03:23 PM EST","QUEENS","40.716883","-73.921193","405","30","535","Maspeth"
