"agency","dataset","dataset_description","update_frequency","original_plan_date","latest_plan_date","release_status","release_date","url1","u_id","agency_notes","from_the_2021_open_data_plan_"
"Brooklyn Borough President (BPBK)","Food Pantries","Location of food pantries in Brooklyn and the distribution schedule","As Needed","2021-06-30T00:00:00.000","2021-10-31T00:00:00.000","Removed from the plan",,,,"This data was originally published on the Brooklyn Borough President’s website for informational purposes.  The underlying data is owned and maintained by another city agency or organization, and as such is being removed from the compliance plan","Y"
"Brooklyn Borough President (BPBK)","NYCHA Housing","Listing of NYCHA housing and their locations","As Needed","2021-06-30T00:00:00.000","2021-10-31T00:00:00.000","Removed from the plan",,,,"This data was originally published on the Brooklyn Borough President’s website for informational purposes.  The underlying data is owned and maintained by another city agency or organization, and as such is being removed from the compliance plan","Y"
"Brooklyn Borough President (BPBK)","Capital Budget","Listing of capital projects with BPs allocation and their respective community districts","As Needed","2021-06-30T00:00:00.000","2021-10-31T00:00:00.000","Removed from the plan",,,,"This data was originally published on the Brooklyn Borough President’s website for informational purposes.  The underlying data is owned and maintained by another city agency or organization, and as such is being removed from the compliance plan","Y"
"Brooklyn Borough President (BPBK)","Public Schools","Directory of public schools in Brooklyn","As Needed","2021-06-30T00:00:00.000","2021-10-31T00:00:00.000","Removed from the plan",,,,"This data was originally published on the Brooklyn Borough President’s website for informational purposes.  The underlying data is owned and maintained by another city agency or organization, and as such is being removed from the compliance plan","Y"
"Brooklyn Borough President (BPBK)","Brooklyn Arts Council Grantees","This map represents awardees of Destination Brooklyn to support the promotion of arts and culture","As Needed","2021-06-30T00:00:00.000","2021-10-31T00:00:00.000","Removed from the plan",,,,"This data was originally published on the Brooklyn Borough President’s website for informational purposes.  The underlying data is owned and maintained by another city agency or organization, and as such is being removed from the compliance plan","Y"
"Brooklyn Borough President (BPBK)","Public Pools","Public pools in Brooklyn","As Needed","2021-06-30T00:00:00.000","2021-10-31T00:00:00.000","Removed from the plan",,,,"This data was originally published on the Brooklyn Borough President’s website for informational purposes.  The underlying data is owned and maintained by another city agency or organization, and as such is being removed from the compliance plan","Y"
"Brooklyn Borough President (BPBK)","BK Cornerstone Recipients","Listing of cornerstone recipients.  These recipients are chosen by their block associations","As Needed","2021-06-30T00:00:00.000","2021-10-31T00:00:00.000","Removed from the plan",,,,"This data was originally published on the Brooklyn Borough President’s website for informational purposes.  The underlying data is owned and maintained by another city agency or organization, and as such is being removed from the compliance plan","Y"
"Brooklyn Borough President (BPBK)","Brooklyn's MWBE Firms","Directory of certified Brooklyn MWBE firms","As Needed","2021-06-30T00:00:00.000","2021-10-31T00:00:00.000","Removed from the plan",,,,"This data was originally published on the Brooklyn Borough President’s website for informational purposes.  The underlying data is owned and maintained by another city agency or organization, and as such is being removed from the compliance plan","Y"
"Brooklyn Borough President (BPBK)","Green Markets","Listing of green markets with their hours of operation","As Needed","2021-06-30T00:00:00.000","2021-10-31T00:00:00.000","Removed from the plan",,,,"This data was originally published on the Brooklyn Borough President’s website for informational purposes.  The underlying data is owned and maintained by another city agency or organization, and as such is being removed from the compliance plan","Y"
"Brooklyn Borough President (BPBK)","Bike Lanes","Bike lanes in Brooklyn","As Needed","2021-06-30T00:00:00.000","2021-10-31T00:00:00.000","Removed from the plan",,,,"This data was originally published on the Brooklyn Borough President’s website for informational purposes.  The underlying data is owned and maintained by another city agency or organization, and as such is being removed from the compliance plan","Y"
"Brooklyn Borough President (BPBK)","Brooklyn Parks","Map of all parks in Brooklyn","As Needed","2021-06-30T00:00:00.000","2021-10-31T00:00:00.000","Removed from the plan",,,,"This data was originally published on the Brooklyn Borough President’s website for informational purposes.  The underlying data is owned and maintained by another city agency or organization, and as such is being removed from the compliance plan","Y"
"Brooklyn Borough President (BPBK)","Brooklyn Hospitals, Urgent Care & Health Centers","Listing of hospitals, urgent care, and health centers and their location","As Needed","2021-06-30T00:00:00.000","2021-10-31T00:00:00.000","Removed from the plan",,,,"This data was originally published on the Brooklyn Borough President’s website for informational purposes.  The underlying data is owned and maintained by another city agency or organization, and as such is being removed from the compliance plan","Y"
"Brooklyn Borough President (BPBK)","Brooklyn Police Precincts","Listing of precincts and their contact information","As Needed","2021-06-30T00:00:00.000","2021-10-31T00:00:00.000","Removed from the plan",,,,"This data was originally published on the Brooklyn Borough President’s website for informational purposes.  The underlying data is owned and maintained by another city agency or organization, and as such is being removed from the compliance plan","Y"
"City Council (NYCC)","Transit Survey (2019)","A survey of subway and bus riders conducted in 2019","Historical Data","2020-12-31T00:00:00.000","2021-12-31T00:00:00.000","Scheduled for release",,,,"Unexpected delay due to remote working","Y"
"City Council (NYCC)","Land use items","This list contains information related to land use items before the Council.","Monthly","2018-12-31T00:00:00.000","2021-12-31T00:00:00.000","Scheduled for release",,,,"Release may be achieved as part of a pending update of Legistar data sets","Y"
"City Council (NYCC)","NYC Council Capital Projects","A dataset of capital projects funded by the Council","Annually","2018-12-31T00:00:00.000","2021-12-31T00:00:00.000","Scheduled for release",,,,"Adjusting internal process for release to the portal","Y"
"Civilian Complaint Review Board (CCRB)","Officer Histories (2000-Present)","All allegation histories for NYPD members of service from the year 2000 until the present","Daily","2021-10-31T00:00:00.000","2021-10-31T00:00:00.000","Scheduled for release",,,,,"Y"
"Civilian Complaint Review Board (CCRB)","Officer Histories (all)","All allegation histories for NYPD members of service","Daily","2021-10-31T00:00:00.000","2021-10-31T00:00:00.000","Scheduled for release",,,,,"Y"
