"company_name","company_contact","company_email","company_phone","address","city","state","zip","industry","industry_descr","company_type","current_fulltime","job_created","job_retain","effective_date","total_savings","savings_from_beginning","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"1 State Street","David Neiburg","eskoblo@energyspec.com","7186779077","1114 Avenue J","Brooklyn","NY","11230","Commercial","35 story building","LMEP",,,,"2005-03-04T00:00:00.000","0","349.78","Brooklyn","40.624784","-73.96492","314","44","534","3179818","3067130006","Midwood"
"100 Church LLC","Edward A. Carroll",,"2125663000","100 Church Street","NY","NY","10007","Commercial","21 Floors","LMEP",,,,"2008-04-02T00:00:00.000","136578.20","4423698.05","New York","40.712968","-74.00949","101","1","21","1001409","1001250020","SoHo-TriBeCa-Civic Center-Little Italy"
"100 Wall Investments","Jerry Branam",,"2122487160","96 Wall Street","New York","NY","10005","Landlord",,"LMEP","1238",,,"2015-01-05T00:00:00.000","302959.40","1814542.62","New York","40.705052","-74.007199","101","1","7","1000875","1000380001","Battery Park City-Lower Manhattan"
"1-10 Bush Terminal Owner LP","Andrew Kimball","akimball@industrycity.com","3474178429","220 36th St, Suite 2A","Brooklyn","NY","11232","Landlord","Special Eligible Premises for eligible businesses","ECSP","25",,,"2020-02-03T00:00:00.000","2159.67","6755.31","Brooklyn","40.656061","-74.007334","307","38","2","3398687","3006950020","Sunset Park West"
"120 Broadway Acquisitions JV, LLC (Ldmk)","Carl Letich","clettich@silvprop.com","2124064020","120 Broadway","New York","NY","10271","Commercial",,"LMEP","2699",,,"2017-06-30T00:00:00.000","922407.32","3293055.08","New York","40.708546","-74.011041","101","1","7","1001026","1000477501","Battery Park City-Lower Manhattan"
"120 Wall Street, LLC","Jason McCalla","jmccalla@silvprop.com","2125517391","120 Wall Street","New York","NY","10005","Commercial","Back Offices","LMEP","958",,,"2015-07-02T00:00:00.000","368601.17","2090906.36","New York","40.70438","-74.006427","101","1","7","1000871","1000370001","Battery Park City-Lower Manhattan"
"139 ACA Realty, Inc.","Eitan Chandally","barbara@dial7.com","7187076123","43-23 35th Street","Long Island City","NY","11101","Commercial","Limousine Service","ECSP","125",,,"2008-04-07T00:00:00.000","1637.29","129401.39","Queens","40.745706","-73.929565","402","26","179","4003160","4002220017","Hunters Point-Sunnyside-West Maspeth"
"141 Lake Avenue Realty c/o JR Produce, Inc.","Josef Raz","jrproduce@gmail.com","7183708782","141 Lake Avenue","Staten Island","NY","10303","Wholesale/Warehouse/Distribution","Dist. of prepacked salads","ECSP","6",,,"2009-12-08T00:00:00.000","4380.51","59681.70","Staten Island","40.633153","-74.150999","501","49","239","5146740","5011610020","Mariner's Harbor-Arlington-Port Ivory-Graniteville"
"14-10 123rd Street LLC","Danica/Ivan Drazic","ddrazic@atjelectrical.com","7183210117","14-10 123rd Street","College Point","NY","11356","Commercial","Electrical Parts Mfg.","ECSP","35",,,"2011-03-04T00:00:00.000","2534.00","28752.48","Queens","40.785144","-73.844833","407","19","929","4098344","4040850036","College Point"
"183 Lorriane Street LLC","Tom Sapienza","tsapienza@KLCNY.com","2128405588","183 Lorraine Street","Brooklyn","NY","11231","Wholesale/Warehouse/Distribution","Commercial Storage facility","ECSP","9",,,"2015-11-06T00:00:00.000","31483.87","187637.74","Brooklyn","40.673106","-74.0023","306","38","53","3336622","3005720001","Carroll Gardens-Columbia Street-Red Hook"
"195 Broadway, LLC","Robert Riggs",,"2129203381","195 Broadway","NY","NY","10007","Commercial",,"LMEP",,,,"2008-03-04T00:00:00.000","93675.37","3481992.69","New York","40.710536","-74.009378","101","1","13","1001227","1000800001","Battery Park City-Lower Manhattan"
"2 Rector Street (NY) LLC","Camille Giardina","Camellia.Giardina@am.jll.com","2126195920","2 Rector Street","New York","NY","10006","Landlord","Back Offices","LMEP","495",,,"2019-12-02T00:00:00.000","46523.01","221193.90","New York","40.707808","-74.013053","101","1","13","1001031","1000510001","Battery Park City-Lower Manhattan"
"21st Century Optics, Inc.","Ralph Woythaler","rwoythaler@21st centuryoptics.com","7183922310","47-00 33rd Street","Lond Island City","NY","11101","Manufacturing","Eye glasses","ECSP","130",,,"2009-01-07T00:00:00.000","28291.04","288983.01","Queens","40.742386","-73.932148","402","26","199","4003447","4002520018","Hunters Point-Sunnyside-West Maspeth"
