"borough","facility_name","street_address","city","zip_code","state","phone_number_s_","comments","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Bronx","Concourse","1375 Jerome Avenue, 2nd Fl.","Bronx","10452","NY","929-252-8998",,"40.839771","-73.918359","4","16","219","2008289","2028560020","Highbridge"
"Bronx","Crotona","1910 Monterey Avenue, 5th Fl.","Bronx","10457","NY","929-252-7436","This center includes a children's area that does not provide supervision.","40.846932","-73.895099","6","15","37504","2011826","2030600032","East Tremont"
"Bronx","Hunts Point","845 Barretto Street, B-Level Fl.","Bronx","10474","NY","929-252-4445",,"40.817656","-73.890358","2","17","93","2005939","2027390015","Hunts Point"
"Brooklyn","Clinton Hill","495 Clermont Ave","Brooklyn","11238","NY","929-221-2809 | 929-221-1568","This center includes a Children's Corner, which provides supervision during limited hours.","40.682851","-73.968809","2","35","199","3335094","3020090001","Clinton Hill"
"Brooklyn","Coney Island","3050 West 21st Street","Brooklyn","11224","NY","929-221-3856 | 929-221-3867","This center includes a children's area that does not provide supervision.","40.57353","-73.987448","13","47","352","3189654","3070710123","Seagate-Coney Island"
"Brooklyn","Coney Island","2857-2865 West 8th Street, 1st Fl.","Brooklyn","11224","NY","929-221-3537","This center includes a children's area that does not provide supervision.","40.578507","-73.976313","13","48","354","3345783","3072790162","West Brighton"
"Brooklyn","East New York","404 Pine Street, 1st Fl.","Brooklyn","11208","NY","929-221-8327","This center includes a children's area that does not provide supervision.","40.67588","-73.871091","5","42","1196","3094690","3042140001","East New York"
"Brooklyn","Williamsburg","2 George Street, 1st Fl.","Brooklyn","11206","NY","212-331-4314 | 212-331-4343","This center includes a children's area that does not provide supervision.","40.70004","-73.93273","4","34","425","3071940","3031560001","Bushwick South"
"Manhattan","East End","2322 Third Avenue, 3rd Fl.","New York","10035","NY","212-860-5147","This center includes a Children's Corner, which provides supervision during limited hours.","40.804468","-73.935267","11","9","242","1054497","1017750033","East Harlem North"
"Manhattan","Washington Heights","4055 10th Avenue, Lower Level","New York","10034","NY","212-569-9835","This center includes a Children's Corner, which provides supervision during limited hours.","40.870388","-73.914561","12","10","301","1064513","1022130001","Marble Hill-Inwood"
"Manhattan","Waverly","12 West 14th St, 4th Fl.","New York","10011","NY","212-352-2524","This center includes a Chilren's Corner, which provides supervision during limited hours.","40.736301","-73.994342","2","3","63","1009716","1005770034","West Village"
"Queens","Jamaica","165-08 88th Avenue, 3rd Fl.","Jamaica","11432","NY","929-252-3713","This center includes a Children's Corner, which provides supervision during limited hours.","40.708661","-73.796703","12","27","460","4210062","4098150056","Jamaica"
"Queens","Queens","32-20 Northern Blvd., 2nd Fl.","Long Island City","11101","NY","718-784-6315","Entrance on One Honeywell Street. This center includes a Children's Corner, which provides supervision during limited hours.","40.75197","-73.931799","1","26","171","4003105","4002147501","Hunters Point-Sunnyside-West Maspeth"
"Queens","Rockaway","219 Beach 59th Street, 1st Fl.","Rockaway","11692","NY","718-637-2750","This center includes a Children's Corner, which provides supervision during limited hours.","40.592902","-73.789051","14","31","964","4301932","4159000008","Hammels-Arverne-Edgemere"
"Staten Island","Richmond","201 Bay Street, 2nd Fl.","Staten Island","10301","NY","718-390-6994",,"40.636992","-74.076212","1","49","21","5013238","5004970009","Stapleton-Rosebank"
