"development","tds","building","borough","house","street","address","city","state","zip_code","bin","block","lot","borough_block_lot","census_tract_2010","neighborhood_tabulation_area","neighborhood_tabulation_area_1","community_district","city_council_district","state_assembly_district","state_senate_district","us_congressional_district","latitude","longitude"
"1010 EAST 178TH STREET","180","1","BRONX","1010","EAST 178TH STREET","1010 EAST 178TH STREET","BRONX","NY","10460","2013245","3130","100","2031300100","361","BX17","East Tremont","6","15","87","32","15","40.8411692981621","-73.8802474669211"
"104-14 TAPSCOTT STREET","242","1","BROOKLYN","104","TAPSCOTT STREET","104 TAPSCOTT STREET","BROOKLYN","NY","11212","3081191","3532","30","3035320030","900","BK81","Brownsville","16","41","55","20","9","40.6651254426373","-73.9204221268435"
"1162-1176 WASHINGTON AVENUE","233","1","BRONX","1162","WASHINGTON AVENUE","1162 WASHINGTON AVENUE","BRONX","NY","10456","2001312","2372","1","2023720001","145","BX01","Claremont-Bathgate","3","16","79","32","15","40.8299280349228","-73.9075345845795"
"131 SAINT NICHOLAS AVENUE","154","1","MANHATTAN","131","SAINT NICHOLAS AVENUE","131 SAINT NICHOLAS AVENUE","NEW YORK","NY","10026","1058378","1922","41","1019220041","218","MN11","Central Harlem South","10","9","70","30","13","40.8040453989164","-73.9529622339102"
"1471 WATSON AVENUE","214","1","BRONX","1471","WATSON AVENUE","1471 WATSON AVENUE","BRONX","NY","10472","2023748","3737","1","2037370001","52","BX55","Soundview-Bruckner","9","17","85","32","15","40.8258504042878","-73.8809426529005"
"154 WEST 84TH STREET","359","1","MANHATTAN","154","WEST 84TH STREET","154 WEST 84TH STREET","NEW YORK","NY","10024","1084672","1214","55","1012140055","169","MN12","Upper West Side","7","6","69","29","10","40.7859757538683","-73.9752625818911"
"303 VERNON AVENUE","156","1","BROOKLYN","303","VERNON AVENUE","303 VERNON AVENUE","BROOKLYN","NY","11206","3042881","1585","1","3015850001","283","BK35","Stuyvesant Heights","3","36","54","18","8","40.695921180145","-73.9397148216033"
"45 ALLEN STREET","265","1","MANHATTAN","45","ALLEN STREET","45 ALLEN STREET","NEW YORK","NY","10002","1075792","307","1","1003070001","16","MN27","Chinatown","3","1","65","26","7","40.7166652931605","-73.9921524543161"
"830 AMSTERDAM AVENUE","150","1","MANHATTAN","830","AMSTERDAM AVENUE","830 AMSTERDAM AVENUE","NEW YORK","NY","10025","1056483","1872","29","1018720029","187","MN12","Upper West Side","7","7","69","30","10","40.7970218017558","-73.968523905829"
"ADAMS","118","1","BRONX","745","EAST 152ND STREET","745 EAST 152ND STREET","BRONX","NY","10455","2091979","2654","2","2026540002","79","BX34","Melrose South-Mott Haven North","1","17","84","29","15","40.8160103875668","-73.9070501197105"
"ADAMS","118","2","BRONX","700","WESTCHESTER AVENUE","700 WESTCHESTER AVENUE","BRONX","NY","10455","2091976","2654","2","2026540002","79","BX34","Melrose South-Mott Haven North","1","17","84","29","15","40.8166302706544","-73.9066562125921"
"ADAMS","118","3","BRONX","720","WESTCHESTER AVENUE","720 WESTCHESTER AVENUE","BRONX","NY","10455","2091977","2654","2","2026540002","79","BX34","Melrose South-Mott Haven North","1","17","84","29","15","40.8169051041055","-73.9062122051997"
"ADAMS","118","4","BRONX","721","TINTON AVENUE","721 TINTON AVENUE","BRONX","NY","10455","2091978","2654","2","2026540002","79","BX34","Melrose South-Mott Haven North","1","17","84","29","15","40.8171282868849","-73.9052999315559"
"ADAMS","118","5","BRONX","710","TINTON AVENUE","710 TINTON AVENUE","BRONX","NY","10455","2091988","2665","1","2026650001","79","BX34","Melrose South-Mott Haven North","1","17","84","29","15","40.8166482840654","-73.904482301258"
"ADAMS","118","6","BRONX","680","TINTON AVENUE","680 TINTON AVENUE","BRONX","NY","10455","2091987","2665","1","2026650001","79","BX34","Melrose South-Mott Haven North","1","17","84","29","15","40.8161043198487","-73.9046162187625"
