"first_name","last_name","appointee_or_representative","term_of_office","term_expiring"
"Sarah","Bloomquist","Appointee - Chair",,
"Kendall","Christiansen","Appointee","2015",
"Suzan","Frazier","Appointee","2015",
"Pablo","Garcia","Appointee","2015",
"Rhonda","Keyser","Appointee","2017","2020-01-01T00:00:00.000"
"Dylan","Oakley","Appointee","2016",
"Lamb","Oliver","Appointee","2015",
"Fitle","Rebecca","Appointee","2015",
"Elizabeth","Royzman","Appointee","2017",
"Shari","Rueckl","Apointee","2017","2020-01-01T00:00:00.000"
"Vandra","Thorburn","Appointee","2015",
"Gregory","Todd","Appointee","2015",
"Philip","Vos","Appointee","2017",
"Celeste","McMickle","Appointee","2018-11-01T00:00:00.000","2020-01-01T00:00:00.000"
"Rosie","Lenoff","Appointee","2019",
