"appeal_type","appeal_subtype","agency","status","date_filed","date_closed","exam_no","title","expiration","extension","acronym"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2016-12-30T00:00:00.000","2016-12-30T00:00:00.000","5018","Computer Service Technician",,,"DCAS"
"Section 50","Eligibility","Department of Citywide Administrative Services - DCAS","Open","2016-12-30T00:00:00.000",,"5524","Associate Project Manager (Promotion)","2020-10-05T00:00:00.000",,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2016-12-29T00:00:00.000","2017-05-03T00:00:00.000","4310","Police Officer","2019-12-28T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Open","2016-12-29T00:00:00.000",,"3314","Police Officer","2019-12-09T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Open","2016-12-29T00:00:00.000",,"3319","Police Officer","2019-12-21T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2016-12-29T00:00:00.000","2017-04-03T00:00:00.000","2053","Police Officer","2019-06-17T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Open","2016-12-29T00:00:00.000",,"4300","Police Officer","2019-12-22T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Open","2016-12-29T00:00:00.000",,"8098","Train Operator","2017-09-19T00:00:00.000",,"DCAS"
"Section 50","Psych","Department of Correction - DOC","Open","2016-12-29T00:00:00.000",,"4327","Correction Officer","2019-11-05T00:00:00.000",,"DOC"
"Section 50","Character","Police Department - NYPD","Closed","2016-12-29T00:00:00.000","2017-03-31T00:00:00.000","4313","Police Officer","2020-06-23T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2016-12-29T00:00:00.000","2017-05-03T00:00:00.000","8098","Train Operator","2017-09-19T00:00:00.000",,"DCAS"
"Section 50","Psych","Police Department - NYPD","Open","2016-12-28T00:00:00.000",,"3316","Police Officer","2019-12-14T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2016-12-28T00:00:00.000","2016-12-30T00:00:00.000","3316","Police Officer","2019-12-14T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Open","2016-12-28T00:00:00.000",,"3067","Police Officer","2019-12-15T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2016-12-28T00:00:00.000","2017-01-24T00:00:00.000","4300","Police Officer","2019-12-22T00:00:00.000",,"NYPD"
"Section 76","Termination","Housing Authority - NYCHA","Closed","2016-12-28T00:00:00.000","2017-03-16T00:00:00.000",,,,,"NYCHA"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2016-12-27T00:00:00.000","2017-03-28T00:00:00.000","6014","Auto Mechanic (Diesel)",,,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Open","2016-12-27T00:00:00.000",,"5019","Congregate Care Specialist","2020-05-11T00:00:00.000",,"DCAS"
