"sr","request_date","site_street_address","borocode","community_board","block","lot","violation","permit","homeowner_contractor","attempt","violation_issue_date","assigned_date","inspection_date","pass_fail","reason_for_failure","car_needed_y_n","date_results_are_mailed","expedited","vdd","postcode","borough","latitude","longitude","council_district","census_tract","bin","bbl","nta"
"311-03895999","2020-09-09T00:00:00.000","199 BAY TER.","5","3","5030","4","15545","S042020252A07","H","1","2015-06-25T00:00:00.000","2020-09-23T00:00:00.000","2020-10-24T00:00:00.000","Pass",,"false","2021-06-28T00:00:00.000","false",,"10306","STATEN IS","40.552727","-74.133641","51","13204","5064578","5050300004","Oakwood-Oakwood Beach"
"311-03978269","2020-09-09T00:00:00.000","474 W. 146TH ST.","1","9","2060","60","20562","M042020252A13","C","2","2003-07-29T00:00:00.000","2020-09-25T00:00:00.000","2020-09-25T00:00:00.000","Pass",,"false",,"false",,"10031","MANHATTAN","40.825641","-73.946509","7","231","1061370","1020600060","Hamilton Heights"
"311-03895799","2020-09-09T00:00:00.000","755 61ST ST.","3","7","5785","44","27680","B042020241A40","H","2","1999-03-15T00:00:00.000","2020-09-23T00:00:00.000","2020-09-23T00:00:00.000","Fail – 4+ Family/Commercial","1,3,6C,6B","false","2020-11-12T00:00:00.000","false",,"11220","BROOKLYN","40.635538","-74.011176","38","118","3143612","3057850044","Sunset Park East"
"EMAIL","2020-09-09T00:00:00.000","1032A E. 233RD ST.","2","12","4879","55","32786","X042020246A12","C","2","2018-04-18T00:00:00.000","2020-09-14T00:00:00.000","2020-09-17T00:00:00.000","Pass",,"false","2020-10-27T00:00:00.000","false",,"10466","BRONX","40.890163","-73.847253","12","424","2065363","2048790055","Williamsbridge-Olinville"
"311-03896507","2020-09-09T00:00:00.000","108-34 169TH PL.","4","12","10178","16","70069","Q042020224A23","C","3","2014-11-03T00:00:00.000","2020-11-09T00:00:00.000","2020-11-10T00:00:00.000","Fail – No tree defects","6c","false","2020-10-21T00:00:00.000","false",,"11433","QUEENS","40.697074","-73.785324","27","258","4216660","4101780016","South Jamaica"
"311-03900483","2020-09-09T00:00:00.000","266-15 69TH AVE.","4","13","8443","88","78194","Q042017052A21","C","1","2016-12-21T00:00:00.000","2020-12-11T00:00:00.000","2021-01-12T00:00:00.000","Pass",,"false","2021-01-14T00:00:00.000","false",,"11004","QUEENS","40.755569","-73.720631","23","155102","4173650","4084430088","Glen Oaks-Floral Park-New Hyde Park"
"DOT-465142-J6C1","2020-09-09T00:00:00.000","141-16 256TH ST.","4","13","13605","40","90885","Q01-2020245-A20","C","1","2019-06-24T00:00:00.000","2020-09-11T00:00:00.000","2020-09-11T00:00:00.000","Pass",,"false","2020-09-21T00:00:00.000","true",,"11422","QUEENS","40.659973","-73.728564","31","656","4289214","4136050040","Rosedale"
"311-03897089","2020-09-09T00:00:00.000","80-19 251ST ST.","4","13","8564","60","93550","Q042020240A18","C","1","2020-01-27T00:00:00.000","2020-09-25T00:00:00.000","2020-09-25T00:00:00.000","Pass",,"false","2020-10-01T00:00:00.000","false",,"11426","QUEENS","40.742599","-73.719148","23","157101","4174550","4085640060","Bellerose"
"311-03899257","2020-09-09T00:00:00.000","2395 FREDERICK DOUGLAS BL","1","10","1955","7503","999999999","M042020069A05","C","1","9999-09-09T00:00:00.000","2020-09-25T00:00:00.000","2020-09-25T00:00:00.000","Pass",,"false",,"false",,"10027","MANHATTAN","40.812462","-73.949507","9","215","1090354","1019550012","Central Harlem North-Polo Grounds"
"311-00585966","2019-09-09T00:00:00.000","178 COURT ST.","3","6","297","31","10242","B042017096A22","C","1","1993-05-20T00:00:00.000","2019-11-26T00:00:00.000","2019-11-27T00:00:00.000","Pass",,"false","2019-12-04T00:00:00.000","false","2019-12-04T00:00:00.000","11201","BROOKLYN","40.687755","-73.993311","39","45","3000000","3002970031","Carroll Gardens-Columbia Street-Red Hook"
"311-0058436","2019-09-09T00:00:00.000","98 CANNON BLVD.","5","2","4241","42","12526","S042019224A10","C","2","2012-06-28T00:00:00.000","2019-10-23T00:00:00.000","2019-10-26T00:00:00.000","Fail – 4+ Family/Commercial","6C","false","2019-11-13T00:00:00.000","false",,"10306","STATEN IS","40.56771","-74.11935","50","134","5058015","5042410042","New Dorp-Midland Beach"
"311-00588609","2019-09-09T00:00:00.000","11 CLAWSON ST.","5","2","3587","51","14640","S042019232A14","C","1","2014-05-16T00:00:00.000","2019-10-15T00:00:00.000","2019-11-06T00:00:00.000","pass",,"false",,"false",,"10306","STATEN IS","40.578712","-74.104534","50","11402","5051656","5035870051","New Dorp-Midland Beach"
"311-00589522","2019-09-09T00:00:00.000","774 ADEE AVE.","2","11","4549","26","29034","X042019214A08","H","1","2015-04-06T00:00:00.000","2019-11-07T00:00:00.000","2019-11-08T00:00:00.000","Pass",,"false","2019-11-22T00:00:00.000","false",,"10467","BRONX","40.869645","-73.864185","13","340","2054883","2045490026","Bronxdale"
"311-00592164","2019-09-09T00:00:00.000","2251 GLEASON AVE.","2","9","3821","66","32281","X042019204A09","C","1","2017-09-06T00:00:00.000","2019-11-04T00:00:00.000","2019-11-04T00:00:00.000","Pass",,"false","2019-11-22T00:00:00.000","false",,"10462","BRONX","40.832146","-73.849489","18","92","2026848","2038210066","Westchester-Unionport"
"311-00590428","2019-09-09T00:00:00.000","1626 LURTING AVE.","2","11","4105","47","33386","X042019158A14","H","1","2019-03-04T00:00:00.000","2019-11-07T00:00:00.000","2019-11-21T00:00:00.000","Pass",,"false","2019-12-06T00:00:00.000","false",,"10461","BRONX","40.846646","-73.85186","13","254","2044900","2041050047","Van Nest-Morris Park-Westchester Square"
"311-00589097","2019-09-09T00:00:00.000","3263 DECATUR AVE.","2","7","3351","50","34075","X042019189A13","H","1","2019-06-20T00:00:00.000","2019-11-04T00:00:00.000","2019-11-04T00:00:00.000","Pass",,"false","2019-11-22T00:00:00.000","false",,"10467","BRONX","40.875566","-73.874291","11","42902","2018485","2033510050","Norwood"
"311-00585674","2019-09-09T00:00:00.000","1162 HALSEY ST.","3","4","3411","16","58132","B042019031A12","H","2","2009-10-30T00:00:00.000","2019-11-14T00:00:00.000","2019-11-14T00:00:00.000","Pass",,"false","2019-11-27T00:00:00.000","false",,"11207","BROOKLYN","40.690556","-73.910468","37","413","3078825","3034110016","Bushwick South"
"phone call","2019-09-09T00:00:00.000","10719 118TH ST.","4","10","9598","70","64372","Q042019252A29","C","3","2013-04-04T00:00:00.000","2019-09-23T00:00:00.000","2019-10-03T00:00:00.000","Pass",,"false","2019-10-28T00:00:00.000","true",,"11419","QUEENS","40.683794","-73.823943","28","106","4205454","4095980070","South Ozone Park"
"311-00586770","2019-09-09T00:00:00.000","9538 72ND AVE.","4","6","3903","19","68565","Q042019248A33","C","1","2014-05-02T00:00:00.000","2019-10-22T00:00:00.000","2019-10-22T00:00:00.000","Pass",,"false","2019-10-28T00:00:00.000","true",,"11375","QUEENS","40.709191","-73.848364","29","645","4095469","4039030019","Forest Hills"
"311-00586052","2019-09-09T00:00:00.000","1838 21ST DR.","4","1","896","286","78891","Q012019085E08","C","1","2017-01-26T00:00:00.000","2019-11-26T00:00:00.000","2019-12-03T00:00:00.000","Fail – 4+ Family/Commercial",,"false","2019-12-16T00:00:00.000","false",,"11105","QUEENS","40.782527","-73.918343","22","103","4020430","4008960286","Steinway"
"311-00588922","2019-09-09T00:00:00.000","15014 BOOTH MEMORIAL AVE.","4","7","6430","6","83735","Q042019232A04","H","1","2017-09-14T00:00:00.000","2019-11-13T00:00:00.000","2019-11-13T00:00:00.000","Pass",,"false","2019-11-26T00:00:00.000","false",,"11355","QUEENS","40.7439","-73.817678","20","837","4141036","4064300006","Queensboro Hill"
"phone call","2019-09-09T00:00:00.000","1074 E. 31ST ST.","3","18","7612","75","85188","B012019193E69","C","1","2016-07-29T00:00:00.000","2019-12-03T00:00:00.000","2019-12-03T00:00:00.000","Pass",,"false","2019-12-10T00:00:00.000","true",,"11210","BROOKLYN","40.625265","-73.945578","45","742","3207911","3076120075","Flatlands"
"phone call","2019-09-09T00:00:00.000","1491 E. 94TH ST.","3","18","8259","7","87467","B042019232A32","H","1","2017-02-15T00:00:00.000","2019-09-10T00:00:00.000","2019-09-18T00:00:00.000","Fail – 4+ Family/Commercial","6c","false","2019-09-26T00:00:00.000","true",,"11236","BROOKLYN","40.63587","-73.896086","46","1010","3232671","3082590007","Canarsie"
"311-00587343","2019-09-09T00:00:00.000","11005 68TH AVE.","4","6","2192","1","88340","Q042019210A30","C","1","2018-11-13T00:00:00.000","2019-11-21T00:00:00.000","2019-11-21T00:00:00.000","Pass",,"false","2019-11-26T00:00:00.000","false",,"11375","QUEENS","40.727739","-73.843942","29","747","4052167","4021920001","Forest Hills"
"311-00587348","2019-09-09T00:00:00.000","6323 71ST ST.","4","5","2980","174","88353","Q042019250A00","C","1","2018-11-13T00:00:00.000","2019-11-14T00:00:00.000","2019-11-25T00:00:00.000","Pass",,"false","2019-12-06T00:00:00.000","false",,"11379","QUEENS","40.716904","-73.884095","30","661","4068782","4029800174","Middle Village"
