"biblioid","borough","author","date","title","report_abstract"
"3","M","Linda Stone","2015","Report On Archaeological Work Conducted For The Governors Island Full Seawall Rehabilitation Project Governors Island New York, New YorkOPRHP Project Review No. 11PR07543",
"5","M","John Milner Associates, Inc.","2000","Tales of Five Points: Working-Class Life in Nineteenth Century New York [6 volumes] Vol. II. An Interpretive Approach to Understanding Working-Class Life   (Yamin, Rebecca)","This report is Volume II of a six volume study on excavations conducted  between Worth and Pearl Streets in Lower Manhattan; in the 19th century the block formed part of the notorious slum known as Five Points. Volume II is a collection of scholarly papers exploring what the excavated artifacts can tell us about the daily lives and relationships of the people who called Five Points home. The papers address topics like the rise of Tammany Hall in local politics, medicine in 19th century slums, and Block 160's brothels."
"6","M","John Milner Associates, Inc.","2000","Tales of Five Points: Working-Class Life in Nineteenth Century New York [6 volumes] Vol. III. Documentary Data   (Yamin, Rebecca)","This report is Volume III of a six volume study on excavations conducted  between Worth and Pearl Streets in Lower Manhattan; in the 19th century the block formed part of the notorious slum known as Five Points. This volume is a collection of the historical data collected on the residents of block 160. The collection includes the census, deeds, and bank records from 1800-1870 including such information as their names, countries of origin, occupations, and in some cases the name of the ship they immigrated on."
"8","K","Bergoffen, Celia J.","2004","Archaeological Assessment Report Phase IA, Greenpoint-Williamsburg Rezoning, Part 2 of 4 - Lot Histories, Summary Data; 04DCP003K]","Project on the 184 blocks between the East River, the Williamsburg Bridge, the Brooklyn-Queens Expressway, and McGinnes Boulevard in Greenpoint and Northside-Williamsburg, Brooklyn. This report, part II of 4, details the histories of each of the lots in the project area. Included in the given information are the first  tax records, present use, and likelihoood of finding archaeologically significant artifacts on the property."
"15","M","John Milner Associates, Inc.","2000","Tales of Five Points: Working-Class Life in Nineteenth Century New York [6 volumes] Vol. IV Basic Artifact Inventory The Court House Block (Block 160) Part 1 of 2 (Yamin, Rebecca)","This report is Volume V of a six volume study of excavations conducted between Worth and Pearl Streets in Lower Manhattan. In the 19th century, the excavation area was part of the infamous slum known as Five Points. This volume is the complete artifact inventory of all of the material recovered from the excavations at Block 160."
"16","M","John Milner Associates, Inc.","2000","Tales of Five Points: Working-Class Life in Nineteenth Century New York [6 volumes] Vol. IV Basic Artifact Inventory The Court House Block (Block 160) Part 2 of 2 (Yamin, Rebecca)","This report is the fourth volume of a six volume series on excavations carried out on Block 160 (The Courthouse Block). The volume is a catalogue of the artifacts inventoried during excavations carried out at the Five Points Site. The report also gives illustrative details of stratgraphic profiles of site features."
"17","M","John Milner Associates, Inc.","2000","Tales of Five Points: Working-Class Life in Nineteenth Century New York [6 volumes] Vol. V Conservation of Materials from the Court House Block (Block 160)  (Yamin, Rebecca)","This report is Volume V of a six volume study of excavations conducted between Worth and Pearl Streets in Lower Manhattan. In the 19th century, the excavation area was part of the infamous slum known as Five Points. This volume of the report details the conservation techniques used to protect and analyze the recovered artifacts."
"20","Y","U.S. Army Corps Of Engineers New York District Planning Division","2000","A Geomorphological and Archaeological Study in Connection with the New York and NJ Harbor Navigation Project, Upper and Lower Bay, Port of NY & NJ, Kings, Queens, New York and Richmond Counties, NY, etc. NJ","This report is the final volume in an assessment of the potential for preserved ancient landscape and submerged cultural remains within the New York and New Jersey Port District. This survey was undertaken as part of a proposal to deepen harbor waterways, including the Newark Bay, Claremont, Port Jersey, Anchorage, Stapleton, and Ambrose Channel. The survey implemented probing techniques to analyze site stratigraphy, date and examine sediment layers and to test for archaeological sensitivity in the region. This volume includes research on modern development within the harbor and documents the effects of recent improvements on the potential underwater sites. Furthermore, the report documents the integrity environmental and prehistoric remains within the region. 
This document contains two reports, one which listed above and Report no.108 detailing geomorphological and archaeological studies carried out at Governors Island as part of the same project."
"21","Y","U.S. Army Corps Of Engineers New York District Planning Division","1999","Cultural Resource Summary And Preliminary Case Report New York And New Jersey Harbor Navigation Study. Kings, Queens, And Richmond Counties, New York And Essex, Hudson, Monmouth, And Union Counties, New Jersey. Draft.","This report is a preliminary assessment of archaeologically sensitive areas within and around Ambrose, Anchorage, Port Jersey, Kill Van Kull, Arthur Kill, Newark Bay, Elizabeth, South Elizabeth, and Bay Ridge Channel. This study examines which areas might potentially be affected by improvements made within and around channels. It reviews the results of past archaeological studies and recommends additional testing."
"24","M","John Milner Associates, Inc.","2000","Tales of Five Points: Working-Class Life in Nineteenth Century New York [6 volumes] Vol. VI The Long and Short, Being a Compendium of 18th and 19th C. Clay Tobacco Pipes from the 5 Points Site, Block 160, NYC  (Yamin, Rebecca)","This report is Volume VI of a six volume study on excavations conducted between Worth and Pearl Streets in Lower Manhattan. The block, Block 160, was part of the infamous 19th century slum known as Five Points. This final volume details the extensive collection of clay tobacco pipes recovered from the excavation area. Sketches of each pipe are included in the inventory."
"25","X","Architectural Preservation Consultants","1980","Historic Structure Report: The Bartow-Pell Stable.","Project at the Bartow-Pell Mansion Museum on Shore Road in Pelham Bay Park, Bronx. The report documents the architectural properties and history of the Bartow-Pell Stable built in the mid-19th century. Copies of historical illustrations and plans of the stable and mansion are included."
"26","X","Bankoff, Arthur H. & Frederick A. Winter","1991","Van Cortlandt House Excavation, Brooklyn College 1990 & 1991.","Project on the Frederick and Frances Jay Van Cortlandt House in Van Cortlandt Park, Bronx. Excavations revealed a substantial number of artifacts from the 17th- 19th century, a prehistoric shell midden dating to the Late Woodland period, as well as a structure underneath the modern Herb Garden that could pre-date the mansion. Further excavation was recommended to identify the Herb Garden structure and other possible buildings associated with the estate."
"27","X","Bankoff, Arthur, Frederick A. Winter & Christopher Ricciardi","1992","Archaeological Excavations at Van Cortlandt Park, the Bronx, 1990-1992.","Summary of three years of excavations at the Van Cortlandt Mansion in Van Cortlandt Park, Bronx. The report reviews the researchers' findings including an intact prehistoric shell midden and two large deposits of 17th-19th century artifacts with an overview of the historical context for these finds."
"28","Y","Stone, Linda","1994","Supplemental Phase IA Archaeological Documentary Research in Advance of Dockwork at Six NYC Water Pollution Control Plants.","This report is a preliminary evaluation of archaeological resources near Water Pollution Control Plants (W.P.C.P.) at Hunt’s Point, Red Hook, 26th Ward, Wards Island, Bowery Bay and Tallman Island. This report consults coring, cartographic, and dredging data from above locations. The report also gives a summarization of the effects of modern coastal developments on potential prehistoric and historic landscapes within the project area."
"29","X","Boesch, Eugene J.& Arnold Pickman","1986","Hostos College Archaeological Borings.  Submitted to: Sanchez and Figueroa, Architects.","The report details archeological testing conducted on two lots in area surrounding Hostos College bounded by the East 149th Street,  East 144th street, Anthony J. Griffin, and Walton Avenue . Testing revealed that the lots had been disturbed by recent constructions and no historically significant objects were recovered. No further archaeological testing is recommended."
"30","X","City/Scape, Cultural Resource Consultants","1990","Stage IA Revised Cultural Resources Report For Chapel Farm II, Riverdale, New York.  (June 1990)  CEQR 85325X   (Cultural Interpretations)","Project on the Chapel Farm II site between Fieldston Road, 253 Street, 250 Street and Iselin Avenue in Riverdale, Bronx. This  report, prepared to asses the potential for archaeological sites, summarizes the history and prehistory of this area of Riverdale. The researchers conclude that the project area has a high potential for prehistoric and 19th century sites and archaeological testing is recommended."
