"pub_dt","fisc_yr","agy_cd","agy_nm","all_fnd","cty_fnd","remark"
"20171130","2011","991","General Reserve","0","0",
"20171130","2002","858","D.O.I.T.T.","170951","53506",
"20171130","2008","817","Dept of Mental Health","0","0",
"20171130","2009","991","General Reserve","0","0",
"20171130","2008","819","Health + Hospitals","256837","128181",
"20171130","2002","100","M.A.C. Debt Service","462900","462900",
"20171130","2002","101","Public Advocate","2821","2821",
"20171130","2002","102","City Council","47299","47094",
"20171130","2002","103","City Clerk","2727","2650",
"20171130","2002","125","Department for the Aging","231227","166267",
"20171130","2002","126","Department of Cultural Affairs","124680","122942",
"20171130","2002","127","Financial Info. Serv. Agency","30790","26105",
"20171130","2002","130","Department of Juvenile Justice","108943","74565",
"20171130","2002","131","Office of Payroll Admin.","6129","5900",
"20171130","2013","103","City Clerk","4407","4372",
"20171130","2002","132","Independent Budget Office","2551","2551",
"20171130","2002","133","Equal Employment Practices Com","342","342",
"20171130","2002","134","Civil Service Commission","471","471",
"20171130","2002","136","Landmarks Preservation Comm.","3170","2651",
"20171130","2002","138","Districting Commission","0","0",
"20171130","2002","156","Taxi & Limousine Commission","22978","22597",
"20171130","2002","226","Commission on Human Rights","7463","3192",
"20171130","2002","260","Youth & Community Development","153014","93681",
"20171130","2002","312","Conflicts of Interest Board","1624","1624",
"20171130","2002","313","Office of Collective Barg.","1482","1330",
"20171130","2002","499","Community Boards (All)","11407","11407",
"20171130","2002","781","Department of Probation","89660","59297",
"20171130","2002","801","Dept. Small Business Services","97229","88086",
"20171130","2002","806","Housing Preservation & Dev.","408030","63211",
"20171130","2002","810","Department of Buildings","56378","55750",
"20171130","2002","816","Dept Health & Mental Hygiene","1436161","448564",
"20171130","2002","817","Dept of Mental Health","276078","84754",
"20171130","2002","819","Health + Hospitals","909465","826437",
"20171130","2002","820","Office of Administrative Trials and Hearings","0","0",
"20171130","2002","826","Dept of Environmental Prot.","668217","626224",
"20171130","2002","827","Department of Sanitation","1005312","909920",
"20171130","2002","829","Business Integrity Commission","2779","2627",
"20171130","2002","836","Department of Finance","183819","179816",
"20171130","2002","841","Department of Transportation","515126","271260",
"20171130","2002","846","Dept of Parks and Recreation","270834","167554",
"20171130","2002","850","Dept. of Design & Construction","621330","27269",
"20171130","2002","856","Dept of Citywide Admin Srvces","643875","162231",
"20171130","2002","860","Dept of Records & Info Serv.","4219","3303",
"20171130","2002","866","Department of Consumer Affairs","14302","12258",
"20171130","2002","901","District Attorney - N.Y.","83127","67086",
"20171130","2002","902","District Attorney - Bronx","45355","38992",
"20171130","2002","903","District Attorney - Kings","80626","71802",
