"arrest_key","arrest_date","pd_cd","pd_desc","ky_cd","ofns_desc","law_code","law_cat_cd","arrest_boro","arrest_precinct","jurisdiction_code","age_group","perp_sex","perp_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat"
"32311380","2007-06-18T00:00:00.000","511.0","CONTROLLED SUBSTANCE, POSSESSION 7","235.0","DANGEROUS DRUGS","PL 2200300","M","Q","27","1.0","18-24","M","BLACK",,,,,
"192799737","2019-01-26T00:00:00.000","177","SEXUAL ABUSE","116","SEX CRIMES","PL 1306503","F","M","25","0","45-64","M","BLACK","1000555","230994","40.800694331000045","-73.941109285999971","POINT (-73.94110928599997 40.800694331000045)"
"193260691","2019-02-06T00:00:00.000",,,,,"PL 2203400","F","M","14","0","25-44","M","UNKNOWN","986685","215375","40.757839003000072","-73.991212110999982","POINT (-73.99121211099998 40.75783900300007)"
"149117452","2016-01-06T00:00:00.000","153.0","RAPE 3","104.0","RAPE","PL 1302503","F","K","67","0.0","25-44","M","BLACK","998032.0","175598.0","40.648650085000035","-73.95033556299995","POINT (-73.95033556299995 40.648650085000035)"
"190049060","2018-11-15T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","K","77","0","25-44","M","BLACK","1003606","185050","40.67458330800008","-73.93022154099998","POINT (-73.93022154099998 40.67458330800008)"
"24288194","2006-09-13T00:00:00.000","203.0","TRESPASS 3, CRIMINAL","352.0","CRIMINAL TRESPASS","PL 140100E","M","K","77","2.0","45-64","M","BLACK","1004580.0","183838.0","40.67125445700003","-73.926713851","POINT (-73.926713851 40.67125445700003)"
"189182271","2018-10-24T00:00:00.000","153","RAPE 3","104","RAPE","PL 1302503","F","M","5","0","45-64","M","WHITE HISPANIC","984946","200203","40.716195914000025","-73.99749074599998","POINT (-73.99749074599998 40.716195914000025)"
"196324211","2019-04-23T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","K","77","0","45-64","M","BLACK HISPANIC","1003606","185050","40.674583308000081","-73.930221540999980","POINT (-73.93022154099998 40.67458330800008)"
"196785901","2019-05-04T00:00:00.000","175","SEXUAL ABUSE 3,2","233","SEX CRIMES","PL 13052A1","M","B","50","0","25-44","M","BLACK","1011257","261130","40.883382579000056","-73.902333308999971","POINT (-73.90233330899997 40.88338257900006)"
"197554056","2019-05-23T00:00:00.000","175","SEXUAL ABUSE 3,2","233","SEX CRIMES","PL 13052A1","M","M","26","0","45-64","F","BLACK","996241","236149","40.814850289000049","-73.956681847999960","POINT (-73.95668184799996 40.81485028900005)"
