"borough","community_board","neighborhoods","cb_office_address","cb_address_line_2","cb_office_phone","cb_office_fax","cb_office_email","cb_website","cb_chair","cb_district_manager","cb_board_meeting","cb_cabinet_meeting","cb_precinct_s","cb_precinct_phone_s","latitude","longitude","community_board_1","council_district","bin","bbl","census_tract","nta","postcode","locationpoint"
"Bronx","Community Board 1","Mott Haven, Port Morris, and Melrose","3024 3rd Ave. Bronx, NY 10455",,"(718) 585-7117","(718) 292-0558","brxcb1@optonline.net","https://www1.nyc.gov/site/bronxcb1/index.page","Arline Parks","Vacant","Last Thursday, 6:00pm","Second Tuesday, 10:00am","40","(718) 402-2270","40.819717","-73.913373","201","17","2117395","2023630024","71","Melrose South-Mott Haven North","10455","POINT (-73.913373 40.819717)"
"Bronx","Community Board 6","Belmont, Bathgate, West Farms, and E Tremont","1932 Arthur Avenue, Rm. 403-A Bronx, NY 10457",,"(718) 579-6990","(718) 579-6875","bronxcb6@bronxcb6.org","http://bronxcb6.org/","Evonne Capers","Vacant","Second Wednesday, 6:30pm","Last Thursday, 1:00pm","48","(718) 299-3900","40.845685","-73.893294","206","17","2009911","2029470018","36901","East Tremont","10457","POINT (-73.893294 40.845685)"
"Bronx","Community Board 11","Morris Park, Pelham Parkway, Pelham Gardens, Allerton, Bronxdale, Laconia and Van Nest","1741 Colden Ave Bronx, NY 10462",,"(718) 892-6262",,,"https://www1.nyc.gov/site/bronxcb11/index.page","Al D’Angelo","Jeremy Warneke","Fourth Thursday, 7:00pm","Second Thursday, 1:00pm","49","(718) 918-2000","40.847348","-73.855711","211","13","2044747","2041010008","252","Van Nest-Morris Park-Westchester Square","10462","POINT (-73.855711 40.847348)"
"Staten Island","Community Board 1","Arlington, Castleton Corners, Clifton, Concord, Elm Park, Fort Wadsworth, Graniteville, Grymes Hill, Livingston, Mariners Harbor, Meiers Corners, New Brighton, Port Ivory, Port Richmond, Randall Manor, Rosebank, St. George, Shore Acres, Silver Lake, Stapleton, Sunnyside, Tompkinsville, West Brighton, Westerleigh","1 Edgewater Plaza Staten Island, NY 10305","Room 217","718-981-6900","(718) 720-1342","sicb1@si.rr.com","http://www.nyc.gov/sicb1","Nicholas Siclari","Joseph Carroll","Second Tuesday, 8:00pm",,"120, 121","120 - (718) 876-8500 121 - (718) 697-8700","40.619035","-74.068717","501","49","5107415","5028200095","6","Stapleton-Rosebank","10305","POINT (-74.068717 40.619035)"
"Queens","Community Board 1","Astoria, Old Astoria, Long Island City, Queensbridge, Ditmars, Ravenswood, Steinway, Garden Bay, and Woodside","45-02 Ditmars Blvd., Astoria",,"(718) 626-1021","(718) 626-1072","qn01@cb.nyc.gov","https://www1.nyc.gov/site/queenscb1/index.page","Marie Torniali","Florence Koulouris","Third Tuesday, 6:30 PM","Second Thursday, 9:30 AM","114","(718) 626-9311","40.770738","-73.903082","401","22","4014554","4007697501","137","Steinway","11105","POINT (-73.903082 40.770738)"
"Brooklyn","Community Board 13","Coney Island, Brighton Beach, Bensonhurst, Gravesend, and Seagate","1201 Surf Ave, Brookyn, NY 11224",,"(718) 266-3001","(718) 266-3920",,"http://www1.nyc.gov/site/brooklyncb13/index.page","Joann Weiss","Eddie Mark","Fourth Wednesday, 7:00pm","First Thursday, 9:30am","60","(718) 946-3311","40.575549","-73.979791","313","47","3256873","3072660250","350","West Brighton","11224","POINT (-73.979791 40.575549)"
"Manhattan","Community Board 8","Upper East Side, LenoxHill, Yorkville, and Roosevelt Island","505 Park Avenue New York, NY 10022","Suite 620","(212) 758-4340","N/A","info@cb8m.com","http://www.cb8m.com","Russel Squire","Will Brightbill","Third Wednesday, 6:30PM","Last Tuesday, 10:00AM","19, CPP","19: (212) 452-0600 CPP: (212) 570-4820","40.763117","-73.969641","108","4","1041900","1013940001","11402","Upper East Side-Carnegie Hill","10022","POINT (-73.969641 40.763117)"
"Brooklyn","Community Board 14","Flatbush, Midwood, Kensington, and Ocean Parkway","810 East 16th St, Brooklyn, NY 11230",,"(718) 859-6357","(718) 421-6077","info@cb14brooklyn.com","http://www.cb14brooklyn.com/","Alvin M. Berk","Shawn Campbell","Second Monday, 7:30pm","First Wednesday of every other month, 11:00am","70","(718) 851-5511","40.629817","-73.961333","314","45","3179349","3066990010","532","Midwood","11230","POINT (-73.961333 40.629817)"
"Queens","Community Board 11","Bayside, Douglaston, Little Neck, Auburndale, East Flushing, Oakland Gardens, and Hollis Hills","46-21 Little Neck Parkway, Little Neck, NY 11362",,"(718) 225-1054","(718) 225-4514","cb11q@nyc.rr.com","https://www1.nyc.gov/site/queenscb11/index.page","Michael Budabin","Joseph Marziliano","First Monday, 7:30pm","Second Wednesday, 9:30am","111","(718) 279-5200","40.770354","-73.734266","411","19","4171579","4082610085","150702","Douglas Manor-Douglaston-Little Neck","11362","POINT (-73.734266 40.770354)"
"Brooklyn","Community Board 3","Bedford-Stuyvesant, Stuyvesant Heights, and Ocean Hill","1360 Fulton Street,  Brooklyn NY11216",,"(718) 622-6601","(718) 857-5774","bk03@cb.nyc.gov","https://www1.nyc.gov/site/brooklyncb3/index.page","Richard Flateau","Henry Butler","First Monday, 7:00pm","Fourth Thursday, 9:30am","79, 81","79: (718) 635-6611 81: (718) 574-0411","40.680186","-73.94593","303","36","3329709","3018620001","247","Crown Heights North","11216","POINT (-73.94593 40.680186)"
"Brooklyn","Community Board 9","Crown Heights, Prospect Lefferts Gardens, and Wingate","890 Nostrand Avenue, Brooklyn, NY 11225",,"(718) 778-9279","(718) 467-0994","bk09@cb.nyc.gov","https://cbbrooklyn.cityofnewyork.us/cb9/","Fred P. Baptiste","Dante Arnwine","Fourth Tuesday, 7:00pm","Third Wednesday, 9:30am","71","(718) 735-0511","40.667628","-73.95072","309","35","3033538","3012820046","321","Crown Heights South","11225","POINT (-73.95072 40.667628)"
"Queens","Community Board 5","Ridgewood, Glendale, Middle Village, Maspeth, and Liberty Park","61-23 Myrtle Ave., Middle Village",,"(718) 366-1834","(718) 417-5799","qn05@cb.nyc.gov","https://www1.nyc.gov/site/queenscb5/index.page","Vincent Arcuri, Jr.","Gary Giordano","Second Wednesday, 7:30 PM","First Wednesday of every other month, 10:00 AM","104","(718) 386-3004","40.700875","-73.893734","405","30","4088373","4036380065","577","Glendale","11385","POINT (-73.893734 40.700875)"
