DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Detail,Longitude,Latitude,Location
1471302-DCA,Business,12/31/2022,Active,08/13/2013,Tobacco Retail Dealer,ME QUICK STOP GROCERY & CANDY CORP,,4314,BROADWAY,,NEW YORK,NY,10033,646-243-0757,Manhattan,1,112,10,1063930,1021640042,MN35,271,,-73.9348524884686,40.85188265950567,"(40.85188265950567, -73.9348524884686)"
1249106-DCA,Business,12/31/2022,Active,03/02/2007,Tobacco Retail Dealer,131-21 STOP ONE DELI & GROCERY CORP.,,13121,SPRINGFIELD BLVD,,SPRNGFLD GDNS,NY,11413,718-414-4665,Queens,4,413,31,4278296,4129220130,QN66,626,,-73.75133131322431,40.68353078959877,"(40.68353078959877, -73.75133131322431)"
1429639-DCA,Business,12/31/2023,Active,05/23/2012,Tobacco Retail Dealer,PLAZA FRUIT & GROCERY CORP.,,37,NEWKIRK PLZ,,BROOKLYN,NY,11226,718-434-1207,Brooklyn,3,314,40,3121196,3052360046,BK42,520,,-73.96277082365357,40.63500773764182,"(40.63500773764182, -73.96277082365357)"
2063747-2-DCA,Business,12/31/2022,Active,12/21/2017,Tobacco Retail Dealer,"MAGAR, RADHIKA",RADHIKA CONVENIENCE SHOP,9229,QUEENS BLVD,,REGO PARK,NY,11374,9175360237,Queens,4,406,29,4050128,4020757501,QN18,71702,,-73.86765097100877,40.73239905905272,"(40.73239905905272, -73.86765097100877)"
1134342-DCA,Business,12/31/2022,Active,04/10/2003,Tobacco Retail Dealer,"PJS GROCERY, INC.",,230,E 14TH ST,,NEW YORK,NY,10003,212-614-8766,Manhattan,1,103,02,1006903,1004690023,MN22,40,,-73.98636808862267,40.73294091639632,"(40.73294091639632, -73.98636808862267)"
2039804-1-DCA,Business,12/31/2023,Active,07/05/2016,Tobacco Retail Dealer,WESTFIELD MARKET PLACE CORP,,686,10TH AVE,,NEW YORK,NY,10019,212-489-7044,Manhattan,1,104,03,1026579,1010580001,MN15,127,,-73.99262138173265,40.763520728261646,"(40.763520728261646, -73.99262138173265)"
2105837-1-DCA,Business,12/31/2023,Active,05/09/2022,Tobacco Retail Dealer,"VARGAS II FRUITS, DELI & GROCERY CORP",,774,BURKE AVE,,BRONX,NY,10467,,Bronx,2,212,12,2055643,2045710025,,,,-73.86412379014003,40.871379780990395,"(40.871379780990395, -73.86412379014003)"
1341858-DCA,Business,12/31/2022,Active,12/31/2009,Tobacco Retail Dealer,MARIAM CANDY & NEWS INC.,,381,1ST AVE,,NEW YORK,NY,10010,212-475-4264,Manhattan,1,106,02,1078819,1009280026,MN21,64,,-73.9788005357683,40.736348756006414,"(40.736348756006414, -73.9788005357683)"
2065818-2-DCA,Business,12/31/2022,Active,02/07/2018,Tobacco Retail Dealer,FAIRFIELD FOOD INC,,2525,3RD AVE,,BRONX,NY,10451,914-654-8900,Bronx,2,201,08,2000804,2023200079,BX39,51,,-73.92778711109104,40.810696767582385,"(40.810696767582385, -73.92778711109104)"
2090449-2-DCA,Business,12/31/2022,Active,09/11/2019,Tobacco Retail Dealer,USA MOES DELI INC,,9608,LIBERTY AVE,,OZONE PARK,NY,11417,7186661408,Queens,4,410,32,4191225,4091690001,QN56,4002,,-73.84284031742945,40.68063722170565,"(40.68063722170565, -73.84284031742945)"
2017356-2-DCA,Business,12/31/2022,Active,01/15/2015,Tobacco Retail Dealer,87TH ROAD MINI MARKET INC.,,14403,87TH RD,,JAMAICA,NY,11435,718-206-1145,Queens,4,408,24,4207354,4097030001,QN35,232,,-73.81161412280261,40.70606459083069,"(40.70606459083069, -73.81161412280261)"
1422155-DCA,Business,12/31/2022,Active,03/16/2012,Tobacco Retail Dealer,332 GROCERY STORE INC.,,332,SAINT ANNS AVE,,BRONX,NY,10454,718-665-5003,Bronx,2,201,08,2003685,2025560001,BX39,33,,-73.91596915796643,40.80912152231549,"(40.80912152231549, -73.91596915796643)"
1458678-DCA,Business,12/31/2022,Active,02/28/2013,Tobacco Retail Dealer,952 FOOD CORP,,952,4TH AVE,,BROOKLYN,NY,11232,718-965-7449,Brooklyn,3,307,38,3337060,3006960031,BK32,84,,-74.00451578429833,40.65423265728589,"(40.65423265728589, -74.00451578429833)"
2088278-2-DCA,Business,12/31/2022,Active,07/16/2019,Tobacco Retail Dealer,BUSHWICK DELI INC I,,1449,MYRTLE AVE,,BROOKLYN,NY,11237,718-386-4560,Brooklyn,3,304,37,3326381,3033000001,BK77,431,,-73.91794379070257,40.69885822813454,"(40.69885822813454, -73.91794379070257)"
1247634-DCA,Business,12/31/2022,Active,02/01/2007,Tobacco Retail Dealer,"RIGHT HERE CO., INC.",NICE DAY DISCOUNT,13687,ROOSEVELT AVE,,FLUSHING,NY,11354,718-445-2048,Queens,4,407,20,4308851,4049800050,QN22,871,,-73.82760726395954,40.760208075549095,"(40.760208075549095, -73.82760726395954)"
2022860-2-DCA,Business,12/31/2022,Active,05/15/2015,Tobacco Retail Dealer,ELIAN GROCERY CORP,,2689,PITKIN AVE,,BROOKLYN,NY,11208,347-663-7190,Brooklyn,3,305,42,3094678,3042120037,BK82,1196,,-73.87289081569378,40.67527262147232,"(40.67527262147232, -73.87289081569378)"
2085155-2-DCA,Business,12/31/2022,Active,04/25/2019,Tobacco Retail Dealer,"523 DELI & GRILL, CORP",,523,GRAND ST,,NEW YORK,NY,10002,212-475-5936,Manhattan,1,103,01,1003742,1002880034,MN28,202,,-73.9820575856655,40.714572406424836,"(40.714572406424836, -73.9820575856655)"
2056144-2-DCA,Business,12/31/2022,Active,07/24/2017,Tobacco Retail Dealer,15 ISLAND DELI GROCERY INC,,15,CORSON AVE,,STATEN ISLAND,NY,10301,718-720-5794,Staten Island,5,501,49,5089359,5000180073,SI22,11,,-74.07928652024391,40.63822527886045,"(40.63822527886045, -74.07928652024391)"
1471634-DCA,Business,12/31/2022,Active,08/16/2013,Tobacco Retail Dealer,8TH AVENUE TOBACCO AND MAGAZINE INC.,,334,9TH AVE,,NEW YORK,NY,10001,516-221-3527,Manhattan,1,104,03,1013465,1007530002,MN13,97,,-73.99847692611054,40.75038735005955,"(40.75038735005955, -73.99847692611054)"
1386926-DCA,Business,12/31/2022,Active,04/06/2011,Tobacco Retail Dealer,"581 MYRTLE AVE. FOOD, INC.",,596,MYRTLE AVE,,BROOKLYN,NY,11205,347-533-8500,Brooklyn,3,303,33,3054912,3019100028,BK69,193,,-73.96054171264953,40.69406639220073,"(40.69406639220073, -73.96054171264953)"
2056783-2-DCA,Business,12/31/2022,Active,08/08/2017,Tobacco Retail Dealer,FARMER IN THE DELI CORP.,,357,MYRTLE AVE,,BROOKLYN,NY,11205,718-875-9067,Brooklyn,3,302,35,3058117,3020450100,BK68,187,,-73.97172108159027,40.69321331431155,"(40.69321331431155, -73.97172108159027)"
2054922-2-DCA,Business,12/31/2022,Active,06/23/2017,Tobacco Retail Dealer,MAYIMBE GROCERY CORP,,200,STANTON ST,,NEW YORK,NY,10002,646-781-9334,Manhattan,1,103,02,1004146,1003450029,MN28,2201,,-73.9828750985277,40.719751893459026,"(40.719751893459026, -73.9828750985277)"
2049119-2-DCA,Business,12/31/2022,Active,03/06/2017,Tobacco Retail Dealer,STOP ONE DELI & GROCERY INC  II,,1222,BUSHWICK AVE,,BROOKLYN,NY,11221,646-919-8826,Brooklyn,3,304,37,3326211,3033940029,BK78,397,,-73.9152385846285,40.68783601640479,"(40.68783601640479, -73.9152385846285)"
2049410-2-DCA,Business,12/31/2022,Active,03/09/2017,Tobacco Retail Dealer,ASRA MINI MART AND DELI INC.,CORNER CONVEIENCE & GROCERY,2801,MIDDLETOWN RD,,BRONX,NY,10461,718-239-9761,Bronx,2,210,13,2045755,2041520003,BX10,26602,,-73.83667646295471,40.843471715995236,"(40.843471715995236, -73.83667646295471)"
2105844-1-DCA,Business,12/31/2023,Active,05/09/2022,Tobacco Retail Dealer,NY GRILL & DELI INC,,1938,MADISON AVE,,NEW YORK,NY,10035,3478305901,Manhattan,1,111,09,1054005,1017490016,,,,-73.94097370775847,40.8053273585444,"(40.8053273585444, -73.94097370775847)"
1307096-DCA,Business,12/31/2022,Active,01/07/2009,Tobacco Retail Dealer,"BENJAMIN, FLORES",LA COSTENITA GROCERY,2175,2ND AVE,,NEW YORK,NY,10029,2124265691,Manhattan,1,111,08,1052504,1016610027,MN34,180,,-73.93979893910506,40.79424903012824,"(40.79424903012824, -73.93979893910506)"
1457672-DCA,Business,12/31/2022,Active,03/07/2013,Tobacco Retail Dealer,10413 JAMAICA CORP,FIVE STARS DELI GROCERY,10413,JAMAICA AVE,,RICHMOND HILL,NY,11418,7188460480,Queens,4,409,32,4192008,4092000044,QN54,26,,-73.8427194265643,40.69520632189288,"(40.69520632189288, -73.8427194265643)"
1064534-DCA,Business,12/31/2022,Active,10/23/2000,Tobacco Retail Dealer,LANTIGUA DELI CORP.,,3074,14TH ST,,ASTORIA,NY,11102,718-728-6540,Queens,4,401,22,4005707,4005170001,QN71,79,,-73.93137384777121,40.76906960673831,"(40.76906960673831, -73.93137384777121)"
2026273-2-DCA,Business,12/31/2022,Active,07/28/2015,Tobacco Retail Dealer,TEJADA GROCERY STORE CORPORATION,,78,WESTERVELT AVE,,STATEN ISLAND,NY,10301,718-727-2462,Staten Island,5,501,49,5001186,5000510188,SI22,7,,-74.0858357429976,40.64566443809583,"(40.64566443809583, -74.0858357429976)"
2058021-2-DCA,Business,12/31/2022,Active,09/11/2017,Tobacco Retail Dealer,"FIVE BROTHERS TRADING, INC.",Baker House Market,4107,CRESCENT ST,,LONG ISLAND CITY,NY,11101,7184722450,Queens,4,401,26,4005008,4004150020,QN68,33,,-73.9393174040281,40.75197979777911,"(40.75197979777911, -73.9393174040281)"
2047238-2-DCA,Business,12/31/2022,Active,01/10/2017,Tobacco Retail Dealer,CLINTON FRUIT MARKET INC.,,681,9TH AVE,,NEW YORK,NY,10036,646-998-3474,Manhattan,1,104,03,1026493,1010560036,MN15,127,,-73.99039075786746,40.76151690163327,"(40.76151690163327, -73.99039075786746)"
2023575-2-DCA,Business,12/31/2022,Active,06/01/2015,Tobacco Retail Dealer,"NIMU AT FOREST AVENUE, LLC",7 ELEVEN STORE,1252,FOREST AVE,,STATEN ISLAND,NY,10302,718-728-8280,Staten Island,5,501,49,5011123,5003880054,SI07,201,,-74.1316307455147,40.626330753762886,"(40.626330753762886, -74.1316307455147)"
1145336-DCA,Business,12/31/2022,Active,07/14/2003,Tobacco Retail Dealer,SMA DELI GROCERY CORP.,,2487,EASTCHESTER RD,,BRONX,NY,10469,718-829-3655,Bronx,2,211,13,2052900,2044770037,BX31,312,,-73.84339069676287,40.86232618642544,"(40.86232618642544, -73.84339069676287)"
2052324-2-DCA,Business,12/31/2022,Active,05/03/2017,Tobacco Retail Dealer,ALWAJIH DELI INC,,125,MALCOLM X BLVD,,BROOKLYN,NY,11221,347-320-4205,Brooklyn,3,303,36,3044525,3016320006,BK35,387,,-73.93029136718931,40.68918831241119,"(40.68918831241119, -73.93029136718931)"
1398208-DCA,Business,12/31/2022,Active,07/01/2011,Tobacco Retail Dealer,"180 MARKETPLACE, INC.",JUBILEE MARKET,180,RIVERSIDE BLVD,,NEW YORK,NY,10069,212-877-6000,Manhattan,1,107,06,1085805,1011710129,MN14,155,,-73.98848548648573,40.77838315223703,"(40.77838315223703, -73.98848548648573)"
1386246-DCA,Business,12/31/2022,Active,03/30/2011,Tobacco Retail Dealer,"ALROBAEY, JAMAL ALI MOHAMMED",BAY DELI & GROCERY,680,BAY ST,,STATEN ISLAND,NY,10304,3474480490,Staten Island,5,501,49,5113098,5005280034,SI37,27,,-74.07494478655275,40.62541002406252,"(40.62541002406252, -74.07494478655275)"
2022212-2-DCA,Business,12/31/2022,Active,05/05/2015,Tobacco Retail Dealer,K & M EXPRESS DELI INC,,728,ROGERS AVE,,BROOKLYN,NY,11226,7187039607,Brooklyn,3,317,40,3116658,3050840056,BK60,822,,-73.9527883661536,40.653556074343776,"(40.653556074343776, -73.9527883661536)"
2088324-2-DCA,Business,12/31/2022,Active,07/16/2019,Tobacco Retail Dealer,SHIVALAY DELI INC,,7106,KISSENA BLVD,,FLUSHING,NY,11367,3478863924,Queens,4,408,24,4144882,4066980001,QN37,77906,,-73.81518138267809,40.72942833272947,"(40.72942833272947, -73.81518138267809)"
