"brooklyn_condominium_property_boro_block_lot","brooklyn_condominium_property_condo_section","brooklyn_condominium_property_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","brooklyn_condominium_property_neighborhood","brooklyn_condominium_property_building_classification","brooklyn_condominium_property_total_units","brooklyn_condominium_property_year_built","brooklyn_condominium_property_gross_sqft","brooklyn_condominium_property_est_gross_income","brooklyn_condominium_property_gross_income_per_sqft","brooklyn_condominium_property_full_market_value","brooklyn_condominium_property_market_value_per_sqft","_comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"3-00892-7501","1729-R1","351 26 AVENUE
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"SUNSET PARK","R2-WALK-UP","16","2006","12490","196093","15.7","798000","64","3-00814-0020","334 53 STREET
Brooklyn, New York 
(40.645493705234, -74.015543228629)","SUNSET PARK","C1-WALK-UP","12","1983","9180","70686","7.7","200000","21.79","1.7",,,,,,,,,,,,
"3-00947-7501","750-R1","47 LINCOLN PLACE
Brooklyn, New York 
(40.677162512049, -73.978172834611)","3","11217","40.677158","-73.978239","6","39","131","3019445","3009477501","Park Slope-Gowanus                                                         ","PARK SLOPE","R2-WALK-UP","12","0","13731","185542","13.51","698001","51","3-02593-0022","114 CALYER STREET
Brooklyn, New York 
(40.727151658288, -73.956131597072)","GREENPOINT","C1-WALK-UP","11","2005","16000","230080","14.38","912000","57","3.6","3-06115-0151","125 95 STREET
Brooklyn, New York 
(40.617037115709, -74.036964044268)","BAY RIDGE","C1-WALK-UP","14","2002","16500","225749","13.68","895000","54","5.2"
"3-05468-7503","629-R1","5120 19 AVENUE
Brooklyn, New York 
(40.625677597685, -73.979956180504)","3","11204","40.625458","-73.980154","12","44","472","3129736","3054687503","Borough Park                                                               ","BOROUGH PARK","R4-ELEVATOR","28","0","60000","1093200","18.22","4449999","74","3-05595-0014","922 42 STREET
Brooklyn, New York 
(40.643916650791, -73.996335340136)","BOROUGH PARK","C1-WALK-UP","27","1924","32000","456204","14.26","1400000","43.8","1.4","3-05595-0034","970 42 STREET
Brooklyn, New York 
(40.643307141125, -73.995317095915)","BOROUGH PARK","C1-WALK-UP","40","1923","44800","675858","15.09","2070000","46.2","1.4"
"3-01755-7501","1208-R1","834 MYRTLE AVENUE
Brooklyn, New York 
(40.695402685293, -73.948810712691)","3","11206","40.695445","-73.948543","3","36","25901","3048638","3017557501","Bedford                                                                    ","BEDFORD STUYVESANT","R2-WALK-UP","36","2003","58244","1071689","18.4","4360002","75","3-02145-0018","440 BERRY STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","D9-ELEVATOR","66","1995","58430","2208654","37.8","11100000","190","1.35",,,,,,,,,,,,
"3-02240-7518","1104-R1","13 LORIMER STREET
Brooklyn, New York 
(40.700491963381, -73.953533145085)","3","11206","40.700426","-73.953577","1","33","531","3349062","3022407518","Bedford                                                                    ","WILLIAMSBURG-CENTRAL","R4-ELEVATOR","12","2003","16524","345351","20.9","1540006","93","3-06782-0026","2120 OCEAN AVENUE
Brooklyn, New York 
(40.610081747554, -73.953535175497)","MADISON","C1-WALK-UP","20","2005","26750","556400","20.8","2490000","93","6.3",,,,,,,,,,,,
"3-03063-7501","1505-R1","204 MONTROSE AVENUE
Brooklyn, New York 
(40.70750553303, -73.941160460945)","3","11206","40.707532","-73.941028","1","34","493","3071235","3030637501","Bushwick South                                                             ","WILLIAMSBURG-EAST","R2-WALK-UP","15","1920","11308","173012","15.3","704002","62","3-02785-0001","330 UNION AVENUE
Brooklyn, New York 
(40.71024077102, -73.950963731688)","WILLIAMSBURG-EAST","D1-ELEVATOR","60","1991","66800","2787564","41.7","14000000","210","0.55",,,,,,,,,,,,
"3-01949-7501","1594-R1","367 CLASSON AVENUE
Brooklyn, New York 
(40.688605398188, -73.959916535504)","3","11238","40.68858","-73.959936","3","35","233","3390793","3019497501","Bedford                                                                    ","BEDFORD STUYVESANT","R4-ELEVATOR","19","2006","11899","356264","29.9","1729997","145","3-01971-0055","377 QUINCY STREET
Brooklyn, New York 
(40.687591890866, -73.945369598401)","BEDFORD STUYVESANT","C1-WALK-UP","12","2006","12228","159453","13.04","588000","48.1","0.2",,,,,,,,,,,,
"3-01128-7501","922-R1","700 PACIFIC STREET
Brooklyn, New York 
(40.681918797407, -73.972414256211)","3","11217","40.681936","-73.972396","8","35","161","3027610","3011287501","Prospect Heights                                                           ","PROSPECT HEIGHTS","R4-ELEVATOR","168","2002","230680","1914945","8.3","6309992","27.4","3-03512-0001","663 HOWARD AVENUE
Brooklyn, New York 
(40.66594467795, -73.91936484805)","BROWNSVILLE","D1-ELEVATOR","122","1983","85370","1612883","18.89","4550000","53","2.95",,,,,,,,,,,,
"3-02251-7503","1705-R1","41 THROOP AVENUE
Brooklyn, New York 
(40.703045116503, -73.947155527627)","3","11206","40.703042","-73.947181","1","33","507","3389460","3022517503","Bedford                                                                    ","WILLIAMSBURG-EAST","R4-ELEVATOR","17","2006","22389","714209","31.9","3459988","155","3-02418-0040","145 3 STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","D1-ELEVATOR","66","2005","59983","1553559","25.9","4390000","73","1",,,,,,,,,,,,
"3-06555-7501","1672-R1","1380 DAHILL ROAD
Brooklyn, New York 
(40.614083703413, -73.975075934791)","3","11204","40.614165","-73.975075","12","44","446","3389008","3065557501","Borough Park                                                               ","BOROUGH PARK","R4-ELEVATOR","14","2006","10670","231539","21.7","1030000","97","3-06782-0026","2120 OCEAN AVENUE
Brooklyn, New York 
(40.610081747554, -73.953535175497)","MADISON","C1-WALK-UP","20","2005","26750","556400","20.8","2490000","93","1.2",,,,,,,,,,,,
