"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","number_and_street_address","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Jobs & Internships","Young Adult Internship Program","Brooklyn Job Corps Academy","Brooklyn","Arbor - NY","718.623.4031","16 to 24","585 DeKalb Avenue
Brooklyn, NEW YORK 11205
(40.691240660643, -73.952776188341)","585 DeKalb Avenue","11205","40.691223","-73.952765","3","33","241","3049016","3017640001","Bedford                                                                    "
"Jobs & Internships","Young Adult Internship Program","Italian American Civil Rights League","Brooklyn","Italian American Civil Rights League","718.642.2180","16 to 24","1460 Pennsylvannia avenue
Brooklyn, NEW YORK 11239
(40.646077795287, -73.879950181902)","1460 Pennsylvannia avenue","11239","40.646068","-73.879786","5","42","105804","3340241","3044520020","Starrett City"
"Jobs & Internships","Young Adult Internship Program","The Child Center of NY","Queens","The Child Center of NY, Inc","347.571.2441","16 to 24","163 18 Jamaica Avenue
Queens, NEW YORK 11432
(40.71311535449, -73.792820999789)","163-18 Jamaica Avenue, 7th Floor","11432","40.704799","-73.796524","12","27","44601","4216197","4101510007","Jamaica                                                                    "
"Jobs & Internships","Young Adult Internship Program","Mosholu Montefiore Community Center","Bronx","Mosholu Montefiore Community Center","718.652.0282","16 to 24","3512 3450 DeKalb Avenue
Bronx, NEW YORK 10467
(40.877047912132, -73.871532500824)","3512 & 3450 DeKalb Avenue","10467",,,,,,,,
"Jobs & Internships","Young Adult Internship Program","Good Shepherd Services","Brooklyn","Good Shepherd Services","718.366.7240","16 to 24","82 Wyckoff Avenue
Brooklyn, NEW YORK 11237
(40.704730537808, -73.919962038937)","82 Wyckoff Avenue","11237","40.70469","-73.919855","4","37","445","3073648","3032370031","Bushwick North                                                             "
"Jobs & Internships","Young Adult Internship Program","Career Connections @ LaGuardia CC","Queens","Henkels & McCoy, Inc. ","718.482.5104","16 to 24","29 10 Thomson Avenue
Queens, NEW YORK 11101
(40.745702449808, -73.938669029252)","29-10 Thomson Avenue, Room 232I","11101","40.745216","-73.937602","2","26","1","4003516","4002730001","Hunters Point-Sunnyside-West Maspeth                                       "
"Jobs & Internships","Young Adult Internship Program","NYSARC, Inc. NYC Chapter","Staten Island","NYSARC, Inc. NYC Chapter","718.246.1506","16 to 24","120 Stuyvesant Place Staten Island
NEW YORK,  10301
(40.643095488653, -74.07704808233)","120 Stuyvesant Place","10301","40.642992","-74.076954","1","49","3","5000084","5000080060","West New Brighton-New Brighton-St. George                                  "
"Jobs & Internships","Young Adult Internship Program","OBT North - Bushwich /Bed-Stuy","Brooklyn","Opportunities for a Better Tomorrow","718.387.1600 x12","16 to 24","25 Thornton Street
Brooklyn, NEW YORK 11206
(40.700912589288, -73.943900574878)","25 Thornton Street","11206","40.701018","-73.943699","1","33","507","3061498","3022750021","Bedford                                                                    "
"Jobs & Internships","Young Adult Internship Program","Wildcat Service Corporation","Bronx","Wildcat Service Corporation","718.617.1378","16 to 24","647 Bryant Avenue
Bronx, NEW YORK 10474
(40.81317283679, -73.885202712578)","647 Bryant Avenue","10474","40.81319","-73.885181","2","17","93","2115742","2027660074","Hunts Point                                                                "
"Jobs & Internships","Young Adult Internship Program","Southern Queens Park Association - NY","Queens","Southern Queens Park Association - NY","718.276.4630 ext.126","16 to 24","117 01 Baisley Blvd
Queens, NEW YORK 11434
(40.676945262114, -73.775306901692)","117-01 Baisley Blvd. ","11434",,,,,,,,
"Jobs & Internships","Young Adult Internship Program","Federation Employment & Guidance Services, Inc","Bronx","Federation Employment & Guidance Services, Inc","718.742.3509","16 to 24","412 434 East 147th Street
Bronx, NEW YORK 10455
(40.813535754971, -73.905355252043)","412-434 East 147th Street","10455","40.814478","-73.918076","1","8","43","2000506","2022910012","Mott Haven-Port Morris                                                     "
"Jobs & Internships","Young Adult Internship Program","Henry Street Settlement","Manhattan","Henry Street Settlement","212.473.1474","16 to 24","367 Madison Street
Manhattan, NEW YORK 10002
(40.713502758365, -73.981667789474)","367 Madison Street","10002","40.713395","-73.982282","3","2","202","1083405","1002670024","Lower East Side                                                            "
"Jobs & Internships","Young Adult Internship Program","LaGuardia Memorial House","Manhattan","Supportive Children's Advocacy Network - NY","212.534.7800","16 to 24","307 116th Street
Manhattan, NEW YORK 10035
(40.793817035428, -73.919317500202)","307 East 116th Street","10035","40.796935","-73.93759","11","8","188","1079357","1016880045","East Harlem North                                                          "
"Jobs & Internships","Young Adult Internship Program","Vannguard Computer Center","Brooklyn","Vannguard Urban Improvement Assciation","718.735.4466","16 to 24","1477 Fulton Street
Brooklyn, NEW YORK 11216
(40.680023627285, -73.942224640164)","1477 Fulton Street","11216","40.68","-73.94221","3","36","269","3329704","3018570024","Bedford                                                                    "
"Jobs & Internships","Young Adult Internship Program","Bronx Works Center","Bronx","The Citizens Advice Bureau","718.993.8880","16 to 24","391 149th Street
Bronx, NEW YORK 10455
(40.816295496167, -73.918202482452)","391 East 149th Street, Suite 520","10455","40.816205","-73.918153","1","17","65","2000859","2023280025","Melrose South-Mott Haven North                                             "
