"schooldbn","locationname","final_address","borough","district","prek_type","phone","contact_name","contact_email","website","meals","play","income_flg","uniforms","singlegender","programname1","programname2","programname3","programcode1","programcode2","programcode3","nyceec_current_all","nyceec_current_some","nyceec_current_none","nyceec_siblings_all","nyceec_siblings_some","nyceec_siblings_none","nyceec_services_all","nyceec_services_some","nyceec_services_none","nyceec_targetlang","nyceec_targetlang_1","nyceec_targetlang_2","nyceec_others_all","nyceec_others_some","nyceec_others_none","district_zonedsib","district_zonedsib_1","district_zonedsib_2","district_otherzone","district_otherzone_1","district_otherzone_2","district_1","district_2","district_3","district_outdissibs","district_outdissibs_1","district_outdissibs_2","district_indistrict","district_indistrict_1","district_indistrict_2","district_outdistrict","district_outdistrict_1","district_outdistrict_2","pkc_indistrict_all","pkc_indistrict_some","pkc_indistrict_none","pkc_outdistrict_all","pkc_outdistrict_some","pkc_outdistrict_none","lpga","halfday_offers","bus","subway_stop","rezoning","specialpriority","magnet","diversity","earlydropoff","latepickup","flexschedule","iepnote","enhancedlang_note","accessibility","seats","hours","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"01M015","P.S. 15 Roberto Clemente","333 East 4th Street, Manhattan NY 10009","Manhattan","1","District School","212-228-8730","Laura Salmon","LSalmon@schools.nyc.gov","www.PS15.org","Breakfast/Lunch","Indoor/Outdoor (Onsite) Playspace",,"No",,"Full-Day Program",,,"01M015FDPK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted siblings of current students, other in-district students, and some out-of-district students.",,"M14A, M14D, M15, M15-SBS, M21, M8, M9","F J M Z",,"District 1 is a choice district",,"This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information",,,,,,"Partially Accessible","18 Full-Day","8:40am-3pm","10009","40.721807","-73.979022","3","2","2601","1004415","1003740020","Lower East Side                                                            "
"01M019","P.S. 19 Asher Levy","185 First Avenue, Manhattan NY 10003","Manhattan","1","District School","212-533-5340","Jacqueline Flanagan","jflanagan@schools.nyc.gov","schools.nyc.gov/schoolportals/01/m019","Breakfast/Lunch/Snack(s)","Indoor/Outdoor (Onsite) Playspace",,"Yes",,"Full-Day Program",,,"01M019FDPK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted students from all priority groups.",,"M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23-SBS, M3, M55, M8, M9, X1, X17, X27, X28","4 5 6 L N Q R",,"District 1 is a choice district",,"This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information",,,,,,"Not Accessible","18 Full-Day","8am-2:20pm","10003","40.729636","-73.983818","3","2","40","1006478","1004530034","East Village                                                               "
"01M020","P.S. 20 Anna Silver","166 Essex Street, Manhattan NY 10002","Manhattan","1","District School","212-254-9577","Sarah Pinto Viagran","spinto4@schools.nyc.gov","ps20m.org","Breakfast/Lunch/Snack(s)","Indoor/Outdoor (Onsite) Playspace",,"No",,"Full-Day Program","Chinese Dual Language Program","Spanish Dual Language Program","01M020FDPK","01M020FDPKCH","01M020FDPKSP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted students from all priority groups.",,"B39, M103, M14A, M14D, M15, M15-SBS, M21, M8, M9","B D F J M Z",,"District 1 is a choice district",,"This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information",,"5:30pm",,,,"Partially Accessible","54 Full-Day","8:20am-2:40pm","10002","40.72154","-73.986648","3","1","3001","1004325","1003550001","Chinatown                                                                  "
"01M034","P.S. 34 Franklin D. Roosevelt","730 East 12th Street, Manhattan NY 10009","Manhattan","1","District School","212-228-4433","Rosemarie Gonzalez","aloukatos@schools.nyc.gov","schools.nyc.gov/schoolportals/01/m034","Breakfast/Lunch/Snack(s)","Indoor/Outdoor (Onsite) Playspace",,"Contact program",,"Full-Day Program",,,"01M034FDPK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted students from all priority groups.",,"M14A, M14D, M21, M23, M8, M9, X14, X2, X42, X5","L",,"District 1 is a choice district",,"This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information",,,,,,"Not Accessible","18 Full-Day","Contact program","10009","40.726473","-73.975181","3","2","28","1004564","1003810038","Lower East Side                                                            "
"01M063","The STAR Academy - P.S. 63","121 East 3rd Street, Manhattan NY 10009","Manhattan","1","District School","212-674-3180","Darlene Cameron","dcameron2@schools.nyc.gov","staracademyps63.com","Breakfast/Lunch/Snack(s)","Indoor/Outdoor (Onsite) Playspace",,"Yes",,"Full-Day Program",,,"01M063FDPK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted students from all priority groups.",,"B39, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M21, M3, M8, M9","4 6 B D F J L M Z",,"District 1 is a choice district",,"This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information","7:45am","5:30pm",,,,"Not Accessible","36 Full-Day","8:15am-2:35pm","10009","40.724117","-73.986381","3","2","32","1005760","1004310014","East Village                                                               "
"01M064","P.S. 64 Robert Simon","600 East 6th Street, Manhattan NY 10009","Manhattan","1","District School","212-673-6510","Marlon L. Hosang","mhosang@schools.nyc.gov","schools.nyc.gov/schoolportals/01/m064","Breakfast/Lunch/Snack(s)","Indoor/Outdoor (Onsite) Playspace",,"Yes",,"Full-Day Program",,,"01M064FDPK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted students from all priority groups.",,"M14A, M14D, M15, M15-SBS, M21, M8, M9","F J L M Z",,"District 1 is a choice district",,"This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information",,"5:30pm",,,,"Not Accessible","36 Full-Day","8:20am-2:40pm","10009","40.72438","-73.98138","3","2","2601","1004627","1003870001","Lower East Side                                                            "
"01M110","P.S. 110 Florence Nightingale","285 Delancy Street, Manhattan NY 10002","Manhattan","1","District School","212-674-2690","Karen Feuer","KFeuer@schools.nyc.gov","ps110pta.org","Breakfast/Lunch","Indoor/Outdoor (Onsite) Playspace",,"Contact program",,"Full-Day Program",,,"01M110FDPK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted students from all priority groups.",,"M14A, M14D, M21, M22, M9, X14, X37, X38","F J M Z",,"District 1 is a choice district",,"This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information",,"Contact program for time",,,,"Not Accessible","36 Full-Day","Contact program","10002","40.715915","-73.979893","3","1","12","1004066","1003310140","Lower East Side                                                            "
"01M134","P.S. 134 Henrietta Szold","293 East Broadway, Manhattan NY 10002","Manhattan","1","District School","212-673-4470","Daniel Kim","dkim@schools.nyc.gov","schools.nyc.gov/schoolportals/01/m134","Breakfast/Lunch","Indoor/Outdoor (Onsite) Playspace",,"No",,"Full-Day Program",,,"01M134FDPK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted students from all priority groups.",,"B39, M14A, M14D, M15, M15-SBS, M21, M22, M9, X14, X37, X38","F J M Z",,"District 1 is a choice district",,"This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information",,,,,,"Partially Accessible","36 Full-Day","8:15am-2:35pm","10002","40.71457","-73.983724","3","1","202","1003736","1002880015","Lower East Side                                                            "
"01M140","P.S. 140 Nathan Straus","123 Ridge Street, Manhattan NY 10002","Manhattan","1","District School","212-677-4680","Melissa Rodriguez","mrodrig19@schools.nyc.gov","schools.nyc.gov/schoolportals/01/m140","Breakfast/Lunch/Snack(s)","Outdoor (Onsite) Playspace",,"No",,"Full-Day Program",,,"01M140FDPK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Last year, this program admitted siblings of current students, and some other in-district students.",,"B39, M14A, M14D, M15, M15-SBS, M21, M22, M9","F J M Z",,"District 1 is a choice district",,"This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information",,"5pm",,,,"Not Accessible","18 Full-Day","8am-2:20pm","10002","40.71925","-73.983056","3","1","2201","1004091","1003440001","Lower East Side                                                            "
"06M005","P.S. 5 Ellen Lurie","3703 Tenth Avenue, Manhattan NY 10034","Manhattan","6","District School","212-567-8109","Latosha Thomas","lthomas25@schools.nyc.gov","schools.nyc.gov/schoolportals/06/m005","Breakfast/Lunch","Indoor/Outdoor (Onsite) Playspace",,"Yes",,"Full-Day Program",,,"06M005FDPK",,,,,,,,,,,,,,,,,,"x",,,"x",,,"x",,,"x",,,"x",,,"x",,,,,,,,,,,"Bx12, Bx12-SBS, Bx18, Bx40, Bx42, Bx7, BxM1, M100, M101, M3","1",,,,,,,,,,"Fully Accessible","54 Full-Day","8am-2:20pm","10034","40.85899","-73.922894","12","10","299","1084201","1021500030","Marble Hill-Inwood                                                         "
