"data_as_of_date","evaluation_id","evaluation_name","source","program_type","workscope","provider","evaluation_date","overall_rating","program_site","street_address","street_address2","postcode","borough","latitude","longitude","community_board","council_district","census_tract_2010","nta","bin","bbl"
"2021-02-03T00:00:00.000","EVL-043611","Site Visit 2","On-Demand","Over Threshold","43022R-Discretionary-Over Threshold-2020","Asian American Coalition for Children and Families Inc","2019-12-03T00:00:00.000","Above Standard","CACF","286 East 156 St.",,"10451","Bronx","40.82202199","-73.92028855","Bronx CD 001","Council District 017 Bronx","67","BX34","2120133","2024130001"
"2021-02-03T00:00:00.000","EVL-022163","Site Visit 1","System Generated","Over Threshold","43022Q-Discretionary Over $25,000-7/1/2018-6/30/2019","Asian American Coalition for Children and Families Inc","2018-12-11T00:00:00.000","Meets Standard","Partnership for After School Education (PASE)","120 Broadway",,"10271","Manhattan","40.70854574","-74.01104076","Manhattan CD 001","Council District 001 Manhattan","7","MN25","1001026","1000477501"
"2021-02-03T00:00:00.000","EVL-025674","Site Visit 2","System Generated","Over Threshold","43022Q-Discretionary Over $25,000-7/1/2018-6/30/2019","Asian American Coalition for Children and Families Inc","2019-01-10T00:00:00.000","Meets Standard","Partnership for After School Education (PASE)","120 Broadway",,"10271","Manhattan","40.70854574","-74.01104076","Manhattan CD 001","Council District 001 Manhattan","7","MN25","1001026","1000477501"
"2021-02-03T00:00:00.000","EVL-013903","Offsite Review","System Generated","Under Threshold","68365Q-Discretionary-Discretionary Under $25,000-2019","Nigerian American Community Association (USA), Inc","2019-06-28T00:00:00.000","Meets Standard","Nigerian American Community Association (USA) inc.","295 Granite Avenue",,"10303","Staten Island","40.628757","-74.149528","Richmond CD 001","Council District 049 Richmond","239","SI12","5110174","5011700014"
"2021-02-03T00:00:00.000","EVL-043630","Offsite Review","On-Demand","Under Threshold","48177R-Discretionary-Under Threshold-2020","109th Precinct Community Council,","2020-03-18T00:00:00.000","Above Standard","109th Precinct Community Council, Inc","37-05 Union Street",,"11354","Queens","40.76229684","-73.82739007","Queens CD 007","Council District 020 Queens","865","QN22","4113348","4050110006"
"2021-02-03T00:00:00.000","EVL-021638","Offsite Review","System Generated","Under Threshold","43180Q-Discretionary-Discretionary Under $25,000-2019","110th Precinct Community Council, Inc","2019-06-27T00:00:00.000","Meets Standard","110th Precinct Community Council Inc","94-41 43 Avenue",,"11373","Queens","40.7452193","-73.8700695","Queens CD 004","Council District 021 Queens","465","QN29","4445296","4015920072"
"2021-02-03T00:00:00.000","EVL-021992","Site Visit 1","System Generated","Over Threshold","12473Q-Discretionary-Discretionary Over $25,000-2019","1199 SEIU Employer Child Care Corporation","2019-06-18T00:00:00.000","Meets Standard","1199 SEIU Employer Child Care Corporation","98-01 159 AVENUE",,"11414","Queens","40.65987301","-73.83506793","Queens CD 010","Council District 032 Queens","884","QN57","4295163","4141680016"
"2021-02-03T00:00:00.000","EVL-025427","Site Visit 2","System Generated","Over Threshold","12473Q-Discretionary-Discretionary Over $25,000-2019","1199 SEIU Employer Child Care Corporation","2019-06-18T00:00:00.000","Above Standard","1199 SEIU Employer Child Care Corporation","98-01 159 AVENUE",,"11414","Queens","40.65987301","-73.83506793","Queens CD 010","Council District 032 Queens","884","QN57","4295163","4141680016"
"2021-02-03T00:00:00.000","EVL-030719","Pre-program Review","System Generated","Year Round Sector Focus","91000-Year Round Sector Focus-3/11/2019-3/10/2020","1199 SEIU Employer Child Care Corporation","2019-06-06T00:00:00.000","Meets Standard","1199SEIU Child Care Corporation","330 WEST 42 STREET",,"10036","Manhattan","40.7575736","-73.991611","Manhattan CD 004","Council District 003 Manhattan","115","MN15","1024926","1010320048"
"2021-02-03T00:00:00.000","EVL-034392","During Program - Technical Assistance","System Generated","Year Round Sector Focus","91000-Year Round Sector Focus-3/11/2019-3/10/2020","1199 SEIU Employer Child Care Corporation","2019-07-29T00:00:00.000","Above Standard","1199SEIU Child Care Corporation","330 WEST 42 STREET",,"10036","Manhattan","40.7575736","-73.991611","Manhattan CD 004","Council District 003 Manhattan","115","MN15","1024926","1010320048"
"2021-02-03T00:00:00.000","EVL-036321","Closeout Program Review","System Generated","Year Round Sector Focus","91000-Year Round Sector Focus-3/11/2019-3/10/2020","1199 SEIU Employer Child Care Corporation","2019-10-03T00:00:00.000","Above Standard","1199SEIU Child Care Corporation","330 WEST 42 STREET",,"10036","Manhattan","40.7575736","-73.991611","Manhattan CD 004","Council District 003 Manhattan","115","MN15","1024926","1010320048"
"2021-02-03T00:00:00.000","EVL-022160","Offsite Review","System Generated","Under Threshold","58184Q-Discretionary-Discretionary Under $25,000-2019","121st Police Precinct Community Council","2019-06-30T00:00:00.000","Meets Standard","121 Precinct Community Council","970 Richmond Avenue",,"10314","Staten Island","40.625422","-74.148596","Richmond CD 001","Council District 049 Richmond","303.02","SI12","5165197","5017040001"
"2021-02-03T00:00:00.000","EVL-043782","Offsite Review","On-Demand","Under Threshold","18094R-Discretionary-Under Threshold-2020","161st Street Merchants Association Inc","2020-02-10T00:00:00.000","Above Standard","161st  STREET  MERCHANTS' BLOCK ASSOCIATION. INC.","2865 Kingsbridge Terrace","7M","10463","Bronx","40.87451172","-73.90292358","Bronx CD 008","Council District 014 Bronx","273","BX28","2015735","2032560156"
"2021-02-03T00:00:00.000","EVL-021980","Offsite Review","System Generated","Under Threshold","18094Q-Discretionary Under $25,000-7/1/2018-6/30/2019","161st Street Merchants Association Inc","2019-04-01T00:00:00.000","Above Standard","161st Street Merchants Association Inc","2865 Kingsbridge Terrace","7M","10463","Bronx","40.87451172","-73.90292358","Bronx CD 008","Council District 014 Bronx","273","BX28","2015735","2032560156"
"2021-02-03T00:00:00.000","EVL-033248","Offsite Review","On-Demand","Under Threshold","62321Q-Discretionary Under $25,000-7/1/2018-6/30/2019","20 20 Vision For Schools, Inc.","2019-04-17T00:00:00.000","Above Standard","20 20 Vision for Schools, Inc.","302 West  124 Street","3rd Floor","10027","Manhattan","40.80959222","-73.95192269","Manhattan CD 010","Council District 009 Manhattan","257","MN11","1059275","1019500029"
"2021-02-03T00:00:00.000","EVL-042205","Site Visit 1","On-Demand","Over Threshold","62227R-Over Threshold-7/1/2019-6/30/2020","20 20 Vision For Schools, Inc.","2020-03-30T00:00:00.000","Above Standard","20 20 Vision for Schools, Inc.","8225 5 Avenue","#323","11209","Brooklyn","40.62408129","-74.0248382","Brooklyn CD 010","Council District 043 Brooklyn","142","BK31","3152153","3060090001"
"2021-02-03T00:00:00.000","EVL-027016","Site Visit 2","System Generated","Under Threshold","62227Q-Discretionary Under $25,000-7/1/2018-6/30/2019","20 20 Vision For Schools, Inc.","2019-04-17T00:00:00.000","Far Above Standard","20/20 Vision","302 West  124 Street",,"10027","Manhattan","40.80959222","-73.95192269","Manhattan CD 010","Council District 009 Manhattan","257","MN11","1059275","1019500029"
"2021-02-03T00:00:00.000","EVL-033246","Offsite Review","On-Demand","Under Threshold","62227Q-Discretionary Under $25,000-7/1/2018-6/30/2019","20 20 Vision For Schools, Inc.","2019-06-28T00:00:00.000","Far Above Standard","20/20 Vision For Schools Inc","8225 5 Avenue","#323","11209","Brooklyn","40.62408129","-74.0248382","Brooklyn CD 010","Council District 043 Brooklyn","142","BK31","3152153","3060090001"
"2021-02-03T00:00:00.000","EVL-027015","Site Visit 2","System Generated","Under Threshold","62321Q-Discretionary Under $25,000-7/1/2018-6/30/2019","20 20 Vision For Schools, Inc.","2019-05-08T00:00:00.000","Above Standard","20/20 Vision For Schools, Inc. - School Media by Thrive Collective","180 6 AVENUE",,"11217","Brooklyn","40.676651","-73.97798157","Brooklyn CD 006","Community District 013 Brooklyn","131","BK37","3019597","3009500024"
"2021-02-03T00:00:00.000","EVL-010837","Site Visit 1","On-Demand","Under Threshold","62321P-Under Threshold-7/1/2017-6/30/2018","20 20 Vision For Schools, Inc.","2017-09-06T00:00:00.000","Above Standard","2020 For Vision Education","8225 5 Avenue","#323","11209","Brooklyn","40.62408129","-74.0248382","Brooklyn CD 010","Council District 043 Brooklyn","142","BK31","3152153","3060090001"
"2021-02-03T00:00:00.000","EVL-010836","Site Visit 1","On-Demand","Under Threshold","62227P-Discretionary-Discretionary Under $25,000-2018","20 20 Vision For Schools, Inc.","2018-06-15T00:00:00.000","Meets Standard","2020 Visions For Schools","8225 5 Avenue","#323","11209","Brooklyn","40.62408129","-74.0248382","Brooklyn CD 010","Council District 043 Brooklyn","142","BK31","3152153","3060090001"
"2021-02-03T00:00:00.000","EVL-043344","Site Visit 1","On-Demand","Under Threshold","48437Q-Discretionary-Discretionary Under $25,000-2019","4 Kids In Need Incorporated","2019-06-30T00:00:00.000","Meets Standard","4 KIDS IN NEED INC","110-03 73 Road","3G","11375","Queens","40.7187507","-73.839157","Queens CD 006","Council District 029 Queens","76901","QN17",,
"2021-02-03T00:00:00.000","EVL-045657","Offsite Review","On-Demand","Under Threshold","28815R-Discretionary-Under Threshold-2020","67th Precinct Clergy Council, Inc.","2020-03-02T00:00:00.000","Above Standard","MT ZION CHURCH OF GOD 7th Day","203 East   37 Street",,"11203","Brooklyn","40.65219839","-73.94292914","Brooklyn CD 017","Council District 041 Brooklyn","816","BK91","3108829","3048740054"
"2021-02-03T00:00:00.000","EVL-005131","Site Visit 2","System Generated","Over Threshold","42668P-Discretionary-Discretionary Over $25,000-2018","82nd Street Academics","2018-04-18T00:00:00.000","Above Standard","82nd Street Academics","81-10 35th Avenue",,"11372","Queens","40.75167932","-73.8852936","Queens CD 003","Community District 030 Queens","283","QN28","4029684","4012810001"
"2021-02-03T00:00:00.000","EVL-022161","Site Visit 1","System Generated","Over Threshold","42668Q-Discretionary-Discretionary Over $25,000-2019","82nd Street Academics","2018-10-04T00:00:00.000","Meets Standard","82nd Street Academics","81-10 35th Avenue",,"11372","Queens","40.75167932","-73.8852936","Queens CD 003","Community District 030 Queens","283","QN28","4029684","4012810001"
"2021-02-03T00:00:00.000","EVL-025671","Site Visit 2","System Generated","Over Threshold","42668Q-Discretionary-Discretionary Over $25,000-2019","82nd Street Academics","2019-04-11T00:00:00.000","Meets Standard","82nd Street Academics","81-10 35th Avenue",,"11372","Queens","40.75167932","-73.8852936","Queens CD 003","Community District 030 Queens","283","QN28","4029684","4012810001"
"2021-02-03T00:00:00.000","EVL-026107","Site Visit 2","System Generated","Over Threshold","42668Q-Discretionary-Discretionary Over $25,000-2019","82nd Street Academics","2019-06-12T00:00:00.000","Meets Standard","82nd Street Academics","81-10 35th Avenue",,"11372","Queens","40.75167932","-73.8852936","Queens CD 003","Community District 030 Queens","283","QN28","4029684","4012810001"
"2021-02-03T00:00:00.000","EVL-001242","Site Visit 1","System Generated","COMPASS Middle School","142200-COMPASS Middle School-9/1/2017-6/30/2018","82nd Street Academics","2017-11-28T00:00:00.000","Above Standard","Hunters Point Community Middle School","1-50 51 Avenue",,"11101","Queens","40.74295555","-73.95919555","Queens CD 002","Council District 026 Queens","1","QN31","4538588","4000060008"
"2021-02-03T00:00:00.000","EVL-005887","Site Visit 2","System Generated","COMPASS Middle School","142200-COMPASS Middle School-9/1/2017-6/30/2018","82nd Street Academics","2018-04-18T00:00:00.000","Above Standard","Hunters Point Community Middle School","1-50 51 Avenue",,"11101","Queens","40.74295555","-73.95919555","Queens CD 002","Council District 026 Queens","1","QN31","4538588","4000060008"
