"borough_code","development","address","status","sponsor","zip_code","type","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Manhattan","Baruch","595- 605 FDR Drive","Occupied","Henry Street Settlement, Inc.",,"Other - Battered Women shelter",,,,,,,,
"Staten Island","Berry Houses","44 Dongan Hills","Occupied","Staten Island Mental Health Society, Inc.","10306","Child Care ",,,,,,,,
"Brooklyn","Farragut","228 York Street","Occupied","Spanish Speaking Elderly Council - RAICES",,"Senior Center",,,,,,,,
"Manhattan","Harborview Terrace","536 West 56th Street","Occupied","NYCHA","10019","Performing Arts - Art Center",,,,,,,,
"Brooklyn","Howard","1620 E N Y Avenue","NYCHA HOLD","NYCHA","11212","Vacant- health clinic",,,,,,,,
"Manhattan","Lexington","115 East 98th Steet","Occupied","Lexington Children's Center","10029","Child Care - Early Learn",,,,,,,,
"Brooklyn","Marcus Garvey","1440 E N Y Avenue","Occupied","Fort Greene Senior Citizens Council","11212","Senior Center",,,,,,,,
"Bronx","Monroe","1802 Story Avenue","Vacant ","NYCHA",,"Vacant",,,,,,,,
"Bronx","Pelham Parkway","975 Waring Avenue","Occupied","Jewish Association Services For the Aged",,"Senior Center",,,,,,,,
"Brooklyn","Pink","2702 Linden Boulevard","Occupied","United Community Centers",,"Other - Urban Farm",,,,,,,,
"Queens","Ravenswood","34-35A 12th Street","Occupied","HANAC, Inc.","11106","Senior Center ",,,,,,,,
"Queens","Ravenswood","34-35A 12th Street","Occupied","HANAC, Inc.",,"NORC",,,,,,,,
"Brooklyn","Red Hook East","110 West 9th Street","Occupied","Spanish Speaking Elderly Council - RAICES",,"Senior Center",,,,,,,,
"Brooklyn","Saratoga Square","930 Halsey Street","Occupied","Ridgewood-Bushwick Sr Citizens Council, Inc.",,"Senior Center",,,,,,,,
"Manhattan","Washington Hts Rehab (Groups I and II)","500 West 164th Street","Vacant ","NYCHA",,"Vacant",,,,,,,,
"Manhattan","Washington Hts Rehab (Groups I and II)","503 West 177th Street","Occupied","Provider Name Unknown",,"Other - Battered Women center",,,,,,,,
"Manhattan","Wilson","405 East 105th Steet","Occupied","NYCHA","10029","Management Office",,,,,,,,
"Manhattan","Wise Towers/WSURA","136 West 91st Steet","Vacant ","NYCHA","10024","Vacant",,,,,,,,
"Brooklyn","Wyckoff Gardens","266 Wyckoff Street","Vacant ","NYCHA",,"Vacant",,,,,,,,
"Queens","FOREST HILLS COOP (108TH STREET-62ND DRIVE)","108-25 62nd Drive","Occupied","Queens Community House, Inc.","11375","Senior Center","40.73591","-73.850212","6","29","745","4432108","4021590002","Forest Hills                                                               "
"Staten Island","West Brighton","230 Broadway","Occupied","Catholic Charities Community Services Archdiocese of NY","10310","Senior Center","40.636486","-74.117523","1","49","13301","5095818","5001960001","West New Brighton-New Brighton-St. George                                  "
"Manhattan","Gompers","80 Pitt Street","Occupied","Grand Street Settlement, Inc.","10002","Senior Center","40.718328","-73.98245","3","2","2201","1084357","1003380001","Lower East Side                                                            "
"Manhattan","Metro North Plaza","304 East 102nd Street","Occupied","Union Settlement Association","10029","Child Care - Early Learn","40.787977","-73.944153","11","8","164","1079341","1016730006","East Harlem South                                                          "
"Manhattan","Lower East Side II","175 Eldridge Street","Occupied","University Settlement Society of New York, Inc.","10002","Community Center","40.720412","-73.990822","3","1","18","1005602","1004200062","Chinatown                                                                  "
"Bronx","Mitchel","185 Willis Avenue","Vacant ","NYCHA","10454","Vacant","40.807604","-73.923994","1","8","23","2093914","2022980040","Mott Haven-Port Morris                                                     "
"Manhattan","Smith","50 Madison Street","Occupied","Hamilton-Madison House, Inc.","10038","Senior Center","40.711958","-73.997825","3","1","25","1077420","1001110100","Chinatown                                                                  "
"Brooklyn","Marcus Garvey","20 Amboy Street","Occupied","Research Foundation ","11212","Community Center","40.670058","-73.91476","16","41","902","3251969","3034940010","Brownsville                                                                "
"Brooklyn","Albany","1185 Park Place","Occupied","Brooklyn Kindergarten Society, Inc.","11213","Child Care - Early Learn","40.672793","-73.938391","8","36","343","3324613","3013520080","Crown Heights North                                                        "
