"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","number_and_street_address","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Runaway & Homeless Youth","Transitional Independent Living (TIL)","Girls Educational & Mentoring Services, Inc.","Manhattan","Girls Educational & Mentoring Services, Inc.","212.926.8089 ext. 25",,,,"10039",,,,,,,,
"Runaway & Homeless Youth","Transitional Independent Living (TIL)","Good Shepherd Services","Manhattan","Good Shepherd Services","646.485.6900",,,,"10011",,,,,,,,
"Runaway & Homeless Youth","Transitional Independent Living (TIL)","Green Chimneys","Manhattan","Green Chimneys","212.491.5911 ext. 13",,,,"10038",,,,,,,,
"Runaway & Homeless Youth","Transitional Independent Living (TIL)","Inwood House","Manhattan","Inwood house","212.861.4325",,,,"10065",,,,,,,,
"Runaway & Homeless Youth","Transitional Independent Living (TIL)","Rachel's Place","Brooklyn","Rachel's Place","718.253.5364",,,,"11234",,,,,,,,
"Runaaway & Homeless Youth Transitional Independent Living",,"Safe Space NYC, Inc","Queens","Safe Space NYC, Inc","718.526.3000",,,,"11433",,,,,,,,
"Runaway & Homeless Youth","Transitional Independent Living (TIL)","SCO Family of Services","Brooklyn","SCO Family of Services","718.827.8465",,,,"11208",,,,,,,,
"Runaway & Homeless Youth","Transitional Independent Living (TIL)","SCO Family of Services","Brooklyn","SCO Family of Services","718.782.0198",,,,"11211",,,,,,,,
"Runaway & Homeless Youth","Transitional Independent Living (TIL)","SCO Family of Services","Brooklyn","SCO Family of Services","718.326.5931",,,,"11221",,,,,,,,
"Runaaway & Homeless Youth Transitional Independent Living",,"SCO Family of Services IV","Queens","SCO Family of Services","718.217.5613",,,,"11429",,,,,,,,
"Runaway & Homeless Youth","Drop-In Center","SCO Drop In Center","Brooklyn","SCO Family of Services","718.384.7083",,"89 10th Street
Brooklyn, NEW YORK 11221
(40.672140908347, -73.994183928581)","89 South 10th Street","11221","40.708154","-73.965482","1","33","547","3059666","3021460015","North Side-South Side                                                      "
"Runaway & Homeless Youth","Drop-In Center","Safe Horizon, Inc","Manhattan","Safe Horizon, Inc","212.695.2220 or 800.708.6600",,"209 125th Street
Manhattan, NEW YORK 10027
(40.809154206199, -73.948683474836)","209 West 125th Street ","10027","40.80919","-73.94882","10","9","222","1058660","1019310027","Central Harlem South                                                       "
"Runaway & Homeless Youth","Street Outreach","La Asociacion Benefica Cultural Father Billini","Queens","La Asociacion Benefica Cultural Father Billini","718.651.8427",,"104 11 37th Avenue
Queens, NEW YORK 11368
(40.749678220374, -73.853040688577)","104- 11 37th Avenue","11368","40.753535","-73.863451","3","21","379","4043421","4017460035","North Corona                                                               "
