"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","postcode","address"
"Family Support","Fatherhood Initiative","Family and Community Support Services","Brooklyn","Family and Community Support Services","347.879.3367","16 to 24","124 Utica
Brooklyn, NEW YORK 11233
(40.677525932386, -73.930335168178)",,,,,,,,,"11233","124 Utica"
"Family Support","Fatherhood Initiative","Neighborhood Defender Service of Harlem","New York ","Neighborhood Defender Service of Harlem","212.876.5500","16 to 24","317 Lenox Avenue
New York, NEW YORK 10027
(40.808477178137, -73.945100354507)","40.808291","-73.945122","10","9","222","1085673","1019107501","Central Harlem South                                                       ","10027","317 Lenox Avenue"
"Family Support","Fatherhood Initiative","The New York Society for the Prevention of Cruelty to Children","New York ","The New York Society for the Prevention of Cruelty to Children","212.233.5500","16 to 24","161 William Street
New York, NEW YORK 10038
(40.709999539835, -74.006016649884)","40.710059","-74.005955","1","1","1501","1001269","1000920005","Battery Park City-Lower Manhattan                                          ","10038","161 William Street"
"Family Support","Fatherhood Initiative","Strive/East Harlem Employment Service, Inc. ","New York ","East Harlem Employment Services, Inc.","212.360.1100","16 to 24","240 123rd Street
New York, NEW YORK 10035
(40.801631007365, -73.935035566046)","40.801647","-73.935017","11","8","194","1054629","1017870080","East Harlem North                                                          ","10035","240 East 123rd Street, 3rd Flr."
"Family Support","Fatherhood Initiative","Ralph Lincoln Service Center ","Brooklyn","Ralph Lincoln Service Center, Inc.","718.604.1358","16 to 24","261 Buffalo Avenue
Brooklyn, NEW YORK 11213
(40.67003864097, -73.92540014432)","40.669991","-73.925427","8","41","359","3037201","3013870007","Crown Heights North                                                        ","11213","261 Buffalo Avenue"
"Family Support","Fatherhood Initiative","Forestdale at Forest Hills Campus","Queens","Forestdale, Inc","718.263.0740","16 to 24","67 35 112 Street
Queens, NEW YORK 11375
(40.72070726303, -73.846284296083)","40.729354","-73.842599","6","29","747","4441126","4022060006","Forest Hills                                                               ","11375","67-35 112 Street"
"Family Support","Fatherhood Initiative","Coalition for Hispanic Family Services ","Brooklyn","Coalition for Hispanic Family Services","718.497.6090","16 to 24","315 Wyckoff Avenue
Brooklyn, NEW YORK 11237
(40.700089964438, -73.912032912223)","40.700045","-73.911981","4","37","439","3076376","3033380001","Bushwick North                                                             ","11237","315 Wyckoff Avenue"
"Family Support","Fatherhood Initiative","The Fathers Center ","New York ","Legal Information for Families Today (LIFT)","646.613.9633 ext. 202","16 to 24","350 Broadway
New York, NEW YORK 10013
(40.716960292342, -74.003921229556)","40.716954","-74.003943","1","1","31","1001838","1001717503","SoHo-TriBeCa-Civic Center-Little Italy                                     ","10013","350 Broadway, #1203"
"Family Support","Fatherhood Initiative","Fortune Society","Queens","The Fortune Society, Inc.","347.510.3619","16 to 24","29 76 Northern Blvd
Queens, NEW YORK 11101
(40.745702449808, -73.938669029252)","40.750433","-73.935323","1","26","171","4003410","4002390049","Hunters Point-Sunnyside-West Maspeth                                       ","11101","29-76 Northern Blvd"
"Family Support","Fatherhood Initiative","Friends of the Island Academy ","New York ","Friends of Island Academy","212.760.0755","16 to 24","330 38th Street
New York, NEW YORK 10018
(40.755442281976, -73.993381175372)","40.755139","-73.992669","4","3","111","1013627","1007610053","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","10018","330 West 38th Street"
"Family Support","Fatherhood Initiative","Nursing Family Partnership ","Bronx","Visiting Nurse Service of New York","718.402.3900 ","16 to 24","489 491 East 153 Street
Bronx, NEW YORK 10454
(40.805846930092, -73.916285046518)","40.818345","-73.914054","1","17","71","2001179","2023630007","Melrose South-Mott Haven North                                             ","10454","489-491 East 153 Street. "
"Family Support","Fatherhood Initiative","Project Bridge ","Brooklyn","Catholic Charities Neighborhood Services, Inc.","718.628.1905","16 to 24","52 Wilson Avenue
Brooklyn, NEW YORK 11237
(40.702590552559, -73.929089057738)","40.702549","-73.928986","4","34","425","3072069","3031640026","Bushwick South                                                             ","11237","52 Wilson Avenue"
"Family Support","Fatherhood Initiative","Midtown Community Court","New York ","Fund for the City of New York/Center for Court Innovation","646.264.1329","16 to 24","314 54 Street
New York, NEW YORK 10019
(40.765190932773, -73.985242311007)","40.765082","-73.984997","4","3","133","1025397","1010440022","Clinton                                                                    ","10019","314 West 54 Street. 6th Flr. "
"Family Support","Fatherhood Initiative","FRIENDS Program","Bronx","Visiting Nurse Service of New York","212.794.9200","16 to 24","389 391 East 153rd Street
Bronx, NEW YORK 10455
(40.813535754971, -73.905355252043)","40.819028","-73.917022","1","17","67","2101665","2024000130","Melrose South-Mott Haven North                                             ","10455","389-391 East 153rd Street"
"Family Support","Fatherhood Initiative","Washington Houses Community Center ","New York ","Union Settlement Association","212.828.6113","16 to 24","237 104th Street
New York, NEW YORK 10029
(40.789924588094, -73.944769131203)","40.789687","-73.944267","11","8","170","1080671","1016540011","East Harlem South                                                          ","10029","237 East 104th Street"
"Family Support","Fatherhood Initiative","Allen AME Multi-Center (Annex)","Queens","Forestdale, Inc","718.263.0740","16 to 24","1114 02
Queens, NEW YORK 11434
(40.676945262114, -73.775306901692)",,,,,,,,,"11434","1114-02 Guy Brewer Bl.vd. "
"Family Support","Fatherhood Initiative","Claremont Neighborhood Centers, Inc. ","Bronx","Claremont Neighborhood Centers, Inc.","718.588.1000","16 to 24","489 169th Street
Bronx, NEW YORK 10456
(40.833009438875, -73.905735217316)","40.832965","-73.905669","3","16","14701","2092082","2029100001","Claremont-Bathgate                                                         ","10456","489 East 169th Street"
"Family Support","Fatherhood Initiative","Parkside Houses","Bronx","Friends of Island Academy","718.653.5301","16 to 24","2910 Bronx Park
Bronx, NEW YORK 10467
(40.868172164653, -73.870440254466)","40.868209","-73.87049","11","15","336","2101744","2045420100","Bronxdale                                                                  ","10467","2910 Bronx Park East"
"Family Support","Fatherhood Initiative","Oberia Dempsey Center ","New York ","The Northern Manhattan Perinatal Partnership Inc.","212.665.2600","16 to 24","127 127th
New York, NEW YORK 10027
(40.809438819236, -73.945341926389)",,,,,,,,,"10027","127 West 127th , #2C"
