"type","name","location","contact_information","postcode","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"School Garden","LaGuardia Arts High School","100 Amsterdam Avenue (between West 64th and West 65th Sts)","lmars@schools.nyc.gov","10023","MANHATTAN","40.773629","-73.985273","7","6","151","1030341","1011560030","Lincoln Square                                                             "
"School Garden","MS 131 Dr. Sun Yat Sen Middle School","100 Hester Street (between Forsyth and Eldridge Sts)","PTAM@schools.nyc.gov","10002","MANHATTAN","40.716553","-73.993092","3","1","16","1082489","1003010003","Chinatown                                                                  "
"School Garden","MS 245 - The Computer School","100 West 77th Street (between Columbus and Amsterdam Aves)","hzymeck@schools.nyc.gov","10024","MANHATTAN","40.780822","-73.976855","7","6","161","1030178","1011480014","Upper West Side                                                            "
"School Garden","Murray Hill Academy","111 East 33rd Street (between Park and Lexington Aves)","Amannin3@schools.nyc.gov","10016","MANHATTAN","40.746176","-73.981241","5","2","72","1087537","1008897501","Murray Hill-Kips Bay                                                       "
"School Garden","PS 363 The Neighborhood School","121 East 3rd Street (between 1st Ave and Ave A)","DSpielberg@schools.nyc.gov","10009","MANHATTAN","40.724117","-73.986381","3","2","32","1005760","1004310014","East Village                                                               "
"School Garden","PS 63","121 East 3rd Street (between Ave A and 1st Ave)","DCameron2@schools.nyc.gov","10009","MANHATTAN","40.724117","-73.986381","3","2","32","1005760","1004310014","East Village                                                               "
"School Garden","School of the Future","127 East 22nd Street (at Lexington Ave)","SGOLDST5@schools.nyc.gov","10010","MANHATTAN","40.738952","-73.985479","5","2","68","1018014","1008780016","Gramercy                                                                   "
"School Garden","PS 72","131 East 104th Street (between Lexington and Park Aves)","ahernan7@schools.nyc.gov","10029","MANHATTAN","40.791179","-73.947776","11","8","166","1081340","1016320011","East Harlem South                                                          "
"School Garden","PS 166","132 West 89th Street (between Amsterdam and Columbus Aves)","dmastriano@schools.nyc.gov","10024","MANHATTAN","40.788865","-73.971847","7","6","173","1032308","1012190047","Upper West Side                                                            "
"School Garden","Edward A. Reynolds West Side High School","140 West 102nd Street (between Amsterdam and Columbus Aves)","jmctavi@schools.nyc.gov","10025","MANHATTAN","40.797559","-73.966837","7","7","189","1055911","1018550009","Upper West Side                                                            "
"School Garden","PS 30","144-176 East 128th Street (between Lexington and 3rd Aves)","tstinso@schools.nyc.gov","10035","MANHATTAN","40.805953","-73.935179","11","9","242","1054502","1017760020","East Harlem North                                                          "
"School Garden","H.S. The Urban Assembly for Green Careers","145 West 84th Street (between Columbus and Amsterdam Aves)","kdecker@uagreencareers.org","10024","MANHATTAN","40.785803","-73.974614","7","6","169","1032128","1012150001","Upper West Side                                                            "
"School Garden","PS 333","154 West 93rd Street (between Amsterdam and Columbus Aves)","clowenstein@schools.nyc.gov","10025","MANHATTAN","40.791728","-73.970845","7","6","177","1032522","1012230005","Upper West Side                                                            "
"School Garden","Central Park East 1 Elementary","1573 Madison Ave (between East 106th and East 107th Sts)","luehling@schools.nyc.gov","10029","MANHATTAN","40.793763","-73.949381","11","8","17401","1051515","1016120050","East Harlem South                                                          "
"School Garden","City As High School","16 Clarkson Street (between Hudson and Varick Sts)","acheng3@schools.nyc.gov","10014","MANHATTAN","40.729412","-74.006148","2","3","67","1009757","1005810054","West Village                                                               "
"School Garden","PS 163","163 West 97th Street (between Columbus and Amsterdam Aves)","dlopez17@schools.nyc.gov","10025","MANHATTAN","40.794264","-73.968706","7","7","185","1055908","1018520099","Upper West Side                                                            "
"School Garden","PS 175 Henry High Garnet","175 West 134th Street (between Adam Clayton Powell Jr Blvd and Lenox Ave)","kpereir@schools.nyc.gov","10030","MANHATTAN","40.814422","-73.943664","10","9","228","1058248","1019190006","Central Harlem North-Polo Grounds                                          "
"School Garden","PS 153 Adam Clayton Powell Jr","1750 Amsterdam Ave (between West 146th and West 147th Sts)","KBailey2@schools.nyc.gov","10031","MANHATTAN","40.826295","-73.946845","9","7","233","1081834","1020780019","Hamilton Heights                                                           "
"School Garden","PS 368 Hamilton Heights","1750 Amsterdam Avenue (between West 146th and West 147th Sts)","vvalentine@schools.nyc.gov","10031","MANHATTAN","40.826295","-73.946845","9","7","233","1081834","1020780019","Hamilton Heights                                                           "
"School Garden","PS 964","19 East 103rd St (between 5th and Madison Aves)","nsmith3@schools.nyc.gov","10029","MANHATTAN","40.792122","-73.951961","11","8","168","1051497","1016090007","East Harlem South                                                          "
"School Garden","PS 89 Liberty School","201 Warren Street (at West Street)","vnajjar@schools.nyc.gov","10282","MANHATTAN","40.716668","-74.013542","1","1","31703","1085568","1000160220","Battery Park City-Lower Manhattan                                          "
"Community Garden","City Hall Children's Garden at Tweed Courthouse","52 Chambers (between broadway and Park Row)","718-935-2000",,,,,,,,,,
"School Garden","Alain L. Locke Magnet School for Environmental Leadership","21 West 111th Street (between 5th and Lenox Aves)","SGreen8@schools.nyc.gov","10026","MANHATTAN","40.797874","-73.949699","10","9","186","1051410","1015950015","Central Harlem South                                                       "
"School Garden","Harlem Renaissance High School","22 East 128th Street (between 5th and Madison Aves)","nzeimer@schools.nyc.gov","10035","MANHATTAN","40.807987","-73.940061","11","9","206","1054159","1017520059","Central Harlem North-Polo Grounds                                          "
"School Garden","MS 167","220 East 76th Street (between 2nd and 3rd Aves)","jrehn@schools.nyc.gov","10021","MANHATTAN","40.77205","-73.958066","8","4","134","1044058","1014300005","Lenox Hill-Roosevelt Island                                                "
"School Garden","PS 347","225 East 23rd Street (between 2nd and 3rd Aves)","dbowell@schools.nyc.gov","10010","MANHATTAN","40.738534","-73.982423","6","2","64","1019775","1009040024","Gramercy                                                                   "
"School Garden","PS/MS 165 The Robert E. Simon School","234 West 109th Street (between Broadway and Amsterdam Aves)","acastel@schools.nyc.gov","10025","MANHATTAN","40.802917","-73.965613","7","7","195","1056676","1018800013","Morningside Heights                                                        "
"School Garden","PS 189","2580 Amsterdam Ave (between West 188th and West 189th Sts)","tluger2@schools.nyc.gov","10040","MANHATTAN","40.852631","-73.927604","12","10","277","1076750","1021590051","Washington Heights North                                                   "
"School Garden","Frederick Douglass Academy I","2581 Adam Clayton Powell Jr Blvd (between West 149th and West 150th Sts)","jgates@schools.nyc.gov","10039","MANHATTAN","40.824319","-73.93712","10","9","236","1060198","1020160100","Central Harlem North-Polo Grounds                                          "
"School Garden","PS 199","270 West 70th Street (between West End and Amsterdam Aves)","KRosen2@schools.nyc.gov","10023","MANHATTAN","40.778059","-73.984449","7","6","155","1030351","1011580040","Lincoln Square                                                             "
"School Garden","PS 110","285 Delancey Street (at Broome Street)","KFeuer@schools.nyc.gov","10002","MANHATTAN","40.715915","-73.979893","3","1","12","1004066","1003310140","Lower East Side                                                            "
"School Garden","Harbor Heights Middle School","306 Fort Washington Ave (between West 173rd and West 174th Sts)","MKlehr@schools.nyc.gov","10033","MANHATTAN","40.845469","-73.940468","12","10","263","1063503","1021420154","Washington Heights South                                                   "
"School Garden","PS 102","315 East 113th Street (between 1st and 2nd Aves)","cpinckn2@schools.nyc.gov","10029","MANHATTAN","40.794872","-73.938719","11","8","180","1081366","1016840101","East Harlem North                                                          "
"School Garden","PS 84","32 West 92nd Street (between CPW and Columbus Ave)","rsundic@schools.nyc.gov","10025","MANHATTAN","40.789526","-73.967574","7","6","177","1081042","1012050006","Upper West Side                                                            "
"School Garden","PS 11","320 West 21st Street (between 8th and 9th Aves)","rbender2@schools.nyc.gov","10011","MANHATTAN","40.744349","-74.000253","4","3","89","1013260","1007440024","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"School Garden","PS 15","333 East 4th Street (between Aves C and D)","isanchez11@schools.nyc.gov","10009","MANHATTAN","40.721807","-73.979022","3","2","2601","1004415","1003740020","Lower East Side                                                            "
"School Garden","Stuyvesant High School","345 Chambers Street (between West Street and River Terrace)","jzhang@schools.nyc.gov","10282","MANHATTAN","40.71759","-74.013748","1","1","31703","1084587","1000160215","Battery Park City-Lower Manhattan                                          "
"School Garden","PS/IS 180 Hugo Newman College Prep","370 West 120th Street (between Morningside and Manhattan Aves)","pmcfarl@schools.nyc.gov","10027","MANHATTAN","40.807843","-73.955569","10","9","257","1059111","1019460001","Central Harlem South                                                       "
"School Garden","MS 328","401 West 164th Street (between Amsterdam and Edgecombe Aves)","oquiles@schools.nyc.gov","10032","MANHATTAN","40.836536","-73.937159","12","10","24301","1062636","1021110024","Washington Heights South                                                   "
"School Garden","PS/MS 18","4124 9th Avenue (at 220th Street)","cmejia4@schools.nyc.gov","10034","MANHATTAN","40.871278","-73.911516","12","10","299","1082045","1022150824","Marble Hill-Inwood                                                         "
"School Garden","East Side Community High School","420 East 12th Street (between 1st Ave and Ave A)","mfederm@schools.nyc.gov","10009","MANHATTAN","40.729589","-73.982555","3","2","34","1005974","1004390017","East Village                                                               "
"School Garden","PS 146","421 East 106th Street (between 1st Ave and FDR Drive)","msilfen@schools.nyc.gov","10029","MANHATTAN","40.789295","-73.939262","11","8","162","1052999","1017000001","East Harlem South                                                          "
"School Garden","P.S./M.S. 278","421 West 219th Street (between Broadway and 9th Avenue)","mguido2@schools.nyc.gov","10034","MANHATTAN","40.871245","-73.912141","12","10","299","1064704","1022150831","Marble Hill-Inwood                                                         "
"School Garden","PS 6 Lillie D. Blake","45 E 81st St, New York, NY 10028","lauren.fontana@ps6nyc.org","10028","MANHATTAN","40.777455","-73.960713","8","4","142","1046668","1014930021","Upper East Side-Carnegie Hill                                              "
"School Garden","Columbia Secondary School for Math, Science, and Engineering","425 West 123rd Street (between Amsterdam and Morningside Aves)","jlevin@theclintonschool.net","10027","MANHATTAN","40.810431","-73.955809","9","7","20901","1059526","1019640012","Morningside Heights                                                        "
"School Garden","PS/IS 50","433 East 100th Street (between 1st Ave and FDR Drive)","crochez@schools.nyc.gov","10029","MANHATTAN","40.785258","-73.941526","11","8","162","1083933","1016940001","East Harlem South                                                          "
"School Garden","PS 48","4360-4378 Broadway (between West 186th and West 187th Sts)","twalsh@schools.nyc.gov","10033","MANHATTAN","40.853466","-73.934048","12","10","271","1076752","1021670029","Washington Heights North                                                   "
"School Garden","PS 94 The Spectrum School","442 East Houston Street (at Baruch Drive)","isanchez11@schools.nyc.gov","10002","MANHATTAN","40.719598","-73.977904","3","2","20","1004349","1003560100","Lower East Side                                                            "
"School Garden","PS 314 Muscota/Amistad","4862 Broadway (between Academy Street and West 204th Street)","marissa.anne.ayala@gmail.com","10034","MANHATTAN","40.866706","-73.923948","12","10","291","1064900","1022340007","Marble Hill-Inwood                                                         "
"School Garden","PS 3 John Melser Charrette School","490 Hudson Street (at Grove St)","Lsiegma@schools.nyc.gov","10014","MANHATTAN","40.732593","-74.006466","2","3","73","1009872","1005850041","West Village                                                               "
"School Garden","PS/MS 210 Twenty First Century Academy for Community Leaders","503 West 152nd Street (between Broadway and Amsterdam Ave)","elinare@schools.nyc.gov","10031","MANHATTAN","40.829848","-73.944826","9","7","237","1087824","1020840129","Hamilton Heights                                                           "
"School Garden","PS 37","508 East 120th Street (at Harlem River Drive)","dcatlin@schools.nyc.gov","10035","MANHATTAN","40.797467","-73.930868","11","8","192","1084005","1018160001","East Harlem North                                                          "
"School Garden","H.S. Law & Public Service","549 Audubon Avenue (between West 192nd and West 193rd Sts)","npoliti@schools.nyc.gov","10040","MANHATTAN","40.855954","-73.927051","12","10","277","1076751","1021600018","Washington Heights North                                                   "
"School Garden","P.S. / M.S. 276","55 Battery Place (between 1st and 2nd Place)","truyter@schools.nyc.gov","10280","MANHATTAN","40.70644","-74.017818","1","1","31704","1087945","1000160040","Battery Park City-Lower Manhattan                                          "
"School Garden","PS 79","55 East 120th Street (at Madison Ave)","gphillips@schools.nyc.gov","10035","MANHATTAN","40.802419","-73.942634","11","9","198","1053968","1017470001","East Harlem North                                                          "
"School Garden","Urban Assembly New York Harbor School","550 Short Avenue, Governor's Island","ebiedermann@schools.nyc.gov","10004","MANHATTAN","40.691214","-74.02024","1","1","5","1086340","1000010010","park-cemetery-etc-Manhattan                                                "
"School Garden","PS 364 The Earth School","600 East 6th Street (at Ave B)","AHAZUT@schools.nyc.gov","10009","MANHATTAN","40.72438","-73.98138","3","2","2601","1004627","1003870001","Lower East Side                                                            "
"School Garden","MS 839 Tompkins Square Middle School","600 East 6th Street (at Ave B)","seSTwic@schools.nyc.gov","10009","MANHATTAN","40.72438","-73.98138","3","2","2601","1004627","1003870001","Lower East Side                                                            "
"School Garden","PS/IS 217","645 Main Street, Roosevelt Island","mbeckma@schools.nyc.gov","10044","MANHATTAN","40.763894","-73.947916","8","5","23802","1084848","1013730001","Lenox Hill-Roosevelt Island                                                "
"School Garden","I.S. 52","650 Academy Street (between Broadway and Vermilyea Ave)","SFernan@schools.nyc.gov","10034","MANHATTAN","40.866053","-73.924835","12","10","291","1076776","1022330020","Marble Hill-Inwood                                                         "
"School Garden","P.S./M.S. 34","730 East 12th Street (between Aves C and D)","rgonzal52@schools.nyc.gov","10009","MANHATTAN","40.726473","-73.975181","3","2","28","1004564","1003810038","Lower East Side                                                            "
"School Garden","H.S. 418 Millenium","75 Broad Street (between Beaver and S Willam Street)","cmcevoy3@schools.nyc.gov","10004","MANHATTAN","40.704487","-74.011556","1","1","9","1000849","1000290070","Battery Park City-Lower Manhattan                                          "
"School Garden","PS 1","8 Henry Street (at Catherine St)","ahom@schools.nyc.gov","10038","MANHATTAN","40.71276","-73.997489","3","1","27","1003375","1002790040","Chinatown                                                                  "
"School Garden","PS 126","80 Catherine Street (between Cherry and Madison Sts)","jgetz@schools.nyc.gov","10038","MANHATTAN","40.710729","-73.996631","3","1","25","1083357","1001110160","Chinatown                                                                  "
"School Garden","Bread and Roses High School","Edgecombe Avenue between West 135th and West 136th Sts","rlofton@schools.nyc.gov",,,,,,,,,,
