"business_organization","business_type_other","company_name","company_description","organization_location","street_address","apt_number","borough","zipcode","business_phone","contact_name","contact_title","contact_phone","contact_fax","location","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Cultural Center",,"DreamYard Drama Project","DreamYard is committed to helping transform Bronx schools and communities through the power of innovative, project based arts education. Our schools and students are based in the nation's poorest urban county, with one-third of the Bronx's residents living below the poverty line. In response, DreamYard programs are designed to challenge the cyclical systems of inequality and poverty by empowering youth to discover and develop their best possible selves and to locate meaningful paths and ways to engage with their fellow students, schools, families, and communities. As the largest arts education provider in the Bronx, DreamYard critically impacts the social and intellectual growth of thousands of Bronx youth through safe, positive and creatively challenging programs. DreamYard's team of professional artists partner with classroom teachers and community educators to help students learn how to express, write and perform their own stories. Through yearlong programs offered during the school day, after school, on weekends and during the summer, DreamYard supports youth development, enhances life-long learning skills, and promotes creative thinking and expression.","DreamYard Drama Project","872 Gerard Ave.","#2","Bronx","10452",,"Tim Lord","Co-Director","(718) 588-8807",,"872 Gerard Ave
Bronx, NY 10452
(40.827708359088, -73.924780330939)","40.827784","-73.924766","4","8","195","2097166","2024760056","West Concourse                                                             "
"Cultural Center",,"ABC No Rio","ABC No Rio is a collectively-run center for art and activism. We are known internationally as a venue for oppositional culture. ABC No Rio was founded in 1980 by artists committed to political and social engagement and we retain these values to the present. We seek to facilitate cross-pollination between artists and activists. ABC No Rio is a place where people share resources and ideas to impact society, culture, and community. We believe that art and activism should be for everyone, not just the professionals, experts, and cognoscenti. Our dream is a cadre of actively aware artists and artfully aware activists.","ABC No Rio","156 Rivington Street",,"Manhattan","10009",,,,"(212) 254-3697",,"156 Rivington Street
Manhattan, NY 10009
(40.726649358981, -73.979111485007)","40.719206","-73.985447","3","1","3001","1083425","1003490033","Chinatown                                                                  "
"Theater",,"The Puerto Rican Traveling Theatre","The mission of the Puerto Rican Traveling Theatre (PRTT) is to educate and acquaint the
general public with important contributions by playwrights from Latino or Hispanic
extraction; to present and produce truly bilingual professional theater; to offer artistic
development to emerging and established artist; and in these ways to contribute towards
the diversity of American theater and national culture.","The Puerto Rican Traveling Theatre","304 West 47th. Street",,"Manhattan","10036",,"Miriam Colon-Valle",,"(212) 354-1293",,"304 47th Street
Manhattan, NY 10036
(40.760443370692, -73.987641050479)","40.760614","-73.987987","4","3","127","1025057","1010370037","Clinton                                                                    "
"Cultural Center",,"Casa De La Herencia Cultural Puertorriquena","La Casa de la Herencia Cultural Puertorriquena, Inc. (La Casa) is a non-profit community based cultural institution, founded by the late New York Assemblyman, Luis Nine of the Bronx. Our main objective is to promote the development of the Puerto Rican culture and to preserve, enrich and disseminate our cultural and literary heritage to the Puerto Rican community and others.","Casa De La Herencia Cultural Puertorriquena","1230 5th Ave. ","Suite 458 ","Manhattan","10029",,"Eli Alvarado","President","(212) 722-2600",,"1230 5th Ave
Manhattan, NY 10029
(40.793276759748, -73.951850484059)","40.793072","-73.951992","11","8","168","1051499","1016100001","East Harlem South                                                          "
"Cultural Center",,"Puerto Rican Workshop, Inc.","Taller Boricua was established in 1970, in New York as a non-profit arts organization. Taller Boricua/Puerto Rican Workshop Inc. has expanded into a multi cultural institution by providing a variety of programs that stimulate the social, cultural and economic development of the community. Our workshops offer artists the opportunity to share ideas and inspirations with colleagues, enhances productivity and collaborations with other non profit organizations, schools, artists, public service providers, private corporations, and the community. The Taller Boricua (translation: workshop Puerto Rican) has evolved into a highly respected community arts organization that continues to be a proactive resource for the promotion of the arts. We have been very successful in attracting the art community to function as an essential nucleus supporting creative means of expression.","Puerto Rican Workshop, Inc.","1680 Lexington Avenue",,"Manhattan","10029",,,,"(212) 831-4333",,"1680 Lexington Avenue
Manhattan, NY 10029
(40.791891803823, -73.946535490866)","40.791881","-73.946558","11","8","172","1051991","1016330013","East Harlem South                                                          "
"Dance Company",,"Jose Limon Dance Foundation, Inc.","The Jose Limon Dance Foundation advances a vision of dance that speaks of the human experience through performance, preservation and education activities.  The Limon Dance Company, a modern repertory company, performs both the works of its founder and commissions from contemporary choreographers.  The Limon Institute directs a range of activities designed to extend the Limon heritage, including licensing Limon's choreographic works and directing the Foundation's education programs. Together, the company and the institute ensure the continuation of the traditions and philosophies to which the Foundation is dedicated.","Jose Limon Dance Foundation, Inc.","307 West 38th Street","#1105","Manhattan","10018",,"Carla Maxwell","Artistic Director","(212) 777-3353",,"307 38th Street
Manhattan, NY 10018
(40.754911613295, -73.992044547625)","40.754946","-73.992175","4","3","115","1013643","1007620025","Clinton                                                                    "
"Cultural Center",,"Center for Traditional Music and Dance","The Center for Traditional Music and Dance (CTMD), formerly the Ethnic Folk Arts Center, works to celebrate and strengthen the practice of traditional performing arts, affirming the value of diversity as an essential component of our national identity. CTMD develops performance and educational programs of music and dance indigenous to the ethnic communities of the New York region, including concerts, festivals, audio and video productions, concert tours, technical assistance, collaborative projects and consultations with artists, cultural activists and with educational and cultural institutions.","Center for Traditional Music and Dance","32 Broadway, Room 1314",,"Manhattan","10004",,"Ethel Raim","Artistic Director","(212) 571-1555",,"32 Broadway
Manhattan, NY 10004
(40.706042522906, -74.013085321034)","40.706045","-74.013096","1","1","9","1078979","1000220017","Battery Park City-Lower Manhattan                                          "
"Cultural Center",,"Colonial Dames of America","Founded in 1890, our objectives are to maintain our headquarters as a museum, and to maintain other restorations, for educational purposes; provide educational opportunities and scholarships; collect for preservation manuscripts, traditions, relics, and mementoes of American history; Commemorate the great historical events of the thirteen original Colonies; and diffuse scholarly information and create popular interest in American history. ","Colonial Dames of America","421 East 61st Street",,"Manhattan","10021",,"Audrey Svensson","President General","(212) 838-6878",,"421 61st Street
Manhattan, NY 10021
(40.769205327664, -73.959183941086)","40.760589","-73.960401","8","5","10602","1045284","1014560012","Lenox Hill-Roosevelt Island                                                "
"Cultural Center",,"Clemente Soto Velez Cultural Center","The Clemente Soto Velez Cultural & Educational Center (CSV), a 501 (C) 3 not-for-profit, was founded in 1993. The CSV Cultural Center is a Puerto Rican/Latino cultural institution that has demonstrated a broad-minded cultural vision and a collaborative philosophy. While CSV's mission is focused on the cultivation, presentation and preservation of Puerto Rican and Latino culture, it is equally determined to operate in a multi-cultural and inclusive manner, housing and promoting artists and performance events that fully reflect the cultural diversity of the Lower East Side and the city as a whole.","Clemente Soto Velez Cultural Center","107 Suffolk Street, Room 312",,"Manhattan","10002",,"Luis Cancel","Executive Director","(212) 260-4080 ext 12",,"107 Suffolk Street
Manhattan, NY 10002
(40.719521874541, -73.985837319549)","40.718943","-73.986122","3","1","1402","1004301","1003530054","Lower East Side                                                            "
"Cultural Center",,"Centro Cultural Cubano, Inc.","The Cuban Cultural Center is a nonprofit, nonpartisan institution founded by Cuban exiles to preserve, develop, and disseminate our rich Cuban and Cuban-American cultural heritage within a democratic framework of freedom and autonomy, alien to totalitarian ideologies, values handed down to us by our founding fathers since the 19th Century.","Centro Cultural Cubano, Inc.","P.O. Box 2608, Times Square Station",,"Manhattan","10036",,"Iraida Iturralde","President",,,"2608 Times Square Station
Manhattan, NY 10036
(40.759346827194, -73.989860554421)","40.756582","-73.989637","5","3","113","1000000","1009950001","Midtown-Midtown South                                                      "
