"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","number_and_street_address","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Asociaciones Dominicanas, Inc - Vulnerable Youth","Brooklyn","Asociaciones Dominicanas, Inc.","718-599-2386 ","14 to 21",,"202 Union Avenue , 2nd flr, ste L&M","11211","40.706403","-73.950356","1","34","511","3325853","3030580100","East Williamsburg                                                          "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","New York City Housing Authority - Bronx","Bronx","New York City Housing Authority - Bronx","212-306-3985","14 to 21","350 Livingston Street
Bronx, NEW YORK 10007
(40.713630519433, -74.009131383706)","350 Livingston Street","10007",,,,,,,,
"Jobs & Internships, Youth Employment","Summer Youth Employment ","New York City Housing Authority - Brooklyn","Brooklyn","New York City Housing Authority - Brooklyn","212-306-3985","14 to 21","350 Livingston Street
Brooklyn, NEW YORK 10007
(40.687607470979, -73.980622475934)","350 Livingston Street","10007",,,,,,,,
"Youth Employment, NDA Youth Employment","Youth Employment","The Children's Aid Society","New York","The Children's Aid Society","212.865.6337","HS","885 Columbus Avenue
New York, NEW YORK 10025
(40.797713348632, -73.963944750805)","885 Columbus Avenue","10025","40.797762","-73.963944","7","7","189","1081301","1018360001","Upper West Side                                                            "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","New York City Housing Authority - Manhattan","Manhattan","New York City Housing Authority - Manhattan","212-306-3985","14 to 21","350 Livingston Street
Manhattan, NEW YORK 10007
(40.713630519433, -74.009131383706)","350 Livingston Street","10007",,,,,,,,
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Research Foundation of CUNY - Medgar Evers College","Brooklyn","Research Foundation of CUNY - Medgar Evers College","718-270-6152","14 to 21","1150 Carroll Street
Brooklyn, NEW YORK 11225
(40.667238309257, -73.952271441436)","1150 Carroll Street ,","11225","40.667253","-73.952195","9","35","321","3337869","3012890025","Crown Heights South                                                        "
"Youth Employment, NDA Youth Employment","Youth Employment","Woodycrest Center","Bronx","Woodycrest Center For Human Development","718.992.2178","All grades","153 165th Street
Bronx, NEW YORK 10452
(40.83108457688, -73.920857534442)","153 West 165th Street","10452","40.834544","-73.928932","4","8","193","2003478","2025260034","Highbridge                                                                 "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Hellenic American Neighborhood Action Committee (HANAC)","Queens","Hellenic American Neighborhood Action Committee (HANAC)","718-204-2325 ","14 to 21","23 16 30th Ave
Queens, NEW YORK 11102
(40.771524024514, -73.926435450735)","23-16 30th Ave 3rd flr","11102","40.76916","-73.926258","1","22","73","4436861","4005720032","Old Astoria                                                                "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","East Harlem Council For Community Improvement","Manhattan","East Harlem Council For Community Improvement","212-860-6820","14 to 21","413 120th Street
Manhattan, NEW YORK 10035
(40.798463980235, -73.933202998449)","413 East 120th Street","10035","40.798371","-73.932987","11","8","192","1054888","1018080008","East Harlem North                                                          "
"Youth Employment, NDA Youth Employment","Youth Employment","ChaRosa Foundation Corporation","Queens","ChaRosa Foundation Corporation","718.723.0218","HS","161 10 Jamaica Avenue
Queens, NEW YORK 11432
(40.71311535449, -73.792820999789)","161-10 Jamaica Avenue","11432","40.704033","-73.798412","12","27","44601","4440641","4101010015","Jamaica                                                                    "
