"fiscal_year","change_order_type","agency","count","original_contract_value","change_order_contract_value","change_order_contract_in","days_processing_in_fiscal"
"2018","Construction Change Order","DCAS","16","37276400.00","4514200.00","0.12","43"
"2018","Construction Change Order","DDC","915","2808608200.00","112326100.00","0.04","57"
"2018","Construction Change Order","DEP","142","4536193700.00","26591700.00","0.01","113"
"2018","Construction Change Order","DHS","3","3872900.00","3423900.00","0.88","201"
"2018","Construction Change Order","DOB","1","190000.00","170000.00","0.89","242"
"2018","Construction Change Order","DOC","6","50699800.00","17269300.00","0.34","46"
"2018","Construction Change Order","DOT","73","792398700.00","45422300.00","0.06","54"
"2018","Construction Change Order","DPR","217","277915000.00","15385700.00","0.06","54"
"2018","Construction Change Order","DSNY","7","158803200","43000","0","11"
"2018","Construction Change Order","FDNY","2","39503200","21270100","0.54","90"
"2018","Construction Change Order","NYPD","3","36428500","1402300","0.04","31"
"2018","Design Change Order","DDC","60","84658900.00","33611000.00","0.4","50"
"2018","Design Change Order","DOT","12","63454000.00","14905300.00","0.23","67"
"2018","Design Change Order","DEP","14","474021700.00","33311600.00","0.07","175"
"2018","Design Change Order","DHS","1","2000000.00","3425300.00","1.71","158"
"2018","Design Change Order","DSNY","1","2000000","1454900","0.73","41"
"2019","Construction Change Order","DCAS","3","847500","24700.00","0.03","7"
"2019","Construction Change Order","DDC","417","1963862900","68456900.00","0.03","34"
"2019","Construction Change Order","DEP","154","1779985000","19062000.00","0.01","98"
"2019","Construction Change Order","DHS","2","4000000","6260800.00","1.57","192"
"2019","Construction Change Order","DOC","4","38193600","3083500.00","0.08","42"
"2019","Construction Change Order","DOT","44","1245451100","23295300.00","0.02","43"
"2019","Construction Change Order","DPR","247","387007400","16663600.00","0.04","41"
"2019","Construction Change Order","DSNY","12","154779400","-531100.00","0","9"
"2019","Construction Change Order","HPD","1","508900","3000.00","0.01","32"
"2019","Construction Change Order","NYPD","2","1667800","5249300.00","3.15","227"
"2019","Design Change Order","DCAS","1","6000000.00","6000000.00","1","119"
"2019","Design Change Order","DCP","1","3800000.00","-3800000.00","-1","57"
"2019","Design Change Order","DDC","24","58671300.00","4305800.00","0.07","34"
"2019","Design Change Order","DEP","52","2098006400.00","20292800.00","0.01","189"
"2019","Design Change Order","DOC","1","5000000.00","2000000.00","0.4","143"
"2019","Design Change Order","DOT","12","91866600.00","10493800.00","0.11","75"
"2019","Design Change Order","DPR","1","212800.00","156900.00","0.74","77"
"2019","Design Change Order","DSNY","3","17802400.00","-1458700.00","-0.08","13"
"2019","Design Change Order","Law","1","96500.00","50000.00","0.52","860"
"2019","Design Change Order","NYPD","1","199800.00","73000.00","0.37","52"
"2020","Construction Change Order","DCAS","10","12197677","84587.73","0.01","19"
"2020","Construction Change Order","DDC","733","3454081148","134536777.98","0.04","40"
"2020","Construction Change Order","DEP","192","2333526814","52248491.75","0.02","134.5"
"2020","Construction Change Order","DHS","3","4216714","10909314.00","2.59","205"
"2020","Construction Change Order","DOB","1","1000000","2100000.00","2.1","65"
"2020","Construction Change Order","DOC","1","12153300","3672540.15","0.3","251"
"2020","Construction Change Order","DOT","34","1403264898","18680092.01","0.01","34.5"
"2020","Construction Change Order","DPR","323","508021825","24359555.86","0.05","51"
"2020","Construction Change Order","DSNY","6","19894804","4788974.69","0.24","15.5"
"2020","Construction Change Order","HPD","5","2175500","1868700.00","0.86","77"
"2020","Construction Change Order","NYPD","1","365000","21043.73","0.06","78"
"2020","Design Change Order","DCAS","1","2500000.00","300000.00","0.12","53"
"2020","Design Change Order","DDC","33","373305480.16","33110423.89","0.09","39"
"2020","Design Change Order","DEP","38","2955498828.00","22715034.24","0.01","179.5"
"2020","Design Change Order","DOT","6","45505038.51","5287543.37","0.12","52"
"2020","Design Change Order","DSNY","3","15220425.00","4962423.66","0.33","13"
