"site_id","agency_id","site_name","hours_monday","hours_tuesday","hours_wednesday","hours_thursday","hours_friday","hours_saturday","hours_sunday","brief_description","website","phone_number","address","building_floor_suite","city","borough","zip_code","state","intake","ages_served","genders_served","required_documents","medicaid","sliding_fee","low_cost","free","medicare","other_insurances","site_languages","additional_information"
"810","Office of the Manhattan Borough President","Office of the Manhattan Borough President",,,,,,,,,"manhattanbp.nyc.gov","212-669-8300","1 Centre Street","19","New York","MANHATTAN","10007","NY",,,,,,,"FALSE","FALSE",,,,
"53","Clinic - Lenox Avenue","Clinic - Lenox Avenue","11:00 AM - 7:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 7:00 PM","CLOSED","CLOSED",,,"(212) 961-5742","115 West 116th Street",,"NEW YORK","MANHATTAN","10026","NY","Appointment required",,"Female and LGBTQI",,"Yes","Yes","TRUE","TRUE","Yes","Some insurances accepted, copay may be applied",,
"90","HHC Gouverneur Health","HHC Gouverneur Health","8:00 AM - 8:00 PM","8:00 AM - 8:00 PM","8:30 AM - 5:00 PM","8:00 AM - 8:00 PM","8: 30 AM - 5:00 PM","8:30 AM - 5:00 PM","CLOSED",,"http://www.nyc.gov/html/hhc/gouverneur/html/home/home.shtml","(212) 238-7897","227 Madison Street",,"NEW YORK","MANHATTAN","10002","NY","Appointment required",,,,"Yes","Yes","TRUE","TRUE","Yes","Some insurances accepted, copay may be applied",,"Medicaid is accepted as full payment; Uninsured may receive care at little or no cost depending on income; Medicare and other insurance plans will be contacted for payment approval and may require patient to cover costs. Call for more information."
"167","NYC DOHMH TB Control","Morrisania Chest Center Clinic","CLOSED","CLOSED","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","8:30 AM - 5:00 PM","CLOSED","CLOSED",,,"(718) 579-4157","1309 Fulton Avenue","1st Floor","BRONX","BRONX","10456","NY","Appointment required",,,,,,"FALSE","TRUE",,,,
"822","Bronx - Lebanon Hospital Center","BronxCare Fulton Family Medicine",,,,,,,,,,"(718) 901-8000","1276 Fulton Avenue",,"Bronx","BRONX","10456","NY",,,,,,,"FALSE","FALSE",,,,
"524","Community Health Action of Staten Island (CHASI)","Community Health Action of Staten Island- Main Office",,,,,,,,,"http://chasiny.org","718-808-1300","56 Bay Street","4th Floor","STATEN ISLAND","STATEN ISLAND","10301","NY",,,,,,,"FALSE","FALSE",,,,
"119","United Family Church-Iglesia De La Familia Unida","La Familia Unida","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","9:00 AM - 5:00 PM","CLOSED","CLOSED",,,"(718) 292-3315","541-549 East 138th Street",,"BRONX","BRONX","10454","NY","Walk-ins welcome","18 and over.",,"Personal ID is not required but may allow quicker access to services.",,"Yes","FALSE","FALSE",,,,
"605","Metroplus Healthplan","Metroplus Healthplan",,,,,,,,,,"(212) 908-8600","160 Water St","#3","NEW YORK","MANHATTAN","10038","NY",,,,,,,"FALSE","FALSE",,,,
"442","Transdiaspora Network","Transdiaspora Network",,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE",,,,
"542","New York Presbyterian Hospital","NYP - Westchester Division",,,,,,,,,"http://nyp.org/facilities/westchester.html","(914) 682-9100","21 BLOOMINGDALE ROAD",,"NEW YORK","MANHATTAN","10605","NY",,,,,,,"FALSE","FALSE",,,,
"746","Greater Brooklyn Health Coalition","Greater Brooklyn Health Coalition",,,,,,,,,"https://brooklynhealth.org/",,"1958 Fulton Street",,"BROOKLYN","BROOKLYN","11233","NY",,,,,,,"FALSE","FALSE",,,,
"495","Urban Justice Center (SWOP)","Urban Justice Center",,,,,,,,,,,"40 Rector Street,","9th Floor","NEW YORK","MANHATTAN",,"NY",,,,,,,"FALSE","FALSE",,,,
"641","New York State Health Department","New York State Health Department",,,,,,,,,"https://www.health.ny.gov/",,,,,,,,,,,,,,"FALSE","FALSE",,,,
"452","Young Women of Color HIV/AIDS Coalition","Young Women of Color HIV/AIDS Coalition",,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE",,,,
"341","CAUSE-NY Jewish Community Relations Council of New York","CAUSE-NY Jewish Community Relations Council of New York",,,,,,,,,,,,,"BROOKLYN",,,,,,,,,,"FALSE","FALSE",,,,
"566","AIDS Center of Queens County","AIDS Center of Queens County - Far Rockaway",,,,,,,,,"http://www.acqc.org/","(718) 868-8645","1139 Foam Place",,"FAR ROCKAWAY","QUEENS","11691","NY",,,,,,,"FALSE","TRUE",,,,
"609","New York University","NYU Langone Medical Center",,,,,,,,,,"(646) 929-7870","550 1st Avenue",,"NEW YORK","MANHATTAN","10016","NY",,,,,,,"FALSE","FALSE",,,,
"466","All Med Medical & Rehabilitation Centers","All Med Medical & Rehabilitation Centers - Jamaica Avenue","9:00AM - 5:00PM","9:00AM - 5:00PM","9:00AM - 5:00PM","9:00AM - 5:00PM","9:00AM - 2:00PM","CLOSED","9:00AM - 2:00PM",,"http://www.allmedhealth.com/","718-850-4644","110-20 Jamaica Avenue",,"RICHMOND HILL","QUEENS","11418","NY",,,,,,,"FALSE","FALSE",,,,
"409","Partnership for the Homeless","Partnership for the Homeless",,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE",,,,
"513","Project Hospitality","Project Hospitality",,,,,,,,,,"718-876-7716","100 Park Avenue",,"STATEN ISLAND","STATEN ISLAND","10304","NY",,,,,,,"FALSE","FALSE",,,,
"391","Muslim Women's Institute for Research and Development","Muslim Women's Institute for Research and Development",,,,,,,,,,"(718) 960-2262","1363 Ogden Avenue",,"BRONX","BRONX","10452","NY",,,,,,,"FALSE","FALSE",,,,
"220","Mount Sinai Health System","The Spencer Cox Center for Health - Samuels Clinic","9:00am-4:30pm","9:00am-4:30pm","9:00am-4:30pmM","11:00am-6:30pm","9:00am-4:30pm","CLOSED","CLOSED","Community Health Center offering HIV testing and other medical services. Information subject to change. Please call ahead.",,"(212) 523-6500","1000 10th Avenue Suite 2T",,"NEW YORK","MANHATTAN","10019","NY","Walk-ins welcome","18 and over.","All","None",,,"FALSE","TRUE",,"Some insurances accepted, copay may be applied","English, Spanish and Telephone TranslationServices for all other languages",
"599","Safe Space","Safe Space Executive HQ",,,,,,,,,,"718-526-2400","89-74 162nd Street",,"JAMAICA","QUEENS","11432","NY",,,,,,,"FALSE","FALSE",,,,
"553","Bronx - Lebanon Hospital Center","Bronx - Lebanon Hospital Center",,,,,,,,,"http://www.bronxcare.org/","(718) 590-1800","1650 Grand Concourse",,"BRONX","BRONX","10457","NY",,,,,,,"FALSE","FALSE",,,,
"633","Salem Missionary Baptist Church","Salem Missionary Baptist Church",,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE",,,,
"324","AIDS Service Center of NYC","AIDS Service Center of NYC",,,,,,,,,"http://www.ascnyc.org/","(212) 645-0875","64 West 35th Street","3rd Floor","NEW YORK","MANHATTAN","10001","NY",,,,,,,"FALSE","FALSE",,,,
"511","Montefiore Medical Center","Montefiore Westchester Square Campus",,,,,,,,,"http://www.montefiore.org/westchester-square-campus","718-430-7300","2475 St. Raymonds Avenue",,"BRONX","BRONX","10461","NY",,,,,,,"FALSE","FALSE",,,,
"594","Jamaica Hospital Medical Center","Jamaica Hospital Medical Center","9am-5pm","9am-5pm","9am-5pm","9am-5pm","9am-5pm","9am-5pm","N/A","Hospital Medical Center where you must first be seen by doctor to obtain testing services","http://jamaicahospital.org/","718-206-6000","8900 Vanwyck Expressway",,"JAMAICA","QUEENS","11418","NY","Appointment required","13 and over.","All","Photo ID","Yes","Yes","FALSE","FALSE","Yes","Most insurances accepted, copay may be applied","Language Bank - Offers over 50 languages",
