"business_name","industry","complaint_type","mediation_start_date","mediation_close_date","complaint_result","satisfaction","restitution","business_building","business_street","building_address_unit","business_city","business_state","business_zip","complainant_zip","longitude","latitude"
"N.Y. CONFIDENTIAL TOWING INC","Tow Truck Company - 124",,"2021-12-17T00:00:00.000","2021-12-28T00:00:00.000","Resolved and Consumer Satisfied - SPF","Yes","0.00","773","BERGEN ST",,"BROOKLYN","NY","11238",,"-73.96275026982661","40.678284692928436"
"B&M ELECTRONIC DIAGNOSTIC REPAIR SERVICE INC.","Booting Company - 126","Illegal/Unfair Booting","2022-06-03T00:00:00.000","2022-06-13T00:00:00.000","Credit Card Refund and/or Contract Cancelled - CRC","Yes","223.00","6202","ALMEDA AVE",,"ARVERNE","NY","11692","11432","-73.79247986883259","40.59723096724215"
"FURNITURE ON 5TH","Furniture Sales - 242","Exchange Goods/Contract Cancelled - E01","2021-10-08T00:00:00.000","2021-12-02T00:00:00.000","No Consumer Response - NCR","NA","0.00","1405","5TH AVE",,"NEW YORK","NY","10029","10026","-73.94679700592523","40.800186576125995"
"POPEYES LOUISIANA KITCHEN","Restaurant - 818","Surcharge/Overcharge - S02","2022-03-25T00:00:00.000","2022-03-29T00:00:00.000","Resolved and Consumer Satisfied - SPF","Yes","0.00","4555","ROSWELL RD",,"ATLANTA","GA","30342","10314","-74.16906405985195","40.58223597551818"
"SAME DAY REFRIGERATION","Electronic & Home Appliance Service Dealer - 115","Breach of Warranty - B04","2021-07-30T00:00:00.000","2021-09-09T00:00:00.000","No Business Response - NVR","No","0.00","2905","WEBSTER AVE",,"BRONX","NY","10458","11691",,
"M&H CONSTRUCTION","Misc Non-Food Retail - 817","Quality of Work - Q01","2021-07-30T00:00:00.000","2021-09-17T00:00:00.000","Advised to Sue - ATS","No","0.00","2117","ALBEMARLE TER",,"BROOKLYN","NY","11226","11422",,
"JUSTINO'S PIZZERIA","Restaurant - 818","Surcharge/Overcharge - S02","2022-04-22T00:00:00.000","2022-05-11T00:00:00.000","Referred to Outside - RTO","NA","0.00","879","9TH AVE",,"NEW YORK","NY","10019","11432","-73.98564971085186","40.7680241914517"
"JUNCTION FURNITURE INC.","Furniture Sales - 242","Exchange Goods/Contract Cancelled - E01","2021-05-14T00:00:00.000","2021-06-16T00:00:00.000","Advised to Sue - ATS","No","0.00","3545","JUNCTION BLVD",,"CORONA","NY","11368","11372","-73.87161275619722","40.753013898030076"
"IKEA NORTH AMERICA SERVICES, LLC","Furniture Sales - 242",,"2021-11-19T00:00:00.000","2022-01-11T00:00:00.000","Goods Repaired - GRS","Yes","240.00","420","ALAN WOOD RD",,"CONSHOHOCKEN","PA","19428","11217","-74.01122944218501","40.672358716311436"
"JUSTIN'S TOWING & STORAGE INC","Tow Truck Company - 124","Misrepresentation - M01","2021-03-12T00:00:00.000","2021-04-22T00:00:00.000","Advised to Sue - ATS","No","0.00","9","PARKSIDE DR",,"JACKSON","NJ","08527",,"-73.93666658746301","40.67775178479076"
