"program_name","docket_id","intake_max_severity","gender","program_entry_date","supervision_level"
"CASES","1","Nonviolent Felony","Male","2018-10-26T00:00:00.000","Level 1"
"CASES","2","Misdemeanor","Male","2018-07-16T00:00:00.000","Level 2"
"CASES","3","Nonviolent Felony","Male","2018-02-20T00:00:00.000","Level 2"
"CCI","4","Misdemeanor","Female","2019-08-27T00:00:00.000","Level 2"
"CASES","5","Nonviolent Felony","Male","2016-07-08T00:00:00.000","Level 2"
"CCI","6","Nonviolent Felony","Male","2017-01-15T00:00:00.000","Level 2"
"CCI","7","Nonviolent Felony","Male","2016-08-09T00:00:00.000","Level 1"
"CCI","8","Misdemeanor","Male","2017-03-02T00:00:00.000","Level 2"
"CCI","9","Nonviolent Felony","Male","2017-11-28T00:00:00.000","Level 2"
"CCI","10","Misdemeanor","Male","2017-10-22T00:00:00.000","Level 1"
"CASES","11","Misdemeanor","Female","2018-11-07T00:00:00.000","Level 3"
"CASES","12","Nonviolent Felony","Female","2017-11-03T00:00:00.000","Level 2"
"CCI","13","Misdemeanor","Male","2017-08-18T00:00:00.000","Level 2"
"CCI","14","Nonviolent Felony","Male","2017-02-28T00:00:00.000","Level 2"
"CCI","15","Nonviolent Felony","Male","2017-07-19T00:00:00.000","Level 2"
"CASES","16","Misdemeanor","Male","2019-01-17T00:00:00.000","Level 2"
"CCI","17","Nonviolent Felony","Male","2020-01-17T00:00:00.000","Level 4"
"CCI","18","Misdemeanor","Unknown","2020-01-18T00:00:00.000","Level 1"
"CCI","19","Misdemeanor","Male","2018-01-03T00:00:00.000","Level 2"
"CCI","20","Misdemeanor","Female","2019-08-25T00:00:00.000","Level 4"
"CCI","21","Violent Felony","Female","2019-09-11T00:00:00.000","Level 3"
"CCI","22","Misdemeanor","Female","2017-12-04T00:00:00.000","Level 2"
"CCI","23","Violent Felony","Female","2020-01-19T00:00:00.000","Level 5"
"CCI","24","Violent Felony","Female","2021-06-17T00:00:00.000","Level 4"
"CCI","25","Nonviolent Felony","Male","2019-03-21T00:00:00.000","Level 5"
"CASES","26","Misdemeanor","Male","2019-12-12T00:00:00.000","Level 1"
"CCI","27","Nonviolent Felony","Male","2017-12-08T00:00:00.000","Level 3"
