"data_year","agency_name","eeo_4_job_category","pay_band","lower_pay_band_bound","upper_pay_band_bound","employee_status","race","ethnicity","gender","number_of_employees"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","30000-34999","30000","34999","Full-Time","Black or African American","Non-Hispanic or Latino","Female","<5"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","30000-34999","30000","34999","Full-Time","Native Hawaiian or Pacific Islander","Hispanic or Latino","Female","<5"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","30000-34999","30000","34999","Full-Time","Unknown or Choose Not to Disclose","Hispanic or Latino","Female","<5"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","30000-34999","30000","34999","Full-Time","Unknown or Choose Not to Disclose","Unknown or Choose Not to Disclose","Female","<5"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","30000-34999","30000","34999","Full-Time","White","Non-Hispanic or Latino","Female","<5"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","30000-34999","30000","34999","Full-Time","White","Non-Hispanic or Latino","Male","<5"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","35000-39999","35000","39999","Full-Time","Black or African American","Non-Hispanic or Latino","Female","34"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","35000-39999","35000","39999","Full-Time","Black or African American","Non-Hispanic or Latino","Male","8"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","35000-39999","35000","39999","Full-Time","Two or More Races","Non-Hispanic or Latino","Female","<5"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","35000-39999","35000","39999","Full-Time","Unknown or Choose Not to Disclose","Hispanic or Latino","Female","<5"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","35000-39999","35000","39999","Full-Time","Unknown or Choose Not to Disclose","Hispanic or Latino","Male","<5"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","35000-39999","35000","39999","Full-Time","Unknown or Choose Not to Disclose","Non-Hispanic or Latino","Female","<5"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","35000-39999","35000","39999","Full-Time","Unknown or Choose Not to Disclose","Unknown or Choose Not to Disclose","Female","<5"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","35000-39999","35000","39999","Full-Time","White","Non-Hispanic or Latino","Female","<5"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","35000-39999","35000","39999","Full-Time","White","Non-Hispanic or Latino","Male","<5"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","40000-44999","40000","44999","Full-Time","Asian","Non-Hispanic or Latino","Female","<5"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","40000-44999","40000","44999","Full-Time","Asian","Non-Hispanic or Latino","Male","<5"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","40000-44999","40000","44999","Full-Time","Black or African American","Non-Hispanic or Latino","Female","57"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","40000-44999","40000","44999","Full-Time","Black or African American","Non-Hispanic or Latino","Male","<5"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","40000-44999","40000","44999","Full-Time","Unknown or Choose Not to Disclose","Hispanic or Latino","Female","6"
"2018","ADMINISTRATION FOR CHILDREN'S SERVICES","ADMINISTRATIVE SUPPORT","40000-44999","40000","44999","Full-Time","Unknown or Choose Not to Disclose","Hispanic or Latino","Male","<5"
