"datasetinformation_agency","uid","name","description","type","category","legislativecompliance_datasetfromtheopendataplan","url","update_datemadepublic","update_updatefrequency","last_data_updated_date","legislativecompliance_candatasetfeasiblybeautomated","update_automation","legislativecompliance_hasdatadictionary","legislativecompliance_containsaddress","legislativecompliance_geocoded","legislativecompliance_existsexternallyll1102015","legislativecompliance_externalfrequencyll1102015","legislativecompliance_removedrecords","visits","row_count","column_count","parent_uid","derived_view"
"Department of Education (DOE)","2jg5-6hqv","2019 - 2020 School Year Local Law 226 Report for the Demographics of School Staff - Ethnicity","This report is prepared pursuant to Local Law 226 of 2019 regarding the demographics of school staff in New York City public schools.  The law specifies the reporting of demographics (gender and race or ethnicity) for schools staff in three categories:  teaching staff, leadership staff, and other professional and paraprofessional staff.  Consistent with the law, the data is further disaggregated to show length of experience in the school and length of experience in the title.  The data is shown for each school and aggregated for each community school district,  by borough, and citywide.  The following additional notes apply:","dataset","Education","No","https://data.cityofnewyork.us/d/2jg5-6hqv","December 11, 2020","Historical data","2020-12-12T01:29:04.000","No","No","Yes","No","No","N/A","N/A","No","1260","1583","76",,"false"
"Mayor's Office of Management & Budget (OMB)","95bz-ea2t","New York City Pension Expenses","The dataset illustrates the breakdown of total pension expenses for New York City into three categories: City Actuarial Systems, Non-City Systems and Non-Actuarial Systems. Data is reported in units of thousands. Updates are posted semi-annually, in Financial Plan Detail for January Plan and in Message of the Mayor for Executive Plan.","dataset","City Government","NO","https://data.cityofnewyork.us/d/95bz-ea2t","7/24/2020","Biannually ","2022-04-29T15:39:58.000","No","No","Yes","No","N/A","Yes","Bi-annually","No","356","90","4",,"false"
"Department of Homeless Services (DHS)","sci4-yqgk","Daily Report Of Single Adult And Family Intake","Daily report of how many Single Adults and Families are served","dataset","Social Services","NO","https://data.cityofnewyork.us/d/sci4-yqgk","1/31/2013","Historical data","2013-01-31T15:13:57.000","No","No","Yes","No","N/A","No","N/A","No","2119","11","3",,"false"
"Mayor's Office of Operations (OPS)","9tn4-3mgm","Executive Order 47 – Ethnic and Community Media Agency Ad Spend","Executive Order 47 - Ethnic and Community Media Agency Ad Spend provides data on City agency compliance with Executive Order 47 of 2019.","dataset","City Government","YES","https://data.cityofnewyork.us/d/9tn4-3mgm","10/31/2020","Annually","2021-12-17T19:52:45.000","No","No","Yes","No","N/A","No","N/A","No","854","96","6",,"false"
"Department of Education (DOE)","fn8u-htpz","2020-2021 EMS Transport Full Year - Race, SWD, YOB","Statistics on EMS transports for six month period of January 1, 2017 - June 2017, as well as a full year of statistics by , Student with Disabilities,Race, Birth year.","dataset","Education","Yes","https://data.cityofnewyork.us/d/fn8u-htpz","November 16, 2021","Annually","2021-11-16T18:12:44.000","No","No","Yes","No","No","N/A","N/A","No","227","35","15",,"false"
"Department of Finance (DOF)","niy5-4j7q","DOF: Cooperative Comparable Rental Income – Manhattan– FY 2009/2010","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually","dataset","Housing & Development","No","https://data.cityofnewyork.us/d/niy5-4j7q","10/11/2011","Historical data","2017-09-14T21:17:38.000","No","No","Yes","Yes","Yes","Yes","Annually","No","505","2646","57",,"false"
"Department of Education (DOE)","2eq2-nywg","2020-2021 Suspension Report NYPD Contacts - All","Suspensions reported by Student in Temporary Housing (STB), Student with Disabilities, Race, Gender, English Language Learner (ELL), Date of Birth, Grade Level.","dataset","Education","Yes","https://data.cityofnewyork.us/d/2eq2-nywg","November 16, 2021","Annually","2021-11-16T18:20:58.000","No","No","Yes","No","No","N/A","N/A","No","310","1609","14",,"false"
"Department of Transportation (DOT)","3zy2-a8eg","Street and Highway Capital Reconstruction Projects - Intersection (Map)","This data is a spatial representation of street construction projects. Street and Highway capital projects are major street reconstruction projects, ranging from general street resurfacing projects to full reconstruction of the roadbed, sidewalks, sewer and water pipes and other utilities. Capital projects are essential to keep the City's infrastructure in a state of good repair.","map","Transportation","NO","https://data.cityofnewyork.us/d/3zy2-a8eg","5/10/2021","Monthly","2022-06-06T16:43:22.000","No","No","Yes","No","N/A","No","N/A","No","209",,,"97nd-ff3i","true"
"Mayor's Office of Management & Budget (OMB)","gzfs-3h4m","Agency Spending by Budget Function","This dataset contains information, for a select number of agencies, detailing the costs of providing services within an agency. Amounts are in dollars.","dataset","City Government","NO","https://data.cityofnewyork.us/d/gzfs-3h4m","2/21/2018","As needed","2022-06-21T19:09:37.000","No","No","Yes","No","N/A","Yes","Tri-annually","No","3165","51632","15",,"false"
"Department of Education (DOE)","5qza-frfc","2013-2017 District ELA Results - Gender","","dataset","Education","Yes","https://data.cityofnewyork.us/d/5qza-frfc","9/25/2017","Historical data","2017-09-25T15:38:51.000","No","No","Yes","No","N/A","No","N/A","No","202","2240","16",,"false"
