"_","name","license_no","business_address","city_or_town","state","zip_code","phone_no","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","effective_date"
"1","1750 SUNSHINE WHOLESALE INC.","SJ-03370","7802 20TH AVENUE","BROOKLYN","NY","11214","718-259-1548","40.609034","-73.993661","11","47","274","3162262","3062620039","Bensonhurst West",
"2","53RD QUEENS BEER INC.","SJ-03417","104-06 53RD AVENUE","CORONA","NY","11368","718-760-8010","40.741696","-73.856543","4","21","439","4047869","4019440047","Corona",
"3","A & G WHOLESALE CANDY & PAPER BAG INC.","SJ-03176","488 EAST 164TH STREET","BRONX","NY","10456","718-239-0010","40.82572","-73.909531","3","17","185","2114611","2023687501","Morrisania-Melrose",
"4","A & H TOBACCO WHOLESALE INC.","SJ-03451","264-B BUTLER STREET","BROOKLYN","NY","11217","718-875-1771","40.681221","-73.984616","6","33","127","3006607","3004120021","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",
"5","AIR KING TRADING INC.","SJ-03448","415 DEVOE AVENUE","BRONX","NY","10460","718-824-6400","40.840577","-73.877049","6","15","220","2042419","2040030032","East Tremont",
"6","AMERICAN TOBACCO CORP.","SJ-03464","272 WAKEMAN PLACE","BROOKLYN","NY","11220","718-837-3333","40.638445","-74.025308","10","43","70","3344061","3058410037","Bay Ridge",
"7","AMSTERDAM TOBACCO CO. INC.","SJ-03495","1614 AMSTERDAM AVENUE","NEW YORK","NY","10031","212-862-5860","40.821789","-73.950143","9","7","225","1061737","1020710032","Hamilton Heights",
"8","BAYRIDGE TOBACCO DISTRIBUTORS INC.","SJ-02897","9225 5TH AVENUE","BROOKLYN","NY","11209","718-745-3011","40.617567","-74.029572","10","43","160","3155321","3061090016","Bay Ridge",
"9","BENGAL WHOLESALE CO. INC.","SJ-03246","1024 CONEY ISLAND AVENUE","BROOKLYN","NY","11230","718-434-6296","40.63269","-73.966901","14","40","482","3128203","3054290024","Flatbush",
"10","BRONX TRADING CO. INC.","SJ-03425","1375 SEABURY AVENUE","BRONX","NY","10461","718-931-6448","40.837404","-73.842662","10","13","96","2027255","2038470018","Westchester-Unionport",
