"organization_name","address1","city","state","zip_code","borough","neighborhood","phone1","fax","website","job_placement_services","financial_aid_services","contact_firstname","contact_lastname","course_name","coursedescription","keywords","cost_total","cost_includes","cost_does_not_include","duration","duration_unit","numhours","prerequisites","max_class_size","years_course_offered","instructor_credentials","delivery_method","schedule","is_hra","is_sbs"
"ACCESS INSTITUTE","8002 KEW GARDENS RD LBBY 2","KEW GARDENS","New York","11415","Queens","Southwest Queens","7182630750","7182630749","http://accessqueens.com","Job Placement Services are available.","Some types of Financial Aid are provided.","Reema","Gunasingh","Project Management Training I","Project Management is the process of leading a project from inception through execution. It includes planning  organizing  securing  and managing resources to achieve specific goals. The Project Management training program introduces the student to the project environment and principles of project organization  and covers such areas as project integration management  project scope management  project time management  project cost management  project quality management  project risk management  project procurement management  and management of human resources. The student is prepared for entry-level employment as a Project Manager in private industry as well as for government initiatives.Upon completion of training student will receive a certificate of completion. .Language (English)",,"1900.00","Classroom Hours 34.0   Lab Hours 10.0   Internship Hours 10.0   Practical Hours 10.0",,"64","Hour(s)","64","High School ?GED","10",,,"Classroom Training","Check with school to receive most updated schedule","Yes","No"
"ACCESS INSTITUTE","8002 KEW GARDENS RD LBBY 2","KEW GARDENS","New York","11415","Queens","Southwest Queens","7182630750","7182630749","http://accessqueens.com","Job Placement Services are available.","Some types of Financial Aid are provided.","Reema","Gunasingh","Project Management Training II","Project Management is the process of leading a project from inception through execution. It includes planning  organizing  securing  and managing resources to achieve specific goals. The Project Management training program introduces the student to the project environment and principles of project organization  and covers such areas as project integration management  project scope management  project time management  project cost management  project quality management  project risk management  project procurement management  and management of human resources. The student is prepared for entry-level employment as a Project Manager in private industry as well as for government initiatives.Upon completion of training student will receive a certificate of completion. .Language (English) course cost includes (Tuition  Books  Supplies  Materials)","account  bookkeep  bookkeeper  bookkeeping  financial  tax  audit  loan  peachtree  quickbook  irs  budget  credit  finance","3800.00","Classroom Hours 32.0   Lab Hours 32.0   Internship Hours 32.0   Practical Hours 32.0",,"128","Hour(s)","128","High School Diploma  GED ","0",,,"Classroom Training","Check with school to receive most updated schedule","No","No"
"ACCESS INSTITUTE","8002 KEW GARDENS RD LBBY 2","KEW GARDENS","New York","11415","Queens","Southwest Queens","7182630750","7182630749","http://accessqueens.com","Job Placement Services are available.","Some types of Financial Aid are provided.","Reema","Gunasingh","SAP Business Intelligence (BI) / Business Objects (BO) I","SAP BI/BO is one of a group of SAP programs which are used to analyze and design computer-based solutions for optimizing the operation of a business. The SAP Business Intelligence/Business Objects (BI/BO) program is business software training in applications which allows users to view  sort and analyze business intelligence data. The student learns how to generate reports and create interactive charts for visualizing and warehousing data. The Cost of the industry test is included in the tuition. Upon Completion of training student will receive certificate of completion..Language (English) course cost includes (Tuition  Books  Supplies  Materials)","network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE","3800.00","Classroom Hours 15.0   Lab Hours 15.0   Internship Hours 15.0   Practical Hours 15.0",,"60","Hour(s)","60","High School Diploma or GED","0",,,"Classroom Training","Check with school to receive most updated schedule","No","Yes. ITG vouchers issued for this course will cover the listed price  up to  $3800."
"ACCESS INSTITUTE","8002 KEW GARDENS RD LBBY 2","KEW GARDENS","New York","11415","Queens","Southwest Queens","7182630750","7182630749","http://accessqueens.com","Job Placement Services are available.","Some types of Financial Aid are provided.","Reema","Gunasingh","SAP FI/CO","SAP FI stands for Financial Accounting and it is one of important modules of SAP ERP. It is used to store the financial data of an organization. SAP FI helps to analyze the financial conditions of a company in the market. It can integrate with other SAP modules like SAP SD  SAP PP  SAP MM  SAP SCM  etc. .  .SAP Controlling (CO) is another important SAP module offered to an organization. It supports coordination  monitoring  and optimization of all the processes in an organization. SAP CO includes managing and configuring master data that covers cost and profit centers  internal orders  and other cost elements and functional areas. Course is offered in the week ends (Saturday Sunday) and on Week days Monday through Thursaday. $100 Application fee required .",,"3800.00","Classroom Hours 15.0   Lab Hours 15.0   Internship Hours 15.0   Practical Hours 15.0",,"60","Hour(s)","60","High Scool Diploma or GED","12",,"Masters in Computer Applications","Classroom Training","Check with school to receive most updated schedule","No","No"
"ACCESS INSTITUTE","8002 KEW GARDENS RD LBBY 2","KEW GARDENS","New York","11415","Queens","Southwest Queens","7182630750","7182630749","http://accessqueens.com","Job Placement Services are available.","Some types of Financial Aid are provided.","Reema","Gunasingh","SharePoint 2010 II","Microsoft SharePoint 2010 is used to set up web sites to share information with others  to manage documents from start to finish  and to publish reports. It enables businesses to create custom solutions for specific needs and to exchange ideas and expertise. The Microsoft SharePoint 2010 training program is designed primarily for .NET developers and those with background and experience in the .NET area. It provides students with the knowledge and skills to successfully implement SharePoint 2010 solutions and focuses on the essential skills needed to efficiently build applications on the SharePoint 2010 platform. Students attain comprehensive knowledge of the SharePoint 2010 development platform and learn customization of SharePoint sites using tools such as SharePoint Designer 2010 and Visual Studio 2010. Upon completion of training student will receive a certificate of completion. .Language (English) course cost includes (Tuition  Books  Supplies  Materials)","network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE","3800.00","Classroom Hours 40.0   Lab Hours 40.0   Internship Hours 40.0   Practical Hours 40.0",,"160","Hour(s)","160","High School Diploma or GED and .NET Framework 4.0  ASO.NET 2.0  and MS Office","10",,,"Classroom Training","Check with school to receive most updated schedule","No","Yes. ITG vouchers issued for this course will cover the listed price  up to  $2200."
"ACCESS INSTITUTE","8002 KEW GARDENS RD LBBY 2","KEW GARDENS","New York","11415","Queens","Southwest Queens","7182630750","7182630749","http://accessqueens.com","Job Placement Services are available.","Some types of Financial Aid are provided.","Reema","Gunasingh","Software Quality Analyst II","A Quality Analyst ensures that software is built according to plan and will meet the expectations of users and businesses. Throughout the software development cycle the analyst is responsible for conducting tests to ensure that quality assurance practice are applied and that software developers are able to correct problems and bring the best possible product to market. The training program covers manual and automated testing  planning and creating tests  tracking defects  and tools such as UNIX and SQL. This program is a comprehensive training which covers all elements of Software Quality Analysis in detail. Upon completion of the training student will receive a completion certificate. .Language (English) course cost includes (Tuition  Books  Supplies  Materials)","network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE","3800.00","Classroom Hours 32.0   Lab Hours 32.0   Internship Hours 32.0   Practical Hours 32.0",,"128","Hour(s)","128","High School Diploma or GED.","0",,,"Classroom Training","Check with school to receive most updated schedule","No","Yes. ITG vouchers issued for this course will cover the listed price  up to  $2200."
"ACCESS INSTITUTE","8002 KEW GARDENS RD LBBY 2","KEW GARDENS","New York","11415","Queens","Southwest Queens","7182630750","7182630749","http://accessqueens.com","Job Placement Services are available.","Some types of Financial Aid are provided.","Reema","Gunasingh","Solar Technician Assistant","This program provides the student with a solid understanding of photovoltaic (PV) markets and applications  electricity basics  safety basics  solar energy fundamentals  PV system mechanical design and performance analysis  and PV system maintenance and troubleshooting &ndash; leading to certification with the North American Board of Certified Energy Practitioners (NABCEP) and entry-level employment in the fast-growing field of solar energy technology. Upon completion of training student will receive a certificate of completion. .Language (English) course cost includes (Tuition  Books  Supplies  Materials)","Construct  boiler  carpenter  Electrician  Plumber  Roofer  helper  building  construction  removal  electronic  electrical  inspector  hazardous  solar  asbestos  EHMT","4000.00","Classroom Hours 40.0   Lab Hours 40.0   Internship Hours 35.0   Practical Hours 35.0",,"150","Hour(s)","150","High School Diploma or GED","0",,,"Classroom Training","Check with school to receive most updated schedule","No","No"
"Ace Institute of Technology - Manhattan","312 W 36TH ST FL 2","NEW YORK","New York","10018","Manhattan","Chelsea - Clinton","2126959700","2126959745","http://www.acecareer.edu/","Job Placement Services are available.","Some types of Financial Aid are provided.","Amit","Shorewala","CISCO Network Professional","In this course  you gain the knowledge and skills required to master the advanced features of Cisco router configuration  including address management  route redistribution  basic network security  scalable routing protocols protocol prioritization. Upon successful completion of the course  the student will be awarded certificate of completion in ''CISCO Network Professional''.Topics Covered:.. .....BUILDING SCALABLE ROUTED SWITCHED NETWORKS - 60 hours.......BUILDING TROUBLESHOOTING INTER-NETWORKS - 60 hours......","network  help desk  helpdesk  administrator   support  system  Cisco  Oracle  Windows  Server  SQL  architect   TIA  program  programmer  database  db  visual basic  vba  WAN  Microsoft  MCSE","4900.00","Classroom Hours 120.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0",,"120","Hour(s)","120","Networking Knowledge","0",,,"Classroom Training","Check with school to receive most updated schedule","No","Yes. ITG vouchers issued for this course will cover the listed price  up to  $3800."
"Ace Institute of Technology - Manhattan","312 W 36TH ST FL 2","NEW YORK","New York","10018","Manhattan","Chelsea - Clinton","2126959700","2126959745","http://www.acecareer.edu/","Job Placement Services are available.","Some types of Financial Aid are provided.","Amit","Shorewala","DESIGN & ANIMATION EXPERT","In this program the student will learn to create web sites  edit web sites  create graphic content for web sites and desktop publishing. The student will also learn to create computer animation.","Design  designers  Pro  graphic designer  adobe  autocad  CS5  indesign  website  web  art  animation  flash  artist  media  fashion","0.00000","Classroom Hours 0.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0",,"0","Hour(s)","0","None","14",,"NYSED licensed","Classroom Training","Check with school to receive most updated schedule","Yes","No"
"Ace Institute of Technology - Manhattan","312 W 36TH ST FL 2","NEW YORK","New York","10018","Manhattan","Chelsea - Clinton","2126959700","2126959745","http://www.acecareer.edu/","Job Placement Services are available.","Some types of Financial Aid are provided.","Amit","Shorewala","Diagnostic Medical Sonographer (Part 1)","This program will provide students with in-depth knowledge of skills required to use specialized equipment tocreate / generateimages or to conduct tests  used for assessing and diagnosing various medical conditions. This program teaches howultrasoundhigh frequencysound waves produce images of internal body tissues. This is Diagnostic Medical Sonographer (Part 1) of the Diagnostic Medical Sonographer Program. In order to complete and receive program completion certificate for Diagnostic Medical Sonographer Program  student must complete Diagnostic Medical Sonographer (Part 2) and Diagnostic Medical Sonographer (Part 3) listed on ETPL in addition to Diagnostic Medical Sonographer (Part 1).",,"4550.00","Classroom Hours 450.0   Lab Hours 0.0   Internship Hours 0.0   Practical Hours 0.0",,"450","Hour(s)","450","Bachelor (any field) or Associate in Allied Health.","0",,,"Classroom Training","Check with school to receive most updated schedule","No","No"
