"borough_block_lot","street_address","zip_code","borough","utility","building_manager","owner","owner_address","owner_telephone","dep_boiler_application","_6_deadline","boiler_model","of_identical_boilers","boiler_capacity_gross_btu","boiler_installation_date","boiler_age_range","est_retirement_year","burner_model","primary_fuel","total_gallons_high","total_gallons_low","total_mmbtu_high","total_mmbtu_low","greener_greater_buildings","ggb_deadline","building_type","city_council_district","city_community_board","bldg_sqft","of_bldgs","of_floors","of_res_units","total_units","year_built","condo","coop","latitude","longitude","census_tract","bin","bbl","nta"
"1008120001","155 WEST 36 STREET","10018","Manhattan","Con Edison","485 7 AVE.ASSOC./COLLIERS","485 SHUR LLC","485 7 AVENUE#777, MANHATTAN NY 10018","212-971-4000","CA160181H","2012","FEDERAL FST-200","2","8.4","1981","26 to 30 years old","2016","ICI #DEG 84P","#6","131093","91765","13429.08","19184.4","1","2022","Office Buildings","3","M 05","* 235,450","1","15","0","70","1906",,,"40.751828","-73.988595","109","1015235","1008127501","Midtown-Midtown South"
"1008340048","330 5 AVENUE","10001","Manhattan","Con Edison","SKYLER 330 LLCC/O SHULSKY PROPERTIES INC.","SHULSKY PROPERTIES INC.","307 FITH AVE, NY NY 10016","212 984-8370","CA323565K","2015","PACIFIC #9303 A","1","0","1965","41 - 45 years old","2010","PETRO WD7AH","#4","114975","80483","5075","7250","1","2014","Office Buildings","3","M 05","* 145,000","1","14","0","62","1926",,,"40.747521","-73.985239","76","1015853","1008340048","Midtown-Midtown South"
"1008390009","49 WEST 37 STREET","10018","Manhattan","Con Edison","49 W 37 ST REALTY CO","49 W 37TH ST REALTY CO","440 PARK AVENUE SOUTH, MANHATTAN NY 10016","212 685-6400","CA145582N","0","FEDERAL FST 200","1","8.4","1982","26 to 30 years old","2017","JOHNSON FD68CAHM-200","#4","44640","31248","4687.2","6696","1","2019","Loft Buildings","3","M 05","* 140,898","1","18","0","24","1925",,,"40.751018","-73.984758","84","1015958","1008390009","Midtown-Midtown South"
"1008670001","411 5 AVENUE","10016","Manhattan","Con Edison","ADMS& CO. REAL ESTATE","ADAMS & CO. LLC/FRED LIGUORI","411 5 AVENUE, MANHATTAN NY 10016","212-679-5500","CA417870Y","0","FEDERAL FST-175","1","5.5","1970","36 - 40 year old","2010","ACE FDL04 SIZE 200","#4","100667","70467","4725","6750","1","2017","Office Buildings","3","M 05","* 116,598","1","11","0","1","1915",,,"40.75043","-73.983098","82","1017191","1008670001","Murray Hill-Kips Bay"
"1022420029","639 WEST 207 STREET","10034","Manhattan","Con Edison","WEINER REALTY","PINNACLE WASHINGTON HEIGHTS LLC","P.O.BO. 1920, NEW YORK NY 10116",,"CA068682Y","0","ROCKMILLS MP80","1","3.3","1982","26 to 30 years old","2017","ICI MEG34P","#4","40004","28003","4200","6000","0",,"Walk-Up Apartments","7","M 12","* 37,365","1","5","56","58","1925",,,"40.868598","-73.92178","303","1064990","1022420029","Marble Hill-Inwood"
"1014220048","210 EAST 68 STREET","10021","Manhattan","Con Edison","ISTA MANAGEMENT COMPANY","ISTA MGMT. CO. %B BLDG MGMT. CO.","417 FIFTH AVENUE, MANHATTAN NY 10016","212-624-4300","CA118183M","2013","ROCKMILLS MP 300","2","11.9","1983","26 to 30 years old","2018","ICI DEG 145P","#6","245280","171696","10500","15000","1","2022","Elevator Apartments","4","M 08","* 243,802","1","16","200","210","1929",,,"40.766916","-73.961852","118","1043896","1014220048","Lenox Hill-Roosevelt Island"
"1022020033","425 WEST 205 STREET","10034","Manhattan","Con Edison","CARL S YOUNG","YOUNG,CARL S.","350 5 AVENUE, MANHATTAN NY 10001","212 594 8870","CA377586N","0","ROCKMILLS MP-150","1","6","1986","21 to 26 years old","2021","I.C.I DEG 63P","#4","54896","38427","5775","8250","1","2022","Elevator Apartments","10","M 12","* 77,967","1","6","72","72","1946",,,"40.862651","-73.918606","299","1064507","1022020033","Marble Hill-Inwood"
"1022340032","76 VERMILYEA AVENUE","10034","Manhattan","Con Edison","JAFRA ASSOCIATES","JAFRA LLC.","P.O. BOX 1847, PARAMUS NJ 07653","201-363-1443","CA330894R","0","FEDERAL FST-60","1","2.59","1994","16 to 20 years old","2029","IND. COMB. MMG-28 (P)","#4","37960","26572","3852.94","5504.2","0",,"Walk-Up Apartments","10","M 12","* 22,965","1","5","31","31","1916",,,"40.865753","-73.92336","291","1064906","1022340032","Marble Hill-Inwood"
"2023400208","376 CANAL PLACE","10451","Bronx","Con Edison","BRADFORD SWETT","CANAL RIDER LLC.","1536 THIRD AVE, MANHATTAN NY 10028","212 772-7550","CA086694K","0","BEST 4 B 100","1","4.2","1994","16 to 20 years old","2029","ICI MMG-42","#4","31755","22229","3222.625","4603.75","0",,"Factory & Industrial Buildings","17","Bx 01","* 6,250","1","2","0","1","1931",,,"40.815112","-73.926214","51","2000990","2023400208","Mott Haven-Port Morris"
"2025120015","1041 NELSON AVENUE","10452","Bronx","Con Edison","ROSEDALE MANAGEMENT","BROAD HILL FRIST","3 COLUMBUS CRCL., MANHATTAN NY 10019","212 588-4180","CA071281K","0","FEDERAL FST125","1","4.8","1981","26 to 30 years old","2016","ICI DEG-54P","#4","50224","35157","5254.2","7506","1","2022","Elevator Apartments","17","Bx 04","* 57,720","1","6","58","62","1940",,,"40.83364","-73.928145","189","2003209","2025120015","Highbridge"
