"program_site_name","address","borough","contact_number","notes","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Bronx GED Plus Hub/Referral Center at Bronx Regional High School  
","1010 Rev. James Polite Avenue","Bronx","718-842-9200 ",,"10459","40.823532","-73.898872","2","17","12901","2005366","2026980012","Longwood                                                                   "
"GED Plus at Bronx Community College Future Now","2155 University Avenue ","Bronx","718-289-5852  ",,"10453","40.857899","-73.909307","7","14","255","2014731","2032170060","Kingsbridge Heights                                                        "
"GED Plus at Bronx VA Medical Center ","130 West Kingsbridge Road Bronx, ","Bronx","718-584-9000, ext. 5059  ",,"10468","40.869073","-73.903069","7","14","261","2095229","2032260100","Kingsbridge Heights                                                        "
"GED Plus at Davidson Avenue  ","1732 Davidson Avenue ","Bronx","718-299-5926 ",,"10453","40.847798","-73.913419","5","14","217","2008362","2028610063","University Heights-Morris Heights                                          "
"GED Plus at DeWitt Clinton High School ","100 West Mosholu Parkway South","Bronx","718-543-1000 ","x ELL Services: ESL, Bilingual Program: Spanish ","10468","40.882178","-73.88691","7","11","409","2095215","2032510201","Van Cortlandt Village                                                      "
"GED Plus at Mary Mitchell Family & Children's Center","2007 Mapes Avenue  ","Bronx","718-583-1765  ",,"10460","40.844842","-73.887071","6","17","371","2012934","2031060028","East Tremont                                                               "
"GED Plus at North Central Bronx Hospital  ","3424 Kossuth Avenue, 14","Bronx","718-519-4816  ","14th floor","10467","40.880462","-73.88164","7","11","421","2017787","2033270200","Norwood                                                                    "
"GED Plus at New Settlement Apartments I  ","1525 Walton Avenue  ","Bronx","718-716-8000, ext. 232  ",,"10452","40.841827","-73.914338","4","14","209","2008130","2028450070","West Concourse                                                             "
"GED Plus at New Settlement Apartments II  ","1614 Walton Avenue ","Bronx","718-450-8466  ",,"10452","40.844018","-73.912752","4","14","22702","2008021","2028380004","Mount Hope                                                                 "
"GED Plus at Project Ready   ","55 East 175th Street  ","Bronx","718-466-3600  ",,"10453","40.847256","-73.911295","5","14","22701","2115885","2028500034","Mount Hope                                                                 "
"GED Plus at South Bronx Job Corps  ","1771 Andrews Avenue  ","Bronx","718-294-7260",,"10453","40.850677","-73.91682","5","14","21501","2094551","2028780150","University Heights-Morris Heights                                          "
"GED Plus Evening at Kennedy High School ","99 Terrace View Avenue ","Bronx","718-557-2590  ",,"10463","40.877105","-73.912256","8","10","309","1064532","1022150080","Marble Hill-Inwood                                                         "
"GED Plus Evening at Lehman High School  ","3000 East Tremont Avenue ","Bronx","718-557-2590 ",,"10461","40.840702","-73.838545","10","13","194","2074045","2053680001","Schuylerville-Throgs Neck-Edgewater Park                                   "
"GED Plus Evening at Monroe Academy ","1300 Boynton Avenue ","Bronx","718-557-2590 ",,"10472","40.831601","-73.878912","9","18","56","2027459","2038640001","West Farms-Bronx River                                                     "
"GED Plus at Bedford Stuyvesant Complex Referral Center Hub","832 Marcy Avenue  ","Brooklyn","718-626-5770  ",,"11216","40.685004","-73.947152","3","36","249","3051641","3018230038","Bedford                                                                    "
"GED Plus at Alpha School-Center for Progressive Living Inc.","2400 Linden Boulevard ","Brooklyn","718-257-5800  ",,"11208","40.665325","-73.874918","5","42","1116","3098799","3045010002","East New York                                                              "
"GED Plus at Brooklyn Job Corps Academy  ","585 DeKalb Avenue ","Brooklyn","718-623-4000  ",,"11205","40.691223","-73.952765","3","33","241","3049016","3017640001","Bedford                                                                    "
"GED Plus at D.R.E.A.M.S.  ","1615 St. John's Place  ","Brooklyn","718-455-4308  ",,"11233","40.670199","-73.923797","8","41","359","3389801","3013810062","Crown Heights North                                                        "
"GED Plus at Fannie Barnes Urban Strategies Inc.  ","829 Saratoga Avenue  ","Brooklyn","718-346-2539  ",,"11212","40.660457","-73.91518","16","42","894","3082035","3035830006","Brownsville                                                                "
"GED Plus at George Gershwin Middle School ","800 Van Siclen Avenue ","Brooklyn","718-270-5086 ",,"11207","40.66011","-73.885387","5","42","1104","3097675","3043490050","East New York                                                              "
"GED Plus at Medgar Evers College ","1150 Carroll Street  ","Brooklyn","718-270-6284 ",,"11225","40.667253","-73.952195","9","35","321","3337869","3012890025","Crown Heights South                                                        "
"GED Plus at Linden Learning Center  ","1965 Linden Boulevard ","Brooklyn","718-649-3400  ",,"11207","40.659099","-73.889425","5","42","1104","3380772","3043240001","East New York                                                              "
"GED Plus at Opportunities for a Better Tomorrow I  ","783 Fourth Avenue","Brooklyn","718-369-0303  ",,"11232","40.65927","-73.999268","7","38","101","3009757","3006610005","Sunset Park West                                                           "
"GED Plus at Opportunities for a Better Tomorrow II  ","25 Thornton Street  ","Brooklyn","718-387-1600, ext. 30  ",,"11206","40.701018","-73.943699","1","33","507","3061498","3022750021","Bedford                                                                    "
"GED Plus at Red Hook Community Justice Center  ","88 Visitation Place  ","Brooklyn","718-923-8256  ",,"11231","40.678919","-74.009619","6","38","59","3331865","3005300013","Carroll Gardens-Columbia Street-Red Hook                                   "
"GED Plus at Ridgewood Bushwick  ","1474 Gates Avenue  ","Brooklyn","718-381-9653  ",,"11237","40.697788","-73.913906","4","37","433","3387654","3033440016","Bushwick North                                                             "
"GED Plus at Schermerhorn Street ","67-69 Schermerhorn Street ","Brooklyn","718-935-1726 ",,"11201","40.690757","-73.990967","2","33","9","3002643","3002690014","Brooklyn Heights-Cobble Hill                                               "
"GED Plus at South Shore Educational Complex ","6565 Flatlands Avenue ","Brooklyn","718-968-4118 ",,"11236","40.633285","-73.916735","18","46","950","3224139","3079980005","Canarsie                                                                   "
