"license_number","name","address","city","state","zip","phone","type","status","date","time"
"MP004","OLDEE TAXI INSTRUMENTS CORP.","24-50   47 STREET","ASTORIA","NY","11103","(718)482-6533","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MM007","ATHENA VISION LLC","21-03   44 AVENUE","LIC","NY","11101","(718)683-8495","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MP056","ATHENA VISION LLC","43 - 32   55 STREET","WOODSIDE","NY","11377","(718)683-8495","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MF014","MIDTOWN OPERATING CORP","42-50   24 STREET","LIC","NY","11101","(718)937-2080","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MP057","QUEENS METERSHOP LLC.","43 - 10   39 STREET","LIC","NY","11104","(718)392-4600","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MP041","DYNAMIC REPAIRS,INC","25-11   41 AVENUE","LIC","NY","11101","(718)392-1866","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MP031","TEAM SYSTEMS CORP","30-17   40 AVENUE","LIC","NY","11101","(718)786-0640","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MP001","AMERICAN TAXIMETERS & COMMUNICATIONS INC","21-46   44 DRIVE","LIC","NY","11101","(718)937-4600","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MP043","FLATCODE COMMUNICATIONS INC.","1954 JEROME AVENUE","BRONX","NY","10453","(718)733-1220","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MF001","SUSAN MAINTENANCE CORP.","374    4 AVENUE","BROOKLYN","NY","11215","(718)222-4040","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MP034","TRIZZ TAXIMETER REPAIR CORP.","520 WEST   44 STREET","NEW YORK","NY","10036","(646)336-7625","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MP045","HYBRID AUTO TECH INC","12-04   44 AVENUE","LIC","NY","11101","(718)482-1414","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MF011","J & I MAINTENANCE CORP.","341 BERGEN STREET","BROOKLYN","NY","11217","(718)858-3502","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MF023","STYLE MANAGEMENT CORP","518 WEST   44 STREET","NYC","NY","10036","(212)279-3166","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MP038","OLYMPIC METERSHOP LLC","11-05   38 AVENUE","LIC","NY","11101","(718)361-3005","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MM004","PULSAR TECHNOLOGY SYSTEMS INC","27-20   42 ROAD","LIC","NY","11101","(718)361-9292","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MF003","CAB MANAGEMENT CORP.","27-34 JACKSON AVENUE","LIC","NY","11101","(718)937-8668","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MP037","WAILING,MANAGEMENT,INC.","3108 NORTHERN BOULEVARD","LIC","NY","11101","(718)472-1800","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MF021","GOTHAM YELLOW LLC","75 CANAL STREET WEST","BRONX","NY","10451","(718)993-8100","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MP052","BORO TAXI METER, INC.","1437   39 STREET","BROOKLYN","NY","11218","(347)479-0107","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MP055","CMT METERS,LLC","42-32   21 STREET","QUEENS","NY","11101","(718)349-7700","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MP044","HYBRID AUTO TECH INC","519 WEST   47 STREET","NEW YORK","NY","10036","(212)582-8877","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MF008","UTICA TAXI CENTER","465 UTICA AVENUE","BROOKLYN","NY","11203","(718)774-9767","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MM003","CURB MOBILITY LLC","11-11   34 AVENUE","LIC","NY","11106","(929)268-3172","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MF015","55 STAN OPERATING CORP","45-16 VERNON BOULEVARD","LIC","NY","11101","(718)786-5811","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MP046","TAXICAB PARTITIONS","1415 INWOOD AVENUE","BRONX","NY","10452","(718)538-7275","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MM009","CMT METERS,LLC","42-14   21 STREET","LONG ISLAND CIT","NY","11101","(718)349-7700","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MP029","521 WEST 21ST ST. MANAGEMENT CORP.","415 WEST  127 STREET","NY","NY","10027","(212)665-4900","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
"MP016","METROMETER SHOP INC.","11-11   34 AVENUE","LIC","NY","11106","(929)268-3184","METER SHOP","CURRENT","2020-01-25T00:00:00.000","06:00"
